ko:K19744	paeu:BN889_04293
ko:K01139	paeu:BN889_05922
ko:K10815	paeu:BN889_02407
ko:K18923	paeu:BN889_03004
ko:K22617	paeu:BN889_04838
ko:K11741	paeu:BN889_00812
ko:K01851	paeu:BN889_04706
ko:K18302	paeu:BN889_04068
ko:K19591	paeu:BN889_05317
ko:K19595	paeu:BN889_03891
ko:K03297	paeu:BN889_05537
ko:K21147	paeu:BN889_02301
ko:K02487	paeu:BN889_06502
ko:K02487	paeu:BN889_06442
ko:K18540	paeu:BN889_03983
ko:K01156	paeu:BN889_06459
ko:K19593	paeu:BN889_03888
ko:K18930	paeu:BN889_05312
ko:K16238	paeu:BN889_04469
ko:K09691	paeu:BN889_06057
ko:K00344	paeu:BN889_00054
ko:K02625	paeu:BN889_00277
ko:K15035	paeu:BN889_00846
ko:K01729	paeu:BN889_03918
ko:K11741	paeu:BN889_02037
ko:K11741	paeu:BN889_07123
ko:K08151	paeu:BN889_01206
ko:K21429	paeu:BN889_00659
ko:K11741	paeu:BN889_03622
ko:K00638	paeu:BN889_06403
ko:K03111	paeu:BN889_04707
ko:K12960	paeu:BN889_03520
ko:K19594	paeu:BN889_03890
ko:K19735	paeu:BN889_01055
ko:K18552	paeu:BN889_06186
ko:K19611	paeu:BN889_00977
ko:K03111	paeu:BN889_02142
ko:K07497	paeu:BN889_06577
ko:K18135	paeu:BN889_03953
ko:K18150	paeu:BN889_04112
ko:K00059	paeu:BN889_05328
ko:K03569	paeu:BN889_06166
ko:K06894	paeu:BN889_06174
ko:K07491	paeu:BN889_07053
ko:K13063	paeu:BN889_07067
ko:K03406	paeu:BN889_07078
ko:K18346	paeu:BN889_00770
ko:K18297	paeu:BN889_04604
ko:K16234	paeu:BN889_05662
ko:K07316	paeu:BN889_06460
ko:K15856	paeu:BN889_06061
ko:K11209	paeu:BN889_01737
ko:K19609	paeu:BN889_02962
ko:K16011	paeu:BN889_03922
ko:K11209	paeu:BN889_01093
ko:K07316	paeu:BN889_07358
ko:K18456	paeu:BN889_00194
ko:K01399	paeu:BN889_04117
ko:K17940	paeu:BN889_02851
ko:K18000	paeu:BN889_01048
ko:K09788	paeu:BN889_00823
ko:K19746	paeu:BN889_04294
ko:K21061	paeu:BN889_01349
ko:K16636	paeu:BN889_00082
ko:K01007	paeu:BN889_01895
ko:K14228	paeu:BN889_05286
ko:K14221	paeu:BN889_03456
ko:K14221	paeu:BN889_03457
ko:K14221	paeu:BN889_06801
ko:K21430	paeu:BN889_01185
ko:K17840	paeu:BN889_06966
ko:K02282	paeu:BN889_04787
ko:K02280	paeu:BN889_04788
ko:K02279	paeu:BN889_04789
ko:K02651	paeu:BN889_04790
ko:K03406	paeu:BN889_04791
ko:K06915	paeu:BN889_04792
ko:K14335	paeu:BN889_04798
ko:K06986	paeu:BN889_04799
ko:K01433	paeu:BN889_04802
ko:K01141	paeu:BN889_04804
ko:K03924	paeu:BN889_04810
ko:K14055	paeu:BN889_04816
ko:K00873	paeu:BN889_04817
ko:K01676	paeu:BN889_04821
ko:K03322	paeu:BN889_04822
ko:K05520	paeu:BN889_04824
ko:K01426	paeu:BN889_04830
ko:K03117	paeu:BN889_05630
ko:K03118	paeu:BN889_05631
ko:K03406	paeu:BN889_05633
ko:K02028	paeu:BN889_05635
ko:K02029	paeu:BN889_05636
ko:K02030	paeu:BN889_05637
ko:K03669	paeu:BN889_05638
ko:K03670	paeu:BN889_05640
ko:K03670	paeu:BN889_05641
ko:K07560	paeu:BN889_05642
ko:K01259	paeu:BN889_05643
ko:K10001	paeu:BN889_05645
ko:K00285	paeu:BN889_05647
ko:K07126	paeu:BN889_05650
ko:K01479	paeu:BN889_05656
ko:K01468	paeu:BN889_05657
ko:K01745	paeu:BN889_05658
ko:K02000	paeu:BN889_05659
ko:K02001	paeu:BN889_05660
ko:K02002	paeu:BN889_05661
ko:K01745	paeu:BN889_05664
ko:K03457	paeu:BN889_05665
ko:K01712	paeu:BN889_05666
ko:K02002	paeu:BN889_05669
ko:K09975	paeu:BN889_05671
ko:K05603	paeu:BN889_05673
ko:K03098	paeu:BN889_05674
ko:K03841	paeu:BN889_05677
ko:K01759	paeu:BN889_05678
ko:K01759	paeu:BN889_05679
ko:K12686	paeu:BN889_05680
ko:K00537	paeu:BN889_06497
ko:K03325	paeu:BN889_06498
ko:K16137	paeu:BN889_06508
ko:K02688	paeu:BN889_06512
ko:K00666	paeu:BN889_06519
ko:K14393	paeu:BN889_06521
ko:K00836	paeu:BN889_06525
ko:K00137	paeu:BN889_06526
ko:K13954	paeu:BN889_06528
ko:K07003	paeu:BN889_06539
ko:K02004	paeu:BN889_05107
ko:K02003	paeu:BN889_05109
ko:K00600	paeu:BN889_05123
ko:K06200	paeu:BN889_05127
ko:K04485	paeu:BN889_05130
ko:K09794	paeu:BN889_05132
ko:K03781	paeu:BN889_05134
ko:K03282	paeu:BN889_05135
ko:K00528	paeu:BN889_05136
ko:K07141	paeu:BN889_05139
ko:K07402	paeu:BN889_05140
ko:K00018	paeu:BN889_05155
ko:K03179	paeu:BN889_05946
ko:K07657	paeu:BN889_05948
ko:K07636	paeu:BN889_05949
ko:K02039	paeu:BN889_05953
ko:K02036	paeu:BN889_05954
ko:K02038	paeu:BN889_05955
ko:K02037	paeu:BN889_05956
ko:K02040	paeu:BN889_05957
ko:K10806	paeu:BN889_05961
ko:K02167	paeu:BN889_05964
ko:K02168	paeu:BN889_05966
ko:K02000	paeu:BN889_05967
ko:K02001	paeu:BN889_05968
ko:K02002	paeu:BN889_05969
ko:K01752	paeu:BN889_05970
ko:K07107	paeu:BN889_05978
ko:K17735	paeu:BN889_05979
ko:K02002	paeu:BN889_05981
ko:K17736	paeu:BN889_05982
ko:K01438	paeu:BN889_05983
ko:K07222	paeu:BN889_05986
ko:K06131	paeu:BN889_05988
ko:K09958	paeu:BN889_05989
ko:K01273	paeu:BN889_05990
ko:K03522	paeu:BN889_05996
ko:K07727	paeu:BN889_06836
ko:K03427	paeu:BN889_06840
ko:K01154	paeu:BN889_06841
ko:K01153	paeu:BN889_06843
ko:K03701	paeu:BN889_06851
ko:K10680	paeu:BN889_06856
ko:K00121	paeu:BN889_06862
ko:K00820	paeu:BN889_00002
ko:K04042	paeu:BN889_00005
ko:K02114	paeu:BN889_00006
ko:K02112	paeu:BN889_00007
ko:K02115	paeu:BN889_00009
ko:K02111	paeu:BN889_00010
ko:K02113	paeu:BN889_00011
ko:K02110	paeu:BN889_00013
ko:K02108	paeu:BN889_00014
ko:K02116	paeu:BN889_00015
