ko:K19079	saut:SAI1T1_2005110
ko:K00130	saut:SAI1T1_2019510
ko:K19005	saut:SAI1T1_2005560
ko:K19279	saut:SAI1T1_2012000
ko:K19279	saut:SAI1T1_2015850
ko:K19285	saut:SAI1T1_2002890
ko:K05352	saut:SAI1T1_2001970
ko:K00561	saut:SAI1T1_2006330
ko:K18938	saut:SAI1T1_10070
ko:K18934	saut:SAI1T1_2016090
ko:K18934	saut:SAI1T1_2016100
ko:K11442	saut:SAI1T1_2016140
ko:K08168	saut:SAI1T1_2000920
ko:K18936	saut:SAI1T1_2017900
ko:K18935	saut:SAI1T1_2016120
ko:K03328	saut:SAI1T1_2000870
ko:K03328	saut:SAI1T1_2003750
ko:K18940	saut:SAI1T1_2010220
ko:K19975	saut:SAI1T1_2004850
ko:K19973	saut:SAI1T1_2004870
ko:K19080	saut:SAI1T1_2005120
ko:K02479	saut:SAI1T1_2013670
ko:K02483	saut:SAI1T1_2017500
ko:K14204	saut:SAI1T1_2014700
ko:K01046	saut:SAI1T1_2020030
ko:K03293	saut:SAI1T1_2009580
ko:K22580	saut:SAI1T1_2007480
ko:K21462	saut:SAI1T1_2020020
ko:K21463	saut:SAI1T1_2017460
ko:K00561	saut:SAI1T1_2011990
ko:K00561	saut:SAI1T1_2015840
ko:K03629	saut:SAI1T1_2000030
ko:K02313	saut:SAI1T1_2000010
ko:K02338	saut:SAI1T1_2000020
ko:K02470	saut:SAI1T1_2000040
ko:K02469	saut:SAI1T1_2000050
ko:K01745	saut:SAI1T1_2000070
ko:K03685	saut:SAI1T1_2008790
ko:K03529	saut:SAI1T1_2008800
ko:K03110	saut:SAI1T1_2008810
ko:K03106	saut:SAI1T1_2008820
ko:K02860	saut:SAI1T1_2008830
ko:K00554	saut:SAI1T1_2008840
ko:K14540	saut:SAI1T1_2008860
ko:K03470	saut:SAI1T1_2008870
ko:K01903	saut:SAI1T1_2008880
ko:K01902	saut:SAI1T1_2008890
ko:K04096	saut:SAI1T1_2008920
ko:K03168	saut:SAI1T1_2008930
ko:K04094	saut:SAI1T1_2008940
ko:K03733	saut:SAI1T1_2008950
ko:K01419	saut:SAI1T1_2008960
ko:K03667	saut:SAI1T1_2008970
ko:K04763	saut:SAI1T1_2015870
ko:K02013	saut:SAI1T1_2015900
ko:K00820	saut:SAI1T1_2015910
ko:K02799	saut:SAI1T1_2015920
ko:K02800	saut:SAI1T1_2015920
ko:K00009	saut:SAI1T1_2015940
ko:K03431	saut:SAI1T1_2015960
ko:K01476	saut:SAI1T1_2015990
ko:K03593	saut:SAI1T1_2016080
ko:K11068	saut:SAI1T1_2016130
ko:K07038	saut:SAI1T1_2016150
ko:K02015	saut:SAI1T1_2016170
ko:K02015	saut:SAI1T1_2016180
ko:K02016	saut:SAI1T1_2016190
ko:K01220	saut:SAI1T1_2016300
ko:K11717	saut:SAI1T1_2006410
ko:K04488	saut:SAI1T1_2006420
ko:K09014	saut:SAI1T1_2006430
ko:K00459	saut:SAI1T1_2006460
ko:K07090	saut:SAI1T1_2006480
ko:K07002	saut:SAI1T1_2013520
ko:K00231	saut:SAI1T1_2013530
ko:K01772	saut:SAI1T1_2013540
ko:K01599	saut:SAI1T1_2013550
ko:K01992	saut:SAI1T1_2013570
ko:K01990	saut:SAI1T1_2013580
ko:K07533	saut:SAI1T1_2013600
ko:K03698	saut:SAI1T1_2013610
ko:K06180	saut:SAI1T1_2013690
ko:K01679	saut:SAI1T1_2013700
ko:K03216	saut:SAI1T1_2013720
ko:K02028	saut:SAI1T1_2013740
ko:K02029	saut:SAI1T1_2013750
ko:K02030	saut:SAI1T1_2013750
ko:K07035	saut:SAI1T1_2013760
ko:K03311	saut:SAI1T1_2001360
ko:K09963	saut:SAI1T1_2001400
ko:K07106	saut:SAI1T1_2001410
ko:K02809	saut:SAI1T1_2001420
ko:K02810	saut:SAI1T1_2001420
ko:K01153	saut:SAI1T1_2001440
ko:K02005	saut:SAI1T1_2001460
ko:K02003	saut:SAI1T1_2001470
ko:K02004	saut:SAI1T1_2001480
ko:K01990	saut:SAI1T1_2001510
ko:K02031	saut:SAI1T1_2001520
ko:K02032	saut:SAI1T1_2001520
ko:K02033	saut:SAI1T1_2001530
ko:K02034	saut:SAI1T1_2001540
ko:K02035	saut:SAI1T1_2001550
ko:K01118	saut:SAI1T1_2001580
ko:K10112	saut:SAI1T1_2001600
ko:K15770	saut:SAI1T1_2001610
ko:K15771	saut:SAI1T1_2001620
ko:K15772	saut:SAI1T1_2001630
ko:K07784	saut:SAI1T1_2001680
ko:K07720	saut:SAI1T1_2001690
ko:K02012	saut:SAI1T1_2001710
ko:K00656	saut:SAI1T1_2001720
ko:K04069	saut:SAI1T1_2001730
ko:K01126	saut:SAI1T1_2001740
ko:K07516	saut:SAI1T1_2001770
ko:K00252	saut:SAI1T1_2001780
ko:K01897	saut:SAI1T1_2001790
ko:K02035	saut:SAI1T1_2001820
ko:K05916	saut:SAI1T1_2001830
ko:K00016	saut:SAI1T1_2001840
ko:K03706	saut:SAI1T1_2008980
ko:K02967	saut:SAI1T1_2008990
ko:K02357	saut:SAI1T1_2009000
ko:K09903	saut:SAI1T1_2009010
ko:K02838	saut:SAI1T1_2009020
ko:K00806	saut:SAI1T1_2009030
ko:K00981	saut:SAI1T1_2009040
ko:K11749	saut:SAI1T1_2009050
ko:K01881	saut:SAI1T1_2009060
ko:K03763	saut:SAI1T1_2009070
ko:K09748	saut:SAI1T1_2009080
ko:K02600	saut:SAI1T1_2009090
ko:K02519	saut:SAI1T1_2009110
ko:K03177	saut:SAI1T1_2009120
ko:K11753	saut:SAI1T1_2009130
ko:K00962	saut:SAI1T1_2009140
ko:K12574	saut:SAI1T1_2009150
ko:K03466	saut:SAI1T1_2009160
ko:K00059	saut:SAI1T1_2009200
ko:K00995	saut:SAI1T1_2009220
ko:K09769	saut:SAI1T1_2009260
ko:K00174	saut:SAI1T1_2009270
ko:K00175	saut:SAI1T1_2009280
ko:K06168	saut:SAI1T1_2009290
ko:K03555	saut:SAI1T1_2009310
ko:K03572	saut:SAI1T1_2009320
ko:K02443	saut:SAI1T1_2009330
ko:K02440	saut:SAI1T1_2009340
ko:K00864	saut:SAI1T1_2009350
ko:K00111	saut:SAI1T1_2009360
ko:K00791	saut:SAI1T1_2009380
ko:K00432	saut:SAI1T1_2009390
ko:K03665	saut:SAI1T1_2009400
ko:K01915	saut:SAI1T1_2009430
ko:K01620	saut:SAI1T1_2009440
ko:K06131	saut:SAI1T1_2009450
ko:K01990	saut:SAI1T1_2009460
ko:K01992	saut:SAI1T1_2009470
ko:K02787	saut:SAI1T1_2016310
ko:K02788	saut:SAI1T1_2016310
ko:K01635	saut:SAI1T1_2016320
ko:K00917	saut:SAI1T1_2016330
ko:K01819	saut:SAI1T1_2016340
ko:K02530	saut:SAI1T1_2016350
ko:K12410	saut:SAI1T1_2016360
ko:K01727	saut:SAI1T1_2016390
ko:K01575	saut:SAI1T1_2016420
ko:K01652	saut:SAI1T1_2016430
ko:K06173	saut:SAI1T1_2016490
ko:K16785	saut:SAI1T1_2016500
ko:K16787	saut:SAI1T1_2016510
ko:K16786	saut:SAI1T1_2016520
ko:K03040	saut:SAI1T1_2016530
ko:K00939	saut:SAI1T1_2016540
ko:K03076	saut:SAI1T1_2016550
ko:K02988	saut:SAI1T1_2016560
ko:K02933	saut:SAI1T1_2016570
ko:K02931	saut:SAI1T1_2016580
ko:K02982	saut:SAI1T1_2016600
ko:K02886	saut:SAI1T1_2016610
ko:K02926	saut:SAI1T1_2016620
ko:K02906	saut:SAI1T1_2016630
ko:K06901	saut:SAI1T1_2016640
ko:K05340	saut:SAI1T1_2016670
ko:K07088	saut:SAI1T1_2016680
ko:K11693	saut:SAI1T1_2016700
ko:K03639	saut:SAI1T1_2016730
ko:K03752	saut:SAI1T1_2016740
ko:K03753	saut:SAI1T1_2016750
