ko:K07489	ypl:CH46_4177
ko:K14231	ypl:CH46_4185
ko:K14231	ypl:CH46_575
ko:K13060	ypl:CH46_4160
ko:K08723	ypl:CH46_2809
ko:K21029	ypl:CH46_3632
ko:K19298	ypl:CH46_578
ko:K14225	ypl:CH46_3255
ko:K14225	ypl:CH46_548
ko:K15634	ypl:CH46_459
ko:K19734	ypl:CH46_2653
ko:K19734	ypl:CH46_4161
ko:K20542	ypl:CH46_1059
ko:K20866	ypl:CH46_887
ko:K02495	ypl:CH46_892
ko:K19789	ypl:CH46_3862
ko:K07493	ypl:CH46_2163
ko:K07493	ypl:CH46_2546
ko:K07493	ypl:CH46_2660
ko:K07493	ypl:CH46_2940
ko:K07493	ypl:CH46_2974
ko:K07493	ypl:CH46_3006
ko:K07493	ypl:CH46_3127
ko:K07493	ypl:CH46_3396
ko:K07493	ypl:CH46_3504
ko:K07493	ypl:CH46_3535
ko:K07493	ypl:CH46_3539
ko:K07493	ypl:CH46_3564
ko:K07493	ypl:CH46_3633
ko:K07493	ypl:CH46_4324
ko:K07493	ypl:CH46_902
ko:K00344	ypl:CH46_596
ko:K21908	ypl:CH46_326
ko:K01271	ypl:CH46_1301
ko:K07493	ypl:CH46_1186
ko:K01138	ypl:CH46_76
ko:K11904	ypl:CH46_3653
ko:K01593	ypl:CH46_3938
ko:K00130	ypl:CH46_3966
ko:K13002	ypl:CH46_2001
ko:K03973	ypl:CH46_2756
ko:K02032	ypl:CH46_1637
ko:K00632	ypl:CH46_1299
ko:K02081	ypl:CH46_87
ko:K04057	ypl:CH46_4351
ko:K02032	ypl:CH46_2446
ko:K13001	ypl:CH46_1995
ko:K13000	ypl:CH46_1992
ko:K12453	ypl:CH46_1987
ko:K03892	ypl:CH46_1749
ko:K05799	ypl:CH46_1670
ko:K03293	ypl:CH46_1207
ko:K01406	ypl:CH46_1084
ko:K11894	ypl:CH46_1388
ko:K04753	ypl:CH46_245
ko:K07497	ypl:CH46_3104
ko:K02015	ypl:CH46_3786
ko:K09798	ypl:CH46_853
ko:K14235	ypl:CH46_1155
ko:K20881	ypl:CH46_775
ko:K00632	ypl:CH46_2355
ko:K12510	ypl:CH46_229
ko:K12511	ypl:CH46_230
ko:K12512	ypl:CH46_231
ko:K12513	ypl:CH46_232
ko:K12514	ypl:CH46_233
ko:K12515	ypl:CH46_234
ko:K03559	ypl:CH46_235
ko:K03561	ypl:CH46_237
ko:K01760	ypl:CH46_238
ko:K08325	ypl:CH46_241
ko:K06221	ypl:CH46_242
ko:K00655	ypl:CH46_246
ko:K02621	ypl:CH46_247
ko:K03923	ypl:CH46_248
ko:K02622	ypl:CH46_250
ko:K07000	ypl:CH46_251
ko:K03651	ypl:CH46_252
ko:K09920	ypl:CH46_253
ko:K01515	ypl:CH46_254
ko:K12340	ypl:CH46_255
ko:K02858	ypl:CH46_260
ko:K09806	ypl:CH46_262
ko:K16263	ypl:CH46_263
ko:K03272	ypl:CH46_264
ko:K00982	ypl:CH46_265
ko:K18446	ypl:CH46_266
ko:K07184	ypl:CH46_267
ko:K00974	ypl:CH46_268
ko:K06153	ypl:CH46_269
ko:K01633	ypl:CH46_270
ko:K08591	ypl:CH46_271
ko:K01409	ypl:CH46_272
ko:K02970	ypl:CH46_273
ko:K03086	ypl:CH46_275
ko:K00851	ypl:CH46_1103
ko:K00133	ypl:CH46_1108
ko:K13735	ypl:CH46_1113
ko:K00700	ypl:CH46_1116
ko:K00975	ypl:CH46_1118
ko:K00703	ypl:CH46_1119
ko:K00688	ypl:CH46_1120
ko:K00111	ypl:CH46_1121
ko:K07483	ypl:CH46_1125
ko:K07483	ypl:CH46_1128
ko:K01595	ypl:CH46_1129
ko:K01438	ypl:CH46_1130
ko:K00145	ypl:CH46_1131
ko:K00930	ypl:CH46_1132
ko:K01755	ypl:CH46_1133
ko:K16152	ypl:CH46_1135
ko:K12545	ypl:CH46_1136
ko:K12536	ypl:CH46_1137
ko:K12537	ypl:CH46_1138
ko:K03832	ypl:CH46_1139
ko:K00382	ypl:CH46_1140
ko:K04761	ypl:CH46_1143
ko:K00322	ypl:CH46_1142
ko:K00557	ypl:CH46_1147
ko:K16092	ypl:CH46_1148
ko:K01776	ypl:CH46_1149
ko:K02058	ypl:CH46_1156
ko:K02056	ypl:CH46_1157
ko:K02057	ypl:CH46_1158
ko:K04067	ypl:CH46_1972
ko:K09790	ypl:CH46_1973
ko:K00759	ypl:CH46_1976
ko:K02343	ypl:CH46_1977
ko:K09747	ypl:CH46_1978
ko:K06187	ypl:CH46_1979
ko:K04079	ypl:CH46_1980
ko:K00939	ypl:CH46_1981
ko:K01772	ypl:CH46_1982
ko:K00523	ypl:CH46_1983
ko:K00978	ypl:CH46_1984
ko:K01709	ypl:CH46_1985
ko:K12452	ypl:CH46_1986
ko:K01711	ypl:CH46_1997
ko:K00971	ypl:CH46_2000
ko:K01840	ypl:CH46_2002
ko:K00892	ypl:CH46_2004
ko:K03455	ypl:CH46_2005
ko:K08223	ypl:CH46_2006
ko:K11751	ypl:CH46_2008
ko:K03976	ypl:CH46_2012
