ko:K03638	lmox:AX24_02635
ko:K22010	lmox:AX24_03245
ko:K11741	lmox:AX24_01600
ko:K11741	lmox:AX24_01605
ko:K18926	lmox:AX24_15520
ko:K03328	lmox:AX24_13685
ko:K19975	lmox:AX24_07000
ko:K19973	lmox:AX24_07010
ko:K01992	lmox:AX24_01105
ko:K18692	lmox:AX24_04740
ko:K08221	lmox:AX24_04530
ko:K01271	lmox:AX24_05415
ko:K08316	lmox:AX24_08095
ko:K01101	lmox:AX24_09915
ko:K13731	lmox:AX24_15095
ko:K22597	lmox:AX24_12395
ko:K22597	lmox:AX24_11810
ko:K05352	lmox:AX24_02825
ko:K13731	lmox:AX24_10740
ko:K09017	lmox:AX24_07600
ko:K22579	lmox:AX24_14870
ko:K02538	lmox:AX24_14930
ko:K03483	lmox:AX24_11275
ko:K01297	lmox:AX24_05735
ko:K10778	lmox:AX24_12980
ko:K02110	lmox:AX24_13050
ko:K02113	lmox:AX24_13055
ko:K02111	lmox:AX24_13060
ko:K02115	lmox:AX24_13065
ko:K02112	lmox:AX24_13070
ko:K02114	lmox:AX24_13075
ko:K02793	lmox:AX24_13090
ko:K02794	lmox:AX24_13090
ko:K02795	lmox:AX24_13095
ko:K15770	lmox:AX24_13985
ko:K15771	lmox:AX24_13990
ko:K15772	lmox:AX24_13995
ko:K01182	lmox:AX24_14000
ko:K00690	lmox:AX24_14005
ko:K03043	lmox:AX24_14015
ko:K03046	lmox:AX24_14020
ko:K01223	lmox:AX24_14030
ko:K01439	lmox:AX24_14080
ko:K15975	lmox:AX24_14090
ko:K02034	lmox:AX24_14100
ko:K01223	lmox:AX24_14115
ko:K10112	lmox:AX24_14155
ko:K00615	lmox:AX24_14495
ko:K00616	lmox:AX24_14500
ko:K01808	lmox:AX24_14510
ko:K01803	lmox:AX24_14515
ko:K05879	lmox:AX24_14520
ko:K05878	lmox:AX24_14525
ko:K00244	lmox:AX24_14570
ko:K02768	lmox:AX24_14585
ko:K02769	lmox:AX24_14590
ko:K02770	lmox:AX24_14590
ko:K01624	lmox:AX24_14595
ko:K05995	lmox:AX24_14610
ko:K06193	lmox:AX24_14630
ko:K05350	lmox:AX24_14640
ko:K02761	lmox:AX24_14645
ko:K02760	lmox:AX24_14650
ko:K06608	lmox:AX24_14670
ko:K00140	lmox:AX24_14675
ko:K03337	lmox:AX24_14680
ko:K07461	lmox:AX24_13450
ko:K07056	lmox:AX24_13455
ko:K06284	lmox:AX24_13460
ko:K05340	lmox:AX24_13465
ko:K01874	lmox:AX24_13490
ko:K02025	lmox:AX24_13500
ko:K02026	lmox:AX24_13505
ko:K02027	lmox:AX24_13510
ko:K01187	lmox:AX24_13520
ko:K01182	lmox:AX24_13525
ko:K03424	lmox:AX24_13530
ko:K05985	lmox:AX24_13540
ko:K02528	lmox:AX24_13545
ko:K00919	lmox:AX24_13555
ko:K03475	lmox:AX24_11260
