ko:K19302	hpye:HPOKI154_04350
ko:K14233	hpye:HPOKI154_00535
ko:K14220	hpye:HPOKI154_01255
ko:K14232	hpye:HPOKI154_05170
ko:K14219	hpye:HPOKI154_04275
ko:K14219	hpye:HPOKI154_05155
ko:K14232	hpye:HPOKI154_02300
ko:K14230	hpye:HPOKI154_03770
ko:K14230	hpye:HPOKI154_04560
ko:K14230	hpye:HPOKI154_05910
ko:K14225	hpye:HPOKI154_04800
ko:K14225	hpye:HPOKI154_06060
ko:K14228	hpye:HPOKI154_04805
ko:K14228	hpye:HPOKI154_05415
ko:K14228	hpye:HPOKI154_06100
ko:K14228	hpye:HPOKI154_06105
ko:K14233	hpye:HPOKI154_04815
ko:K14234	hpye:HPOKI154_06055
ko:K14236	hpye:HPOKI154_06065
ko:K14231	hpye:HPOKI154_07645
ko:K02483	hpye:HPOKI154_00905
ko:K07023	hpye:HPOKI154_03620
ko:K03092	hpye:HPOKI154_03625
ko:K06861	hpye:HPOKI154_03630
ko:K06925	hpye:HPOKI154_03635
ko:K02343	hpye:HPOKI154_03640
ko:K06895	hpye:HPOKI154_03645
ko:K01424	hpye:HPOKI154_03665
ko:K07791	hpye:HPOKI154_03670
ko:K15848	hpye:HPOKI154_03675
ko:K05540	hpye:HPOKI154_03690
ko:K03631	hpye:HPOKI154_07740
ko:K02342	hpye:HPOKI154_07760
ko:K01783	hpye:HPOKI154_07765
ko:K03841	hpye:HPOKI154_07770
ko:K04656	hpye:HPOKI154_07800
ko:K04655	hpye:HPOKI154_07805
ko:K02377	hpye:HPOKI154_07815
ko:K01711	hpye:HPOKI154_07820
ko:K00971	hpye:HPOKI154_07825
ko:K12048	hpye:HPOKI154_07830
ko:K12049	hpye:HPOKI154_07835
ko:K12050	hpye:HPOKI154_07840
ko:K12051	hpye:HPOKI154_07845
ko:K09747	hpye:HPOKI154_07860
ko:K01579	hpye:HPOKI154_07865
ko:K03694	hpye:HPOKI154_07870
ko:K06891	hpye:HPOKI154_07875
ko:K01935	hpye:HPOKI154_07890
ko:K00031	hpye:HPOKI154_07900
ko:K01647	hpye:HPOKI154_07905
ko:K03760	hpye:HPOKI154_07925
ko:K12977	hpye:HPOKI154_07930
ko:K13747	hpye:HPOKI154_07935
ko:K03415	hpye:HPOKI154_07940
ko:K09859	hpye:HPOKI154_07945
ko:K00566	hpye:HPOKI154_07970
ko:K04078	hpye:HPOKI154_07980
ko:K04077	hpye:HPOKI154_07985
ko:K06940	hpye:HPOKI154_01495
ko:K01609	hpye:HPOKI154_01505
ko:K01524	hpye:HPOKI154_01515
ko:K02841	hpye:HPOKI154_01520
ko:K02517	hpye:HPOKI154_01525
ko:K00773	hpye:HPOKI154_01530
ko:K09944	hpye:HPOKI154_01535
ko:K01735	hpye:HPOKI154_01540
ko:K01586	hpye:HPOKI154_01575
ko:K04093	hpye:HPOKI154_01580
ko:K01163	hpye:HPOKI154_01585
ko:K03342	hpye:HPOKI154_01590
ko:K01426	hpye:HPOKI154_01595
ko:K02397	hpye:HPOKI154_01600
ko:K02888	hpye:HPOKI154_01605
ko:K02899	hpye:HPOKI154_01610
ko:K12368	hpye:HPOKI154_01615
ko:K12369	hpye:HPOKI154_01620
ko:K12370	hpye:HPOKI154_01625
ko:K12371	hpye:HPOKI154_01630
ko:K12372	hpye:HPOKI154_01635
ko:K03979	hpye:HPOKI154_01640
ko:K01845	hpye:HPOKI154_01655
ko:K07226	hpye:HPOKI154_01710
ko:K01887	hpye:HPOKI154_01715
ko:K03116	hpye:HPOKI154_01720
ko:K00942	hpye:HPOKI154_01725
ko:K02393	hpye:HPOKI154_01750
ko:K06901	hpye:HPOKI154_05865
ko:K03784	hpye:HPOKI154_05895
ko:K01839	hpye:HPOKI154_05900
ko:K03317	hpye:HPOKI154_05905
ko:K08159	hpye:HPOKI154_05945
ko:K01674	hpye:HPOKI154_05950
ko:K00133	hpye:HPOKI154_05960
ko:K01892	hpye:HPOKI154_05965
ko:K02843	hpye:HPOKI154_05970
ko:K02355	hpye:HPOKI154_05985
ko:K02992	hpye:HPOKI154_05990
ko:K02950	hpye:HPOKI154_05995
ko:K13797	hpye:HPOKI154_06000
ko:K02935	hpye:HPOKI154_06010
ko:K02864	hpye:HPOKI154_06015
ko:K02863	hpye:HPOKI154_06020
ko:K02867	hpye:HPOKI154_06025
ko:K02601	hpye:HPOKI154_06030
ko:K03073	hpye:HPOKI154_06035
ko:K02913	hpye:HPOKI154_06045
ko:K02358	hpye:HPOKI154_06050
ko:K07318	hpye:HPOKI154_06085
ko:K00640	hpye:HPOKI154_06095
ko:K02110	hpye:HPOKI154_06110
ko:K00962	hpye:HPOKI154_06115
ko:K04744	hpye:HPOKI154_06125
ko:K03625	hpye:HPOKI154_00005
ko:K02392	hpye:HPOKI154_00025
ko:K01409	hpye:HPOKI154_00030
ko:K00097	hpye:HPOKI154_00040
ko:K03474	hpye:HPOKI154_00045
ko:K02072	hpye:HPOKI154_00065
ko:K02071	hpye:HPOKI154_00070
ko:K04061	hpye:HPOKI154_00075
ko:K02108	hpye:HPOKI154_04235
ko:K00088	hpye:HPOKI154_04240
ko:K02433	hpye:HPOKI154_04245
ko:K00859	hpye:HPOKI154_04250
ko:K00797	hpye:HPOKI154_04255
ko:K03977	hpye:HPOKI154_04265
ko:K03530	hpye:HPOKI154_04270
ko:K09860	hpye:HPOKI154_04285
ko:K15894	hpye:HPOKI154_04300
ko:K13038	hpye:HPOKI154_04305
ko:K00788	hpye:HPOKI154_04315
ko:K00941	hpye:HPOKI154_04320
ko:K00878	hpye:HPOKI154_04325
ko:K01153	hpye:HPOKI154_04330
ko:K03427	hpye:HPOKI154_04345
ko:K09805	hpye:HPOKI154_04355
ko:K00364	hpye:HPOKI154_04365
ko:K03271	hpye:HPOKI154_04370
ko:K03272	hpye:HPOKI154_04375
ko:K03274	hpye:HPOKI154_04380
ko:K03273	hpye:HPOKI154_04385
ko:K09792	hpye:HPOKI154_04390
ko:K03525	hpye:HPOKI154_04395
ko:K03624	hpye:HPOKI154_04415
ko:K00748	hpye:HPOKI154_04420
ko:K04651	hpye:HPOKI154_04430
ko:K02390	hpye:HPOKI154_04435
ko:K01521	hpye:HPOKI154_04440
ko:K03781	hpye:HPOKI154_04460
ko:K02014	hpye:HPOKI154_04465
ko:K01159	hpye:HPOKI154_04470
ko:K03550	hpye:HPOKI154_04490
ko:K03296	hpye:HPOKI154_03115
ko:K03501	hpye:HPOKI154_02035
ko:K07568	hpye:HPOKI154_02040
ko:K03118	hpye:HPOKI154_02045
ko:K03117	hpye:HPOKI154_02050
ko:K03551	hpye:HPOKI154_02055
ko:K00606	hpye:HPOKI154_02060
ko:K03610	hpye:HPOKI154_02085
ko:K02535	hpye:HPOKI154_02090
ko:K00872	hpye:HPOKI154_02100
ko:K02519	hpye:HPOKI154_02110
ko:K02834	hpye:HPOKI154_02115
ko:K09748	hpye:HPOKI154_02120
ko:K07098	hpye:HPOKI154_02125
ko:K02400	hpye:HPOKI154_02140
ko:K02956	hpye:HPOKI154_02145
ko:K02847	hpye:HPOKI154_02150
ko:K03786	hpye:HPOKI154_02155
ko:K01262	hpye:HPOKI154_02160
ko:K00950	hpye:HPOKI154_02165
ko:K02404	hpye:HPOKI154_02170
ko:K04562	hpye:HPOKI154_02175
ko:K02405	hpye:HPOKI154_02185
ko:K02416	hpye:HPOKI154_02190
ko:K02417	hpye:HPOKI154_02195
ko:K03711	hpye:HPOKI154_02210
ko:K07478	hpye:HPOKI154_02215
ko:K13640	hpye:HPOKI154_02220
ko:K05516	hpye:HPOKI154_02225
ko:K12506	hpye:HPOKI154_02250
ko:K16235	hpye:HPOKI154_02260
ko:K00995	hpye:HPOKI154_02265
ko:K00076	hpye:HPOKI154_02275
ko:K01714	hpye:HPOKI154_02280
ko:K00254	hpye:HPOKI154_02290
ko:K00937	hpye:HPOKI154_02295
ko:K00337	hpye:HPOKI154_06405
ko:K00338	hpye:HPOKI154_06410
ko:K00339	hpye:HPOKI154_06415
ko:K00340	hpye:HPOKI154_06420
ko:K00341	hpye:HPOKI154_06425
ko:K00342	hpye:HPOKI154_06430
ko:K00343	hpye:HPOKI154_06435
ko:K15778	hpye:HPOKI154_06445
ko:K01695	hpye:HPOKI154_06455
ko:K01696	hpye:HPOKI154_06460
ko:K13498	hpye:HPOKI154_06465
ko:K00766	hpye:HPOKI154_06470
ko:K01658	hpye:HPOKI154_06475
ko:K01657	hpye:HPOKI154_06480
ko:K07491	hpye:HPOKI154_06505
ko:K03707	hpye:HPOKI154_06520
ko:K03811	hpye:HPOKI154_06525
ko:K00949	hpye:HPOKI154_06530
ko:K02879	hpye:HPOKI154_06540
ko:K03040	hpye:HPOKI154_06545
ko:K02986	hpye:HPOKI154_06550
ko:K02948	hpye:HPOKI154_06555
ko:K02952	hpye:HPOKI154_06560
ko:K02919	hpye:HPOKI154_06565
ko:K02518	hpye:HPOKI154_06570
ko:K01265	hpye:HPOKI154_06575
ko:K03076	hpye:HPOKI154_06580
ko:K02876	hpye:HPOKI154_06585
ko:K02988	hpye:HPOKI154_06590
ko:K02881	hpye:HPOKI154_06595
ko:K02933	hpye:HPOKI154_06600
ko:K02994	hpye:HPOKI154_06605
ko:K02954	hpye:HPOKI154_06610
ko:K02931	hpye:HPOKI154_06615
ko:K02895	hpye:HPOKI154_06620
ko:K02874	hpye:HPOKI154_06625
ko:K02961	hpye:HPOKI154_06630
ko:K02904	hpye:HPOKI154_06635
ko:K02878	hpye:HPOKI154_06640
ko:K02982	hpye:HPOKI154_06645
ko:K02890	hpye:HPOKI154_06650
ko:K02965	hpye:HPOKI154_06655
ko:K00793	hpye:HPOKI154_00080
ko:K03424	hpye:HPOKI154_00085
ko:K08307	hpye:HPOKI154_00090
ko:K03642	hpye:HPOKI154_00095
ko:K03270	hpye:HPOKI154_00100
ko:K09774	hpye:HPOKI154_00110
ko:K03978	hpye:HPOKI154_00115
ko:K05515	hpye:HPOKI154_00125
ko:K02073	hpye:HPOKI154_00130
ko:K03386	hpye:HPOKI154_00135
ko:K02016	hpye:HPOKI154_00140
ko:K03588	hpye:HPOKI154_00145
ko:K02387	hpye:HPOKI154_00150
ko:K02388	hpye:HPOKI154_00155
ko:K02408	hpye:HPOKI154_00160
ko:K03587	hpye:HPOKI154_00165
ko:K00413	hpye:HPOKI154_00185
ko:K00412	hpye:HPOKI154_00190
ko:K00411	hpye:HPOKI154_00195
ko:K03723	hpye:HPOKI154_00200
ko:K11754	hpye:HPOKI154_00220
ko:K01869	hpye:HPOKI154_00230
ko:K03074	hpye:HPOKI154_00240
ko:K03072	hpye:HPOKI154_00245
ko:K03210	hpye:HPOKI154_00250
ko:K03313	hpye:HPOKI154_00255
ko:K02967	hpye:HPOKI154_00270
ko:K02357	hpye:HPOKI154_00275
ko:K07491	hpye:HPOKI154_00300
ko:K11928	hpye:HPOKI154_00320
ko:K13821	hpye:HPOKI154_00325
ko:K03980	hpye:HPOKI154_04500
ko:K01883	hpye:HPOKI154_04505
ko:K02013	hpye:HPOKI154_04520
ko:K02015	hpye:HPOKI154_04525
ko:K19157	hpye:HPOKI154_04540
ko:K15847	hpye:HPOKI154_04555
ko:K04654	hpye:HPOKI154_04575
ko:K04653	hpye:HPOKI154_04580
ko:K04652	hpye:HPOKI154_04585
ko:K00925	hpye:HPOKI154_04600
ko:K13788	hpye:HPOKI154_04605
ko:K02389	hpye:HPOKI154_04615
ko:K02390	hpye:HPOKI154_04620
ko:K03657	hpye:HPOKI154_04635
ko:K15843	hpye:HPOKI154_04645
ko:K15844	hpye:HPOKI154_04650
ko:K02014	hpye:HPOKI154_04660
ko:K01955	hpye:HPOKI154_04670
ko:K00134	hpye:HPOKI154_04680
ko:K01821	hpye:HPOKI154_04695
ko:K06187	hpye:HPOKI154_04700
ko:K06176	hpye:HPOKI154_04705
ko:K03799	hpye:HPOKI154_04710
ko:K01495	hpye:HPOKI154_04715
ko:K00795	hpye:HPOKI154_04720
ko:K03787	hpye:HPOKI154_04725
ko:K01737	hpye:HPOKI154_04735
ko:K10009	hpye:HPOKI154_04770
ko:K02424	hpye:HPOKI154_04775
ko:K03781	hpye:HPOKI154_02630
ko:K10716	hpye:HPOKI154_02665
ko:K02902	hpye:HPOKI154_02670
ko:K15846	hpye:HPOKI154_02680
ko:K01000	hpye:HPOKI154_02685
ko:K01925	hpye:HPOKI154_02690
ko:K07107	hpye:HPOKI154_02700
ko:K03308	hpye:HPOKI154_02710
ko:K03308	hpye:HPOKI154_02715
ko:K01058	hpye:HPOKI154_02720
ko:K02338	hpye:HPOKI154_02725
ko:K02470	hpye:HPOKI154_02730
ko:K08077	hpye:HPOKI154_02750
ko:K00104	hpye:HPOKI154_02760
ko:K01915	hpye:HPOKI154_02780
ko:K02939	hpye:HPOKI154_02790
ko:K01419	hpye:HPOKI154_02795
ko:K03667	hpye:HPOKI154_02800
ko:K07126	hpye:HPOKI154_02815
ko:K01776	hpye:HPOKI154_02820
ko:K03628	hpye:HPOKI154_02825
ko:K02909	hpye:HPOKI154_02830
ko:K07056	hpye:HPOKI154_02835
ko:K03218	hpye:HPOKI154_02840
ko:K01962	hpye:HPOKI154_02860
ko:K09458	hpye:HPOKI154_02865
ko:K03544	hpye:HPOKI154_06925
ko:K00677	hpye:HPOKI154_06930
ko:K02372	hpye:HPOKI154_06935
ko:K13626	hpye:HPOKI154_06945
ko:K05807	hpye:HPOKI154_06955
ko:K01338	hpye:HPOKI154_06960
ko:K04517	hpye:HPOKI154_06965
ko:K01173	hpye:HPOKI154_06970
ko:K01012	hpye:HPOKI154_06990
ko:K07058	hpye:HPOKI154_06995
ko:K09457	hpye:HPOKI154_07035
ko:K09710	hpye:HPOKI154_07040
ko:K00791	hpye:HPOKI154_07045
ko:K03279	hpye:HPOKI154_07050
ko:K00075	hpye:HPOKI154_07065
ko:K02420	hpye:HPOKI154_07070
ko:K02412	hpye:HPOKI154_07075
ko:K03196	hpye:HPOKI154_07080
ko:K01870	hpye:HPOKI154_07085
ko:K06941	hpye:HPOKI154_07110
ko:K06041	hpye:HPOKI154_07115
ko:K12574	hpye:HPOKI154_07120
ko:K02528	hpye:HPOKI154_07125
ko:K01433	hpye:HPOKI154_07150
ko:K04773	hpye:HPOKI154_07155
ko:K01972	hpye:HPOKI154_03145
ko:K03415	hpye:HPOKI154_03150
ko:K01876	hpye:HPOKI154_03155
ko:K00939	hpye:HPOKI154_03160
ko:K07270	hpye:HPOKI154_03165
ko:K01507	hpye:HPOKI154_03175
ko:K07456	hpye:HPOKI154_03180
ko:K01924	hpye:HPOKI154_03190
ko:K03526	hpye:HPOKI154_03200
ko:K00674	hpye:HPOKI154_03205
ko:K07126	hpye:HPOKI154_03210
ko:K03923	hpye:HPOKI154_03220
ko:K05927	hpye:HPOKI154_03225
ko:K05922	hpye:HPOKI154_03230
ko:K03620	hpye:HPOKI154_03235
ko:K03605	hpye:HPOKI154_03240
ko:K06920	hpye:HPOKI154_03265
ko:K00970	hpye:HPOKI154_03270
ko:K01885	hpye:HPOKI154_03290
ko:K02221	hpye:HPOKI154_03295
ko:K08309	hpye:HPOKI154_03300
ko:K00963	hpye:HPOKI154_03305
ko:K00790	hpye:HPOKI154_03315
ko:K01744	hpye:HPOKI154_03320
