ko:K02495	elu:UM146_19570
ko:K18838	elu:UM146_06775
ko:K18919	elu:UM146_10700
ko:K18919	elu:UM146_22855
ko:K18138	elu:UM146_15050
ko:K05396	elu:UM146_07585
ko:K18922	elu:UM146_14600
ko:K21905	elu:UM146_17735
ko:K03761	elu:UM146_03780
ko:K03297	elu:UM146_07505
ko:K03297	elu:UM146_22015
ko:K03297	elu:UM146_22020
ko:K16345	elu:UM146_18425
ko:K07172	elu:UM146_02655
ko:K10014	elu:UM146_05265
ko:K16371	elu:UM146_00700
ko:K16693	elu:UM146_19100
ko:K01990	elu:UM146_13675
ko:K19162	elu:UM146_15055
ko:K21901	elu:UM146_17650
ko:K21907	elu:UM146_17715
ko:K14236	elu:UM146_t23939
ko:K14236	elu:UM146_t23889
ko:K14236	elu:UM146_t23891
ko:K02054	elu:UM146_09815
ko:K21908	elu:UM146_17710
ko:K08348	elu:UM146_09670
ko:K21906	elu:UM146_17730
ko:K03722	elu:UM146_08130
ko:K02345	elu:UM146_07950
ko:K16301	elu:UM146_12515
ko:K10111	elu:UM146_20295
ko:K00254	elu:UM146_12850
ko:K18138	elu:UM146_10305
ko:K03585	elu:UM146_10310
ko:K18140	elu:UM146_00045
ko:K16347	elu:UM146_20980
ko:K16348	elu:UM146_20985
ko:K07733	elu:UM146_13235
ko:K03111	elu:UM146_24296
ko:K07480	elu:UM146_02905
ko:K12262	elu:UM146_09920
ko:K18139	elu:UM146_10300
ko:K18968	elu:UM146_15440
ko:K14218	elu:UM146_t23853
ko:K14218	elu:UM146_t23855
ko:K14238	elu:UM146_t23947
ko:K16092	elu:UM146_20105
ko:K00971	elu:UM146_06550
ko:K11745	elu:UM146_23015
ko:K05372	elu:UM146_07295
ko:K16138	elu:UM146_09065
ko:K16139	elu:UM146_09075
ko:K16088	elu:UM146_11815
ko:K16089	elu:UM146_06015
ko:K19611	elu:UM146_12315
ko:K14228	elu:UM146_t23907
ko:K14233	elu:UM146_t23897
ko:K16090	elu:UM146_13620
ko:K14220	elu:UM146_t23861
ko:K14220	elu:UM146_t23865
ko:K14220	elu:UM146_t23869
ko:K14220	elu:UM146_t23863
ko:K14220	elu:UM146_t23867
ko:K14232	elu:UM146_t23859
ko:K14219	elu:UM146_t23857
ko:K14224	elu:UM146_t23843
ko:K14224	elu:UM146_t23949
ko:K14224	elu:UM146_t23943
ko:K14224	elu:UM146_t23967
ko:K16136	elu:UM146_09055
ko:K14219	elu:UM146_t23837
ko:K14219	elu:UM146_t23841
ko:K14219	elu:UM146_t23839
ko:K14233	elu:UM146_t23835
ko:K14230	elu:UM146_t23821
ko:K14230	elu:UM146_t23833
ko:K14230	elu:UM146_t23831
ko:K14230	elu:UM146_t23829
ko:K16140	elu:UM146_09080
ko:K14225	elu:UM146_t23827
ko:K14231	elu:UM146_t23825
ko:K14231	elu:UM146_t23969
ko:K14230	elu:UM146_t23823
ko:K14228	elu:UM146_t23819
ko:K14234	elu:UM146_t23817
ko:K14232	elu:UM146_t23945
ko:K14219	elu:UM146_t23955
ko:K14226	elu:UM146_t23957
ko:K16137	elu:UM146_08905
ko:K14234	elu:UM146_t23935
ko:K01977	elu:UM146_r24011
ko:K01977	elu:UM146_r24015
ko:K01977	elu:UM146_r24013
ko:K01977	elu:UM146_r24009
ko:K01977	elu:UM146_r24005
ko:K01977	elu:UM146_r24007
ko:K01977	elu:UM146_r24017
ko:K02550	elu:UM146_01525
ko:K07347	elu:UM146_23500
ko:K02014	elu:UM146_23565
ko:K07480	elu:UM146_11260
ko:K02014	elu:UM146_06830
ko:K05875	elu:UM146_07720
ko:K00130	elu:UM146_15740
ko:K00997	elu:UM146_03905
ko:K11991	elu:UM146_03925
ko:K01952	elu:UM146_03935
