ko:K19405	ctrf:SOTONF3_00715
ko:K14233	ctrf:SOTONF3_00894
ko:K11645	ctrf:SOTONF3_00222
ko:K03797	ctrf:SOTONF3_00465
ko:K07462	ctrf:SOTONF3_00472
ko:K12257	ctrf:SOTONF3_00473
ko:K00806	ctrf:SOTONF3_00475
ko:K00981	ctrf:SOTONF3_00476
ko:K00945	ctrf:SOTONF3_00477
ko:K00655	ctrf:SOTONF3_00478
ko:K01887	ctrf:SOTONF3_00479
ko:K00790	ctrf:SOTONF3_00480
ko:K02836	ctrf:SOTONF3_00484
ko:K00991	ctrf:SOTONF3_00487
ko:K06173	ctrf:SOTONF3_00488
ko:K07710	ctrf:SOTONF3_00493
ko:K07714	ctrf:SOTONF3_00494
ko:K03584	ctrf:SOTONF3_00497
ko:K01890	ctrf:SOTONF3_00502
ko:K02034	ctrf:SOTONF3_00505
ko:K01772	ctrf:SOTONF3_00514
ko:K07099	ctrf:SOTONF3_00517
ko:K01494	ctrf:SOTONF3_00042
ko:K03551	ctrf:SOTONF3_00043
ko:K01255	ctrf:SOTONF3_00048
ko:K02340	ctrf:SOTONF3_00050
ko:K00975	ctrf:SOTONF3_00518
ko:K03628	ctrf:SOTONF3_00520
ko:K00859	ctrf:SOTONF3_00521
ko:K03301	ctrf:SOTONF3_00524
ko:K00995	ctrf:SOTONF3_00525
ko:K03495	ctrf:SOTONF3_00528
ko:K03800	ctrf:SOTONF3_00529
ko:K00940	ctrf:SOTONF3_00530
ko:K03550	ctrf:SOTONF3_00531
ko:K01159	ctrf:SOTONF3_00532
ko:K00134	ctrf:SOTONF3_00536
ko:K02879	ctrf:SOTONF3_00537
ko:K03040	ctrf:SOTONF3_00538
ko:K02948	ctrf:SOTONF3_00539
ko:K02952	ctrf:SOTONF3_00540
ko:K03076	ctrf:SOTONF3_00541
ko:K02876	ctrf:SOTONF3_00542
ko:K02988	ctrf:SOTONF3_00543
ko:K02881	ctrf:SOTONF3_00544
ko:K02933	ctrf:SOTONF3_00545
ko:K02994	ctrf:SOTONF3_00546
ko:K02931	ctrf:SOTONF3_00547
ko:K02895	ctrf:SOTONF3_00548
ko:K02874	ctrf:SOTONF3_00549
ko:K02961	ctrf:SOTONF3_00550
ko:K02904	ctrf:SOTONF3_00551
ko:K02878	ctrf:SOTONF3_00552
ko:K02982	ctrf:SOTONF3_00553
ko:K02890	ctrf:SOTONF3_00554
ko:K02965	ctrf:SOTONF3_00555
ko:K02886	ctrf:SOTONF3_00556
ko:K02892	ctrf:SOTONF3_00557
ko:K02926	ctrf:SOTONF3_00558
ko:K02906	ctrf:SOTONF3_00559
ko:K00604	ctrf:SOTONF3_00561
ko:K00677	ctrf:SOTONF3_00562
ko:K02372	ctrf:SOTONF3_00563
ko:K02535	ctrf:SOTONF3_00564
ko:K03820	ctrf:SOTONF3_00565
ko:K06925	ctrf:SOTONF3_00568
ko:K07056	ctrf:SOTONF3_00051
ko:K00164	ctrf:SOTONF3_00057
ko:K00658	ctrf:SOTONF3_00058
ko:K05810	ctrf:SOTONF3_00059
ko:K03526	ctrf:SOTONF3_00060
ko:K02400	ctrf:SOTONF3_00064
ko:K02405	ctrf:SOTONF3_00065
ko:K01866	ctrf:SOTONF3_00066
ko:K03596	ctrf:SOTONF3_00068
ko:K03301	ctrf:SOTONF3_00069
ko:K00099	ctrf:SOTONF3_00075
ko:K03629	ctrf:SOTONF3_00078
ko:K02338	ctrf:SOTONF3_00079
ko:K03664	ctrf:SOTONF3_00080
ko:K03734	ctrf:SOTONF3_00081
ko:K01491	ctrf:SOTONF3_00082
ko:K02902	ctrf:SOTONF3_00088
ko:K00705	ctrf:SOTONF3_00089
ko:K04058	ctrf:SOTONF3_00091
ko:K03230	ctrf:SOTONF3_00092
ko:K02916	ctrf:SOTONF3_00891
ko:K02887	ctrf:SOTONF3_00892
ko:K01889	ctrf:SOTONF3_00893
ko:K11720	ctrf:SOTONF3_00896
ko:K07091	ctrf:SOTONF3_00897
ko:K04075	ctrf:SOTONF3_00898
ko:K03798	ctrf:SOTONF3_00899
ko:K00962	ctrf:SOTONF3_00900
ko:K02956	ctrf:SOTONF3_00901
ko:K01265	ctrf:SOTONF3_00910
ko:K03321	ctrf:SOTONF3_00915
ko:K03527	ctrf:SOTONF3_00918
ko:K03671	ctrf:SOTONF3_00571
ko:K03216	ctrf:SOTONF3_00572
ko:K01876	ctrf:SOTONF3_00574
ko:K01892	ctrf:SOTONF3_00575
ko:K07783	ctrf:SOTONF3_00576
ko:K02337	ctrf:SOTONF3_00577
ko:K03311	ctrf:SOTONF3_00586
ko:K00382	ctrf:SOTONF3_00589
ko:K03644	ctrf:SOTONF3_00590
ko:K03222	ctrf:SOTONF3_00591
ko:K03223	ctrf:SOTONF3_00593
ko:K03226	ctrf:SOTONF3_00594
ko:K03228	ctrf:SOTONF3_00596
ko:K02455	ctrf:SOTONF3_00602
ko:K02453	ctrf:SOTONF3_00604
ko:K03572	ctrf:SOTONF3_00607
ko:K01868	ctrf:SOTONF3_00613
ko:K01867	ctrf:SOTONF3_00617
ko:K03702	ctrf:SOTONF3_00618
ko:K01689	ctrf:SOTONF3_00619
ko:K00240	ctrf:SOTONF3_00623
ko:K03229	ctrf:SOTONF3_00093
ko:K06942	ctrf:SOTONF3_00094
ko:K11753	ctrf:SOTONF3_00095
ko:K02834	ctrf:SOTONF3_00097
ko:K02519	ctrf:SOTONF3_00098
ko:K02600	ctrf:SOTONF3_00099
ko:K02945	ctrf:SOTONF3_00100
ko:K00384	ctrf:SOTONF3_00101
ko:K00997	ctrf:SOTONF3_00102
ko:K00208	ctrf:SOTONF3_00106
ko:K03575	ctrf:SOTONF3_00109
ko:K04077	ctrf:SOTONF3_00112
ko:K04078	ctrf:SOTONF3_00113
ko:K08602	ctrf:SOTONF3_00114
ko:K03695	ctrf:SOTONF3_00115
ko:K01783	ctrf:SOTONF3_00123
ko:K02356	ctrf:SOTONF3_00124
ko:K15580	ctrf:SOTONF3_00203
ko:K15581	ctrf:SOTONF3_00204
ko:K03319	ctrf:SOTONF3_00209
ko:K00850	ctrf:SOTONF3_00210
ko:K00895	ctrf:SOTONF3_00212
ko:K02527	ctrf:SOTONF3_00215
ko:K01869	ctrf:SOTONF3_00216
ko:K01845	ctrf:SOTONF3_00217
ko:K07735	ctrf:SOTONF3_00218
ko:K08999	ctrf:SOTONF3_00219
ko:K01807	ctrf:SOTONF3_00220
ko:K03787	ctrf:SOTONF3_00225
ko:K03179	ctrf:SOTONF3_00226
ko:K03186	ctrf:SOTONF3_00227
ko:K03308	ctrf:SOTONF3_00240
ko:K02078	ctrf:SOTONF3_00245
ko:K00645	ctrf:SOTONF3_00247
ko:K00648	ctrf:SOTONF3_00248
ko:K06187	ctrf:SOTONF3_00249
ko:K07277	ctrf:SOTONF3_00250
ko:K06142	ctrf:SOTONF3_00251
ko:K02536	ctrf:SOTONF3_00252
ko:K00239	ctrf:SOTONF3_00624
ko:K03424	ctrf:SOTONF3_00627
ko:K03562	ctrf:SOTONF3_00629
ko:K02160	ctrf:SOTONF3_00125
ko:K01961	ctrf:SOTONF3_00126
ko:K02871	ctrf:SOTONF3_00127
ko:K02996	ctrf:SOTONF3_00128
ko:K02029	ctrf:SOTONF3_00131
ko:K07058	ctrf:SOTONF3_00134
ko:K06999	ctrf:SOTONF3_00138
ko:K07566	ctrf:SOTONF3_00139
ko:K09125	ctrf:SOTONF3_00142
ko:K07039	ctrf:SOTONF3_00143
ko:K03641	ctrf:SOTONF3_00632
ko:K03640	ctrf:SOTONF3_00633
ko:K03648	ctrf:SOTONF3_00642
ko:K03657	ctrf:SOTONF3_00643
ko:K03092	ctrf:SOTONF3_00644
ko:K06137	ctrf:SOTONF3_00645
ko:K13941	ctrf:SOTONF3_00648
ko:K01633	ctrf:SOTONF3_00649
ko:K03086	ctrf:SOTONF3_00650
ko:K02968	ctrf:SOTONF3_00652
ko:K03980	ctrf:SOTONF3_00659
ko:K01151	ctrf:SOTONF3_00660
ko:K02986	ctrf:SOTONF3_00661
ko:K07146	ctrf:SOTONF3_00662
ko:K13789	ctrf:SOTONF3_00663
ko:K01698	ctrf:SOTONF3_00669
ko:K00346	ctrf:SOTONF3_00670
ko:K03582	ctrf:SOTONF3_00676
ko:K00161	ctrf:SOTONF3_00254
ko:K00162	ctrf:SOTONF3_00255
ko:K00627	ctrf:SOTONF3_00256
ko:K00688	ctrf:SOTONF3_00257
ko:K02313	ctrf:SOTONF3_00259
ko:K03217	ctrf:SOTONF3_00260
ko:K04487	ctrf:SOTONF3_00267
ko:K07083	ctrf:SOTONF3_00271
ko:K01962	ctrf:SOTONF3_00274
ko:K01448	ctrf:SOTONF3_00277
ko:K01928	ctrf:SOTONF3_00278
ko:K03587	ctrf:SOTONF3_00279
ko:K03438	ctrf:SOTONF3_00281
ko:K02313	ctrf:SOTONF3_00284
ko:K00347	ctrf:SOTONF3_00287
ko:K00348	ctrf:SOTONF3_00288
