ko:K11707	ctv:CTG9301_00355
ko:K09013	ctv:CTG9301_03640
ko:K09015	ctv:CTG9301_03645
ko:K11717	ctv:CTG9301_03650
ko:K07220	ctv:CTG9301_03670
ko:K03306	ctv:CTG9301_03675
ko:K00927	ctv:CTG9301_03680
ko:K10773	ctv:CTG9301_03700
ko:K03650	ctv:CTG9301_03705
ko:K01613	ctv:CTG9301_03710
ko:K03070	ctv:CTG9301_03720
ko:K03977	ctv:CTG9301_03730
ko:K03544	ctv:CTG9301_03740
ko:K01358	ctv:CTG9301_03745
ko:K03545	ctv:CTG9301_03750
ko:K03569	ctv:CTG9301_03765
ko:K00057	ctv:CTG9301_03790
ko:K02412	ctv:CTG9301_03805
ko:K02411	ctv:CTG9301_03810
ko:K02409	ctv:CTG9301_03815
ko:K13819	ctv:CTG9301_03820
ko:K04487	ctv:CTG9301_03825
ko:K06178	ctv:CTG9301_03840
ko:K03524	ctv:CTG9301_03850
ko:K05837	ctv:CTG9301_03855
ko:K01875	ctv:CTG9301_03870
ko:K11752	ctv:CTG9301_03875
ko:K14652	ctv:CTG9301_03880
ko:K00794	ctv:CTG9301_03885
ko:K03301	ctv:CTG9301_02605
ko:K00995	ctv:CTG9301_02610
ko:K03495	ctv:CTG9301_02630
ko:K03800	ctv:CTG9301_02635
ko:K00940	ctv:CTG9301_02640
ko:K03550	ctv:CTG9301_02645
ko:K01159	ctv:CTG9301_02650
ko:K00134	ctv:CTG9301_02665
ko:K02879	ctv:CTG9301_02670
ko:K03040	ctv:CTG9301_02675
ko:K02948	ctv:CTG9301_02680
ko:K02952	ctv:CTG9301_02685
ko:K03076	ctv:CTG9301_02690
ko:K02876	ctv:CTG9301_02695
ko:K02988	ctv:CTG9301_02700
ko:K02881	ctv:CTG9301_02705
ko:K02933	ctv:CTG9301_02710
ko:K02994	ctv:CTG9301_02715
ko:K02931	ctv:CTG9301_02720
ko:K02895	ctv:CTG9301_02725
ko:K02874	ctv:CTG9301_02730
ko:K02961	ctv:CTG9301_02735
ko:K02904	ctv:CTG9301_02740
ko:K02878	ctv:CTG9301_02745
ko:K02982	ctv:CTG9301_02750
ko:K02890	ctv:CTG9301_02755
ko:K02965	ctv:CTG9301_02760
ko:K02886	ctv:CTG9301_02765
ko:K02892	ctv:CTG9301_02770
ko:K02926	ctv:CTG9301_02775
ko:K02906	ctv:CTG9301_02780
ko:K00604	ctv:CTG9301_02790
ko:K00677	ctv:CTG9301_02795
ko:K02372	ctv:CTG9301_02800
ko:K02535	ctv:CTG9301_02805
ko:K03820	ctv:CTG9301_02810
ko:K06925	ctv:CTG9301_02825
ko:K03671	ctv:CTG9301_02835
ko:K03075	ctv:CTG9301_01810
ko:K01462	ctv:CTG9301_01815
ko:K02528	ctv:CTG9301_01820
ko:K06888	ctv:CTG9301_01830
ko:K03523	ctv:CTG9301_01855
ko:K01714	ctv:CTG9301_01870
ko:K00928	ctv:CTG9301_01875
ko:K00133	ctv:CTG9301_01880
ko:K00215	ctv:CTG9301_01885
ko:K00800	ctv:CTG9301_01895
ko:K00891	ctv:CTG9301_01900
ko:K01736	ctv:CTG9301_01905
ko:K01735	ctv:CTG9301_01910
ko:K13832	ctv:CTG9301_01915
ko:K03758	ctv:CTG9301_01935
ko:K00024	ctv:CTG9301_01945
ko:K01810	ctv:CTG9301_01955
ko:K03665	ctv:CTG9301_01960
ko:K06167	ctv:CTG9301_01965
ko:K09996	ctv:CTG9301_01970
ko:K06966	ctv:CTG9301_02005
ko:K09131	ctv:CTG9301_02010
ko:K10206	ctv:CTG9301_02020
ko:K01881	ctv:CTG9301_02035
ko:K03705	ctv:CTG9301_02040
ko:K03687	ctv:CTG9301_02045
ko:K04043	ctv:CTG9301_02050
ko:K12573	ctv:CTG9301_02055
ko:K07164	ctv:CTG9301_02060
ko:K06041	ctv:CTG9301_02065
ko:K00658	ctv:CTG9301_02070
ko:K01255	ctv:CTG9301_00240
ko:K02340	ctv:CTG9301_00250
ko:K07056	ctv:CTG9301_00255
ko:K00164	ctv:CTG9301_00285
ko:K00658	ctv:CTG9301_00290
ko:K05810	ctv:CTG9301_00295
ko:K03526	ctv:CTG9301_00300
ko:K02400	ctv:CTG9301_00315
ko:K02405	ctv:CTG9301_00320
ko:K01866	ctv:CTG9301_00325
ko:K03596	ctv:CTG9301_00335
ko:K03301	ctv:CTG9301_00340
ko:K00099	ctv:CTG9301_00375
ko:K03629	ctv:CTG9301_00390
ko:K02338	ctv:CTG9301_00395
ko:K03664	ctv:CTG9301_00400
ko:K03734	ctv:CTG9301_00405
ko:K01491	ctv:CTG9301_00410
ko:K02902	ctv:CTG9301_00445
ko:K00705	ctv:CTG9301_00450
ko:K04058	ctv:CTG9301_00460
ko:K03230	ctv:CTG9301_00465
ko:K03229	ctv:CTG9301_00470
ko:K06942	ctv:CTG9301_00475
ko:K11753	ctv:CTG9301_00480
ko:K02834	ctv:CTG9301_00490
ko:K02519	ctv:CTG9301_00495
ko:K09760	ctv:CTG9301_04395
ko:K03439	ctv:CTG9301_04415
ko:K00075	ctv:CTG9301_04425
ko:K03625	ctv:CTG9301_04435
ko:K02916	ctv:CTG9301_04445
ko:K02887	ctv:CTG9301_04450
ko:K01889	ctv:CTG9301_04455
ko:K11720	ctv:CTG9301_04470
ko:K07091	ctv:CTG9301_04475
ko:K04075	ctv:CTG9301_04480
ko:K03798	ctv:CTG9301_04485
ko:K00962	ctv:CTG9301_04490
ko:K02956	ctv:CTG9301_04495
ko:K01265	ctv:CTG9301_04545
ko:K03321	ctv:CTG9301_04570
ko:K03527	ctv:CTG9301_04585
ko:K03310	ctv:CTG9301_03900
ko:K03466	ctv:CTG9301_03920
ko:K00351	ctv:CTG9301_03930
ko:K03210	ctv:CTG9301_03935
ko:K00231	ctv:CTG9301_03955
ko:K01599	ctv:CTG9301_03965
ko:K03723	ctv:CTG9301_03970
ko:K01872	ctv:CTG9301_03975
ko:K00615	ctv:CTG9301_03985
ko:K01241	ctv:CTG9301_03990
ko:K02356	ctv:CTG9301_04000
ko:K01929	ctv:CTG9301_04020
ko:K01000	ctv:CTG9301_04025
ko:K01925	ctv:CTG9301_04030
ko:K03588	ctv:CTG9301_04040
ko:K02563	ctv:CTG9301_04045
ko:K06960	ctv:CTG9301_04055
ko:K00791	ctv:CTG9301_04070
ko:K09710	ctv:CTG9301_04085
ko:K09458	ctv:CTG9301_04090
ko:K00263	ctv:CTG9301_04105
ko:K00655	ctv:CTG9301_04115
ko:K03216	ctv:CTG9301_02840
ko:K01876	ctv:CTG9301_02850
ko:K01892	ctv:CTG9301_02855
ko:K07783	ctv:CTG9301_02860
ko:K02337	ctv:CTG9301_02865
ko:K03311	ctv:CTG9301_02920
ko:K00382	ctv:CTG9301_02935
ko:K03644	ctv:CTG9301_02940
ko:K03222	ctv:CTG9301_02945
ko:K03223	ctv:CTG9301_02960
ko:K03226	ctv:CTG9301_02965
ko:K03228	ctv:CTG9301_02975
ko:K02455	ctv:CTG9301_03005
ko:K02453	ctv:CTG9301_03015
ko:K03572	ctv:CTG9301_03030
ko:K01868	ctv:CTG9301_03065
ko:K01867	ctv:CTG9301_03085
ko:K03702	ctv:CTG9301_03090
ko:K01689	ctv:CTG9301_03095
ko:K00912	ctv:CTG9301_02085
ko:K03437	ctv:CTG9301_02090
ko:K06969	ctv:CTG9301_02095
ko:K00793	ctv:CTG9301_02100
ko:K07738	ctv:CTG9301_02105
ko:K06204	ctv:CTG9301_02110
ko:K03101	ctv:CTG9301_02115
ko:K03310	ctv:CTG9301_02120
ko:K00748	ctv:CTG9301_02130
