ko:K01175	hiw:NTHI477_01224
ko:K01980	hiw:NTHI477_01257
ko:K21498	hiw:NTHI477_00400
ko:K04753	hiw:NTHI477_00974
ko:K07076	hiw:NTHI477_01102
ko:K00833	hiw:NTHI477_00102
ko:K06175	hiw:NTHI477_00205
ko:K09917	hiw:NTHI477_00206
ko:K03704	hiw:NTHI477_00207
ko:K03976	hiw:NTHI477_00208
ko:K01695	hiw:NTHI477_00210
ko:K01696	hiw:NTHI477_00211
ko:K01933	hiw:NTHI477_00213
ko:K11175	hiw:NTHI477_00214
ko:K14055	hiw:NTHI477_00216
ko:K00254	hiw:NTHI477_00255
ko:K07053	hiw:NTHI477_00256
ko:K01679	hiw:NTHI477_00258
ko:K13256	hiw:NTHI477_01013
ko:K00101	hiw:NTHI477_01022
ko:K01776	hiw:NTHI477_01023
ko:K03655	hiw:NTHI477_01024
ko:K03060	hiw:NTHI477_01026
ko:K00942	hiw:NTHI477_01027
ko:K00134	hiw:NTHI477_01028
ko:K01897	hiw:NTHI477_01029
ko:K07042	hiw:NTHI477_01031
ko:K02379	hiw:NTHI477_01032
ko:K00123	hiw:NTHI477_01033
ko:K00123	hiw:NTHI477_01034
ko:K00124	hiw:NTHI477_01035
ko:K00127	hiw:NTHI477_01036
ko:K02380	hiw:NTHI477_01037
ko:K03789	hiw:NTHI477_01038
ko:K02344	hiw:NTHI477_01039
ko:K00564	hiw:NTHI477_01040
ko:K03685	hiw:NTHI477_01042
ko:K03100	hiw:NTHI477_01043
ko:K03596	hiw:NTHI477_01044
ko:K03648	hiw:NTHI477_01046
ko:K06168	hiw:NTHI477_01047
ko:K03319	hiw:NTHI477_01048
ko:K13927	hiw:NTHI477_01049
ko:K01643	hiw:NTHI477_01050
ko:K01644	hiw:NTHI477_01051
ko:K01646	hiw:NTHI477_01052
ko:K01910	hiw:NTHI477_01053
ko:K03644	hiw:NTHI477_01054
ko:K03801	hiw:NTHI477_01055
ko:K09158	hiw:NTHI477_01056
ko:K07258	hiw:NTHI477_01057
ko:K03642	hiw:NTHI477_01058
ko:K05837	hiw:NTHI477_01059
ko:K05515	hiw:NTHI477_01060
ko:K09892	hiw:NTHI477_01766
ko:K06205	hiw:NTHI477_01767
ko:K07560	hiw:NTHI477_01768
ko:K01770	hiw:NTHI477_01769
ko:K00991	hiw:NTHI477_01770
ko:K05589	hiw:NTHI477_01771
ko:K00769	hiw:NTHI477_01772
ko:K01270	hiw:NTHI477_01773
