ko:K02345	ypq:DJ40_564
ko:K18979	ypq:DJ40_1984
ko:K03297	ypq:DJ40_56
ko:K14233	ypq:DJ40_291
ko:K14233	ypq:DJ40_300
ko:K13060	ypq:DJ40_3178
ko:K08723	ypq:DJ40_88
ko:K21029	ypq:DJ40_703
ko:K01990	ypq:DJ40_1030
ko:K14227	ypq:DJ40_2108
ko:K14227	ypq:DJ40_3511
ko:K14227	ypq:DJ40_2148
ko:K14227	ypq:DJ40_2295
ko:K19298	ypq:DJ40_2016
ko:K15634	ypq:DJ40_1773
ko:K03585	ypq:DJ40_1897
ko:K07493	ypq:DJ40_2410
ko:K18139	ypq:DJ40_1895
ko:K18138	ypq:DJ40_1896
ko:K19734	ypq:DJ40_4044
ko:K19734	ypq:DJ40_3179
ko:K00526	ypq:DJ40_986
ko:K03111	ypq:DJ40_2029
ko:K19230	ypq:DJ40_30
ko:K19227	ypq:DJ40_33
ko:K14233	ypq:DJ40_1546
ko:K20866	ypq:DJ40_2396
ko:K02495	ypq:DJ40_2401
ko:K19229	ypq:DJ40_31
ko:K19789	ypq:DJ40_929
ko:K00344	ypq:DJ40_2035
ko:K21908	ypq:DJ40_2952
ko:K14219	ypq:DJ40_2243
ko:K14221	ypq:DJ40_2291
ko:K14221	ypq:DJ40_3515
ko:K01271	ypq:DJ40_2153
ko:K01138	ypq:DJ40_3393
ko:K01593	ypq:DJ40_1004
ko:K07713	ypq:DJ40_1036
ko:K00130	ypq:DJ40_1045
ko:K03973	ypq:DJ40_38
ko:K00632	ypq:DJ40_2155
ko:K02081	ypq:DJ40_3404
ko:K11904	ypq:DJ40_3254
ko:K02032	ypq:DJ40_3543
ko:K05799	ypq:DJ40_1660
ko:K03293	ypq:DJ40_2244
ko:K11894	ypq:DJ40_2773
ko:K04753	ypq:DJ40_3035
ko:K00027	ypq:DJ40_686
ko:K03748	ypq:DJ40_687
ko:K10541	ypq:DJ40_688
ko:K10542	ypq:DJ40_689
ko:K10540	ypq:DJ40_690
ko:K07148	ypq:DJ40_691
ko:K01495	ypq:DJ40_692
ko:K00121	ypq:DJ40_695
ko:K01070	ypq:DJ40_696
ko:K02004	ypq:DJ40_698
ko:K02005	ypq:DJ40_699
ko:K02003	ypq:DJ40_700
ko:K06871	ypq:DJ40_701
ko:K03750	ypq:DJ40_702
ko:K11911	ypq:DJ40_707
ko:K11905	ypq:DJ40_708
ko:K11906	ypq:DJ40_709
ko:K11895	ypq:DJ40_710
ko:K11896	ypq:DJ40_711
ko:K11910	ypq:DJ40_714
ko:K11904	ypq:DJ40_729
ko:K11907	ypq:DJ40_730
ko:K11892	ypq:DJ40_734
ko:K11893	ypq:DJ40_735
ko:K11900	ypq:DJ40_736
ko:K11900	ypq:DJ40_737
ko:K11901	ypq:DJ40_738
ko:K00645	ypq:DJ40_740
ko:K14287	ypq:DJ40_1492
ko:K02083	ypq:DJ40_1494
ko:K02028	ypq:DJ40_1496
ko:K02029	ypq:DJ40_1497
ko:K02029	ypq:DJ40_1498
ko:K02030	ypq:DJ40_1499
ko:K15974	ypq:DJ40_1507
ko:K03543	ypq:DJ40_1508
ko:K03446	ypq:DJ40_1509
ko:K03214	ypq:DJ40_1510
ko:K03672	ypq:DJ40_1511
ko:K05812	ypq:DJ40_1512
ko:K00998	ypq:DJ40_1514
ko:K05811	ypq:DJ40_1515
ko:K00024	ypq:DJ40_1944
ko:K03402	ypq:DJ40_1945
ko:K02558	ypq:DJ40_1947
ko:K03841	ypq:DJ40_1948
ko:K01507	ypq:DJ40_1949
ko:K09800	ypq:DJ40_1951
ko:K07278	ypq:DJ40_1952
ko:K07304	ypq:DJ40_1953
ko:K07109	ypq:DJ40_1956
ko:K01082	ypq:DJ40_1957
ko:K01119	ypq:DJ40_1958
ko:K07322	ypq:DJ40_1959
ko:K03773	ypq:DJ40_1960
ko:K07269	ypq:DJ40_1961
ko:K02939	ypq:DJ40_1963
ko:K02963	ypq:DJ40_1964
ko:K02990	ypq:DJ40_1965
ko:K06889	ypq:DJ40_1967
ko:K09456	ypq:DJ40_1969
ko:K03218	ypq:DJ40_1970
ko:K12573	ypq:DJ40_1971
ko:K09894	ypq:DJ40_2402
ko:K03978	ypq:DJ40_2403
ko:K03673	ypq:DJ40_2405
ko:K09896	ypq:DJ40_2407
ko:K03752	ypq:DJ40_2408
ko:K03753	ypq:DJ40_2409
ko:K00852	ypq:DJ40_2419
ko:K06726	ypq:DJ40_2420
ko:K03549	ypq:DJ40_2421
ko:K03924	ypq:DJ40_2422
ko:K01914	ypq:DJ40_2424
ko:K03718	ypq:DJ40_2425
ko:K06205	ypq:DJ40_2426
ko:K03495	ypq:DJ40_2427
ko:K03501	ypq:DJ40_2428
ko:K02116	ypq:DJ40_2429
ko:K11021	ypq:DJ40_2858
ko:K11021	ypq:DJ40_2859
ko:K15548	ypq:DJ40_2869
ko:K03468	ypq:DJ40_2870
ko:K00135	ypq:DJ40_2871
ko:K03623	ypq:DJ40_2875
ko:K09889	ypq:DJ40_2876
ko:K03592	ypq:DJ40_2877
ko:K15536	ypq:DJ40_2879
ko:K06140	ypq:DJ40_2880
ko:K01226	ypq:DJ40_2881
ko:K02818	ypq:DJ40_2882
ko:K02819	ypq:DJ40_2882
ko:K03485	ypq:DJ40_2883
ko:K09022	ypq:DJ40_2885
ko:K09807	ypq:DJ40_3319
ko:K05596	ypq:DJ40_3320
ko:K01807	ypq:DJ40_3321
ko:K00058	ypq:DJ40_3322
ko:K01934	ypq:DJ40_3323
ko:K09888	ypq:DJ40_3324
ko:K09895	ypq:DJ40_3325
ko:K01262	ypq:DJ40_3326
ko:K03185	ypq:DJ40_3327
ko:K00605	ypq:DJ40_3329
ko:K02437	ypq:DJ40_3330
ko:K00281	ypq:DJ40_3331
ko:K11068	ypq:DJ40_3335
ko:K06980	ypq:DJ40_3337
ko:K09159	ypq:DJ40_3338
ko:K07663	ypq:DJ40_3339
ko:K07641	ypq:DJ40_3340
ko:K06143	ypq:DJ40_3341
ko:K03840	ypq:DJ40_3342
ko:K04763	ypq:DJ40_3343
ko:K03981	ypq:DJ40_3344
ko:K07462	ypq:DJ40_3345
ko:K02836	ypq:DJ40_3346
ko:K01923	ypq:DJ40_3759
ko:K07054	ypq:DJ40_3761
ko:K06957	ypq:DJ40_3763
ko:K01439	ypq:DJ40_3766
ko:K02012	ypq:DJ40_3769
ko:K02011	ypq:DJ40_3770
ko:K02010	ypq:DJ40_3771
ko:K06871	ypq:DJ40_3773
ko:K07038	ypq:DJ40_3774
ko:K18324	ypq:DJ40_3776
ko:K07685	ypq:DJ40_3778
ko:K02572	ypq:DJ40_3779
ko:K02570	ypq:DJ40_3780
ko:K02567	ypq:DJ40_3781
ko:K02568	ypq:DJ40_3782
ko:K02569	ypq:DJ40_3783
ko:K00029	ypq:DJ40_3785
ko:K10194	ypq:DJ40_4213
ko:K10193	ypq:DJ40_4214
ko:K01731	ypq:DJ40_4215
ko:K00065	ypq:DJ40_4216
ko:K01815	ypq:DJ40_4217
ko:K11606	ypq:DJ40_4222
ko:K11605	ypq:DJ40_4223
ko:K11607	ypq:DJ40_4224
ko:K11604	ypq:DJ40_4225
ko:K08308	ypq:DJ40_4226
ko:K01224	ypq:DJ40_3380
ko:K12308	ypq:DJ40_3381
ko:K02778	ypq:DJ40_3382
ko:K02024	ypq:DJ40_3383
ko:K07491	ypq:DJ40_3385
ko:K01187	ypq:DJ40_3386
ko:K08191	ypq:DJ40_3387
ko:K08302	ypq:DJ40_3391
ko:K06871	ypq:DJ40_3394
ko:K00065	ypq:DJ40_3396
ko:K02079	ypq:DJ40_3397
ko:K02744	ypq:DJ40_3398
ko:K02747	ypq:DJ40_3399
ko:K02746	ypq:DJ40_3400
ko:K02745	ypq:DJ40_3401
ko:K02484	ypq:DJ40_3817
ko:K08483	ypq:DJ40_3819
ko:K02784	ypq:DJ40_3820
ko:K01738	ypq:DJ40_3821
ko:K06203	ypq:DJ40_3822
ko:K03528	ypq:DJ40_3823
ko:K01972	ypq:DJ40_3824
ko:K09954	ypq:DJ40_3825
ko:K09962	ypq:DJ40_3827
ko:K01885	ypq:DJ40_3831
ko:K11535	ypq:DJ40_3836
ko:K03322	ypq:DJ40_3837
ko:K00845	ypq:DJ40_3842
ko:K14261	ypq:DJ40_3844
ko:K05997	ypq:DJ40_4271
ko:K09014	ypq:DJ40_4272
ko:K09013	ypq:DJ40_4273
ko:K09015	ypq:DJ40_4274
ko:K11717	ypq:DJ40_4275
ko:K02426	ypq:DJ40_4276
ko:K06078	ypq:DJ40_4278
ko:K00873	ypq:DJ40_4279
ko:K03327	ypq:DJ40_4284
ko:K00793	ypq:DJ40_4285
ko:K10831	ypq:DJ40_2675
ko:K15552	ypq:DJ40_2676
ko:K03119	ypq:DJ40_2677
ko:K06158	ypq:DJ40_2681
ko:K12678	ypq:DJ40_3119
ko:K13735	ypq:DJ40_3131
ko:K12942	ypq:DJ40_3141
ko:K01258	ypq:DJ40_3142
ko:K02014	ypq:DJ40_3143
ko:K03645	ypq:DJ40_3565
ko:K01835	ypq:DJ40_3566
ko:K08978	ypq:DJ40_3568
ko:K07667	ypq:DJ40_3569
ko:K07646	ypq:DJ40_3570
ko:K01548	ypq:DJ40_3571
ko:K01547	ypq:DJ40_3572
ko:K01546	ypq:DJ40_3573
ko:K01669	ypq:DJ40_3576
ko:K07160	ypq:DJ40_3582
ko:K01304	ypq:DJ40_3585
ko:K03648	ypq:DJ40_3586
ko:K05590	ypq:DJ40_3592
ko:K10111	ypq:DJ40_4021
ko:K01840	ypq:DJ40_4022
ko:K02027	ypq:DJ40_4024
ko:K02025	ypq:DJ40_4025
ko:K02026	ypq:DJ40_4026
ko:K16053	ypq:DJ40_4031
ko:K15342	ypq:DJ40_4032
ko:K10713	ypq:DJ40_4039
ko:K08368	ypq:DJ40_4040
ko:K01695	ypq:DJ40_178
ko:K07275	ypq:DJ40_180
ko:K06190	ypq:DJ40_183
ko:K10806	ypq:DJ40_184
ko:K03832	ypq:DJ40_185
ko:K09780	ypq:DJ40_187
ko:K09981	ypq:DJ40_188
ko:K06131	ypq:DJ40_191
ko:K09901	ypq:DJ40_192
ko:K10823	ypq:DJ40_194
ko:K15582	ypq:DJ40_197
ko:K15581	ypq:DJ40_198
ko:K15580	ypq:DJ40_199
ko:K04072	ypq:DJ40_201
ko:K09858	ypq:DJ40_207
ko:K01433	ypq:DJ40_208
ko:K01142	ypq:DJ40_211
ko:K08320	ypq:DJ40_212
ko:K01008	ypq:DJ40_215
ko:K04773	ypq:DJ40_217
ko:K01424	ypq:DJ40_218
ko:K08281	ypq:DJ40_219
ko:K09916	ypq:DJ40_220
ko:K07305	ypq:DJ40_221
ko:K00134	ypq:DJ40_222
ko:K01792	ypq:DJ40_223
ko:K07180	ypq:DJ40_225
ko:K09786	ypq:DJ40_226
ko:K06911	ypq:DJ40_229
ko:K07552	ypq:DJ40_230
ko:K00285	ypq:DJ40_231
ko:K03603	ypq:DJ40_233
ko:K03314	ypq:DJ40_234
ko:K03611	ypq:DJ40_235
ko:K07491	ypq:DJ40_236
ko:K05776	ypq:DJ40_1069
ko:K07052	ypq:DJ40_1071
ko:K01784	ypq:DJ40_1072
ko:K00965	ypq:DJ40_1073
