ko:K13628	lpa:lpa_02528
ko:K01961	lpa:lpa_00709
ko:K15371	lpa:lpa_02298
ko:K17103	lpa:lpa_00729
ko:K12220	lpa:lpa_00684
ko:K07001	lpa:lpa_02090
ko:K03747	lpa:lpa_03801
ko:K15473	lpa:lpa_03097
ko:K11022	lpa:lpa_03675
ko:K15486	lpa:lpa_02161
ko:K15487	lpa:lpa_00477
ko:K15491	lpa:lpa_03658
ko:K02455	lpa:lpa_02010
ko:K03719	lpa:lpa_02166
ko:K02414	lpa:lpa_02438
ko:K00130	lpa:lpa_00426
ko:K01259	lpa:lpa_02663
ko:K12221	lpa:lpa_00683
ko:K12224	lpa:lpa_03924
ko:K12225	lpa:lpa_03925
ko:K12206	lpa:lpa_00701
ko:K00970	lpa:lpa_02238
ko:K02116	lpa:lpa_04379
ko:K02650	lpa:lpa_02770
ko:K02116	lpa:lpa_01630
ko:K00652	lpa:lpa_02146
ko:K14058	lpa:lpa_01086
ko:K13953	lpa:lpa_03633
ko:K13821	lpa:lpa_02447
ko:K01960	lpa:lpa_00712
ko:K12203	lpa:lpa_03909
ko:K12219	lpa:lpa_00685
ko:K01959	lpa:lpa_03896
ko:K00625	lpa:lpa_03255
ko:K03793	lpa:lpa_04163
ko:K11754	lpa:lpa_01983
ko:K14059	lpa:lpa_00266
ko:K13933	lpa:lpa_03541
ko:K13934	lpa:lpa_03542
ko:K13932	lpa:lpa_03540
ko:K13929	lpa:lpa_03539
ko:K12340	lpa:lpa_01087
ko:K12216	lpa:lpa_00688
ko:K12262	lpa:lpa_02377
ko:K00019	lpa:lpa_03322
ko:K01659	lpa:lpa_02226
ko:K13979	lpa:lpa_00960
ko:K00974	lpa:lpa_04002
ko:K13993	lpa:lpa_03144
ko:K12223	lpa:lpa_03923
ko:K12214	lpa:lpa_00690
ko:K12213	lpa:lpa_00691
ko:K12212	lpa:lpa_00700
ko:K12211	lpa:lpa_00697
ko:K12209	lpa:lpa_00694
ko:K12208	lpa:lpa_00699
ko:K06076	lpa:lpa_01095
ko:K01479	lpa:lpa_01097
ko:K01468	lpa:lpa_01100
ko:K07644	lpa:lpa_01104
ko:K07665	lpa:lpa_01105
ko:K01873	lpa:lpa_01115
ko:K02656	lpa:lpa_02247
ko:K06941	lpa:lpa_02249
ko:K00940	lpa:lpa_02250
ko:K06169	lpa:lpa_02252
ko:K03269	lpa:lpa_02254
ko:K03610	lpa:lpa_02255
ko:K09996	lpa:lpa_02257
ko:K01665	lpa:lpa_02259
ko:K00161	lpa:lpa_02261
ko:K00162	lpa:lpa_02262
ko:K00627	lpa:lpa_02263
ko:K07101	lpa:lpa_02268
ko:K03153	lpa:lpa_02274
ko:K03154	lpa:lpa_02276
ko:K03149	lpa:lpa_02277
ko:K03641	lpa:lpa_02282
ko:K03646	lpa:lpa_02285
ko:K03560	lpa:lpa_02286
ko:K03562	lpa:lpa_02288
ko:K07107	lpa:lpa_02289
ko:K03551	lpa:lpa_02290
ko:K03088	lpa:lpa_02291
ko:K09159	lpa:lpa_02293
ko:K06980	lpa:lpa_02294
ko:K00135	lpa:lpa_02300
ko:K01004	lpa:lpa_02301
ko:K02939	lpa:lpa_02306
ko:K02963	lpa:lpa_02308
ko:K02990	lpa:lpa_02309
ko:K03563	lpa:lpa_02311
ko:K07154	lpa:lpa_03436
ko:K07154	lpa:lpa_03437
ko:K03549	lpa:lpa_03459
ko:K03313	lpa:lpa_03463
ko:K00023	lpa:lpa_03464
ko:K03782	lpa:lpa_03478
ko:K03594	lpa:lpa_03487
ko:K03591	lpa:lpa_02963
ko:K01887	lpa:lpa_02964
ko:K03655	lpa:lpa_02967
ko:K06287	lpa:lpa_02973
ko:K01689	lpa:lpa_02974
ko:K05589	lpa:lpa_02975
ko:K00869	lpa:lpa_02976
ko:K01597	lpa:lpa_02977
ko:K10026	lpa:lpa_02978
ko:K03640	lpa:lpa_02980
ko:K03564	lpa:lpa_04122
ko:K07175	lpa:lpa_04127
ko:K00088	lpa:lpa_04128
ko:K03928	lpa:lpa_04134
ko:K03704	lpa:lpa_04145
ko:K07114	lpa:lpa_04153
ko:K07114	lpa:lpa_04154
ko:K07114	lpa:lpa_04155
ko:K03924	lpa:lpa_04158
ko:K01737	lpa:lpa_04166
ko:K04066	lpa:lpa_04167
ko:K07107	lpa:lpa_04168
ko:K00560	lpa:lpa_04170
ko:K13292	lpa:lpa_04171
ko:K08484	lpa:lpa_04173
ko:K08311	lpa:lpa_04174
ko:K01424	lpa:lpa_04175
ko:K04042	lpa:lpa_04177
ko:K03284	lpa:lpa_04184
ko:K10773	lpa:lpa_04188
ko:K03616	lpa:lpa_04189
ko:K01874	lpa:lpa_04190
ko:K03186	lpa:lpa_04191
ko:K06920	lpa:lpa_04195
ko:K03495	lpa:lpa_04200
ko:K03501	lpa:lpa_04201
ko:K03496	lpa:lpa_04202
ko:K01462	lpa:lpa_00964
ko:K06048	lpa:lpa_00967
ko:K06879	lpa:lpa_00970
ko:K01246	lpa:lpa_00972
ko:K06996	lpa:lpa_00973
ko:K02238	lpa:lpa_00984
ko:K02655	lpa:lpa_00986
ko:K02674	lpa:lpa_00988
ko:K02672	lpa:lpa_00990
ko:K02671	lpa:lpa_00991
ko:K08084	lpa:lpa_00992
ko:K00857	lpa:lpa_00998
ko:K01839	lpa:lpa_01002
ko:K01419	lpa:lpa_01003
ko:K03667	lpa:lpa_01004
ko:K07058	lpa:lpa_01007
ko:K03809	lpa:lpa_01010
ko:K01142	lpa:lpa_01013
ko:K01142	lpa:lpa_01014
ko:K02909	lpa:lpa_01015
ko:K00029	lpa:lpa_01017
ko:K06223	lpa:lpa_01021
ko:K03834	lpa:lpa_01023
ko:K03834	lpa:lpa_01025
ko:K01993	lpa:lpa_01032
ko:K08309	lpa:lpa_01041
ko:K01783	lpa:lpa_01042
ko:K01256	lpa:lpa_02187
ko:K03789	lpa:lpa_02191
ko:K00382	lpa:lpa_02193
ko:K00627	lpa:lpa_02195
ko:K00163	lpa:lpa_02196
ko:K03807	lpa:lpa_02198
ko:K03642	lpa:lpa_02200
ko:K07258	lpa:lpa_02201
ko:K00824	lpa:lpa_02202
ko:K09158	lpa:lpa_02203
ko:K03801	lpa:lpa_02204
ko:K00760	lpa:lpa_02213
ko:K02652	lpa:lpa_02217
ko:K02653	lpa:lpa_02218
ko:K02654	lpa:lpa_02219
ko:K09773	lpa:lpa_02224
ko:K01720	lpa:lpa_02225
ko:K03305	lpa:lpa_02230
ko:K01845	lpa:lpa_02231
ko:K08973	lpa:lpa_02235
ko:K00950	lpa:lpa_02240
ko:K03977	lpa:lpa_02242
ko:K01892	lpa:lpa_02245
ko:K05592	lpa:lpa_03358
ko:K00219	lpa:lpa_03361
ko:K04565	lpa:lpa_03363
ko:K04756	lpa:lpa_03364
ko:K03386	lpa:lpa_03365
ko:K00024	lpa:lpa_03369
ko:K08312	lpa:lpa_03370
ko:K08591	lpa:lpa_03373
ko:K01409	lpa:lpa_03374
ko:K02970	lpa:lpa_03375
ko:K09117	lpa:lpa_03376
ko:K02316	lpa:lpa_03377
ko:K03086	lpa:lpa_03378
ko:K09125	lpa:lpa_03415
ko:K08641	lpa:lpa_03417
ko:K03701	lpa:lpa_00606
ko:K03744	lpa:lpa_00608
ko:K03799	lpa:lpa_00609
ko:K07043	lpa:lpa_00615
ko:K00567	lpa:lpa_00620
ko:K02884	lpa:lpa_00622
ko:K00554	lpa:lpa_00624
ko:K02860	lpa:lpa_00626
ko:K02959	lpa:lpa_00627
ko:K03106	lpa:lpa_00628
ko:K02259	lpa:lpa_00645
ko:K07152	lpa:lpa_00648
ko:K05844	lpa:lpa_00649
ko:K00036	lpa:lpa_00651
ko:K01057	lpa:lpa_00652
ko:K01690	lpa:lpa_00653
ko:K00845	lpa:lpa_00654
ko:K01625	lpa:lpa_00655
ko:K07727	lpa:lpa_00659
ko:K01772	lpa:lpa_00661
ko:K11752	lpa:lpa_01832
ko:K00793	lpa:lpa_01833
ko:K00794	lpa:lpa_01836
ko:K01937	lpa:lpa_01837
ko:K01627	lpa:lpa_01838
ko:K05807	lpa:lpa_01842
ko:K03554	lpa:lpa_01843
ko:K03549	lpa:lpa_01844
ko:K06969	lpa:lpa_01846
ko:K01207	lpa:lpa_01849
ko:K11755	lpa:lpa_01851
ko:K02500	lpa:lpa_01852
ko:K01814	lpa:lpa_01853
ko:K02501	lpa:lpa_01854
ko:K01089	lpa:lpa_01855
ko:K00817	lpa:lpa_01856
ko:K00013	lpa:lpa_01857
ko:K00765	lpa:lpa_01858
ko:K00425	lpa:lpa_01861
ko:K00426	lpa:lpa_01863
ko:K00762	lpa:lpa_01865
ko:K03704	lpa:lpa_01867
ko:K06075	lpa:lpa_01871
ko:K00228	lpa:lpa_01883
ko:K02387	lpa:lpa_01885
ko:K02388	lpa:lpa_01886
ko:K02389	lpa:lpa_01887
ko:K02390	lpa:lpa_01889
ko:K02391	lpa:lpa_01890
ko:K02392	lpa:lpa_01892
ko:K02393	lpa:lpa_01893
ko:K02394	lpa:lpa_01895
ko:K02395	lpa:lpa_01896
ko:K02396	lpa:lpa_01897
ko:K02397	lpa:lpa_01898
ko:K02067	lpa:lpa_02984
ko:K02065	lpa:lpa_02985
ko:K02066	lpa:lpa_02987
ko:K01823	lpa:lpa_02993
ko:K00054	lpa:lpa_02994
ko:K03704	lpa:lpa_03003
ko:K05591	lpa:lpa_03005
ko:K07267	lpa:lpa_03009
ko:K07461	lpa:lpa_03021
ko:K03549	lpa:lpa_03039
ko:K03497	lpa:lpa_04203
ko:K07727	lpa:lpa_04211
ko:K02276	lpa:lpa_04225
ko:K02258	lpa:lpa_04226
ko:K02274	lpa:lpa_04227
ko:K02275	lpa:lpa_04228
ko:K06895	lpa:lpa_04235
ko:K03183	lpa:lpa_04238
ko:K03690	lpa:lpa_04239
ko:K03688	lpa:lpa_04241
ko:K03116	lpa:lpa_04243
ko:K03117	lpa:lpa_04245
ko:K12267	lpa:lpa_04249
ko:K00276	lpa:lpa_04254
ko:K02003	lpa:lpa_04275
ko:K01448	lpa:lpa_03938
ko:K06925	lpa:lpa_03939
ko:K03600	lpa:lpa_03942
ko:K03599	lpa:lpa_03943
ko:K00413	lpa:lpa_03945
ko:K00412	lpa:lpa_03946
ko:K00411	lpa:lpa_03947
ko:K02996	lpa:lpa_03948
ko:K02871	lpa:lpa_03949
ko:K04764	lpa:lpa_03951
ko:K01890	lpa:lpa_03953
ko:K01889	lpa:lpa_03954
ko:K02887	lpa:lpa_03955
ko:K02916	lpa:lpa_03956
ko:K02520	lpa:lpa_03957
ko:K01868	lpa:lpa_03958
ko:K09131	lpa:lpa_03962
ko:K06048	lpa:lpa_03967
ko:K03768	lpa:lpa_03979
ko:K00773	lpa:lpa_03980
ko:K03611	lpa:lpa_03982
ko:K07030	lpa:lpa_00379
ko:K06876	lpa:lpa_00381
ko:K01669	lpa:lpa_00390
ko:K06518	lpa:lpa_00395
ko:K09862	lpa:lpa_00398
ko:K01589	lpa:lpa_00400
ko:K01588	lpa:lpa_00401
ko:K09822	lpa:lpa_00404
ko:K02169	lpa:lpa_03340
ko:K02492	lpa:lpa_03345
ko:K02835	lpa:lpa_03346
ko:K02493	lpa:lpa_03347
ko:K06204	lpa:lpa_03348
ko:K02527	lpa:lpa_03350
ko:K05801	lpa:lpa_03351
ko:K05577	lpa:lpa_00406
ko:K01533	lpa:lpa_00415
ko:K09823	lpa:lpa_00416
ko:K01576	lpa:lpa_00417
ko:K01425	lpa:lpa_00431
ko:K00507	lpa:lpa_00440
ko:K11927	lpa:lpa_00441
ko:K09125	lpa:lpa_00444
ko:K01534	lpa:lpa_01606
ko:K07357	lpa:lpa_01609
ko:K02115	lpa:lpa_01623
ko:K02111	lpa:lpa_01625
ko:K02109	lpa:lpa_01626
ko:K02110	lpa:lpa_01627
ko:K02108	lpa:lpa_01628
ko:K02114	lpa:lpa_01631
ko:K02112	lpa:lpa_01632
ko:K03821	lpa:lpa_01643
ko:K00023	lpa:lpa_01645
