ko:K02022	rpw:M9W_01530
ko:K01006	rpw:M9W_02375
ko:K02029	rpw:M9W_00620
ko:K01322	rpw:M9W_00840
ko:K00674	rpw:M9W_00950
ko:K09815	rpw:M9W_00060
ko:K00970	rpw:M9W_00065
ko:K02116	rpw:M9W_00110
ko:K01409	rpw:M9W_00170
ko:K06147	rpw:M9W_01010
ko:K02433	rpw:M9W_00735
ko:K02427	rpw:M9W_00785
ko:K00625	rpw:M9W_00520
ko:K03593	rpw:M9W_00580
ko:K00241	rpw:M9W_00605
ko:K03560	rpw:M9W_01510
ko:K07080	rpw:M9W_00970
ko:K04044	rpw:M9W_00985
ko:K04082	rpw:M9W_00990
ko:K03470	rpw:M9W_00995
ko:K03702	rpw:M9W_01000
ko:K02469	rpw:M9W_01015
ko:K01462	rpw:M9W_01025
ko:K00604	rpw:M9W_01030
ko:K06916	rpw:M9W_01035
ko:K07568	rpw:M9W_01040
ko:K00425	rpw:M9W_01055
ko:K00426	rpw:M9W_01060
ko:K01923	rpw:M9W_01075
ko:K00239	rpw:M9W_00615
ko:K02950	rpw:M9W_00625
ko:K02992	rpw:M9W_00630
ko:K02355	rpw:M9W_00635
ko:K03073	rpw:M9W_00640
ko:K02601	rpw:M9W_00645
ko:K02867	rpw:M9W_00650
ko:K02863	rpw:M9W_00655
ko:K02864	rpw:M9W_00660
ko:K02935	rpw:M9W_00665
ko:K09761	rpw:M9W_00810
ko:K09779	rpw:M9W_00815
ko:K03530	rpw:M9W_00825
ko:K02341	rpw:M9W_00830
ko:K03106	rpw:M9W_00835
ko:K03926	rpw:M9W_00855
ko:K01737	rpw:M9W_00860
ko:K00658	rpw:M9W_00865
ko:K00164	rpw:M9W_00870
ko:K03631	rpw:M9W_00885
ko:K05807	rpw:M9W_00890
ko:K03686	rpw:M9W_00895
ko:K04043	rpw:M9W_00900
ko:K02340	rpw:M9W_00925
ko:K06134	rpw:M9W_00930
ko:K02276	rpw:M9W_00935
ko:K09773	rpw:M9W_00005
ko:K03671	rpw:M9W_00010
ko:K00677	rpw:M9W_00030
ko:K02372	rpw:M9W_00035
ko:K02536	rpw:M9W_00040
ko:K06925	rpw:M9W_00055
ko:K02109	rpw:M9W_00090
ko:K02109	rpw:M9W_00095
ko:K02110	rpw:M9W_00100
ko:K02108	rpw:M9W_00105
ko:K07736	rpw:M9W_00120
ko:K03629	rpw:M9W_00130
ko:K07152	rpw:M9W_00140
ko:K07735	rpw:M9W_00145
ko:K00023	rpw:M9W_00160
ko:K03695	rpw:M9W_00165
ko:K02990	rpw:M9W_00180
ko:K02963	rpw:M9W_00185
ko:K02939	rpw:M9W_00190
ko:K04075	rpw:M9W_00195
ko:K03043	rpw:M9W_00670
ko:K03046	rpw:M9W_00675
ko:K01255	rpw:M9W_00680
ko:K01876	rpw:M9W_00695
ko:K06890	rpw:M9W_00710
ko:K00215	rpw:M9W_00715
ko:K02434	rpw:M9W_00730
ko:K02435	rpw:M9W_00740
ko:K02838	rpw:M9W_00745
ko:K09903	rpw:M9W_00750
ko:K05569	rpw:M9W_00755
ko:K07277	rpw:M9W_00770
ko:K11749	rpw:M9W_00775
ko:K03625	rpw:M9W_00780
ko:K03798	rpw:M9W_00200
ko:K00240	rpw:M9W_00205
ko:K13292	rpw:M9W_00215
ko:K03217	rpw:M9W_00225
ko:K00995	rpw:M9W_00230
ko:K03301	rpw:M9W_00250
ko:K02445	rpw:M9W_00255
ko:K00940	rpw:M9W_00260
ko:K03495	rpw:M9W_00265
ko:K03501	rpw:M9W_00270
ko:K01627	rpw:M9W_00295
ko:K01129	rpw:M9W_00305
ko:K01887	rpw:M9W_00310
ko:K02621	rpw:M9W_00320
ko:K01494	rpw:M9W_00330
ko:K03071	rpw:M9W_00335
ko:K13584	rpw:M9W_00340
ko:K06879	rpw:M9W_00345
ko:K09987	rpw:M9W_00350
ko:K00325	rpw:M9W_00355
ko:K07275	rpw:M9W_00360
ko:K03762	rpw:M9W_00370
ko:K03075	rpw:M9W_00375
ko:K01883	rpw:M9W_00400
ko:K02967	rpw:M9W_00405
ko:K02357	rpw:M9W_00410
ko:K02527	rpw:M9W_00420
ko:K09778	rpw:M9W_00425
ko:K00812	rpw:M9W_00430
ko:K04754	rpw:M9W_00440
ko:K01775	rpw:M9W_00450
ko:K02066	rpw:M9W_00455
ko:K02065	rpw:M9W_00460
ko:K02902	rpw:M9W_00470
ko:K02909	rpw:M9W_00475
ko:K03978	rpw:M9W_00480
ko:K00925	rpw:M9W_00525
ko:K00554	rpw:M9W_00530
ko:K02884	rpw:M9W_00535
ko:K03074	rpw:M9W_00545
ko:K03100	rpw:M9W_00555
ko:K03685	rpw:M9W_00560
ko:K01159	rpw:M9W_00570
ko:K07276	rpw:M9W_00575
ko:K04088	rpw:M9W_00585
ko:K04087	rpw:M9W_00590
ko:K07146	rpw:M9W_00600
ko:K00242	rpw:M9W_00610
ko:K02904	rpw:M9W_03130
ko:K02878	rpw:M9W_03135
ko:K02982	rpw:M9W_03140
ko:K02890	rpw:M9W_03145
ko:K02965	rpw:M9W_03150
ko:K02886	rpw:M9W_03155
ko:K02892	rpw:M9W_03160
ko:K02926	rpw:M9W_03165
ko:K02906	rpw:M9W_03170
ko:K02946	rpw:M9W_03175
ko:K02358	rpw:M9W_03180
ko:K03218	rpw:M9W_03185
ko:K03531	rpw:M9W_03195
ko:K03704	rpw:M9W_03215
ko:K02528	rpw:M9W_03225
ko:K04744	rpw:M9W_03235
ko:K03601	rpw:M9W_03240
ko:K01142	rpw:M9W_03245
ko:K03977	rpw:M9W_03255
ko:K03688	rpw:M9W_03260
ko:K03183	rpw:M9W_03265
ko:K03424	rpw:M9W_03275
ko:K01874	rpw:M9W_03280
ko:K00943	rpw:M9W_03285
ko:K03179	rpw:M9W_03295
ko:K01873	rpw:M9W_03300
ko:K09760	rpw:M9W_03315
ko:K03544	rpw:M9W_03325
ko:K03790	rpw:M9W_03330
ko:K06920	rpw:M9W_03335
ko:K07552	rpw:M9W_03350
ko:K09808	rpw:M9W_03355
ko:K02198	rpw:M9W_03375
ko:K05349	rpw:M9W_03385
ko:K04764	rpw:M9W_03395
ko:K07010	rpw:M9W_03445
ko:K02517	rpw:M9W_03490
ko:K00912	rpw:M9W_03495
ko:K01972	rpw:M9W_03500
