ko:K07050	bsui:BSSP1_I0647
ko:K18893	bsui:BSSP1_I1564
ko:K13967	bsui:BSSP1_II0365
ko:K22617	bsui:BSSP1_I1949
ko:K21909	bsui:BSSP1_II0810
ko:K00001	bsui:BSSP1_I0856
ko:K01271	bsui:BSSP1_I0639
ko:K02031	bsui:BSSP1_II0724
ko:K03297	bsui:BSSP1_I0775
ko:K22616	bsui:BSSP1_I1573
ko:K02031	bsui:BSSP1_II0359
ko:K02031	bsui:BSSP1_II1057
ko:K00035	bsui:BSSP1_II0890
ko:K11741	bsui:BSSP1_I0927
ko:K01271	bsui:BSSP1_I1549
ko:K07005	bsui:BSSP1_I1391
ko:K21911	bsui:BSSP1_II0815
ko:K00130	bsui:BSSP1_I1157
ko:K19233	bsui:BSSP1_II1287
ko:K19231	bsui:BSSP1_II1341
ko:K19232	bsui:BSSP1_I0067
ko:K11209	bsui:BSSP1_I1080
ko:K19231	bsui:BSSP1_II1339
ko:K19231	bsui:BSSP1_II1340
ko:K00249	bsui:BSSP1_I1291
ko:K00001	bsui:BSSP1_II0675
ko:K00065	bsui:BSSP1_II0930
ko:K00076	bsui:BSSP1_I1640
ko:K01144	bsui:BSSP1_I1403
ko:K11079	bsui:BSSP1_II1064
ko:K22616	bsui:BSSP1_I1572
ko:K00108	bsui:BSSP1_I1156
ko:K04771	bsui:BSSP1_I1096
ko:K19270	bsui:BSSP1_I0846
ko:K21686	bsui:BSSP1_I0513
ko:K11077	bsui:BSSP1_II1062
ko:K03446	bsui:BSSP1_II0083
ko:K13010	bsui:BSSP1_I1185
ko:K05799	bsui:BSSP1_II0137
ko:K14218	bsui:BSSP1_I0018
ko:K01985	bsui:BSSP1_I1659
ko:K01985	bsui:BSSP1_II1077
ko:K01985	bsui:BSSP1_II1302
ko:K14219	bsui:BSSP1_I0292
ko:K01980	bsui:BSSP1_I1661
ko:K13895	bsui:BSSP1_I0001
ko:K13894	bsui:BSSP1_I0002
ko:K13893	bsui:BSSP1_I0003
ko:K13893	bsui:BSSP1_I0004
ko:K01999	bsui:BSSP1_I0007
ko:K13766	bsui:BSSP1_I0008
ko:K01640	bsui:BSSP1_I0009
ko:K01968	bsui:BSSP1_I0010
ko:K01969	bsui:BSSP1_I0011
ko:K00253	bsui:BSSP1_I0012
ko:K01907	bsui:BSSP1_I0014
ko:K01907	bsui:BSSP1_I0015
ko:K00800	bsui:BSSP1_I0020
ko:K00945	bsui:BSSP1_I0021
ko:K02945	bsui:BSSP1_I0023
ko:K06187	bsui:BSSP1_I0027
ko:K09747	bsui:BSSP1_I0028
ko:K02343	bsui:BSSP1_I0029
ko:K03426	bsui:BSSP1_I0031
ko:K04518	bsui:BSSP1_I0032
ko:K00979	bsui:BSSP1_I0033
ko:K08738	bsui:BSSP1_I0034
ko:K02297	bsui:BSSP1_I0037
ko:K02298	bsui:BSSP1_I0038
ko:K02299	bsui:BSSP1_I0039
ko:K02300	bsui:BSSP1_I0040
ko:K07278	bsui:BSSP1_I0042
ko:K09800	bsui:BSSP1_I0043
ko:K01759	bsui:BSSP1_I0051
ko:K03593	bsui:BSSP1_I0052
ko:K00573	bsui:BSSP1_I0821
