ko:K04112	rpt:Rpal_0724
ko:K06001	rpt:Rpal_1782
ko:K02591	rpt:Rpal_2591
ko:K07215	rpt:Rpal_3698
ko:K02409	rpt:Rpal_1457
ko:K11731	rpt:Rpal_2430
ko:K02412	rpt:Rpal_1823
ko:K09844	rpt:Rpal_1705
ko:K00121	rpt:Rpal_4444
ko:K11719	rpt:Rpal_0048
ko:K11717	rpt:Rpal_1608
ko:K14980	rpt:Rpal_0360
ko:K07167	rpt:Rpal_0550
ko:K07023	rpt:Rpal_0400
ko:K02411	rpt:Rpal_1459
ko:K06222	rpt:Rpal_4776
ko:K00598	rpt:Rpal_4126
ko:K00162	rpt:Rpal_3208
ko:K00161	rpt:Rpal_3209
ko:K01610	rpt:Rpal_0363
ko:K14981	rpt:Rpal_0361
ko:K01075	rpt:Rpal_1990
ko:K04113	rpt:Rpal_0725
ko:K01999	rpt:Rpal_0110
ko:K07256	rpt:Rpal_0118
ko:K08967	rpt:Rpal_2596
ko:K03787	rpt:Rpal_3182
ko:K03587	rpt:Rpal_4054
ko:K00833	rpt:Rpal_3318
ko:K05366	rpt:Rpal_2073
ko:K04042	rpt:Rpal_2933
ko:K21019	rpt:Rpal_2021
ko:K05367	rpt:Rpal_2824
ko:K02417	rpt:Rpal_1460
ko:K02417	rpt:Rpal_3578
ko:K05366	rpt:Rpal_2730
ko:K14986	rpt:Rpal_4726
ko:K00278	rpt:Rpal_1246
ko:K01674	rpt:Rpal_0862
ko:K01963	rpt:Rpal_0074
ko:K04651	rpt:Rpal_1165
ko:K06024	rpt:Rpal_3190
ko:K04338	rpt:Rpal_1275
ko:K06214	rpt:Rpal_1276
ko:K00252	rpt:Rpal_1284
ko:K03550	rpt:Rpal_1290
ko:K01489	rpt:Rpal_1291
ko:K07107	rpt:Rpal_1293
ko:K03885	rpt:Rpal_1294
ko:K09958	rpt:Rpal_1296
ko:K03088	rpt:Rpal_1299
ko:K03088	rpt:Rpal_1307
ko:K03562	rpt:Rpal_1308
ko:K03559	rpt:Rpal_1309
ko:K03641	rpt:Rpal_1311
ko:K03640	rpt:Rpal_1314
ko:K04075	rpt:Rpal_1316
ko:K03798	rpt:Rpal_1317
ko:K02471	rpt:Rpal_1326
ko:K01883	rpt:Rpal_2208
ko:K03830	rpt:Rpal_2210
ko:K01649	rpt:Rpal_2211
ko:K01652	rpt:Rpal_2212
ko:K06966	rpt:Rpal_2215
ko:K01613	rpt:Rpal_2217
ko:K02556	rpt:Rpal_2220
ko:K02557	rpt:Rpal_2221
ko:K03549	rpt:Rpal_2222
ko:K11073	rpt:Rpal_2225
ko:K02517	rpt:Rpal_2228
ko:K09458	rpt:Rpal_2230
ko:K09458	rpt:Rpal_2231
ko:K02372	rpt:Rpal_2232
ko:K07507	rpt:Rpal_2236
ko:K02014	rpt:Rpal_2237
ko:K06915	rpt:Rpal_2238
ko:K00791	rpt:Rpal_2241
ko:K01652	rpt:Rpal_2242
ko:K01653	rpt:Rpal_2243
ko:K00053	rpt:Rpal_2246
ko:K05845	rpt:Rpal_2251
ko:K05846	rpt:Rpal_2251
ko:K02049	rpt:Rpal_2253
ko:K02050	rpt:Rpal_2254
ko:K02051	rpt:Rpal_2255
ko:K01012	rpt:Rpal_2257
ko:K01649	rpt:Rpal_2259
ko:K01689	rpt:Rpal_3216
ko:K03670	rpt:Rpal_3220
ko:K03669	rpt:Rpal_3221
ko:K01627	rpt:Rpal_3223
ko:K03075	rpt:Rpal_3232
ko:K01803	rpt:Rpal_3233
ko:K03770	rpt:Rpal_3234
ko:K00766	rpt:Rpal_3235
ko:K01609	rpt:Rpal_3236
ko:K03637	rpt:Rpal_3237
