ko:K03457	abn:AB57_1559
ko:K12297	abn:AB57_1325
ko:K18137	abn:AB57_2325
ko:K03602	abn:AB57_1360
ko:K02302	abn:AB57_3146
ko:K14159	abn:AB57_1135
ko:K08167	abn:AB57_2378
ko:K03821	abn:AB57_2581
ko:K00626	abn:AB57_3356
ko:K01895	abn:AB57_0146
ko:K01895	abn:AB57_2480
ko:K00567	abn:AB57_0760
ko:K00626	abn:AB57_1582
ko:K00626	abn:AB57_3346
ko:K00626	abn:AB57_1960
ko:K06958	abn:AB57_0691
ko:K02619	abn:AB57_2971
ko:K03316	abn:AB57_3115
ko:K00832	abn:AB57_0120
ko:K07090	abn:AB57_3909
ko:K07090	abn:AB57_1938
ko:K03767	abn:AB57_0055
ko:K00027	abn:AB57_0179
ko:K01895	abn:AB57_3756
ko:K00812	abn:AB57_2951
ko:K01625	abn:AB57_0588
ko:K00265	abn:AB57_3640
ko:K00262	abn:AB57_1107
ko:K11731	abn:AB57_3458
ko:K07642	abn:AB57_3388
ko:K12340	abn:AB57_0344
ko:K02237	abn:AB57_0686
ko:K11747	abn:AB57_2149
ko:K00448	abn:AB57_2218
ko:K00449	abn:AB57_2219
ko:K01857	abn:AB57_2223
ko:K01032	abn:AB57_2225
ko:K01031	abn:AB57_2226
ko:K00991	abn:AB57_2227
ko:K05589	abn:AB57_2228
ko:K01689	abn:AB57_2230
ko:K01627	abn:AB57_2231
ko:K07019	abn:AB57_2236
ko:K01626	abn:AB57_2242
ko:K09771	abn:AB57_2243
ko:K03694	abn:AB57_2244
ko:K06891	abn:AB57_2245
ko:K00145	abn:AB57_2247
ko:K07043	abn:AB57_2249
ko:K01807	abn:AB57_2251
ko:K01754	abn:AB57_2252
ko:K03499	abn:AB57_2253
ko:K07078	abn:AB57_2266
ko:K03110	abn:AB57_2267
ko:K07390	abn:AB57_2275
ko:K01265	abn:AB57_2278
ko:K03311	abn:AB57_2279
ko:K02768	abn:AB57_2285
ko:K08483	abn:AB57_2285
ko:K11183	abn:AB57_2285
ko:K02769	abn:AB57_2287
ko:K02770	abn:AB57_2287
ko:K01556	abn:AB57_2299
ko:K03841	abn:AB57_3005
ko:K03437	abn:AB57_3006
ko:K03088	abn:AB57_3007
ko:K10763	abn:AB57_3012
ko:K01933	abn:AB57_3014
ko:K11175	abn:AB57_3015
ko:K03426	abn:AB57_1133
ko:K04773	abn:AB57_3017
ko:K02517	abn:AB57_3019
ko:K04760	abn:AB57_3068
ko:K03799	abn:AB57_3073
ko:K01126	abn:AB57_3076
ko:K00901	abn:AB57_3078
ko:K04078	abn:AB57_3080
ko:K01596	abn:AB57_3085
ko:K00111	abn:AB57_3086
ko:K01956	abn:AB57_3101
ko:K01955	abn:AB57_3102
ko:K03624	abn:AB57_3103
ko:K07443	abn:AB57_3106
ko:K07054	abn:AB57_3116
ko:K09781	abn:AB57_3117
ko:K01867	abn:AB57_3118
ko:K01902	abn:AB57_3122
ko:K01903	abn:AB57_3123
ko:K00382	abn:AB57_3124
ko:K00658	abn:AB57_3125
ko:K00164	abn:AB57_3126
ko:K00240	abn:AB57_3128
ko:K00239	abn:AB57_3129
ko:K00242	abn:AB57_3130
ko:K00241	abn:AB57_3131
ko:K06938	abn:AB57_3133
ko:K07146	abn:AB57_3134
ko:K07039	abn:AB57_3135
ko:K09158	abn:AB57_3138
ko:K03801	abn:AB57_3139
ko:K03216	abn:AB57_3145
ko:K01875	abn:AB57_3147
ko:K03634	abn:AB57_3149
ko:K02899	abn:AB57_3150
ko:K02888	abn:AB57_3151
ko:K02523	abn:AB57_3153
ko:K03585	abn:AB57_3156
ko:K01873	abn:AB57_3164
ko:K07088	abn:AB57_3168
ko:K07645	abn:AB57_3172
ko:K07001	abn:AB57_3178
ko:K07340	abn:AB57_3179
ko:K00795	abn:AB57_3182
ko:K03498	abn:AB57_2254
ko:K00425	abn:AB57_2262
ko:K00426	abn:AB57_2263
ko:K09909	abn:AB57_2265
ko:K07313	abn:AB57_3237
ko:K04762	abn:AB57_2306
ko:K03565	abn:AB57_2308
ko:K00677	abn:AB57_2310
ko:K02372	abn:AB57_2311
ko:K02536	abn:AB57_2312
ko:K06142	abn:AB57_2313
ko:K07277	abn:AB57_2314
ko:K00099	abn:AB57_2316
ko:K00981	abn:AB57_2317
ko:K00806	abn:AB57_2318
ko:K02838	abn:AB57_2319
ko:K09903	abn:AB57_2320
ko:K07708	abn:AB57_2323
ko:K07712	abn:AB57_2324
ko:K00390	abn:AB57_3276
ko:K08301	abn:AB57_3279
ko:K06287	abn:AB57_3280
ko:K03570	abn:AB57_3282
ko:K03569	abn:AB57_3283
ko:K02435	abn:AB57_3284
ko:K02433	abn:AB57_3285
ko:K02434	abn:AB57_3286
ko:K01754	abn:AB57_3292
ko:K07001	abn:AB57_3293
ko:K03310	abn:AB57_3294
ko:K07552	abn:AB57_3298
ko:K00380	abn:AB57_3301
ko:K05523	abn:AB57_3265
ko:K06153	abn:AB57_3268
ko:K02616	abn:AB57_3269
ko:K06076	abn:AB57_3274
ko:K09790	abn:AB57_3304
ko:K09977	abn:AB57_3305
ko:K01439	abn:AB57_3307
ko:K02660	abn:AB57_3312
ko:K02658	abn:AB57_3314
ko:K01881	abn:AB57_3319
ko:K06193	abn:AB57_3321
ko:K06980	abn:AB57_3324
ko:K03981	abn:AB57_3325
ko:K07088	abn:AB57_3327
ko:K02014	abn:AB57_3329
ko:K03652	abn:AB57_3330
ko:K03704	abn:AB57_1539
ko:K01640	abn:AB57_1547
ko:K00135	abn:AB57_1561
ko:K01118	abn:AB57_1564
ko:K00481	abn:AB57_1566
ko:K02012	abn:AB57_1568
ko:K02011	abn:AB57_1570
ko:K03430	abn:AB57_1572
ko:K07093	abn:AB57_0567
ko:K03118	abn:AB57_0568
ko:K03117	abn:AB57_0569
ko:K03116	abn:AB57_0570
ko:K00641	abn:AB57_0575
ko:K01649	abn:AB57_0576
ko:K07336	abn:AB57_0577
ko:K03545	abn:AB57_0579
ko:K03544	abn:AB57_0581
ko:K01676	abn:AB57_0584
ko:K00925	abn:AB57_0586
ko:K01690	abn:AB57_0587
ko:K03299	abn:AB57_0589
ko:K00851	abn:AB57_0590
ko:K00147	abn:AB57_0592
ko:K03797	abn:AB57_0596
ko:K00940	abn:AB57_0600
ko:K06941	abn:AB57_0601
ko:K02656	abn:AB57_0602
ko:K01892	abn:AB57_0605
ko:K03977	abn:AB57_0608
ko:K03071	abn:AB57_0610
ko:K03676	abn:AB57_0611
ko:K06949	abn:AB57_0613
ko:K00208	abn:AB57_0616
ko:K02340	abn:AB57_0620
ko:K03643	abn:AB57_0621
ko:K01869	abn:AB57_0622
ko:K01652	abn:AB57_0624
ko:K01653	abn:AB57_0625
ko:K07506	abn:AB57_1942
ko:K01270	abn:AB57_2628
ko:K00948	abn:AB57_2115
ko:K03543	abn:AB57_2127
ko:K09936	abn:AB57_2128
ko:K09936	abn:AB57_2129
ko:K03710	abn:AB57_2133
ko:K00864	abn:AB57_3087
ko:K03761	abn:AB57_3088
ko:K00796	abn:AB57_3095
ko:K03798	abn:AB57_3096
ko:K02427	abn:AB57_3097
ko:K07574	abn:AB57_3098
ko:K07044	abn:AB57_2157
ko:K03885	abn:AB57_2164
ko:K03464	abn:AB57_2180
ko:K01031	abn:AB57_2182
ko:K01032	abn:AB57_2183
ko:K07112	abn:AB57_2211
ko:K07112	abn:AB57_2212
ko:K07267	abn:AB57_2215
ko:K03785	abn:AB57_2217
ko:K11928	abn:AB57_1772
ko:K05358	abn:AB57_2214
ko:K03768	abn:AB57_2441
ko:K00108	abn:AB57_1002
ko:K11311	abn:AB57_1976
ko:K05600	abn:AB57_1977
ko:K05599	abn:AB57_1978
ko:K01950	abn:AB57_0905
ko:K01894	abn:AB57_0336
ko:K01890	abn:AB57_0705
ko:K00970	abn:AB57_0687
ko:K00029	abn:AB57_2773
ko:K01874	abn:AB57_0829
ko:K09986	abn:AB57_0456
ko:K01776	abn:AB57_0457
ko:K01772	abn:AB57_0460
ko:K09862	abn:AB57_0461
ko:K07007	abn:AB57_0464
ko:K06199	abn:AB57_0466
ko:K02909	abn:AB57_0468
ko:K03327	abn:AB57_0472
ko:K09936	abn:AB57_0473
ko:K08300	abn:AB57_0478
ko:K06179	abn:AB57_0481
ko:K01091	abn:AB57_0482
ko:K08484	abn:AB57_0489
ko:K08311	abn:AB57_0490
ko:K01703	abn:AB57_0494
ko:K01704	abn:AB57_0495
ko:K02455	abn:AB57_0447
ko:K01698	abn:AB57_0954
ko:K03543	abn:AB57_0956
ko:K00681	abn:AB57_0958
ko:K06899	abn:AB57_0970
ko:K03424	abn:AB57_0977
ko:K01714	abn:AB57_0983
ko:K03088	abn:AB57_0985
ko:K09790	abn:AB57_0992
ko:K03758	abn:AB57_0998
ko:K00116	abn:AB57_1001
ko:K02167	abn:AB57_1004
ko:K02168	abn:AB57_1005
ko:K02168	abn:AB57_1006
ko:K03711	abn:AB57_0943
ko:K09916	abn:AB57_2636
ko:K00858	abn:AB57_2637
ko:K05526	abn:AB57_3583
ko:K01484	abn:AB57_3584
ko:K06447	abn:AB57_3585
ko:K00673	abn:AB57_3586
ko:K00840	abn:AB57_3587
ko:K00261	abn:AB57_3588
ko:K04565	abn:AB57_3598
ko:K08160	abn:AB57_3600
ko:K03688	abn:AB57_0427
ko:K03690	abn:AB57_0428
ko:K03183	abn:AB57_0429
ko:K03583	abn:AB57_0434
ko:K03582	abn:AB57_0435
ko:K01883	abn:AB57_1408
ko:K06041	abn:AB57_1409
ko:K03270	abn:AB57_1410
ko:K09774	abn:AB57_1412
ko:K06861	abn:AB57_1413
ko:K03555	abn:AB57_1424
ko:K05306	abn:AB57_1573
ko:K06446	abn:AB57_1575
ko:K06446	abn:AB57_1586
ko:K01031	abn:AB57_1588
ko:K01032	abn:AB57_1589
ko:K04090	abn:AB57_1595
ko:K07084	abn:AB57_0375
ko:K03578	abn:AB57_1342
ko:K05782	abn:AB57_1346
ko:K05783	abn:AB57_1347
ko:K05784	abn:AB57_1348
ko:K05550	abn:AB57_1349
ko:K05549	abn:AB57_1350
ko:K03601	abn:AB57_1361
ko:K03704	abn:AB57_1367
ko:K00286	abn:AB57_1369
ko:K09960	abn:AB57_1393
ko:K09965	abn:AB57_1082
ko:K03300	abn:AB57_1084
ko:K01637	abn:AB57_1087
