ko:K04516	smv:SULALF_163
ko:K04518	smv:SULALF_164
ko:K05595	smv:SULALF_028
ko:K00674	smv:SULALF_075
ko:K01978	smv:SULALF_209
ko:K03801	smv:SULALF_001
ko:K01873	smv:SULALF_002
ko:K01735	smv:SULALF_003
ko:K02945	smv:SULALF_004
ko:K03628	smv:SULALF_005
ko:K02835	smv:SULALF_006
ko:K03786	smv:SULALF_007
ko:K02078	smv:SULALF_008
ko:K02114	smv:SULALF_009
ko:K02112	smv:SULALF_010
ko:K02528	smv:SULALF_011
ko:K01886	smv:SULALF_014
ko:K03495	smv:SULALF_015
ko:K07056	smv:SULALF_017
ko:K00948	smv:SULALF_019
ko:K02897	smv:SULALF_020
ko:K02115	smv:SULALF_021
ko:K02111	smv:SULALF_022
ko:K02109	smv:SULALF_024
ko:K02110	smv:SULALF_025
ko:K02108	smv:SULALF_026
ko:K00928	smv:SULALF_027
ko:K00052	smv:SULALF_029
ko:K01704	smv:SULALF_030
ko:K01703	smv:SULALF_031
ko:K01649	smv:SULALF_032
ko:K01866	smv:SULALF_033
ko:K01869	smv:SULALF_034
ko:K00175	smv:SULALF_036
ko:K01875	smv:SULALF_037
ko:K02902	smv:SULALF_038
ko:K02913	smv:SULALF_039
ko:K06180	smv:SULALF_042
ko:K06173	smv:SULALF_043
ko:K03046	smv:SULALF_044
ko:K03043	smv:SULALF_045
ko:K02863	smv:SULALF_047
ko:K02867	smv:SULALF_048
ko:K02358	smv:SULALF_050
ko:K02426	smv:SULALF_055
ko:K01358	smv:SULALF_061
ko:K03544	smv:SULALF_062
ko:K03555	smv:SULALF_063
ko:K02967	smv:SULALF_066
ko:K02996	smv:SULALF_067
ko:K02871	smv:SULALF_068
ko:K04043	smv:SULALF_069
ko:K02520	smv:SULALF_070
ko:K02916	smv:SULALF_071
ko:K02887	smv:SULALF_072
ko:K01462	smv:SULALF_073
ko:K07447	smv:SULALF_074
ko:K00826	smv:SULALF_076
ko:K00566	smv:SULALF_078
ko:K03686	smv:SULALF_079
ko:K03687	smv:SULALF_080
ko:K00382	smv:SULALF_081
ko:K02834	smv:SULALF_083
ko:K03650	smv:SULALF_084
ko:K02337	smv:SULALF_086
ko:K01940	smv:SULALF_087
ko:K00145	smv:SULALF_088
ko:K01956	smv:SULALF_090
ko:K01955	smv:SULALF_091
ko:K13043	smv:SULALF_092
ko:K00930	smv:SULALF_093
ko:K01438	smv:SULALF_094
ko:K00891	smv:SULALF_097
ko:K04075	smv:SULALF_098
ko:K01695	smv:SULALF_099
ko:K01609	smv:SULALF_101
ko:K00766	smv:SULALF_102
ko:K01657	smv:SULALF_104
ko:K04487	smv:SULALF_105
ko:K01338	smv:SULALF_106
ko:K01586	smv:SULALF_107
ko:K01736	smv:SULALF_109
ko:K04079	smv:SULALF_110
ko:K03070	smv:SULALF_112
ko:K02884	smv:SULALF_113
ko:K01733	smv:SULALF_115
ko:K00872	smv:SULALF_116
ko:K12524	smv:SULALF_117
ko:K03977	smv:SULALF_120
ko:K03644	smv:SULALF_121
ko:K02914	smv:SULALF_122
ko:K00174	smv:SULALF_124
ko:K01867	smv:SULALF_125
ko:K07277	smv:SULALF_126
ko:K01893	smv:SULALF_127
ko:K02888	smv:SULALF_130
ko:K02899	smv:SULALF_131
ko:K02990	smv:SULALF_134
ko:K02963	smv:SULALF_135
ko:K02939	smv:SULALF_136
ko:K01714	smv:SULALF_139
ko:K02836	smv:SULALF_140
ko:K00215	smv:SULALF_141
ko:K03100	smv:SULALF_142
ko:K02970	smv:SULALF_143
ko:K00014	smv:SULALF_144
ko:K03979	smv:SULALF_145
ko:K00382	smv:SULALF_146
ko:K00164	smv:SULALF_150
ko:K00658	smv:SULALF_151
ko:K03664	smv:SULALF_152
ko:K04077	smv:SULALF_155
ko:K04078	smv:SULALF_156
ko:K06168	smv:SULALF_157
ko:K09014	smv:SULALF_158
ko:K09013	smv:SULALF_159
ko:K09015	smv:SULALF_160
ko:K11717	smv:SULALF_161
ko:K02519	smv:SULALF_162
ko:K00133	smv:SULALF_165
ko:K02968	smv:SULALF_166
ko:K00800	smv:SULALF_168
ko:K02959	smv:SULALF_169
ko:K00812	smv:SULALF_171
ko:K02911	smv:SULALF_172
ko:K00162	smv:SULALF_173
ko:K03086	smv:SULALF_174
ko:K00962	smv:SULALF_175
ko:K02956	smv:SULALF_176
ko:K02909	smv:SULALF_177
ko:K02950	smv:SULALF_178
ko:K02992	smv:SULALF_179
ko:K02355	smv:SULALF_180
ko:K02946	smv:SULALF_181
ko:K02906	smv:SULALF_182
ko:K02926	smv:SULALF_183
ko:K02886	smv:SULALF_185
ko:K02965	smv:SULALF_186
ko:K02890	smv:SULALF_187
ko:K02982	smv:SULALF_188
ko:K02878	smv:SULALF_189
ko:K02961	smv:SULALF_190
ko:K02874	smv:SULALF_191
ko:K02931	smv:SULALF_192
ko:K02954	smv:SULALF_193
ko:K02994	smv:SULALF_194
ko:K02933	smv:SULALF_195
ko:K02881	smv:SULALF_196
ko:K02988	smv:SULALF_197
ko:K02876	smv:SULALF_198
ko:K03076	smv:SULALF_199
ko:K02518	smv:SULALF_200
ko:K02919	smv:SULALF_201
ko:K02952	smv:SULALF_202
ko:K02948	smv:SULALF_203
ko:K02986	smv:SULALF_204
ko:K03040	smv:SULALF_205
ko:K02879	smv:SULALF_206
ko:K01778	smv:SULALF_207
ko:K03438	smv:SULALF_208
ko:K01755	smv:SULALF_212
ko:K00161	smv:SULALF_214
ko:K00627	smv:SULALF_215
ko:K00134	smv:SULALF_217
ko:K03218	smv:SULALF_219
ko:K01754	smv:SULALF_220
ko:K00053	smv:SULALF_221
ko:K01653	smv:SULALF_222
ko:K01652	smv:SULALF_223
ko:K01687	smv:SULALF_224
ko:K15035	smv:SULALF_133
ko:K14224	smv:SULALF_167
ko:K01985	smv:SULALF_060
ko:K01977	smv:SULALF_056
ko:K01658	smv:SULALF_103
ko:K01980	smv:SULALF_059
ko:K14234	smv:SULALF_054
ko:K14228	smv:SULALF_147
ko:K14219	smv:SULALF_118
ko:K14219	smv:SULALF_132
ko:K14223	smv:SULALF_170
ko:K14225	smv:SULALF_052
ko:K14236	smv:SULALF_053
ko:K14227	smv:SULALF_057
ko:K14228	smv:SULALF_065
ko:K14237	smv:SULALF_085
ko:K14221	smv:SULALF_095
ko:K14229	smv:SULALF_096
ko:K14233	smv:SULALF_108
ko:K14232	smv:SULALF_225
ko:K14230	smv:SULALF_012
ko:K14225	smv:SULALF_064
ko:K14218	smv:SULALF_058
ko:K14228	smv:SULALF_123
ko:K14233	smv:SULALF_119
ko:K14233	smv:SULALF_128
ko:K14230	smv:SULALF_149
ko:K14230	smv:SULALF_129
ko:K14231	smv:SULALF_035
ko:K14226	smv:SULALF_041
ko:K14235	smv:SULALF_049
ko:K14234	smv:SULALF_051
ko:K14219	smv:SULALF_213
ko:K14220	smv:SULALF_013
ko:K14222	smv:SULALF_018
ko:K02935	smv:SULALF_046
ko:K18707	smv:SULALF_111
ko:K00821	smv:SULALF_089
