ko:K19168	ahj:V469_19090
ko:K18816	ahj:V469_08105
ko:K20037	ahj:V469_16050
ko:K15634	ahj:V469_11925
ko:K01990	ahj:V469_20680
ko:K01175	ahj:V469_14740
ko:K11209	ahj:V469_13745
ko:K19789	ahj:V469_08675
ko:K14235	ahj:V469_01010
ko:K14235	ahj:V469_01270
ko:K14230	ahj:V469_04930
ko:K14230	ahj:V469_12070
ko:K14230	ahj:V469_18870
ko:K19745	ahj:V469_22340
ko:K00087	ahj:V469_10545
ko:K14234	ahj:V469_22210
ko:K14234	ahj:V469_22840
ko:K02476	ahj:V469_12415
ko:K21430	ahj:V469_17540
ko:K01801	ahj:V469_08495
ko:K14230	ahj:V469_12075
ko:K20862	ahj:V469_20720
ko:K20881	ahj:V469_20190
ko:K07505	ahj:V469_09665
ko:K03668	ahj:V469_00695
ko:K00335	ahj:V469_13445
ko:K19055	ahj:V469_10170
ko:K14225	ahj:V469_01260
ko:K14225	ahj:V469_06375
ko:K19055	ahj:V469_02215
ko:K03976	ahj:V469_02600
ko:K07483	ahj:V469_09170
ko:K08642	ahj:V469_16270
ko:K01872	ahj:V469_19535
ko:K04013	ahj:V469_12465
ko:K04014	ahj:V469_12470
ko:K04015	ahj:V469_12475
ko:K04018	ahj:V469_12490
ko:K08310	ahj:V469_12495
ko:K01153	ahj:V469_15450
ko:K03427	ahj:V469_15455
ko:K13636	ahj:V469_15485
ko:K13629	ahj:V469_15490
ko:K01753	ahj:V469_15495
ko:K00031	ahj:V469_15505
ko:K01809	ahj:V469_15515
ko:K14155	ahj:V469_15540
ko:K16136	ahj:V469_15550
ko:K02768	ahj:V469_15585
ko:K02769	ahj:V469_15585
ko:K02770	ahj:V469_15585
ko:K07784	ahj:V469_15590
ko:K02769	ahj:V469_15595
ko:K02806	ahj:V469_15600
ko:K06181	ahj:V469_15605
ko:K00566	ahj:V469_15615
ko:K07153	ahj:V469_15620
ko:K01756	ahj:V469_15625
ko:K18850	ahj:V469_15630
ko:K03824	ahj:V469_15640
ko:K00799	ahj:V469_15650
ko:K00275	ahj:V469_15655
ko:K03500	ahj:V469_15670
ko:K07390	ahj:V469_15675
ko:K04564	ahj:V469_15680
ko:K04754	ahj:V469_15685
ko:K02200	ahj:V469_15695
ko:K02199	ahj:V469_15700
ko:K02198	ahj:V469_15705
ko:K06901	ahj:V469_18335
