ko:K01006	sags:SaSA20_1383
ko:K00105	sags:SaSA20_0245
ko:K06896	sags:SaSA20_1617
ko:K07045	sags:SaSA20_1512
ko:K10040	sags:SaSA20_0592
ko:K01990	sags:SaSA20_0234
ko:K01215	sags:SaSA20_1580
ko:K03293	sags:SaSA20_1215
ko:K15771	sags:SaSA20_1183
ko:K13677	sags:SaSA20_0586
ko:K07464	sags:SaSA20_0431
ko:K16785	sags:SaSA20_1348
ko:K15772	sags:SaSA20_1184
ko:K15770	sags:SaSA20_1182
ko:K03322	sags:SaSA20_0621
ko:K11752	sags:SaSA20_0622
ko:K00793	sags:SaSA20_0623
ko:K14652	sags:SaSA20_0624
ko:K00794	sags:SaSA20_0625
ko:K04567	sags:SaSA20_0626
ko:K01595	sags:SaSA20_0635
ko:K03588	sags:SaSA20_0636
ko:K02358	sags:SaSA20_0637
ko:K01803	sags:SaSA20_0638
ko:K00687	sags:SaSA20_0640
ko:K06187	sags:SaSA20_0641
ko:K01921	sags:SaSA20_0642
ko:K01929	sags:SaSA20_0643
ko:K08177	sags:SaSA20_0644
ko:K02837	sags:SaSA20_0647
ko:K02071	sags:SaSA20_0648
ko:K02072	sags:SaSA20_0649
ko:K02073	sags:SaSA20_0650
ko:K05592	sags:SaSA20_0651
ko:K07461	sags:SaSA20_0652
ko:K00655	sags:SaSA20_0654
ko:K02237	sags:SaSA20_0655
ko:K02340	sags:SaSA20_0661
ko:K04564	sags:SaSA20_0662
ko:K01223	sags:SaSA20_0665
ko:K02647	sags:SaSA20_0666
ko:K00865	sags:SaSA20_0667
ko:K09747	sags:SaSA20_1455
ko:K00574	sags:SaSA20_1456
ko:K07007	sags:SaSA20_1460
ko:K02954	sags:SaSA20_1462
ko:K01620	sags:SaSA20_1463
ko:K03789	sags:SaSA20_1465
ko:K01915	sags:SaSA20_1470
ko:K00927	sags:SaSA20_1473
ko:K00134	sags:SaSA20_1475
ko:K02355	sags:SaSA20_1476
ko:K02992	sags:SaSA20_1477
ko:K02950	sags:SaSA20_1478
ko:K09760	sags:SaSA20_1481
ko:K01783	sags:SaSA20_1483
