ko:K00335	echs:ECHOSC_0488
ko:K00336	echs:ECHOSC_0551
ko:K00344	echs:ECHOSC_0335
ko:K02022	echs:ECHOSC_0870
ko:K03469	echs:ECHOSC_0227
ko:K09903	echs:ECHOSC_0230
ko:K02838	echs:ECHOSC_0231
ko:K00981	echs:ECHOSC_0232
ko:K03652	echs:ECHOSC_0238
ko:K01923	echs:ECHOSC_0248
ko:K01892	echs:ECHOSC_0249
ko:K02259	echs:ECHOSC_0252
ko:K02193	echs:ECHOSC_0253
ko:K01494	echs:ECHOSC_0254
ko:K03704	echs:ECHOSC_0256
ko:K13598	echs:ECHOSC_0257
ko:K03684	echs:ECHOSC_0258
ko:K01972	echs:ECHOSC_0259
ko:K07390	echs:ECHOSC_0260
ko:K02199	echs:ECHOSC_0262
ko:K04485	echs:ECHOSC_0263
ko:K03558	echs:ECHOSC_0265
ko:K02990	echs:ECHOSC_0266
ko:K02963	echs:ECHOSC_0267
ko:K02939	echs:ECHOSC_0268
ko:K00600	echs:ECHOSC_0269
ko:K03723	echs:ECHOSC_0217
ko:K02881	echs:ECHOSC_0372
ko:K02988	echs:ECHOSC_0373
ko:K02876	echs:ECHOSC_0374
ko:K03076	echs:ECHOSC_0375
ko:K00939	echs:ECHOSC_0376
ko:K02952	echs:ECHOSC_0377
ko:K02948	echs:ECHOSC_0378
ko:K03040	echs:ECHOSC_0379
ko:K02879	echs:ECHOSC_0380
ko:K01890	echs:ECHOSC_0381
ko:K03536	echs:ECHOSC_0384
ko:K03179	echs:ECHOSC_0385
ko:K00215	echs:ECHOSC_0387
ko:K02036	echs:ECHOSC_0388
ko:K00773	echs:ECHOSC_0389
ko:K02911	echs:ECHOSC_0390
ko:K03621	echs:ECHOSC_0391
ko:K00648	echs:ECHOSC_0392
ko:K03153	echs:ECHOSC_0396
ko:K00795	echs:ECHOSC_0399
ko:K07447	echs:ECHOSC_0403
ko:K01939	echs:ECHOSC_0404
ko:K03640	echs:ECHOSC_0405
ko:K01299	echs:ECHOSC_0406
ko:K00615	echs:ECHOSC_0407
ko:K05570	echs:ECHOSC_0409
ko:K05571	echs:ECHOSC_0410
ko:K05566	echs:ECHOSC_0411
ko:K05566	echs:ECHOSC_0412
ko:K05567	echs:ECHOSC_0413
ko:K08300	echs:ECHOSC_0414
ko:K04043	echs:ECHOSC_0415
ko:K05568	echs:ECHOSC_0417
ko:K03106	echs:ECHOSC_0418
ko:K06985	echs:ECHOSC_0421
