ko:K01006	lmg:LMKG_00471
ko:K01699	lmg:LMKG_01781
ko:K02313	lmg:LMKG_03138
ko:K02338	lmg:LMKG_02332
ko:K03481	lmg:LMKG_02288
ko:K01939	lmg:LMKG_02273
ko:K03629	lmg:LMKG_02329
ko:K02470	lmg:LMKG_02328
ko:K02469	lmg:LMKG_02327
ko:K06131	lmg:LMKG_02326
ko:K00657	lmg:LMKG_02325
ko:K00869	lmg:LMKG_02323
ko:K01597	lmg:LMKG_02322
ko:K00938	lmg:LMKG_02321
ko:K02826	lmg:LMKG_02320
ko:K02827	lmg:LMKG_03139
ko:K02829	lmg:LMKG_03140
ko:K07282	lmg:LMKG_02315
ko:K01223	lmg:LMKG_02314
ko:K02793	lmg:LMKG_02310
ko:K02794	lmg:LMKG_02309
ko:K02795	lmg:LMKG_02308
ko:K06201	lmg:LMKG_02305
ko:K02755	lmg:LMKG_02304
ko:K02756	lmg:LMKG_02304
ko:K02757	lmg:LMKG_02304
ko:K02529	lmg:LMKG_03142
ko:K02761	lmg:LMKG_02295
ko:K13252	lmg:LMKG_02293
ko:K10536	lmg:LMKG_02291
ko:K00926	lmg:LMKG_02290
ko:K10536	lmg:LMKG_02289
ko:K03975	lmg:LMKG_02287
ko:K01478	lmg:LMKG_02286
ko:K02990	lmg:LMKG_02285
ko:K02963	lmg:LMKG_02283
ko:K07813	lmg:LMKG_02281
ko:K07706	lmg:LMKG_02279
ko:K07707	lmg:LMKG_02278
ko:K02939	lmg:LMKG_02276
ko:K05985	lmg:LMKG_02788
ko:K02528	lmg:LMKG_02787
ko:K00919	lmg:LMKG_02785
ko:K03478	lmg:LMKG_02784
ko:K02112	lmg:LMKG_02234
ko:K02115	lmg:LMKG_02235
ko:K01874	lmg:LMKG_02798
ko:K01187	lmg:LMKG_02792
ko:K01182	lmg:LMKG_02791
ko:K03424	lmg:LMKG_02790
ko:K03466	lmg:LMKG_02266
ko:K10778	lmg:LMKG_02250
ko:K02110	lmg:LMKG_02238
ko:K02113	lmg:LMKG_02237
