ko:K18816	clq:UPTC4110_0878
ko:K18139	clq:UPTC4110_1536
ko:K14235	clq:UPTC4110_0439
ko:K14219	clq:UPTC4110_1440
ko:K11014	clq:UPTC4110_1352
ko:K17248	clq:UPTC4110_1237
ko:K14226	clq:UPTC4110_1441
ko:K11013	clq:UPTC4110_1353
ko:K14219	clq:UPTC4110_1439
ko:K02482	clq:UPTC4110_0604
ko:K01174	clq:UPTC4110_0571
ko:K04753	clq:UPTC4110_0349
ko:K06148	clq:UPTC4110_1235
ko:K09981	clq:UPTC4110_0124
ko:K03648	clq:UPTC4110_0125
ko:K02484	clq:UPTC4110_0126
ko:K03575	clq:UPTC4110_0130
ko:K07337	clq:UPTC4110_0133
ko:K09859	clq:UPTC4110_0134
ko:K03499	clq:UPTC4110_0138
ko:K03498	clq:UPTC4110_0139
ko:K07791	clq:UPTC4110_0140
ko:K01744	clq:UPTC4110_0141
ko:K03406	clq:UPTC4110_0142
ko:K03637	clq:UPTC4110_0145
ko:K06886	clq:UPTC4110_0149
ko:K01689	clq:UPTC4110_0152
ko:K11785	clq:UPTC4110_0154
ko:K02420	clq:UPTC4110_0155
ko:K00075	clq:UPTC4110_0156
ko:K01082	clq:UPTC4110_0158
ko:K01012	clq:UPTC4110_0160
ko:K03168	clq:UPTC4110_0161
ko:K02406	clq:UPTC4110_0162
ko:K02406	clq:UPTC4110_0163
ko:K15898	clq:UPTC4110_0170
ko:K02417	clq:UPTC4110_0172
ko:K08738	clq:UPTC4110_0477
ko:K03273	clq:UPTC4110_0478
ko:K03274	clq:UPTC4110_0479
ko:K03272	clq:UPTC4110_0480
ko:K03271	clq:UPTC4110_0481
ko:K00873	clq:UPTC4110_0482
ko:K00116	clq:UPTC4110_0483
ko:K03525	clq:UPTC4110_0484
ko:K02435	clq:UPTC4110_0488
ko:K03558	clq:UPTC4110_0489
ko:K03711	clq:UPTC4110_0490
ko:K04567	clq:UPTC4110_0491
ko:K00600	clq:UPTC4110_0492
ko:K03749	clq:UPTC4110_0494
ko:K00014	clq:UPTC4110_0495
ko:K03686	clq:UPTC4110_0496
ko:K02484	clq:UPTC4110_0498
ko:K06187	clq:UPTC4110_0499
ko:K03703	clq:UPTC4110_0501
ko:K01951	clq:UPTC4110_0505
ko:K01945	clq:UPTC4110_0508
ko:K04744	clq:UPTC4110_0510
ko:K00962	clq:UPTC4110_0512
ko:K03634	clq:UPTC4110_0530
ko:K03070	clq:UPTC4110_0531
ko:K00133	clq:UPTC4110_0533
ko:K01599	clq:UPTC4110_0535
ko:K01875	clq:UPTC4110_0539
ko:K01867	clq:UPTC4110_0540
ko:K00891	clq:UPTC4110_0541
ko:K03977	clq:UPTC4110_0542
ko:K16345	clq:UPTC4110_0544
ko:K01627	clq:UPTC4110_0545
ko:K00794	clq:UPTC4110_0546
ko:K03625	clq:UPTC4110_0547
ko:K01591	clq:UPTC4110_0548
ko:K03406	clq:UPTC4110_0550
ko:K00602	clq:UPTC4110_0551
ko:K05801	clq:UPTC4110_0552
ko:K01952	clq:UPTC4110_0553
ko:K03650	clq:UPTC4110_0554
ko:K06346	clq:UPTC4110_0555
ko:K03217	clq:UPTC4110_0556
ko:K03536	clq:UPTC4110_0558
ko:K02914	clq:UPTC4110_0559
ko:K07107	clq:UPTC4110_0563
ko:K03673	clq:UPTC4110_0565
ko:K03673	clq:UPTC4110_0566
ko:K03611	clq:UPTC4110_0567
ko:K07792	clq:UPTC4110_0569
ko:K01270	clq:UPTC4110_0570
ko:K15257	clq:UPTC4110_0574
ko:K02406	clq:UPTC4110_0575
ko:K02493	clq:UPTC4110_0577
ko:K06013	clq:UPTC4110_0578
ko:K01524	clq:UPTC4110_0174
ko:K01633	clq:UPTC4110_0177
ko:K08591	clq:UPTC4110_0178
