ko:K07713	sea:SeAg_B4418
ko:K15581	sea:SeAg_B1400
ko:K05365	sea:SeAg_B0225
ko:K02412	sea:SeAg_B1147
ko:K05515	sea:SeAg_B0682
ko:K02411	sea:SeAg_B1148
ko:K05515	sea:SeAg_B1212
ko:K08358	sea:SeAg_B1786
ko:K08357	sea:SeAg_B1788
ko:K06133	sea:SeAg_B3785
ko:K11733	sea:SeAg_B2346
ko:K07229	sea:SeAg_B3400
ko:K11746	sea:SeAg_B0094
ko:K07781	sea:SeAg_B1137
ko:K00850	sea:SeAg_B4308
ko:K02409	sea:SeAg_B1150
ko:K03765	sea:SeAg_B2713
ko:K00244	sea:SeAg_B4621
ko:K07052	sea:SeAg_B2517
ko:K02511	sea:SeAg_B1066
ko:K02417	sea:SeAg_B1142
ko:K08478	sea:SeAg_B2539
ko:K00833	sea:SeAg_B0829
ko:K02506	sea:SeAg_B3638
ko:K08475	sea:SeAg_B2537
ko:K00652	sea:SeAg_B0831
ko:K01610	sea:SeAg_B3701
ko:K13895	sea:SeAg_B2367
ko:K02778	sea:SeAg_B1982
ko:K02779	sea:SeAg_B1982
ko:K01961	sea:SeAg_B3571
ko:K04022	sea:SeAg_B2606
ko:K03587	sea:SeAg_B1295
ko:K11183	sea:SeAg_B2354
ko:K02768	sea:SeAg_B2354
ko:K02761	sea:SeAg_B1858
ko:K01223	sea:SeAg_B3208
ko:K08476	sea:SeAg_B2536
ko:K01222	sea:SeAg_B1855
ko:K06221	sea:SeAg_B3340
ko:K08298	sea:SeAg_B0079
ko:K05366	sea:SeAg_B3692
ko:K03587	sea:SeAg_B0139
ko:K05367	sea:SeAg_B2683
ko:K10823	sea:SeAg_B1403
ko:K18138	sea:SeAg_B0516
ko:K13041	sea:SeAg_B1784
ko:K03077	sea:SeAg_B4666
ko:K00631	sea:SeAg_B4492
ko:K03101	sea:SeAg_B0052
ko:K06866	sea:SeAg_B2756
ko:K02769	sea:SeAg_B2352
ko:K02770	sea:SeAg_B2352
ko:K02781	sea:SeAg_B2954
ko:K03557	sea:SeAg_B3576
ko:K01963	sea:SeAg_B2508
ko:K03609	sea:SeAg_B1318
ko:K03110	sea:SeAg_B3773
ko:K11250	sea:SeAg_B1911
ko:K04564	sea:SeAg_B1743
ko:K11249	sea:SeAg_B2755
ko:K05851	sea:SeAg_B4167
ko:K02793	sea:SeAg_B1302
ko:K02794	sea:SeAg_B1302
ko:K05516	sea:SeAg_B1071
ko:K07154	sea:SeAg_B4814
ko:K03666	sea:SeAg_B4639
ko:K00230	sea:SeAg_B4217
ko:K02498	sea:SeAg_B4163
ko:K05804	sea:SeAg_B4910
ko:K07636	sea:SeAg_B0436
ko:K05966	sea:SeAg_B0659
ko:K07306	sea:SeAg_B0969
ko:K05964	sea:SeAg_B0069
ko:K05966	sea:SeAg_B0070
ko:K07306	sea:SeAg_B4568
ko:K03610	sea:SeAg_B1319
ko:K03225	sea:SeAg_B3013
ko:K03225	sea:SeAg_B1755
ko:K02484	sea:SeAg_B1054
ko:K02483	sea:SeAg_B1055
ko:K03226	sea:SeAg_B1754
ko:K02621	sea:SeAg_B3355
ko:K02160	sea:SeAg_B3570
ko:K03608	sea:SeAg_B1317
ko:K01515	sea:SeAg_B3366
ko:K02681	sea:SeAg_B3143
ko:K01585	sea:SeAg_B3249
ko:K01582	sea:SeAg_B2718
ko:K02420	sea:SeAg_B1139
ko:K01270	sea:SeAg_B0350
ko:K04103	sea:SeAg_B2548
ko:K04564	sea:SeAg_B4301
ko:K02821	sea:SeAg_B4663
ko:K00281	sea:SeAg_B3210
ko:K00219	sea:SeAg_B3406
ko:K04565	sea:SeAg_B1734
ko:K18923	sea:SeAg_B1618
ko:K08723	sea:SeAg_B4880
ko:K02809	sea:SeAg_B2732
ko:K02783	sea:SeAg_B2952
ko:K00658	sea:SeAg_B0770
ko:K02381	sea:SeAg_B0575
ko:K03839	sea:SeAg_B0741
ko:K08323	sea:SeAg_B1667
ko:K09771	sea:SeAg_B1668
ko:K05846	sea:SeAg_B1678
ko:K05846	sea:SeAg_B1680
ko:K03281	sea:SeAg_B1682
ko:K01935	sea:SeAg_B1683
ko:K00325	sea:SeAg_B1694
ko:K00324	sea:SeAg_B1695
ko:K03758	sea:SeAg_B1697
ko:K07661	sea:SeAg_B1699
ko:K10748	sea:SeAg_B1704
ko:K01679	sea:SeAg_B1705
ko:K01676	sea:SeAg_B1706
ko:K03617	sea:SeAg_B1715
ko:K03616	sea:SeAg_B1716
ko:K03615	sea:SeAg_B1717
ko:K03614	sea:SeAg_B1718
ko:K03612	sea:SeAg_B1719
ko:K03613	sea:SeAg_B1720
ko:K10773	sea:SeAg_B1721
ko:K03305	sea:SeAg_B1722
ko:K01439	sea:SeAg_B2627
ko:K07054	sea:SeAg_B2631
ko:K01923	sea:SeAg_B2632
ko:K07287	sea:SeAg_B2633
ko:K01714	sea:SeAg_B2634
ko:K03567	sea:SeAg_B2635
ko:K03564	sea:SeAg_B2636
ko:K00865	sea:SeAg_B2637
ko:K02647	sea:SeAg_B2639
ko:K03548	sea:SeAg_B2640
ko:K10763	sea:SeAg_B2643
ko:K00761	sea:SeAg_B2645
ko:K01933	sea:SeAg_B2647
ko:K11175	sea:SeAg_B2648
ko:K00937	sea:SeAg_B2649
ko:K01951	sea:SeAg_B2659
ko:K00088	sea:SeAg_B2660
ko:K03601	sea:SeAg_B2661
ko:K01892	sea:SeAg_B2673
ko:K06941	sea:SeAg_B2677
ko:K00940	sea:SeAg_B2678
ko:K07308	sea:SeAg_B2680
ko:K07306	sea:SeAg_B2682
ko:K06894	sea:SeAg_B2684
ko:K03282	sea:SeAg_B3606
ko:K02879	sea:SeAg_B3609
ko:K03040	sea:SeAg_B3610
ko:K02986	sea:SeAg_B3611
ko:K02948	sea:SeAg_B3612
ko:K02952	sea:SeAg_B3613
ko:K03076	sea:SeAg_B3616
ko:K03098	sea:SeAg_B4617
ko:K00246	sea:SeAg_B4619
ko:K04568	sea:SeAg_B4622
ko:K01613	sea:SeAg_B4626
ko:K06949	sea:SeAg_B4627
ko:K09996	sea:SeAg_B4629
ko:K06925	sea:SeAg_B4635
ko:K01448	sea:SeAg_B4636
ko:K03572	sea:SeAg_B4637
ko:K00791	sea:SeAg_B4638
ko:K03665	sea:SeAg_B4640
ko:K02876	sea:SeAg_B3617
ko:K02907	sea:SeAg_B3618
ko:K02988	sea:SeAg_B3619
ko:K02881	sea:SeAg_B3620
ko:K04652	sea:SeAg_B2977
ko:K03224	sea:SeAg_B1758
ko:K05787	sea:SeAg_B4414
ko:K00058	sea:SeAg_B3223
ko:K11392	sea:SeAg_B1281
ko:K04774	sea:SeAg_B1430
ko:K08992	sea:SeAg_B1440
ko:K02824	sea:SeAg_B2644
ko:K07688	sea:SeAg_B0595
ko:K07686	sea:SeAg_B4016
ko:K09477	sea:SeAg_B0658
ko:K03148	sea:SeAg_B4405
ko:K04042	sea:SeAg_B4087
ko:K01091	sea:SeAg_B3681
ko:K02431	sea:SeAg_B3123
ko:K05527	sea:SeAg_B0486
ko:K07675	sea:SeAg_B4015
ko:K01962	sea:SeAg_B0273
ko:K02802	sea:SeAg_B0732
ko:K02803	sea:SeAg_B0732
ko:K02804	sea:SeAg_B0732
ko:K02775	sea:SeAg_B4008
ko:K02622	sea:SeAg_B3362
ko:K11391	sea:SeAg_B3407
ko:K11216	sea:SeAg_B4318
ko:K09001	sea:SeAg_B1728
ko:K03645	sea:SeAg_B0744
ko:K02114	sea:SeAg_B4089
ko:K02112	sea:SeAg_B4090
ko:K02115	sea:SeAg_B4091
ko:K02111	sea:SeAg_B4092
ko:K02113	sea:SeAg_B4093
ko:K02109	sea:SeAg_B4094
ko:K02110	sea:SeAg_B4095
ko:K02108	sea:SeAg_B4096
ko:K03501	sea:SeAg_B4100
ko:K03495	sea:SeAg_B4101
ko:K06205	sea:SeAg_B4102
ko:K01914	sea:SeAg_B4104
ko:K03924	sea:SeAg_B4106
ko:K03549	sea:SeAg_B4107
ko:K06726	sea:SeAg_B4108
ko:K10441	sea:SeAg_B4109
ko:K10440	sea:SeAg_B4110
ko:K10439	sea:SeAg_B4111
ko:K00852	sea:SeAg_B4112
ko:K09897	sea:SeAg_B4124
ko:K07391	sea:SeAg_B4125
ko:K00826	sea:SeAg_B4128
ko:K01687	sea:SeAg_B4129
ko:K01754	sea:SeAg_B4130
ko:K02521	sea:SeAg_B4133
ko:K00053	sea:SeAg_B4134
ko:K00757	sea:SeAg_B4137
ko:K03656	sea:SeAg_B4139
ko:K03797	sea:SeAg_B1286
ko:K03799	sea:SeAg_B1287
ko:K03704	sea:SeAg_B1294
ko:K00990	sea:SeAg_B0253
ko:K01265	sea:SeAg_B0254
ko:K02967	sea:SeAg_B0256
ko:K02357	sea:SeAg_B0257
ko:K09903	sea:SeAg_B0258
ko:K02838	sea:SeAg_B0259
ko:K00099	sea:SeAg_B0260
ko:K00806	sea:SeAg_B0261
ko:K00981	sea:SeAg_B0262
ko:K07277	sea:SeAg_B0265
ko:K06142	sea:SeAg_B0266
ko:K02536	sea:SeAg_B0267
ko:K02372	sea:SeAg_B0268
ko:K00677	sea:SeAg_B0269
ko:K03470	sea:SeAg_B0271
ko:K02337	sea:SeAg_B0272
ko:K04075	sea:SeAg_B0277
ko:K00865	sea:SeAg_B0571
ko:K00926	sea:SeAg_B0578
ko:K01589	sea:SeAg_B0579
ko:K01588	sea:SeAg_B0580
ko:K03269	sea:SeAg_B0581
ko:K01883	sea:SeAg_B0583
ko:K07345	sea:SeAg_B0589
ko:K07347	sea:SeAg_B0592
ko:K07644	sea:SeAg_B0606
ko:K10679	sea:SeAg_B0617
ko:K06048	sea:SeAg_B0622
ko:K02773	sea:SeAg_B1545
ko:K06971	sea:SeAg_B1546
ko:K02775	sea:SeAg_B1547
ko:K02774	sea:SeAg_B1548
ko:K03304	sea:SeAg_B1552
ko:K05782	sea:SeAg_B1555
ko:K08303	sea:SeAg_B1557
ko:K08641	sea:SeAg_B1561
ko:K09936	sea:SeAg_B1569
ko:K03823	sea:SeAg_B1570
ko:K07119	sea:SeAg_B1571
ko:K02014	sea:SeAg_B1573
ko:K02575	sea:SeAg_B1585
ko:K08350	sea:SeAg_B1597
ko:K03975	sea:SeAg_B2509
ko:K06173	sea:SeAg_B2510
ko:K03473	sea:SeAg_B2512
ko:K09906	sea:SeAg_B2521
ko:K07261	sea:SeAg_B2523
ko:K01736	sea:SeAg_B2524
ko:K08296	sea:SeAg_B2527
ko:K06076	sea:SeAg_B2531
ko:K04754	sea:SeAg_B2532
ko:K00845	sea:SeAg_B2546
ko:K03322	sea:SeAg_B2551
ko:K01885	sea:SeAg_B2558
ko:K03815	sea:SeAg_B2566
ko:K02427	sea:SeAg_B3486
ko:K07574	sea:SeAg_B3487
ko:K03624	sea:SeAg_B3488
ko:K07259	sea:SeAg_B3490
ko:K03979	sea:SeAg_B3491
ko:K02899	sea:SeAg_B3493
ko:K02888	sea:SeAg_B3494
ko:K02523	sea:SeAg_B3495
ko:K00790	sea:SeAg_B3497
ko:K07323	sea:SeAg_B3500
ko:K02067	sea:SeAg_B3501
ko:K02066	sea:SeAg_B3502
ko:K02065	sea:SeAg_B3503
ko:K07301	sea:SeAg_B3504
ko:K06041	sea:SeAg_B3505
ko:K03270	sea:SeAg_B3506
ko:K09774	sea:SeAg_B3508
ko:K06861	sea:SeAg_B3509
ko:K03092	sea:SeAg_B3510
ko:K05808	sea:SeAg_B3511
ko:K03814	sea:SeAg_B3516
ko:K07648	sea:SeAg_B3519
ko:K07139	sea:SeAg_B3520
ko:K10974	sea:SeAg_B3524
ko:K01788	sea:SeAg_B3528
ko:K03290	sea:SeAg_B3529
ko:K01639	sea:SeAg_B3530
ko:K03600	sea:SeAg_B3532
ko:K03599	sea:SeAg_B3533
ko:K02996	sea:SeAg_B3535
ko:K02871	sea:SeAg_B3536
ko:K06916	sea:SeAg_B3537
ko:K09908	sea:SeAg_B3538
ko:K01572	sea:SeAg_B3542
ko:K06903	sea:SeAg_B4455
ko:K06908	sea:SeAg_B4468
ko:K06907	sea:SeAg_B4469
ko:K00928	sea:SeAg_B4477
ko:K01810	sea:SeAg_B4478
ko:K10110	sea:SeAg_B4484
ko:K10109	sea:SeAg_B4485
ko:K10108	sea:SeAg_B4486
ko:K10111	sea:SeAg_B4487
ko:K04088	sea:SeAg_B4641
ko:K01468	sea:SeAg_B0823
ko:K05836	sea:SeAg_B0825
ko:K01712	sea:SeAg_B0826
ko:K01745	sea:SeAg_B0827
ko:K06910	sea:SeAg_B0828
ko:K01012	sea:SeAg_B0830
ko:K02169	sea:SeAg_B0832
ko:K03756	sea:SeAg_B0747
ko:K07667	sea:SeAg_B0750
ko:K07646	sea:SeAg_B0751
ko:K01548	sea:SeAg_B0752
ko:K01547	sea:SeAg_B0753
ko:K01546	sea:SeAg_B0754
ko:K01669	sea:SeAg_B0756
ko:K03305	sea:SeAg_B0757
ko:K07160	sea:SeAg_B0761
ko:K05522	sea:SeAg_B0762
ko:K07120	sea:SeAg_B0763
ko:K01647	sea:SeAg_B0764
ko:K00241	sea:SeAg_B0765
ko:K00242	sea:SeAg_B0766
ko:K00239	sea:SeAg_B0767
ko:K00240	sea:SeAg_B0768
ko:K00164	sea:SeAg_B0769
ko:K01903	sea:SeAg_B0771
ko:K03273	sea:SeAg_B0289
ko:K01902	sea:SeAg_B0772
ko:K00425	sea:SeAg_B0776
ko:K00426	sea:SeAg_B0777
ko:K07107	sea:SeAg_B0780
ko:K03562	sea:SeAg_B0781
ko:K03560	sea:SeAg_B0782
ko:K03646	sea:SeAg_B0783
ko:K03641	sea:SeAg_B0784
ko:K03640	sea:SeAg_B0785
ko:K03517	sea:SeAg_B0792
ko:K03811	sea:SeAg_B0793
ko:K01626	sea:SeAg_B0796
ko:K01678	sea:SeAg_B0797
ko:K01677	sea:SeAg_B0798
ko:K01573	sea:SeAg_B0802
ko:K01572	sea:SeAg_B0804
ko:K02015	sea:SeAg_B0806
ko:K02013	sea:SeAg_B0807
ko:K01866	sea:SeAg_B1725
ko:K00275	sea:SeAg_B1726
ko:K06077	sea:SeAg_B1729
ko:K06938	sea:SeAg_B1736
ko:K10680	sea:SeAg_B1738
ko:K03683	sea:SeAg_B1740
ko:K07390	sea:SeAg_B1741
ko:K03604	sea:SeAg_B1744
ko:K00574	sea:SeAg_B1747
ko:K00793	sea:SeAg_B1748
ko:K03327	sea:SeAg_B1749
ko:K03221	sea:SeAg_B1767
ko:K03220	sea:SeAg_B1777
ko:K03219	sea:SeAg_B1778
ko:K07751	sea:SeAg_B2691
ko:K04044	sea:SeAg_B2694
ko:K04082	sea:SeAg_B2695
ko:K04488	sea:SeAg_B2697
ko:K05820	sea:SeAg_B2709
ko:K00600	sea:SeAg_B2710
ko:K05916	sea:SeAg_B2712
ko:K01935	sea:SeAg_B0833
ko:K03702	sea:SeAg_B0834
ko:K03639	sea:SeAg_B0837
ko:K03638	sea:SeAg_B0838
ko:K03637	sea:SeAg_B0839
ko:K03635	sea:SeAg_B0841
ko:K03305	sea:SeAg_B2719
ko:K07715	sea:SeAg_B2721
ko:K00563	sea:SeAg_B1296
ko:K01709	sea:SeAg_B2216
ko:K00978	sea:SeAg_B2217
ko:K01790	sea:SeAg_B2219
ko:K00973	sea:SeAg_B2220
ko:K00067	sea:SeAg_B2221
ko:K00963	sea:SeAg_B2223
ko:K03688	sea:SeAg_B4203
ko:K03116	sea:SeAg_B4204
ko:K03117	sea:SeAg_B4205
ko:K03118	sea:SeAg_B4206
ko:K03424	sea:SeAg_B4207
ko:K05785	sea:SeAg_B4208
ko:K03182	sea:SeAg_B4209
ko:K03498	sea:SeAg_B4216
ko:K03753	sea:SeAg_B4224
ko:K03752	sea:SeAg_B4225
ko:K09896	sea:SeAg_B4226
ko:K03673	sea:SeAg_B4228
ko:K02335	sea:SeAg_B4231
ko:K03978	sea:SeAg_B4233
ko:K09894	sea:SeAg_B4235
ko:K07712	sea:SeAg_B4237
ko:K07708	sea:SeAg_B4238
ko:K03606	sea:SeAg_B2228
ko:K03207	sea:SeAg_B2232
ko:K02377	sea:SeAg_B2233
ko:K01711	sea:SeAg_B2234
ko:K03818	sea:SeAg_B2235
