ko:K01006	lmoa:LMOATCC19117_1885
ko:K07045	lmoa:LMOATCC19117_0888
ko:K01699	lmoa:LMOATCC19117_1153
ko:K15780	lmoa:LMOATCC19117_0226
ko:K00657	lmoa:LMOATCC19117_0009
ko:K00869	lmoa:LMOATCC19117_0011
ko:K00938	lmoa:LMOATCC19117_0012
ko:K06201	lmoa:LMOATCC19117_0029
ko:K02755	lmoa:LMOATCC19117_0030
ko:K02756	lmoa:LMOATCC19117_0030
ko:K02757	lmoa:LMOATCC19117_0030
ko:K01478	lmoa:LMOATCC19117_0051
ko:K02793	lmoa:LMOATCC19117_0024
ko:K02795	lmoa:LMOATCC19117_0026
ko:K07706	lmoa:LMOATCC19117_0058
ko:K02793	lmoa:LMOATCC19117_0110
ko:K02794	lmoa:LMOATCC19117_0110
ko:K02035	lmoa:LMOATCC19117_0164
ko:K09815	lmoa:LMOATCC19117_0166
ko:K01182	lmoa:LMOATCC19117_0193
ko:K03478	lmoa:LMOATCC19117_0200
ko:K09685	lmoa:LMOATCC19117_0201
ko:K02005	lmoa:LMOATCC19117_0202
ko:K02795	lmoa:LMOATCC19117_0111
ko:K06147	lmoa:LMOATCC19117_0122
ko:K06147	lmoa:LMOATCC19117_0124
ko:K01081	lmoa:LMOATCC19117_0146
ko:K00088	lmoa:LMOATCC19117_0148
ko:K02035	lmoa:LMOATCC19117_0151
ko:K02033	lmoa:LMOATCC19117_0152
ko:K03708	lmoa:LMOATCC19117_0237
ko:K09698	lmoa:LMOATCC19117_0245
ko:K02004	lmoa:LMOATCC19117_0204
ko:K01771	lmoa:LMOATCC19117_0209
ko:K11031	lmoa:LMOATCC19117_0210
ko:K00016	lmoa:LMOATCC19117_0217
ko:K00564	lmoa:LMOATCC19117_0259
ko:K01182	lmoa:LMOATCC19117_0265
ko:K01439	lmoa:LMOATCC19117_0281
ko:K22010	lmoa:LMOATCC19117_1173
ko:K11069	lmoa:LMOATCC19117_0827
ko:K03492	lmoa:LMOATCC19117_0924
ko:K00383	lmoa:LMOATCC19117_0928
ko:K00135	lmoa:LMOATCC19117_0935
ko:K00244	lmoa:LMOATCC19117_0381
ko:K02775	lmoa:LMOATCC19117_0537
ko:K07030	lmoa:LMOATCC19117_0620
ko:K10947	lmoa:LMOATCC19117_0629
ko:K06147	lmoa:LMOATCC19117_0637
ko:K06147	lmoa:LMOATCC19117_0638
ko:K00575	lmoa:LMOATCC19117_0719
ko:K01674	lmoa:LMOATCC19117_0828
ko:K02371	lmoa:LMOATCC19117_0831
