ko:K19296	ppx:T1E_3157
ko:K10616	ppx:T1E_4243
ko:K22350	ppx:T1E_1039
ko:K10440	ppx:T1E_4826
ko:K13609	ppx:T1E_2270
ko:K03297	ppx:T1E_1181
ko:K02028	ppx:T1E_2477
ko:K03863	ppx:T1E_1716
ko:K02054	ppx:T1E_2860
ko:K17322	ppx:T1E_5389
ko:K08305	ppx:T1E_3675
ko:K22617	ppx:T1E_4941
ko:K16238	ppx:T1E_4521
ko:K09691	ppx:T1E_3029
ko:K03321	ppx:T1E_0901
ko:K03457	ppx:T1E_3291
ko:K11741	ppx:T1E_1528
ko:K18334	ppx:T1E_4292
ko:K14223	ppx:T1E_5848
ko:K14055	ppx:T1E_5582
ko:K06048	ppx:T1E_4888
ko:K00128	ppx:T1E_1733
ko:K00254	ppx:T1E_3244
ko:K00020	ppx:T1E_0842
ko:K03111	ppx:T1E_3483
ko:K18138	ppx:T1E_0242
ko:K18968	ppx:T1E_1891
ko:K12262	ppx:T1E_1126
ko:K12262	ppx:T1E_1656
ko:K00131	ppx:T1E_0115
ko:K07675	ppx:T1E_2675
ko:K02617	ppx:T1E_5588
ko:K10702	ppx:T1E_4265
ko:K10619	ppx:T1E_4248
ko:K16303	ppx:T1E_4249
ko:K14225	ppx:T1E_5761
ko:K02525	ppx:T1E_5152
ko:K06200	ppx:T1E_0814
ko:K04485	ppx:T1E_0817
ko:K03282	ppx:T1E_0818
ko:K00528	ppx:T1E_0820
ko:K00426	ppx:T1E_0824
ko:K00425	ppx:T1E_0825
ko:K06901	ppx:T1E_0827
ko:K00448	ppx:T1E_0829
ko:K00449	ppx:T1E_0830
ko:K03923	ppx:T1E_0835
ko:K07090	ppx:T1E_0837
ko:K06995	ppx:T1E_0841
ko:K00140	ppx:T1E_0843
ko:K03581	ppx:T1E_0848
ko:K03582	ppx:T1E_0849
ko:K03583	ppx:T1E_0850
ko:K01915	ppx:T1E_0852
ko:K03578	ppx:T1E_0853
ko:K09919	ppx:T1E_0856
ko:K01118	ppx:T1E_0862
ko:K02672	ppx:T1E_0863
ko:K00865	ppx:T1E_1046
ko:K02647	ppx:T1E_1047
ko:K10680	ppx:T1E_1051
ko:K07038	ppx:T1E_1054
ko:K05782	ppx:T1E_1056
ko:K03381	ppx:T1E_1057
ko:K05548	ppx:T1E_1058
ko:K05783	ppx:T1E_1059
ko:K05784	ppx:T1E_1061
ko:K05550	ppx:T1E_1062
ko:K05549	ppx:T1E_1063
ko:K08324	ppx:T1E_1072
ko:K01915	ppx:T1E_1075
ko:K01752	ppx:T1E_1079
ko:K00640	ppx:T1E_1087
ko:K03704	ppx:T1E_1961
ko:K00605	ppx:T1E_1962
ko:K01752	ppx:T1E_1963
ko:K00281	ppx:T1E_1964
ko:K02437	ppx:T1E_1965
ko:K15977	ppx:T1E_1966
ko:K09930	ppx:T1E_1968
ko:K03088	ppx:T1E_1971
ko:K03312	ppx:T1E_1973
ko:K00926	ppx:T1E_1976
ko:K00611	ppx:T1E_1977
ko:K03758	ppx:T1E_1979
ko:K03758	ppx:T1E_1980
ko:K09790	ppx:T1E_1981
ko:K16087	ppx:T1E_1983
ko:K00134	ppx:T1E_1986
ko:K01690	ppx:T1E_1987
ko:K07267	ppx:T1E_1996
ko:K00036	ppx:T1E_1999
ko:K01057	ppx:T1E_2000
ko:K01625	ppx:T1E_2001
ko:K01649	ppx:T1E_2002
ko:K03601	ppx:T1E_2004
ko:K07090	ppx:T1E_2006
ko:K01951	ppx:T1E_2009
ko:K00137	ppx:T1E_2858
ko:K02053	ppx:T1E_2859
ko:K13487	ppx:T1E_2864
ko:K13488	ppx:T1E_2865
ko:K13486	ppx:T1E_2866
ko:K13489	ppx:T1E_2867
ko:K13491	ppx:T1E_2869
ko:K11444	ppx:T1E_2870
ko:K02836	ppx:T1E_2873
ko:K04567	ppx:T1E_2874
ko:K07243	ppx:T1E_3783
ko:K01338	ppx:T1E_3805
ko:K07160	ppx:T1E_3807
ko:K00116	ppx:T1E_3812
ko:K00012	ppx:T1E_3813
ko:K13747	ppx:T1E_3816
ko:K00428	ppx:T1E_3828
ko:K03734	ppx:T1E_3833
ko:K06956	ppx:T1E_4693
ko:K15726	ppx:T1E_4694
ko:K03630	ppx:T1E_4701
ko:K13038	ppx:T1E_4702
ko:K15778	ppx:T1E_4704
ko:K00930	ppx:T1E_4705
ko:K00762	ppx:T1E_4706
ko:K01142	ppx:T1E_4707
ko:K09940	ppx:T1E_4708
ko:K00989	ppx:T1E_4709
ko:K02340	ppx:T1E_4710
