ko:K02495	ese:ECSF_3720
ko:K18919	ese:ECSF_0016
ko:K18138	ese:ECSF_0422
ko:K05396	ese:ECSF_1771
ko:K18922	ese:ECSF_0512
ko:K21905	ese:ECSF_3344
ko:K08348	ese:ECSF_1388
ko:K03297	ese:ECSF_1055
ko:K03297	ese:ECSF_1788
ko:K00371	ese:ECSF_1383
ko:K14234	ese:ECSF_tRNA39
ko:K03077	ese:ECSF_0066
ko:K01990	ese:ECSF_0720
ko:K19162	ese:ECSF_0421
ko:K21901	ese:ECSF_3325
ko:K21907	ese:ECSF_3339
ko:K21908	ese:ECSF_3338
ko:K02554	ese:ECSF_0321
ko:K21029	ese:ECSF_0750
ko:K08348	ese:ECSF_1387
ko:K21906	ese:ECSF_3343
ko:K02345	ese:ECSF_1700
ko:K00254	ese:ECSF_0859
ko:K18138	ese:ECSF_1275
ko:K03585	ese:ECSF_1274
ko:K18140	ese:ECSF_3096
ko:K03111	ese:ECSF_P1-0149
ko:K18139	ese:ECSF_1276
ko:K18968	ese:ECSF_0346
ko:K14230	ese:ECSF_tRNA28
ko:K02503	ese:ECSF_1003
ko:K14744	ese:ECSF_1066
ko:K09022	ese:ECSF_2953
ko:K00526	ese:ECSF_2116
ko:K00287	ese:ECSF_0053
ko:K01175	ese:ECSF_0624
ko:K03111	ese:ECSF_3929
ko:K00884	ese:ECSF_1019
ko:K05522	ese:ECSF_0642
ko:K07120	ese:ECSF_0643
ko:K00046	ese:ECSF_0647
ko:K00241	ese:ECSF_0654
ko:K15524	ese:ECSF_0664
ko:K03560	ese:ECSF_0671
ko:K01834	ese:ECSF_0681
ko:K01785	ese:ECSF_0682
ko:K01784	ese:ECSF_0685
ko:K08997	ese:ECSF_1567
ko:K07283	ese:ECSF_1584
ko:K16370	ese:ECSF_1585
ko:K03478	ese:ECSF_1594
ko:K01222	ese:ECSF_1595
ko:K01916	ese:ECSF_1601
ko:K00135	ese:ECSF_2458
ko:K07250	ese:ECSF_2459
ko:K03647	ese:ECSF_2471
ko:K03743	ese:ECSF_2493
ko:K08305	ese:ECSF_2495
ko:K02783	ese:ECSF_2496
ko:K02782	ese:ECSF_2497
ko:K02783	ese:ECSF_2497
ko:K00068	ese:ECSF_2499
ko:K00090	ese:ECSF_3388
ko:K00854	ese:ECSF_3399
ko:K07346	ese:ECSF_4257
ko:K13637	ese:ECSF_4265
ko:K01002	ese:ECSF_4293
ko:K00616	ese:ECSF_0008
ko:K07034	ese:ECSF_0010
ko:K08299	ese:ECSF_0041
ko:K03855	ese:ECSF_0049
ko:K01525	ese:ECSF_0056
ko:K06177	ese:ECSF_0063
ko:K04477	ese:ECSF_0933
ko:K08161	ese:ECSF_0952
ko:K03810	ese:ECSF_0967
ko:K07048	ese:ECSF_1863
ko:K02014	ese:ECSF_1881
ko:K02799	ese:ECSF_2729
ko:K02800	ese:ECSF_2729
ko:K02798	ese:ECSF_2730
ko:K01480	ese:ECSF_2735
ko:K01585	ese:ECSF_2737
ko:K02428	ese:ECSF_2753
ko:K01424	ese:ECSF_2759
ko:K03289	ese:ECSF_2766
ko:K02852	ese:ECSF_3635
ko:K01719	ese:ECSF_3642
ko:K01048	ese:ECSF_3665
ko:K03830	ese:ECSF_0237
ko:K01270	ese:ECSF_0240
ko:K00769	ese:ECSF_0241
ko:K06889	ese:ECSF_0268
ko:K06221	ese:ECSF_0272
ko:K07232	ese:ECSF_1195
ko:K06039	ese:ECSF_1196
