ko:K11707	cpsw:B603_0487
ko:K01921	cpsw:B603_0921
ko:K01924	cpsw:B603_0921
ko:K08719	cpsw:B603_0984
ko:K01985	cpsw:B603_1092
ko:K06960	cpsw:B603_0029
ko:K03217	cpsw:B603_0522
ko:K02313	cpsw:B603_0523
ko:K00688	cpsw:B603_0526
ko:K00627	cpsw:B603_0527
ko:K00162	cpsw:B603_0528
ko:K00161	cpsw:B603_0529
ko:K02536	cpsw:B603_0531
ko:K06142	cpsw:B603_0532
ko:K07277	cpsw:B603_0533
ko:K06187	cpsw:B603_0534
ko:K00648	cpsw:B603_0535
ko:K00645	cpsw:B603_0536
ko:K02078	cpsw:B603_0538
ko:K03308	cpsw:B603_0543
ko:K06213	cpsw:B603_0548
ko:K02071	cpsw:B603_0553
ko:K02072	cpsw:B603_0554
ko:K02073	cpsw:B603_0555
ko:K02470	cpsw:B603_0558
ko:K02469	cpsw:B603_0559
ko:K00943	cpsw:B603_0560
ko:K02343	cpsw:B603_0561
ko:K06999	cpsw:B603_0562
ko:K07566	cpsw:B603_0564
ko:K06966	cpsw:B603_0568
ko:K03179	cpsw:B603_0569
ko:K03186	cpsw:B603_0570
ko:K03787	cpsw:B603_0574
ko:K06180	cpsw:B603_0030
ko:K02469	cpsw:B603_0033
ko:K02470	cpsw:B603_0034
ko:K02492	cpsw:B603_0035
ko:K03224	cpsw:B603_0043
ko:K02417	cpsw:B603_0046
ko:K03219	cpsw:B603_0048
ko:K02838	cpsw:B603_0055
ko:K09903	cpsw:B603_0056
ko:K02357	cpsw:B603_0057
ko:K02967	cpsw:B603_0058
ko:K03162	cpsw:B603_0060
ko:K07039	cpsw:B603_0576
ko:K14441	cpsw:B603_0582
ko:K02913	cpsw:B603_0583
ko:K09808	cpsw:B603_0584
ko:K02871	cpsw:B603_0587
ko:K02996	cpsw:B603_0588
ko:K01057	cpsw:B603_0594
ko:K00036	cpsw:B603_0595
ko:K15580	cpsw:B603_0596
ko:K03402	cpsw:B603_0598
ko:K02029	cpsw:B603_0599
ko:K07058	cpsw:B603_0603
ko:K01783	cpsw:B603_0606
ko:K02356	cpsw:B603_0607
ko:K02160	cpsw:B603_0608
ko:K01961	cpsw:B603_0609
ko:K01951	cpsw:B603_0622
