ko:K09796	nmx:NMA510612_1966
ko:K02483	nmx:NMA510612_0897
ko:K21345	nmx:NMA510612_0378
ko:K18929	nmx:NMA510612_1835
ko:K04771	nmx:NMA510612_0798
ko:K07316	nmx:NMA510612_1764
ko:K18928	nmx:NMA510612_1833
ko:K08151	nmx:NMA510612_0052
ko:K18138	nmx:NMA510612_2219
ko:K07278	nmx:NMA510612_0324
ko:K02169	nmx:NMA510612_2521
ko:K07488	nmx:NMA510612_2204
ko:K07488	nmx:NMA510612_0870
ko:K07488	nmx:NMA510612_1646
ko:K21344	nmx:NMA510612_1153
ko:K02650	nmx:NMA510612_0056
ko:K12688	nmx:NMA510612_0524
ko:K05799	nmx:NMA510612_2215
ko:K02863	nmx:NMA510612_0156
ko:K02867	nmx:NMA510612_0157
ko:K02358	nmx:NMA510612_0160
ko:K03168	nmx:NMA510612_0168
ko:K03747	nmx:NMA510612_0169
ko:K04096	nmx:NMA510612_0170
ko:K03500	nmx:NMA510612_0174
ko:K00604	nmx:NMA510612_0175
ko:K01462	nmx:NMA510612_0176
ko:K00610	nmx:NMA510612_0179
ko:K00609	nmx:NMA510612_0180
ko:K00873	nmx:NMA510612_0188
ko:K06076	nmx:NMA510612_0189
ko:K03312	nmx:NMA510612_0195
ko:K07126	nmx:NMA510612_0196
ko:K07265	nmx:NMA510612_0197
ko:K07266	nmx:NMA510612_0198
ko:K01790	nmx:NMA510612_0199
ko:K00973	nmx:NMA510612_0200
ko:K01784	nmx:NMA510612_0202
ko:K06959	nmx:NMA510612_0206
ko:K09689	nmx:NMA510612_0207
ko:K09688	nmx:NMA510612_0208
ko:K01696	nmx:NMA510612_1012
ko:K01347	nmx:NMA510612_1013
ko:K01347	nmx:NMA510612_1014
ko:K02238	nmx:NMA510612_1015
ko:K05807	nmx:NMA510612_1017
ko:K06180	nmx:NMA510612_1016
ko:K03453	nmx:NMA510612_1019
ko:K05810	nmx:NMA510612_1022
ko:K03643	nmx:NMA510612_1023
ko:K02340	nmx:NMA510612_1024
ko:K03089	nmx:NMA510612_1029
ko:K03820	nmx:NMA510612_1030
