ko:K12978	fpz:LA55_301
ko:K14219	fpz:LA55_1785
ko:K14235	fpz:LA55_1846
ko:K14227	fpz:LA55_1478
ko:K14227	fpz:LA55_462
ko:K03602	fpz:LA55_1308
ko:K19416	fpz:LA55_783
ko:K19561	fpz:LA55_986
ko:K01990	fpz:LA55_653
ko:K14227	fpz:LA55_2023
ko:K21379	fpz:LA55_1369
ko:K21469	fpz:LA55_1170
ko:K07160	fpz:LA55_58
ko:K03760	fpz:LA55_60
ko:K00901	fpz:LA55_61
ko:K07220	fpz:LA55_62
ko:K03306	fpz:LA55_63
ko:K12262	fpz:LA55_64
ko:K03834	fpz:LA55_68
ko:K03501	fpz:LA55_70
ko:K06997	fpz:LA55_71
ko:K06186	fpz:LA55_75
ko:K01826	fpz:LA55_77
ko:K02968	fpz:LA55_78
ko:K03596	fpz:LA55_79
ko:K00566	fpz:LA55_80
ko:K01462	fpz:LA55_82
ko:K00794	fpz:LA55_83
ko:K14652	fpz:LA55_84
ko:K00793	fpz:LA55_85
ko:K11752	fpz:LA55_86
ko:K03316	fpz:LA55_87
ko:K03316	fpz:LA55_88
ko:K04773	fpz:LA55_91
ko:K01011	fpz:LA55_93
ko:K03071	fpz:LA55_94
ko:K03565	fpz:LA55_96
ko:K03111	fpz:LA55_97
ko:K00925	fpz:LA55_98
ko:K13788	fpz:LA55_99
ko:K00135	fpz:LA55_100
ko:K01876	fpz:LA55_104
ko:K01147	fpz:LA55_106
ko:K06999	fpz:LA55_107
ko:K01749	fpz:LA55_108
ko:K06199	fpz:LA55_109
ko:K02050	fpz:LA55_114
ko:K03297	fpz:LA55_963
ko:K03325	fpz:LA55_964
ko:K00604	fpz:LA55_967
ko:K01920	fpz:LA55_968
ko:K01845	fpz:LA55_969
ko:K13771	fpz:LA55_971
ko:K05916	fpz:LA55_972
ko:K01207	fpz:LA55_973
ko:K00019	fpz:LA55_974
ko:K01574	fpz:LA55_976
ko:K00845	fpz:LA55_978
ko:K03524	fpz:LA55_980
ko:K01935	fpz:LA55_979
ko:K02169	fpz:LA55_981
ko:K00652	fpz:LA55_982
ko:K01012	fpz:LA55_983
ko:K00833	fpz:LA55_984
ko:K13941	fpz:LA55_987
ko:K01633	fpz:LA55_988
ko:K03342	fpz:LA55_990
ko:K01658	fpz:LA55_991
ko:K11904	fpz:LA55_994
ko:K01495	fpz:LA55_1001
ko:K11927	fpz:LA55_1002
ko:K03305	fpz:LA55_1003
ko:K00383	fpz:LA55_1005
ko:K01142	fpz:LA55_1009
ko:K06987	fpz:LA55_1010
ko:K03923	fpz:LA55_1011
ko:K03806	fpz:LA55_1820
ko:K08311	fpz:LA55_1821
ko:K04763	fpz:LA55_1829
ko:K02884	fpz:LA55_1830
ko:K00554	fpz:LA55_1831
ko:K02860	fpz:LA55_1832
ko:K02959	fpz:LA55_1833
ko:K00789	fpz:LA55_1834
ko:K01409	fpz:LA55_1836
ko:K03046	fpz:LA55_1838
ko:K03043	fpz:LA55_1839
ko:K02935	fpz:LA55_1840
ko:K02864	fpz:LA55_1841
ko:K02863	fpz:LA55_1842
ko:K02867	fpz:LA55_1843
ko:K02601	fpz:LA55_1844
ko:K03073	fpz:LA55_1845
ko:K02358	fpz:LA55_1847
ko:K03442	fpz:LA55_1853
ko:K02440	fpz:LA55_1855
ko:K00111	fpz:LA55_1856
ko:K00864	fpz:LA55_1857
ko:K10823	fpz:LA55_1861
ko:K15583	fpz:LA55_1862
ko:K15582	fpz:LA55_1863
ko:K15581	fpz:LA55_1864
ko:K15580	fpz:LA55_1865
ko:K03657	fpz:LA55_1866
ko:K03110	fpz:LA55_1867
ko:K02837	fpz:LA55_1869
ko:K00943	fpz:LA55_1870
ko:K03325	fpz:LA55_290
ko:K03321	fpz:LA55_291
ko:K03607	fpz:LA55_293
ko:K03498	fpz:LA55_295
ko:K03634	fpz:LA55_299
ko:K03466	fpz:LA55_300
ko:K11733	fpz:LA55_302
ko:K07018	fpz:LA55_303
ko:K02446	fpz:LA55_304
ko:K11928	fpz:LA55_305
ko:K02672	fpz:LA55_313
ko:K01883	fpz:LA55_315
ko:K07320	fpz:LA55_316
ko:K07552	fpz:LA55_317
ko:K01775	fpz:LA55_320
ko:K00568	fpz:LA55_326
ko:K04754	fpz:LA55_327
ko:K07122	fpz:LA55_329
ko:K07323	fpz:LA55_330
ko:K02067	fpz:LA55_331
ko:K02066	fpz:LA55_332
ko:K02065	fpz:LA55_333
ko:K03608	fpz:LA55_334
ko:K03609	fpz:LA55_335
ko:K03610	fpz:LA55_336
ko:K02913	fpz:LA55_337
ko:K02902	fpz:LA55_338
ko:K03655	fpz:LA55_340
ko:K02346	fpz:LA55_1176
ko:K02687	fpz:LA55_1179
ko:K09928	fpz:LA55_1180
ko:K01772	fpz:LA55_1182
ko:K01669	fpz:LA55_1184
ko:K01689	fpz:LA55_1185
ko:K01785	fpz:LA55_1186
ko:K13038	fpz:LA55_1187
ko:K13821	fpz:LA55_1190
ko:K09159	fpz:LA55_1191
ko:K01735	fpz:LA55_1194
ko:K00891	fpz:LA55_1195
ko:K02666	fpz:LA55_1196
ko:K02665	fpz:LA55_1197
ko:K02664	fpz:LA55_1198
ko:K02663	fpz:LA55_1199
ko:K00939	fpz:LA55_1201
ko:K18930	fpz:LA55_1202
ko:K00812	fpz:LA55_1205
ko:K14742	fpz:LA55_1207
ko:K01443	fpz:LA55_1208
ko:K14540	fpz:LA55_1209
ko:K06168	fpz:LA55_1213
ko:K00674	fpz:LA55_2027
ko:K01714	fpz:LA55_2028
ko:K00215	fpz:LA55_2029
ko:K00928	fpz:LA55_2030
ko:K01259	fpz:LA55_2031
ko:K03424	fpz:LA55_2032
ko:K03811	fpz:LA55_2033
ko:K03281	fpz:LA55_2037
ko:K01299	fpz:LA55_2038
ko:K01696	fpz:LA55_2039
ko:K01695	fpz:LA55_2041
ko:K03811	fpz:LA55_2040
ko:K03695	fpz:LA55_2042
ko:K01183	fpz:LA55_2043
ko:K08289	fpz:LA55_2044
ko:K05524	fpz:LA55_2046
ko:K00655	fpz:LA55_2047
ko:K00655	fpz:LA55_2048
ko:K03313	fpz:LA55_2050
ko:K12262	fpz:LA55_2052
ko:K03773	fpz:LA55_2053
ko:K04651	fpz:LA55_2055
ko:K04652	fpz:LA55_2056
ko:K03564	fpz:LA55_2058
ko:K04656	fpz:LA55_2059
ko:K04653	fpz:LA55_2060
ko:K04654	fpz:LA55_2061
ko:K04655	fpz:LA55_2062
ko:K07241	fpz:LA55_2067
ko:K17218	fpz:LA55_2076
ko:K15724	fpz:LA55_621
ko:K01627	fpz:LA55_622
ko:K00876	fpz:LA55_623
ko:K03060	fpz:LA55_624
ko:K03215	fpz:LA55_627
ko:K00845	fpz:LA55_628
ko:K00845	fpz:LA55_629
ko:K03811	fpz:LA55_630
ko:K01689	fpz:LA55_632
ko:K05589	fpz:LA55_633
ko:K00991	fpz:LA55_634
ko:K00060	fpz:LA55_636
ko:K00639	fpz:LA55_637
ko:K00761	fpz:LA55_639
ko:K01433	fpz:LA55_640
ko:K03327	fpz:LA55_644
ko:K01129	fpz:LA55_646
ko:K03782	fpz:LA55_648
ko:K02445	fpz:LA55_650
ko:K01126	fpz:LA55_651
ko:K01993	fpz:LA55_652
ko:K03321	fpz:LA55_655
ko:K11103	fpz:LA55_658
ko:K16012	fpz:LA55_663
ko:K16013	fpz:LA55_664
ko:K00847	fpz:LA55_669
ko:K01875	fpz:LA55_672
ko:K15633	fpz:LA55_673
ko:K01489	fpz:LA55_677
ko:K00873	fpz:LA55_1499
ko:K00927	fpz:LA55_1500
ko:K00134	fpz:LA55_1501
ko:K00615	fpz:LA55_1502
ko:K07040	fpz:LA55_1503
ko:K02911	fpz:LA55_1504
ko:K03621	fpz:LA55_1505
ko:K00648	fpz:LA55_1506
ko:K00645	fpz:LA55_1507
ko:K00059	fpz:LA55_1508
ko:K02078	fpz:LA55_1509
ko:K09458	fpz:LA55_1510
ko:K06141	fpz:LA55_1513
ko:K01092	fpz:LA55_1515
ko:K03500	fpz:LA55_1517
ko:K03827	fpz:LA55_1519
ko:K01972	fpz:LA55_1520
ko:K00606	fpz:LA55_1522
ko:K01918	fpz:LA55_1523
ko:K01579	fpz:LA55_1524
ko:K03525	fpz:LA55_1525
ko:K03581	fpz:LA55_1526
ko:K03582	fpz:LA55_1527
ko:K01652	fpz:LA55_1528
ko:K07127	fpz:LA55_1529
ko:K01154	fpz:LA55_1534
ko:K03427	fpz:LA55_1535
ko:K07461	fpz:LA55_1536
ko:K01442	fpz:LA55_1544
ko:K03583	fpz:LA55_1546
ko:K01676	fpz:LA55_342
ko:K01759	fpz:LA55_344
ko:K03574	fpz:LA55_345
ko:K00537	fpz:LA55_347
ko:K06901	fpz:LA55_349
ko:K09758	fpz:LA55_350
ko:K04096	fpz:LA55_352
ko:K03774	fpz:LA55_354
ko:K03527	fpz:LA55_355
ko:K06208	fpz:LA55_356
ko:K17103	fpz:LA55_357
ko:K03562	fpz:LA55_359
ko:K03560	fpz:LA55_360
ko:K03646	fpz:LA55_361
ko:K03641	fpz:LA55_362
ko:K03640	fpz:LA55_364
ko:K14441	fpz:LA55_365
ko:K01669	fpz:LA55_368
ko:K06876	fpz:LA55_369
ko:K03453	fpz:LA55_372
ko:K03179	fpz:LA55_379
ko:K03181	fpz:LA55_380
ko:K00989	fpz:LA55_381
ko:K03799	fpz:LA55_384
