ko:K01006	pad:TIIST44_03015
ko:K16264	pad:TIIST44_08475
ko:K01990	pad:TIIST44_00785
ko:K01990	pad:TIIST44_06800
ko:K15582	pad:TIIST44_11726
ko:K01265	pad:TIIST44_01970
ko:K03076	pad:TIIST44_01980
ko:K01126	pad:TIIST44_01995
ko:K02034	pad:TIIST44_02020
ko:K02876	pad:TIIST44_02030
ko:K02907	pad:TIIST44_02035
ko:K02988	pad:TIIST44_02040
ko:K02881	pad:TIIST44_02045
ko:K11753	pad:TIIST44_00355
ko:K02002	pad:TIIST44_00360
ko:K02001	pad:TIIST44_00365
ko:K02000	pad:TIIST44_00370
ko:K02781	pad:TIIST44_00420
ko:K02834	pad:TIIST44_00435
ko:K02933	pad:TIIST44_02050
ko:K02994	pad:TIIST44_02055
ko:K02954	pad:TIIST44_02060
ko:K02931	pad:TIIST44_02065
ko:K02895	pad:TIIST44_02070
ko:K02874	pad:TIIST44_02075
ko:K02961	pad:TIIST44_02080
ko:K02904	pad:TIIST44_02085
ko:K02878	pad:TIIST44_02090
ko:K02982	pad:TIIST44_02095
ko:K02890	pad:TIIST44_02100
ko:K02965	pad:TIIST44_02105
ko:K02886	pad:TIIST44_02110
ko:K02892	pad:TIIST44_02115
ko:K02926	pad:TIIST44_02120
ko:K02906	pad:TIIST44_02125
ko:K02946	pad:TIIST44_02130
ko:K01886	pad:TIIST44_02150
ko:K02358	pad:TIIST44_02165
ko:K02355	pad:TIIST44_02180
ko:K02992	pad:TIIST44_02185
ko:K02950	pad:TIIST44_02190
ko:K03046	pad:TIIST44_02210
ko:K03043	pad:TIIST44_02215
ko:K02935	pad:TIIST44_02220
ko:K02864	pad:TIIST44_02225
ko:K02863	pad:TIIST44_02230
ko:K02867	pad:TIIST44_02235
ko:K02601	pad:TIIST44_02240
ko:K02519	pad:TIIST44_00455
ko:K02600	pad:TIIST44_00465
ko:K07742	pad:TIIST44_00460
ko:K09748	pad:TIIST44_00470
ko:K07090	pad:TIIST44_00480
ko:K01881	pad:TIIST44_00490
ko:K00099	pad:TIIST44_00555
ko:K00262	pad:TIIST44_00570
ko:K06941	pad:TIIST44_00575
ko:K00981	pad:TIIST44_00590
ko:K02838	pad:TIIST44_00595
ko:K09903	pad:TIIST44_00600
ko:K02357	pad:TIIST44_00605
ko:K02967	pad:TIIST44_00610
ko:K03733	pad:TIIST44_00615
ko:K01462	pad:TIIST44_00625
ko:K09773	pad:TIIST44_03020
ko:K01079	pad:TIIST44_03030
ko:K01792	pad:TIIST44_03035
ko:K00627	pad:TIIST44_03150
ko:K00162	pad:TIIST44_03155
ko:K00161	pad:TIIST44_03160
ko:K00231	pad:TIIST44_03165
ko:K13051	pad:TIIST44_03280
ko:K04567	pad:TIIST44_00905
ko:K01808	pad:TIIST44_00925
ko:K01972	pad:TIIST44_00935
ko:K01256	pad:TIIST44_00945
ko:K07107	pad:TIIST44_00965
ko:K13288	pad:TIIST44_01025
ko:K11737	pad:TIIST44_01035
ko:K01207	pad:TIIST44_01045
ko:K14161	pad:TIIST44_01070
ko:K03564	pad:TIIST44_01115
ko:K00313	pad:TIIST44_03880
ko:K03522	pad:TIIST44_03885
ko:K03521	pad:TIIST44_03890
ko:K01875	pad:TIIST44_03915
ko:K00684	pad:TIIST44_03925
ko:K06153	pad:TIIST44_03935
ko:K02217	pad:TIIST44_03940
ko:K02939	pad:TIIST44_03945
ko:K02963	pad:TIIST44_03950
ko:K02990	pad:TIIST44_03960
ko:K01151	pad:TIIST44_03985
ko:K07124	pad:TIIST44_03990
ko:K00655	pad:TIIST44_03995
ko:K03652	pad:TIIST44_04040
ko:K00113	pad:TIIST44_04045
ko:K00112	pad:TIIST44_04050
ko:K00111	pad:TIIST44_04055
ko:K03281	pad:TIIST44_04070
ko:K03671	pad:TIIST44_04390
ko:K00057	pad:TIIST44_04395
ko:K00615	pad:TIIST44_04405
ko:K01808	pad:TIIST44_04435
ko:K01628	pad:TIIST44_04450
ko:K01686	pad:TIIST44_04480
ko:K01812	pad:TIIST44_04490
ko:K02529	pad:TIIST44_04495
ko:K01195	pad:TIIST44_04510
ko:K03501	pad:TIIST44_04565
ko:K03217	pad:TIIST44_04595
ko:K08998	pad:TIIST44_04600
ko:K03536	pad:TIIST44_04605
ko:K02914	pad:TIIST44_04610
ko:K02313	pad:TIIST44_04615
ko:K02338	pad:TIIST44_04620
ko:K03629	pad:TIIST44_04630
ko:K01809	pad:TIIST44_04645
ko:K02470	pad:TIIST44_04650
ko:K02469	pad:TIIST44_04655
ko:K02529	pad:TIIST44_04675
ko:K02003	pad:TIIST44_05000
ko:K00688	pad:TIIST44_05015
ko:K15533	pad:TIIST44_05030
ko:K01744	pad:TIIST44_05110
ko:K07791	pad:TIIST44_05115
ko:K02346	pad:TIIST44_01160
ko:K00989	pad:TIIST44_01180
ko:K04758	pad:TIIST44_01190
ko:K04759	pad:TIIST44_01195
ko:K06891	pad:TIIST44_01210
ko:K00763	pad:TIIST44_01215
ko:K03530	pad:TIIST44_01220
ko:K00705	pad:TIIST44_01225
ko:K03786	pad:TIIST44_01240
ko:K09791	pad:TIIST44_01255
ko:K01776	pad:TIIST44_01185
ko:K01588	pad:TIIST44_01325
ko:K01589	pad:TIIST44_01330
ko:K03524	pad:TIIST44_01345
ko:K06287	pad:TIIST44_01365
ko:K00868	pad:TIIST44_01385
ko:K00382	pad:TIIST44_01425
ko:K00075	pad:TIIST44_02255
ko:K02913	pad:TIIST44_02270
ko:K01142	pad:TIIST44_02275
ko:K00338	pad:TIIST44_02290
ko:K00332	pad:TIIST44_02295
ko:K00174	pad:TIIST44_02310
ko:K00175	pad:TIIST44_02315
ko:K01644	pad:TIIST44_02380
ko:K00343	pad:TIIST44_02395
ko:K00342	pad:TIIST44_02400
ko:K00341	pad:TIIST44_02405
ko:K00340	pad:TIIST44_02410
ko:K00339	pad:TIIST44_02415
ko:K00338	pad:TIIST44_02420
ko:K00337	pad:TIIST44_02425
ko:K00334	pad:TIIST44_02440
ko:K00333	pad:TIIST44_02445
ko:K00332	pad:TIIST44_02450
ko:K00331	pad:TIIST44_02455
ko:K00330	pad:TIIST44_02460
ko:K03183	pad:TIIST44_02490
ko:K06975	pad:TIIST44_05120
ko:K03781	pad:TIIST44_05125
ko:K02230	pad:TIIST44_05150
ko:K06871	pad:TIIST44_05155
ko:K02013	pad:TIIST44_05160
ko:K02015	pad:TIIST44_05165
ko:K02016	pad:TIIST44_05170
ko:K02016	pad:TIIST44_05175
ko:K00941	pad:TIIST44_05195
ko:K00788	pad:TIIST44_05205
ko:K01546	pad:TIIST44_05220
ko:K01547	pad:TIIST44_05225
ko:K01548	pad:TIIST44_05230
ko:K07646	pad:TIIST44_05235
ko:K07667	pad:TIIST44_05240
ko:K03305	pad:TIIST44_05345
ko:K02768	pad:TIIST44_05365
ko:K02769	pad:TIIST44_05365
ko:K02770	pad:TIIST44_05365
ko:K03885	pad:TIIST44_05415
ko:K03579	pad:TIIST44_05430
ko:K03737	pad:TIIST44_05460
ko:K03303	pad:TIIST44_05480
ko:K00782	pad:TIIST44_05495
ko:K03313	pad:TIIST44_05840
ko:K03168	pad:TIIST44_05900
ko:K00943	pad:TIIST44_05910
ko:K02341	pad:TIIST44_05915
ko:K08296	pad:TIIST44_05955
ko:K01060	pad:TIIST44_05965
ko:K07259	pad:TIIST44_05985
ko:K04075	pad:TIIST44_05990
ko:K00760	pad:TIIST44_05995
ko:K03798	pad:TIIST44_06000
ko:K01495	pad:TIIST44_06005
ko:K00796	pad:TIIST44_06050
ko:K01633	pad:TIIST44_06055
ko:K00950	pad:TIIST44_06060
ko:K00333	pad:TIIST44_06075
ko:K03696	pad:TIIST44_06085
ko:K07160	pad:TIIST44_06105
ko:K02036	pad:TIIST44_06400
ko:K02038	pad:TIIST44_06405
ko:K02037	pad:TIIST44_06410
ko:K02040	pad:TIIST44_06415
ko:K00937	pad:TIIST44_06425
ko:K07560	pad:TIIST44_06440
ko:K06980	pad:TIIST44_06455
ko:K00991	pad:TIIST44_06480
ko:K01770	pad:TIIST44_06485
ko:K02781	pad:TIIST44_06490
ko:K02774	pad:TIIST44_06495
ko:K07736	pad:TIIST44_06500
ko:K02039	pad:TIIST44_06520
ko:K02773	pad:TIIST44_06540
ko:K02774	pad:TIIST44_06545
ko:K11738	pad:TIIST44_06555
ko:K00600	pad:TIIST44_06560
ko:K00874	pad:TIIST44_06565
ko:K01625	pad:TIIST44_06570
ko:K03218	pad:TIIST44_06640
ko:K01883	pad:TIIST44_06645
ko:K07173	pad:TIIST44_06990
ko:K01809	pad:TIIST44_06995
ko:K04077	pad:TIIST44_07005
ko:K06901	pad:TIIST44_07155
ko:K03337	pad:TIIST44_07035
ko:K03336	pad:TIIST44_07040
ko:K00140	pad:TIIST44_07050
ko:K06605	pad:TIIST44_07075
ko:K03335	pad:TIIST44_07095
ko:K03704	pad:TIIST44_07140
ko:K00876	pad:TIIST44_01445
ko:K01874	pad:TIIST44_01460
ko:K02057	pad:TIIST44_01475
ko:K02057	pad:TIIST44_01480
ko:K07335	pad:TIIST44_01490
ko:K00031	pad:TIIST44_01510
ko:K01433	pad:TIIST44_01515
ko:K00024	pad:TIIST44_01520
ko:K13922	pad:TIIST44_01525
ko:K01491	pad:TIIST44_01535
ko:K00602	pad:TIIST44_01555
ko:K11175	pad:TIIST44_01560
ko:K00794	pad:TIIST44_01565
ko:K14652	pad:TIIST44_01570
ko:K00793	pad:TIIST44_01575
ko:K11752	pad:TIIST44_01580
ko:K01902	pad:TIIST44_01590
ko:K01903	pad:TIIST44_01595
ko:K03657	pad:TIIST44_01600
ko:K02073	pad:TIIST44_01610
ko:K02071	pad:TIIST44_01615
ko:K02072	pad:TIIST44_01620
ko:K06131	pad:TIIST44_01625
ko:K01951	pad:TIIST44_01640
ko:K00640	pad:TIIST44_01645
ko:K04092	pad:TIIST44_01650
ko:K03310	pad:TIIST44_01670
ko:K04077	pad:TIIST44_01680
ko:K04078	pad:TIIST44_01685
ko:K01866	pad:TIIST44_00005
ko:K03402	pad:TIIST44_00010
ko:K01012	pad:TIIST44_00020
ko:K01890	pad:TIIST44_00025
ko:K01889	pad:TIIST44_00030
ko:K03437	pad:TIIST44_00035
ko:K02887	pad:TIIST44_00040
ko:K02916	pad:TIIST44_00045
ko:K02520	pad:TIIST44_00050
ko:K00765	pad:TIIST44_00065
ko:K03811	pad:TIIST44_00075
ko:K02548	pad:TIIST44_02520
ko:K05878	pad:TIIST44_02530
ko:K05879	pad:TIIST44_02535
ko:K05881	pad:TIIST44_02540
ko:K01933	pad:TIIST44_02625
ko:K00764	pad:TIIST44_02630
ko:K04561	pad:TIIST44_02655
ko:K13950	pad:TIIST44_02660
ko:K01952	pad:TIIST44_02665
ko:K01256	pad:TIIST44_02675
ko:K01952	pad:TIIST44_02715
ko:K01923	pad:TIIST44_02720
ko:K03387	pad:TIIST44_02730
ko:K04761	pad:TIIST44_02735
ko:K01756	pad:TIIST44_02740
ko:K00831	pad:TIIST44_07170
ko:K01443	pad:TIIST44_07175
ko:K00963	pad:TIIST44_07210
ko:K03282	pad:TIIST44_07220
ko:K03750	pad:TIIST44_07240
ko:K03790	pad:TIIST44_07245
ko:K01524	pad:TIIST44_07505
ko:K03523	pad:TIIST44_07540
ko:K06442	pad:TIIST44_07560
ko:K00858	pad:TIIST44_07565
ko:K03631	pad:TIIST44_07570
ko:K01937	pad:TIIST44_07585
ko:K06178	pad:TIIST44_07610
ko:K03116	pad:TIIST44_07640
ko:K03118	pad:TIIST44_07645
ko:K02500	pad:TIIST44_07655
ko:K02503	pad:TIIST44_07660
ko:K00053	pad:TIIST44_07670
ko:K00052	pad:TIIST44_07685
ko:K00826	pad:TIIST44_07690
ko:K01703	pad:TIIST44_07715
ko:K01703	pad:TIIST44_07720
ko:K01921	pad:TIIST44_07740
ko:K00946	pad:TIIST44_07750
ko:K01468	pad:TIIST44_03585
ko:K01745	pad:TIIST44_03595
ko:K15342	pad:TIIST44_03630
ko:K12410	pad:TIIST44_03680
ko:K00761	pad:TIIST44_03740
ko:K03549	pad:TIIST44_03765
ko:K00849	pad:TIIST44_03790
ko:K01940	pad:TIIST44_03825
ko:K07043	pad:TIIST44_08040
ko:K06133	pad:TIIST44_08140
ko:K02034	pad:TIIST44_08240
ko:K06949	pad:TIIST44_08270
ko:K00800	pad:TIIST44_08275
ko:K03088	pad:TIIST44_08285
ko:K03432	pad:TIIST44_08590
ko:K03433	pad:TIIST44_08595
ko:K01421	pad:TIIST44_08610
ko:K01783	pad:TIIST44_08635
ko:K03500	pad:TIIST44_08650
ko:K00604	pad:TIIST44_08655
ko:K04066	pad:TIIST44_08660
ko:K00789	pad:TIIST44_08665
ko:K13038	pad:TIIST44_08670
ko:K03060	pad:TIIST44_08675
ko:K00942	pad:TIIST44_08680
ko:K03625	pad:TIIST44_08690
ko:K02356	pad:TIIST44_08695
ko:K07282	pad:TIIST44_08710
ko:K01735	pad:TIIST44_08715
ko:K00891	pad:TIIST44_08720
ko:K01736	pad:TIIST44_08725
ko:K00014	pad:TIIST44_08730
ko:K07082	pad:TIIST44_08735
ko:K07447	pad:TIIST44_08740
ko:K01872	pad:TIIST44_08745
ko:K07478	pad:TIIST44_08755
ko:K01876	pad:TIIST44_08760
ko:K01892	pad:TIIST44_08790
ko:K00759	pad:TIIST44_08815
ko:K03074	pad:TIIST44_08820
ko:K03072	pad:TIIST44_08825
ko:K03210	pad:TIIST44_08830
ko:K03551	pad:TIIST44_08835
ko:K03550	pad:TIIST44_08840
ko:K05838	pad:TIIST44_09110
ko:K05606	pad:TIIST44_09120
ko:K07058	pad:TIIST44_09190
ko:K08999	pad:TIIST44_09200
ko:K02437	pad:TIIST44_09215
ko:K00995	pad:TIIST44_09240
ko:K01868	pad:TIIST44_09250
ko:K13979	pad:TIIST44_09265
ko:K01667	pad:TIIST44_09280
ko:K03684	pad:TIIST44_09305
ko:K01662	pad:TIIST44_09310
ko:K01681	pad:TIIST44_09315
ko:K00762	pad:TIIST44_09615
ko:K01591	pad:TIIST44_09620
ko:K01955	pad:TIIST44_09635
ko:K01956	pad:TIIST44_09640
ko:K01465	pad:TIIST44_09645
ko:K00609	pad:TIIST44_09650
ko:K02825	pad:TIIST44_09655
ko:K08281	pad:TIIST44_09665
ko:K05349	pad:TIIST44_09675
ko:K00163	pad:TIIST44_09695
ko:K00077	pad:TIIST44_09715
ko:K00645	pad:TIIST44_09720
ko:K00648	pad:TIIST44_09725
ko:K02078	pad:TIIST44_09730
ko:K09458	pad:TIIST44_09735
ko:K06997	pad:TIIST44_09745
ko:K03924	pad:TIIST44_09765
ko:K01935	pad:TIIST44_09800
ko:K00833	pad:TIIST44_09805
ko:K08681	pad:TIIST44_09810
ko:K06215	pad:TIIST44_09815
ko:K00375	pad:TIIST44_09820
ko:K01738	pad:TIIST44_09825
ko:K01087	pad:TIIST44_09830
ko:K00697	pad:TIIST44_09835
ko:K02069	pad:TIIST44_09860
ko:K01129	pad:TIIST44_09865
ko:K03596	pad:TIIST44_10145
ko:K02968	pad:TIIST44_10165
ko:K02340	pad:TIIST44_10170
ko:K02237	pad:TIIST44_10185
ko:K01869	pad:TIIST44_10190
ko:K00788	pad:TIIST44_10220
ko:K00878	pad:TIIST44_10225
ko:K08369	pad:TIIST44_10230
ko:K00874	pad:TIIST44_10235
