ko:K11720	syy:SYNGTS_2880
ko:K07495	syy:SYNGTS_1470
ko:K07495	syy:SYNGTS_1873
ko:K07495	syy:SYNGTS_2200
ko:K07495	syy:SYNGTS_2236
ko:K06998	syy:SYNGTS_0576
ko:K19003	syy:SYNGTS_1679
ko:K17892	syy:SYNGTS_2516
ko:K14233	syy:SYNGTS_t0031
ko:K02014	syy:SYNGTS_0016
ko:K07063	syy:SYNGTS_1506
ko:K02014	syy:SYNGTS_0031
ko:K04487	syy:SYNGTS_0100
ko:K03733	syy:SYNGTS_0105
ko:K02692	syy:SYNGTS_0111
ko:K01657	syy:SYNGTS_0112
ko:K13789	syy:SYNGTS_0113
ko:K02039	syy:SYNGTS_0116
ko:K09748	syy:SYNGTS_0117
ko:K02600	syy:SYNGTS_0118
ko:K07742	syy:SYNGTS_0119
ko:K02519	syy:SYNGTS_0120
ko:K05936	syy:SYNGTS_0125
ko:K03564	syy:SYNGTS_0128
ko:K09774	syy:SYNGTS_0140
ko:K06861	syy:SYNGTS_0141
ko:K05895	syy:SYNGTS_0142
ko:K02698	syy:SYNGTS_0143
ko:K05573	syy:SYNGTS_0145
ko:K03564	syy:SYNGTS_0150
ko:K00820	syy:SYNGTS_0151
ko:K07462	syy:SYNGTS_0984
ko:K00847	syy:SYNGTS_0987
ko:K01091	syy:SYNGTS_0991
ko:K00794	syy:SYNGTS_0993
ko:K02724	syy:SYNGTS_0994
ko:K02945	syy:SYNGTS_0996
ko:K03629	syy:SYNGTS_0998
ko:K00873	syy:SYNGTS_1000
ko:K01012	syy:SYNGTS_1004
ko:K03523	syy:SYNGTS_1005
ko:K03101	syy:SYNGTS_1006
ko:K00688	syy:SYNGTS_1012
ko:K02191	syy:SYNGTS_1013
ko:K00981	syy:SYNGTS_1014
ko:K03282	syy:SYNGTS_1019
ko:K03550	syy:SYNGTS_1020
ko:K02437	syy:SYNGTS_1026
ko:K13747	syy:SYNGTS_1028
ko:K11145	syy:SYNGTS_1847
ko:K03218	syy:SYNGTS_1848
ko:K01883	syy:SYNGTS_1850
ko:K06287	syy:SYNGTS_1851
ko:K00464	syy:SYNGTS_1854
ko:K06891	syy:SYNGTS_1855
ko:K05349	syy:SYNGTS_1860
ko:K01633	syy:SYNGTS_1862
ko:K06180	syy:SYNGTS_1866
ko:K02669	syy:SYNGTS_1869
ko:K03060	syy:SYNGTS_1872
ko:K03664	syy:SYNGTS_1876
ko:K03695	syy:SYNGTS_1882
ko:K00855	syy:SYNGTS_1884
ko:K02641	syy:SYNGTS_1885
ko:K08902	syy:SYNGTS_1888
ko:K03685	syy:SYNGTS_1889
ko:K02069	syy:SYNGTS_1890
ko:K00995	syy:SYNGTS_1894
ko:K03631	syy:SYNGTS_1896
ko:K06915	syy:SYNGTS_2712
ko:K01265	syy:SYNGTS_2728
ko:K06042	syy:SYNGTS_2740
ko:K01534	syy:SYNGTS_2741
ko:K09771	syy:SYNGTS_2742
ko:K01534	syy:SYNGTS_2744
ko:K01502	syy:SYNGTS_2754
ko:K09958	syy:SYNGTS_2758
ko:K02221	syy:SYNGTS_0265
ko:K02012	syy:SYNGTS_0266
ko:K00554	syy:SYNGTS_0267
ko:K00012	syy:SYNGTS_0273
ko:K03185	syy:SYNGTS_0274
ko:K06199	syy:SYNGTS_0275
ko:K11472	syy:SYNGTS_0281
ko:K13292	syy:SYNGTS_0285
ko:K00228	syy:SYNGTS_0287
ko:K02902	syy:SYNGTS_0290
ko:K07243	syy:SYNGTS_0294
ko:K02338	syy:SYNGTS_0295
ko:K01695	syy:SYNGTS_0296
ko:K03182	syy:SYNGTS_0301
ko:K13541	syy:SYNGTS_0302
ko:K02956	syy:SYNGTS_0306
ko:K07089	syy:SYNGTS_0307
ko:K00789	syy:SYNGTS_0311
ko:K05539	syy:SYNGTS_0312
ko:K03192	syy:SYNGTS_1140
ko:K03526	syy:SYNGTS_1141
ko:K02470	syy:SYNGTS_1144
ko:K00297	syy:SYNGTS_1147
ko:K04773	syy:SYNGTS_1159
ko:K02492	syy:SYNGTS_1162
ko:K01733	syy:SYNGTS_1182
ko:K10773	syy:SYNGTS_1186
ko:K01669	syy:SYNGTS_1190
ko:K03281	syy:SYNGTS_2007
ko:K01790	syy:SYNGTS_2019
ko:K00161	syy:SYNGTS_2021
ko:K01142	syy:SYNGTS_2023
ko:K00940	syy:SYNGTS_2025
ko:K08963	syy:SYNGTS_2030
