ko:K13060	yew:CH47_1045
ko:K08723	yew:CH47_1497
ko:K21029	yew:CH47_2182
ko:K15634	yew:CH47_2883
ko:K01990	yew:CH47_2246
ko:K19734	yew:CH47_440
ko:K19734	yew:CH47_1046
ko:K05802	yew:CH47_3151
ko:K19221	yew:CH47_3696
ko:K19230	yew:CH47_1561
ko:K19227	yew:CH47_1558
ko:K19229	yew:CH47_1560
ko:K14232	yew:CH47_3299
ko:K14232	yew:CH47_3643
ko:K14238	yew:CH47_3613
ko:K02495	yew:CH47_3483
ko:K01046	yew:CH47_1276
ko:K19789	yew:CH47_841
ko:K00344	yew:CH47_3947
ko:K21430	yew:CH47_369
ko:K21908	yew:CH47_4103
ko:K02081	yew:CH47_1799
ko:K03892	yew:CH47_179
ko:K01271	yew:CH47_3216
ko:K03973	yew:CH47_1551
ko:K00632	yew:CH47_3218
ko:K04057	yew:CH47_4198
ko:K02032	yew:CH47_353
ko:K05799	yew:CH47_2786
ko:K03293	yew:CH47_3304
ko:K04753	yew:CH47_4146
ko:K05874	yew:CH47_1917
ko:K07495	yew:CH47_2939
ko:K05874	yew:CH47_208
ko:K05934	yew:CH47_2066
ko:K01980	yew:CH47_3354
ko:K04103	yew:CH47_624
ko:K20861	yew:CH47_1860
ko:K05541	yew:CH47_2240
ko:K11927	yew:CH47_2243
ko:K01993	yew:CH47_2245
ko:K06890	yew:CH47_2249
ko:K03635	yew:CH47_2250
ko:K03636	yew:CH47_2251
ko:K03637	yew:CH47_2252
ko:K09748	yew:CH47_3041
ko:K03075	yew:CH47_3044
ko:K03431	yew:CH47_3045
ko:K00796	yew:CH47_3046
ko:K03798	yew:CH47_3047
ko:K02427	yew:CH47_3048
ko:K07574	yew:CH47_3049
ko:K03624	yew:CH47_3050
ko:K07259	yew:CH47_3051
ko:K07771	yew:CH47_3052
ko:K07643	yew:CH47_3053
ko:K03979	yew:CH47_3054
ko:K02899	yew:CH47_3056
ko:K02888	yew:CH47_3057
ko:K02523	yew:CH47_3058
ko:K07724	yew:CH47_3060
ko:K00024	yew:CH47_3061
ko:K03402	yew:CH47_3062
ko:K02558	yew:CH47_3064
ko:K03841	yew:CH47_3065
ko:K01507	yew:CH47_3067
ko:K09800	yew:CH47_3069
ko:K07278	yew:CH47_3070
ko:K07304	yew:CH47_3071
ko:K07109	yew:CH47_3074
ko:K01082	yew:CH47_3075
ko:K01119	yew:CH47_3076
ko:K03773	yew:CH47_3077
ko:K07269	yew:CH47_3078
ko:K02939	yew:CH47_3080
ko:K02963	yew:CH47_3081
ko:K02990	yew:CH47_3082
ko:K06889	yew:CH47_3084
ko:K09456	yew:CH47_3086
ko:K03218	yew:CH47_3087
ko:K12573	yew:CH47_3088
ko:K13771	yew:CH47_3089
ko:K01939	yew:CH47_3090
ko:K09937	yew:CH47_3091
ko:K04087	yew:CH47_3092
ko:K04088	yew:CH47_3093
ko:K03665	yew:CH47_3094
ko:K05539	yew:CH47_3944
ko:K01775	yew:CH47_3949
ko:K00832	yew:CH47_3950
ko:K03469	yew:CH47_323
ko:K02342	yew:CH47_324
ko:K02002	yew:CH47_326
ko:K02001	yew:CH47_327
ko:K02000	yew:CH47_328
ko:K03647	yew:CH47_332
ko:K00375	yew:CH47_335
ko:K03704	yew:CH47_345
ko:K13633	yew:CH47_346
ko:K02035	yew:CH47_349
ko:K08722	yew:CH47_759
ko:K14260	yew:CH47_760
ko:K00330	yew:CH47_762
ko:K00331	yew:CH47_763
ko:K13378	yew:CH47_764
ko:K00334	yew:CH47_765
ko:K00337	yew:CH47_768
ko:K00338	yew:CH47_769
ko:K00339	yew:CH47_770
ko:K00340	yew:CH47_771
ko:K00341	yew:CH47_772
ko:K00342	yew:CH47_773
ko:K00343	yew:CH47_774
ko:K00851	yew:CH47_780
ko:K00046	yew:CH47_781
ko:K02217	yew:CH47_1193
ko:K07156	yew:CH47_1194
ko:K07245	yew:CH47_1195
ko:K07473	yew:CH47_1218
ko:K06178	yew:CH47_1638
ko:K07053	yew:CH47_1640
ko:K01657	yew:CH47_1641
ko:K01658	yew:CH47_1642
ko:K00766	yew:CH47_1643
ko:K13498	yew:CH47_1644
ko:K01696	yew:CH47_1645
ko:K01695	yew:CH47_1646
ko:K07275	yew:CH47_1648
ko:K06940	yew:CH47_1649
ko:K06190	yew:CH47_1652
ko:K10806	yew:CH47_1653
ko:K03832	yew:CH47_1654
ko:K09780	yew:CH47_1655
ko:K06131	yew:CH47_1658
ko:K09901	yew:CH47_1659
ko:K10823	yew:CH47_1660
ko:K15583	yew:CH47_1661
ko:K15582	yew:CH47_1662
ko:K15581	yew:CH47_1663
ko:K15580	yew:CH47_1664
ko:K15580	yew:CH47_1665
ko:K04072	yew:CH47_1667
ko:K09747	yew:CH47_2467
ko:K02343	yew:CH47_2468
ko:K00759	yew:CH47_2469
ko:K09790	yew:CH47_2470
ko:K04067	yew:CH47_2471
ko:K05802	yew:CH47_2472
ko:K06039	yew:CH47_2473
ko:K03577	yew:CH47_2474
ko:K03585	yew:CH47_2475
ko:K18138	yew:CH47_2476
ko:K02909	yew:CH47_2482
ko:K02919	yew:CH47_2483
ko:K02077	yew:CH47_2484
ko:K02075	yew:CH47_2485
ko:K02074	yew:CH47_2486
ko:K05839	yew:CH47_2490
ko:K07443	yew:CH47_2491
ko:K09914	yew:CH47_2492
ko:K10805	yew:CH47_2493
ko:K03320	yew:CH47_2494
ko:K04752	yew:CH47_2495
ko:K18890	yew:CH47_2496
ko:K18889	yew:CH47_2497
ko:K05800	yew:CH47_2498
ko:K01738	yew:CH47_2499
ko:K11938	yew:CH47_2500
ko:K06920	yew:CH47_2502
ko:K12500	yew:CH47_2503
ko:K02237	yew:CH47_2504
ko:K03770	yew:CH47_2505
ko:K03530	yew:CH47_2507
ko:K01338	yew:CH47_2508
ko:K03544	yew:CH47_2509
ko:K01358	yew:CH47_2510
ko:K03545	yew:CH47_2511
ko:K05527	yew:CH47_2512
ko:K07286	yew:CH47_2513
ko:K08218	yew:CH47_2514
ko:K02297	yew:CH47_2516
ko:K02298	yew:CH47_2517
ko:K02299	yew:CH47_2518
ko:K02300	yew:CH47_2519
ko:K16693	yew:CH47_3308
ko:K02805	yew:CH47_3309
ko:K16704	yew:CH47_3310
ko:K00973	yew:CH47_3311
ko:K02472	yew:CH47_3313
ko:K01791	yew:CH47_3314
ko:K05790	yew:CH47_3315
ko:K02851	yew:CH47_3316
ko:K03628	yew:CH47_3317
ko:K03671	yew:CH47_3318
ko:K03732	yew:CH47_3319
ko:K01524	yew:CH47_3320
ko:K18650	yew:CH47_3321
ko:K03656	yew:CH47_3322
ko:K03769	yew:CH47_3323
ko:K07345	yew:CH47_3324
ko:K07346	yew:CH47_3325
ko:K07347	yew:CH47_3326
ko:K00053	yew:CH47_3336
ko:K02521	yew:CH47_3337
ko:K01754	yew:CH47_3339
ko:K01687	yew:CH47_3340
ko:K00826	yew:CH47_3341
ko:K11258	yew:CH47_3342
ko:K01652	yew:CH47_3343
ko:K07391	yew:CH47_3344
ko:K09897	yew:CH47_3345
ko:K02057	yew:CH47_3346
ko:K02057	yew:CH47_3348
ko:K02056	yew:CH47_3349
ko:K02058	yew:CH47_3350
ko:K01776	yew:CH47_3358
ko:K16092	yew:CH47_3359
ko:K03919	yew:CH47_4169
ko:K07787	yew:CH47_4170
ko:K07798	yew:CH47_4171
ko:K07810	yew:CH47_4173
ko:K07214	yew:CH47_4177
ko:K02013	yew:CH47_4178
ko:K02015	yew:CH47_4179
ko:K02015	yew:CH47_4180
ko:K02016	yew:CH47_4181
ko:K03406	yew:CH47_4184
ko:K06077	yew:CH47_4187
ko:K03219	yew:CH47_4188
ko:K04049	yew:CH47_4190
ko:K03229	yew:CH47_4193
ko:K03228	yew:CH47_4194
ko:K03227	yew:CH47_4195
ko:K03226	yew:CH47_4196
ko:K03225	yew:CH47_4197
ko:K04056	yew:CH47_4199
ko:K03224	yew:CH47_4200
ko:K04058	yew:CH47_4201
ko:K04059	yew:CH47_4204
ko:K04060	yew:CH47_4205
ko:K03230	yew:CH47_4206
ko:K03478	yew:CH47_375
ko:K03321	yew:CH47_376
ko:K12149	yew:CH47_381
ko:K07733	yew:CH47_388
ko:K07733	yew:CH47_394
ko:K00568	yew:CH47_810
ko:K02469	yew:CH47_811
ko:K07677	yew:CH47_812
ko:K07687	yew:CH47_813
ko:K07676	yew:CH47_814
ko:K12542	yew:CH47_816
ko:K09475	yew:CH47_817
ko:K18988	yew:CH47_820
ko:K16210	yew:CH47_821
ko:K03406	yew:CH47_823
ko:K01223	yew:CH47_834
ko:K07014	yew:CH47_837
ko:K09904	yew:CH47_838
ko:K06899	yew:CH47_839
ko:K07483	yew:CH47_1257
ko:K00995	yew:CH47_1261
ko:K03703	yew:CH47_1262
ko:K07689	yew:CH47_1263
ko:K06182	yew:CH47_1277
ko:K03312	yew:CH47_1278
ko:K03610	yew:CH47_1724
ko:K03609	yew:CH47_1725
ko:K03608	yew:CH47_1726
ko:K03684	yew:CH47_1727
ko:K01897	yew:CH47_1728
ko:K07285	yew:CH47_1729
ko:K14742	yew:CH47_1730
ko:K11742	yew:CH47_1733
ko:K11743	yew:CH47_1734
ko:K01625	yew:CH47_1735
ko:K00036	yew:CH47_1736
ko:K00873	yew:CH47_1738
ko:K02560	yew:CH47_1739
ko:K09815	yew:CH47_1741
ko:K09817	yew:CH47_1742
ko:K09816	yew:CH47_1743
ko:K03305	yew:CH47_1744
ko:K03551	yew:CH47_1745
ko:K03550	yew:CH47_1746
ko:K01159	yew:CH47_1747
ko:K08310	yew:CH47_1749
ko:K01876	yew:CH47_1751
ko:K07136	yew:CH47_1754
ko:K15256	yew:CH47_1755
ko:K15257	yew:CH47_1756
ko:K06201	yew:CH47_1757
ko:K09907	yew:CH47_1758
ko:K01887	yew:CH47_1759
ko:K11016	yew:CH47_1760
ko:K11017	yew:CH47_1761
ko:K03980	yew:CH47_1762
ko:K03810	yew:CH47_1763
ko:K09915	yew:CH47_1764
ko:K03790	yew:CH47_1765
ko:K08162	yew:CH47_1768
ko:K04477	yew:CH47_1771
ko:K12972	yew:CH47_1772
ko:K18967	yew:CH47_1776
ko:K11750	yew:CH47_2573
ko:K00769	yew:CH47_2574
ko:K01270	yew:CH47_2575
ko:K02346	yew:CH47_2576
ko:K01921	yew:CH47_2580
ko:K05952	yew:CH47_2582
ko:K03734	yew:CH47_2583
ko:K00351	yew:CH47_2584
ko:K00350	yew:CH47_2585
ko:K00349	yew:CH47_2586
ko:K00348	yew:CH47_2587
ko:K00347	yew:CH47_2588
ko:K00346	yew:CH47_2589
ko:K03271	yew:CH47_2592
ko:K06445	yew:CH47_2593
ko:K00899	yew:CH47_2597
ko:K08963	yew:CH47_2598
ko:K08967	yew:CH47_2599
ko:K09880	yew:CH47_2600
ko:K08964	yew:CH47_2601
ko:K14287	yew:CH47_2602
ko:K15974	yew:CH47_2607
ko:K03543	yew:CH47_2609
ko:K03446	yew:CH47_2610
ko:K03214	yew:CH47_2613
ko:K03672	yew:CH47_2614
