ko:K10563	ftw:FTW_1550
ko:K03098	ftw:FTW_1893
ko:K10773	ftw:FTW_1081
ko:K12297	ftw:FTW_0816
ko:K06169	ftw:FTW_1491
ko:K00757	ftw:FTW_1492
ko:K02486	ftw:FTW_0385
ko:K09758	ftw:FTW_1358
ko:K09903	ftw:FTW_1767
ko:K01141	ftw:FTW_1247
ko:K03674	ftw:FTW_1009
ko:K03073	ftw:FTW_0228
ko:K10536	ftw:FTW_1639
ko:K00963	ftw:FTW_0667
ko:K01916	ftw:FTW_0685
ko:K00600	ftw:FTW_0703
ko:K00560	ftw:FTW_0717
ko:K01934	ftw:FTW_0726
ko:K00554	ftw:FTW_0242
ko:K01759	ftw:FTW_0734
ko:K00790	ftw:FTW_0741
ko:K00075	ftw:FTW_0742
ko:K00845	ftw:FTW_0752
ko:K00262	ftw:FTW_0766
ko:K01586	ftw:FTW_0770
ko:K00567	ftw:FTW_0773
ko:K01867	ftw:FTW_0805
ko:K01750	ftw:FTW_0394
ko:K00249	ftw:FTW_0402
ko:K00031	ftw:FTW_0405
ko:K01953	ftw:FTW_0419
ko:K00973	ftw:FTW_0424
ko:K01710	ftw:FTW_0426
ko:K00858	ftw:FTW_0434
ko:K01881	ftw:FTW_0472
ko:K01579	ftw:FTW_0497
ko:K01918	ftw:FTW_0498
ko:K00606	ftw:FTW_0499
ko:K01972	ftw:FTW_0501
ko:K09458	ftw:FTW_0514
ko:K00059	ftw:FTW_0516
ko:K00645	ftw:FTW_0517
ko:K00615	ftw:FTW_0522
ko:K00927	ftw:FTW_0524
ko:K00873	ftw:FTW_0525
ko:K00208	ftw:FTW_0579
ko:K01783	ftw:FTW_0586
ko:K01784	ftw:FTW_0588
ko:K01139	ftw:FTW_0605
ko:K01868	ftw:FTW_0612
ko:K00979	ftw:FTW_0620
ko:K00849	ftw:FTW_0622
ko:K00942	ftw:FTW_0628
ko:K00767	ftw:FTW_0630
ko:K00278	ftw:FTW_0631
ko:K03652	ftw:FTW_1062
ko:K00648	ftw:FTW_0518
ko:K02298	ftw:FTW_1804
ko:K01679	ftw:FTW_1779
ko:K02357	ftw:FTW_1768
ko:K02838	ftw:FTW_1766
ko:K02355	ftw:FTW_1759
ko:K03040	ftw:FTW_1733
ko:K00163	ftw:FTW_0808
ko:K01092	ftw:FTW_0507
ko:K00794	ftw:FTW_1943
ko:K06187	ftw:FTW_0606
ko:K03762	ftw:FTW_0601
ko:K01424	ftw:FTW_0600
ko:K02622	ftw:FTW_0254
ko:K03774	ftw:FTW_1354
ko:K04565	ftw:FTW_1301
ko:K01588	ftw:FTW_1283
ko:K01589	ftw:FTW_1282
ko:K00974	ftw:FTW_0193
ko:K03306	ftw:FTW_1836
ko:K07220	ftw:FTW_1837
ko:K07160	ftw:FTW_1840
ko:K07015	ftw:FTW_1849
ko:K00014	ftw:FTW_1853
ko:K02914	ftw:FTW_1855
ko:K03217	ftw:FTW_1856
ko:K02655	ftw:FTW_1859
ko:K04759	ftw:FTW_1866
ko:K01649	ftw:FTW_1869
ko:K07052	ftw:FTW_1897
ko:K02238	ftw:FTW_1913
ko:K03834	ftw:FTW_1927
ko:K06997	ftw:FTW_1929
ko:K02968	ftw:FTW_1938
ko:K03596	ftw:FTW_1939
ko:K00569	ftw:FTW_1959
ko:K01465	ftw:FTW_1960
ko:K09941	ftw:FTW_1964
ko:K03071	ftw:FTW_1987
ko:K03553	ftw:FTW_1988
ko:K03565	ftw:FTW_1989
ko:K03111	ftw:FTW_1990
ko:K06895	ftw:FTW_2009
ko:K05596	ftw:FTW_2010
ko:K01256	ftw:FTW_2012
ko:K01807	ftw:FTW_1255
ko:K03072	ftw:FTW_1147
ko:K03074	ftw:FTW_1146
ko:K01673	ftw:FTW_1137
ko:K06956	ftw:FTW_1131
ko:K03545	ftw:FTW_1106
ko:K04087	ftw:FTW_1095
ko:K02050	ftw:FTW_1824
ko:K02356	ftw:FTW_1860
ko:K00426	ftw:FTW_1808
ko:K06901	ftw:FTW_1359
ko:K00962	ftw:FTW_1544
ko:K07574	ftw:FTW_1609
ko:K02437	ftw:FTW_1665
ko:K09810	ftw:FTW_1668
ko:K09808	ftw:FTW_1669
ko:K08309	ftw:FTW_1674
ko:K03704	ftw:FTW_1683
ko:K02970	ftw:FTW_1684
ko:K07007	ftw:FTW_1722
ko:K04079	ftw:FTW_1729
ko:K02879	ftw:FTW_1732
ko:K02986	ftw:FTW_1734
ko:K02948	ftw:FTW_1735
ko:K02952	ftw:FTW_1736
ko:K02919	ftw:FTW_1737
ko:K03076	ftw:FTW_1738
ko:K02876	ftw:FTW_1739
ko:K02907	ftw:FTW_1740
ko:K02988	ftw:FTW_1741
ko:K02881	ftw:FTW_1742
ko:K02933	ftw:FTW_1743
ko:K02994	ftw:FTW_1744
ko:K02954	ftw:FTW_1745
ko:K02931	ftw:FTW_1746
ko:K02895	ftw:FTW_1747
ko:K02874	ftw:FTW_1748
ko:K02961	ftw:FTW_1749
ko:K02904	ftw:FTW_2082
ko:K02878	ftw:FTW_1750
ko:K02890	ftw:FTW_1752
ko:K02965	ftw:FTW_1753
ko:K02886	ftw:FTW_1754
ko:K02892	ftw:FTW_1755
ko:K02926	ftw:FTW_1756
ko:K02906	ftw:FTW_1757
ko:K02946	ftw:FTW_1758
ko:K02992	ftw:FTW_1760
ko:K02950	ftw:FTW_1761
ko:K02967	ftw:FTW_1769
ko:K07114	ftw:FTW_1793
ko:K03924	ftw:FTW_1796
ko:K06199	ftw:FTW_1819
ko:K02049	ftw:FTW_1825
ko:K02494	ftw:FTW_1829
ko:K01419	ftw:FTW_1038
ko:K02687	ftw:FTW_1026
ko:K02342	ftw:FTW_0993
ko:K00566	ftw:FTW_1940
ko:K01462	ftw:FTW_1942
ko:K01591	ftw:FTW_1973
ko:K00925	ftw:FTW_1991
ko:K01876	ftw:FTW_1997
ko:K07304	ftw:FTW_2019
ko:K00766	ftw:FTW_2023
ko:K01735	ftw:FTW_1193
ko:K00891	ftw:FTW_1194
ko:K00939	ftw:FTW_1200
ko:K01443	ftw:FTW_1211
ko:K00681	ftw:FTW_1228
ko:K01776	ftw:FTW_1244
ko:K00027	ftw:FTW_1262
ko:K01870	ftw:FTW_1264
ko:K03101	ftw:FTW_1265
ko:K01749	ftw:FTW_1818
ko:K00919	ftw:FTW_1830
ko:K01114	ftw:FTW_1838
ko:K01924	ftw:FTW_1852
ko:K01006	ftw:FTW_1867
ko:K00826	ftw:FTW_1868
ko:K00760	ftw:FTW_1883
ko:K01939	ftw:FTW_1884
ko:K01921	ftw:FTW_1906
ko:K06148	ftw:FTW_0590
ko:K03688	ftw:FTW_0749
ko:K03185	ftw:FTW_0728
ko:K01752	ftw:FTW_1434
ko:K01775	ftw:FTW_1439
ko:K01810	ftw:FTW_1481
ko:K00949	ftw:FTW_1482
ko:K00088	ftw:FTW_1483
ko:K01489	ftw:FTW_1493
ko:K01875	ftw:FTW_1496
ko:K01129	ftw:FTW_1519
ko:K00761	ftw:FTW_1524
ko:K00639	ftw:FTW_1527
ko:K01770	ftw:FTW_1161
ko:K00060	ftw:FTW_1528
ko:K00991	ftw:FTW_1530
ko:K01689	ftw:FTW_1532
ko:K00876	ftw:FTW_1541
ko:K01627	ftw:FTW_1542
ko:K01091	ftw:FTW_1578
ko:K00384	ftw:FTW_1580
ko:K01525	ftw:FTW_1600
ko:K01887	ftw:FTW_1604
ko:K01424	ftw:FTW_1606
ko:K01698	ftw:FTW_1608
ko:K01925	ftw:FTW_1619
ko:K01000	ftw:FTW_1620
ko:K01610	ftw:FTW_1621
ko:K01886	ftw:FTW_1622
ko:K00762	ftw:FTW_1636
ko:K00797	ftw:FTW_1643
ko:K01611	ftw:FTW_1644
ko:K01126	ftw:FTW_1165
ko:K01733	ftw:FTW_1646
ko:K00133	ftw:FTW_1649
ko:K01929	ftw:FTW_1651
ko:K01928	ftw:FTW_1653
ko:K00705	ftw:FTW_1655
ko:K00688	ftw:FTW_1656
ko:K00703	ftw:FTW_1657
ko:K00975	ftw:FTW_1658
ko:K01835	ftw:FTW_1659
ko:K00700	ftw:FTW_1660
ko:K01772	ftw:FTW_1172
ko:K01200	ftw:FTW_1661
ko:K00605	ftw:FTW_1666
ko:K01582	ftw:FTW_1667
ko:K01462	ftw:FTW_1671
ko:K01265	ftw:FTW_1681
ko:K00820	ftw:FTW_1686
ko:K01613	ftw:FTW_1690
ko:K01919	ftw:FTW_1701
ko:K00940	ftw:FTW_1707
ko:K01937	ftw:FTW_1708
ko:K00995	ftw:FTW_1762
ko:K01520	ftw:FTW_1763
ko:K00981	ftw:FTW_1764
ko:K00806	ftw:FTW_1765
ko:K00287	ftw:FTW_1770
ko:K01885	ftw:FTW_1778
ko:K00101	ftw:FTW_1782
ko:K01873	ftw:FTW_1786
ko:K01304	ftw:FTW_1789
ko:K00868	ftw:FTW_1798
ko:K01669	ftw:FTW_1173
ko:K01933	ftw:FTW_1286
ko:K01809	ftw:FTW_1298
ko:K01736	ftw:FTW_1304
ko:K00057	ftw:FTW_1309
ko:K00773	ftw:FTW_1153
ko:K00989	ftw:FTW_1326
ko:K01669	ftw:FTW_1339
ko:K03527	ftw:FTW_1353
ko:K00616	ftw:FTW_1399
ko:K01872	ftw:FTW_1402
ko:K01962	ftw:FTW_0793
ko:K03801	ftw:FTW_0938
ko:K02518	ftw:FTW_0867
ko:K00859	ftw:FTW_0806
ko:K00627	ftw:FTW_0809
ko:K00382	ftw:FTW_0810
ko:K00604	ftw:FTW_0818
ko:K01920	ftw:FTW_0819
ko:K01845	ftw:FTW_0820
ko:K01012	ftw:FTW_0831
ko:K01488	ftw:FTW_0833
ko:K01495	ftw:FTW_0849
ko:K00383	ftw:FTW_0853
ko:K01142	ftw:FTW_0858
ko:K01626	ftw:FTW_0862
ko:K01869	ftw:FTW_0897
ko:K01494	ftw:FTW_0900
ko:K01662	ftw:FTW_0925
ko:K01951	ftw:FTW_0926
ko:K01507	ftw:FTW_0935
ko:K00860	ftw:FTW_0958
ko:K00228	ftw:FTW_0975
ko:K00831	ftw:FTW_0980
ko:K00945	ftw:FTW_0981
ko:K00101	ftw:FTW_1032
ko:K01866	ftw:FTW_1035
ko:K00322	ftw:FTW_1044
ko:K00948	ftw:FTW_1054
ko:K01590	ftw:FTW_1064
ko:K00053	ftw:FTW_1086
ko:K01687	ftw:FTW_1090
ko:K01104	ftw:FTW_1094
ko:K00791	ftw:FTW_1100
ko:K01338	ftw:FTW_1103
ko:K01358	ftw:FTW_1105
ko:K00857	ftw:FTW_1107
ko:K01424	ftw:FTW_1138
ko:K00800	ftw:FTW_1141
ko:K01080	ftw:FTW_0252
ko:K02492	ftw:FTW_0258
ko:K00099	ftw:FTW_0352
ko:K00677	ftw:FTW_0357
ko:K00748	ftw:FTW_0358
ko:K00286	ftw:FTW_0368
ko:K03100	ftw:FTW_0371
ko:K08218	ftw:FTW_0146
ko:K07390	ftw:FTW_0143
ko:K02982	ftw:FTW_1751
ko:K06941	ftw:FTW_0968
ko:K06178	ftw:FTW_0966
ko:K05589	ftw:FTW_1531
ko:K03811	ftw:FTW_1534
ko:K02863	ftw:FTW_0231
ko:K02867	ftw:FTW_0230
ko:K02601	ftw:FTW_0229
ko:K04761	ftw:FTW_0984
ko:K02990	ftw:FTW_0972
ko:K02963	ftw:FTW_0971
ko:K06193	ftw:FTW_0997
ko:K03070	ftw:FTW_1470
