ko:K01006	fti:FTS_0123
ko:K17103	fti:FTS_0327
ko:K14742	fti:FTS_0781
ko:K07464	fti:FTS_1290
ko:K03602	fti:FTS_0755
ko:K01840	fti:FTS_0608
ko:K18552	fti:FTS_1820
ko:K19416	fti:FTS_0902
ko:K19561	fti:FTS_1238
ko:K01990	fti:FTS_1478
ko:K01156	fti:FTS_0532
ko:K02428	fti:FTS_0550
ko:K03177	fti:FTS_0556
ko:K01784	fti:FTS_0593
ko:K03548	fti:FTS_1543
ko:K01525	fti:FTS_1554
ko:K04774	fti:FTS_1565
ko:K11179	fti:FTS_1567
ko:K00101	fti:FTS_0210
ko:K01679	fti:FTS_0213
ko:K01885	fti:FTS_0214
ko:K00567	fti:FTS_0271
ko:K00383	fti:FTS_1222
ko:K03342	fti:FTS_1234
ko:K00652	fti:FTS_1245
ko:K00845	fti:FTS_1250
ko:K07126	fti:FTS_1279
ko:K01262	fti:FTS_0868
ko:K01104	fti:FTS_0894
ko:K03616	fti:FTS_0906
ko:K07052	fti:FTS_1850
ko:K02238	fti:FTS_1866
ko:K02075	fti:FTS_1881
ko:K02074	fti:FTS_1882
ko:K02077	fti:FTS_1883
ko:K02427	fti:FTS_0423
ko:K00027	fti:FTS_0428
ko:K09966	fti:FTS_1424
ko:K03784	fti:FTS_1432
ko:K00949	fti:FTS_1443
ko:K00088	fti:FTS_1444
ko:K01489	fti:FTS_1454
ko:K16013	fti:FTS_1463
ko:K16012	fti:FTS_1464
ko:K05524	fti:FTS_0080
ko:K02050	fti:FTS_0138
ko:K02049	fti:FTS_0139
ko:K01092	fti:FTS_1103
ko:K00059	fti:FTS_1110
ko:K02806	fti:FTS_1156
ko:K02533	fti:FTS_1157
ko:K07305	fti:FTS_0370
ko:K00845	fti:FTS_0395
ko:K03769	fti:FTS_1361
ko:K01424	fti:FTS_1392
ko:K07025	fti:FTS_1395
ko:K01784	fti:FTS_1404
ko:K01719	fti:FTS_0653
ko:K00568	fti:FTS_1599
ko:K15583	fti:FTS_1610
ko:K03317	fti:FTS_1621
ko:K01619	fti:FTS_1622
ko:K11085	fti:FTS_1627
ko:K00974	fti:FTS_1628
ko:K02446	fti:FTS_1656
ko:K07323	fti:FTS_0515
ko:K14229	fti:FTS_1455
ko:K14230	fti:FTS_1666
ko:K14219	fti:FTS_1673
ko:K14235	fti:FTS_1708
ko:K03455	fti:FTS_0925
ko:K00101	fti:FTS_0951
ko:K07304	fti:FTS_1906
ko:K07122	fti:FTS_0514
ko:K14234	fti:FTS_1710
ko:K14234	fti:FTS_1915
ko:K03316	fti:FTS_0302
ko:K03560	fti:FTS_0330
ko:K13628	fti:FTS_1299
ko:K04518	fti:FTS_1303
ko:K01916	fti:FTS_0686
ko:K02067	fti:FTS_0696
ko:K00058	fti:FTS_0714
ko:K03498	fti:FTS_1663
ko:K04763	fti:FTS_1691
ko:K01409	fti:FTS_1698
ko:K03442	fti:FTS_1714
ko:K03386	fti:FTS_0976
ko:K02342	fti:FTS_0981
ko:K07258	fti:FTS_1034
ko:K01934	fti:FTS_0724
ko:K01759	fti:FTS_0732
ko:K00241	fti:FTS_1743
ko:K06179	fti:FTS_1760
ko:K09806	fti:FTS_1773
ko:K07114	fti:FTS_0199
ko:K07114	fti:FTS_0200
ko:K07114	fti:FTS_0201
ko:K03593	fti:FTS_1182
ko:K03499	fti:FTS_1207
ko:K00700	fti:FTS_0485
ko:K01835	fti:FTS_0486
ko:K02067	fti:FTS_0516
ko:K00639	fti:FTS_1486
ko:K10563	fti:FTS_1507
ko:K06201	fti:FTS_1527
ko:K00569	fti:FTS_0030
ko:K01507	fti:FTS_1035
ko:K00616	fti:FTS_1078
ko:K00939	fti:FTS_0787
ko:K02665	fti:FTS_0791
ko:K02653	fti:FTS_0817
ko:K03469	fti:FTS_0844
ko:K01424	fti:FTS_0845
ko:K03711	fti:FTS_1788
ko:K02433	fti:FTS_1797
ko:K01580	fti:FTS_1815
ko:K01985	fti:FTS_0475
ko:K14227	fti:FTS_0115
ko:K14227	fti:FTS_1143
ko:K14227	fti:FTS_0442
ko:K14218	fti:FTS_0116
ko:K14218	fti:FTS_1144
ko:K14218	fti:FTS_0443
ko:K01985	fti:FTS_0118
ko:K01985	fti:FTS_1146
ko:K01985	fti:FTS_0445
ko:K14223	fti:FTS_0145
ko:K14224	fti:FTS_0218
ko:K14225	fti:FTS_0305
ko:K14225	fti:FTS_0660
ko:K14225	fti:FTS_1711
ko:K14219	fti:FTS_0306
ko:K14233	fti:FTS_0343
ko:K14233	fti:FTS_0438
ko:K14233	fti:FTS_1325
ko:K14237	fti:FTS_0439
ko:K14237	fti:FTS_1496
ko:K14230	fti:FTS_0545
ko:K14228	fti:FTS_0615
ko:K14228	fti:FTS_0662
ko:K14228	fti:FTS_1387
ko:K14220	fti:FTS_0651
ko:K14222	fti:FTS_0661
ko:K14237	fti:FTS_1261
ko:K14226	fti:FTS_1388
ko:K14219	fti:FTS_1389
ko:K14232	fti:FTS_1390
ko:K14231	fti:FTS_1391
ko:K14236	fti:FTS_1712
ko:K14230	fti:FTS_1768
ko:K14221	fti:FTS_1914
ko:K14228	fti:FTS_1733
ko:K02073	fti:FTS_0827
ko:K02072	fti:FTS_0827
ko:K08309	fti:FTS_0467
ko:K02337	fti:FTS_0473
ko:K01462	fti:FTS_0474
ko:K09808	fti:FTS_0476
ko:K00605	fti:FTS_0479
ko:K02437	fti:FTS_0480
ko:K00282	fti:FTS_0481
ko:K00283	fti:FTS_0482
ko:K00014	fti:FTS_0483
ko:K00975	fti:FTS_0487
ko:K00703	fti:FTS_0488
ko:K00688	fti:FTS_0489
ko:K00705	fti:FTS_0490
ko:K01878	fti:FTS_0491
ko:K01928	fti:FTS_0492
ko:K01929	fti:FTS_0494
ko:K01733	fti:FTS_0499
ko:K01611	fti:FTS_0500
ko:K00797	fti:FTS_0501
ko:K10536	fti:FTS_0503
ko:K03269	fti:FTS_0507
ko:K00762	fti:FTS_0508
ko:K02558	fti:FTS_0509
ko:K03218	fti:FTS_0510
ko:K02066	fti:FTS_0517
ko:K02065	fti:FTS_0518
ko:K03608	fti:FTS_0519
ko:K03609	fti:FTS_0520
ko:K03610	fti:FTS_0521
ko:K02913	fti:FTS_0522
ko:K02902	fti:FTS_0523
ko:K03655	fti:FTS_0525
ko:K01676	fti:FTS_0527
ko:K02445	fti:FTS_1475
ko:K01126	fti:FTS_1476
ko:K01993	fti:FTS_1477
ko:K00761	fti:FTS_1484
ko:K00060	fti:FTS_1487
ko:K00991	fti:FTS_1489
ko:K05589	fti:FTS_1490
ko:K01689	fti:FTS_1491
ko:K03215	fti:FTS_1494
ko:K03060	fti:FTS_1497
ko:K00876	fti:FTS_1498
ko:K01627	fti:FTS_1499
ko:K15724	fti:FTS_1500
ko:K00962	fti:FTS_1501
ko:K02956	fti:FTS_1502
ko:K03587	fti:FTS_1503
ko:K03586	fti:FTS_1504
ko:K03438	fti:FTS_1505
ko:K08681	fti:FTS_1509
ko:K06215	fti:FTS_1510
ko:K02470	fti:FTS_1511
ko:K05539	fti:FTS_1513
ko:K01903	fti:FTS_1517
ko:K01902	fti:FTS_1518
ko:K01091	fti:FTS_1530
ko:K00384	fti:FTS_1532
ko:K07461	fti:FTS_0531
ko:K03648	fti:FTS_0533
ko:K02469	fti:FTS_0535
ko:K00099	fti:FTS_0536
ko:K07277	fti:FTS_0537
ko:K06142	fti:FTS_0538
ko:K02536	fti:FTS_0539
ko:K02372	fti:FTS_0540
ko:K00677	fti:FTS_0541
ko:K00748	fti:FTS_0542
ko:K01004	fti:FTS_0547
ko:K00795	fti:FTS_0548
ko:K02527	fti:FTS_0549
ko:K00286	fti:FTS_0551
ko:K03100	fti:FTS_0554
ko:K03685	fti:FTS_0555
ko:K12573	fti:FTS_0557
ko:K07337	fti:FTS_0570
ko:K09859	fti:FTS_0573
ko:K09794	fti:FTS_0579
ko:K07516	fti:FTS_0583
ko:K00031	fti:FTS_0587
ko:K03578	fti:FTS_0589
ko:K13012	fti:FTS_0592
ko:K03572	fti:FTS_1536
ko:K06949	fti:FTS_1539
ko:K11073	fti:FTS_1541
ko:K07462	fti:FTS_1544
ko:K03524	fti:FTS_1545
ko:K04568	fti:FTS_1546
ko:K01961	fti:FTS_1551
ko:K02160	fti:FTS_1552
ko:K03786	fti:FTS_1553
ko:K02528	fti:FTS_1555
ko:K03771	fti:FTS_1556
ko:K04744	fti:FTS_1557
ko:K01887	fti:FTS_1558
ko:K03216	fti:FTS_1561
ko:K01698	fti:FTS_1562
ko:K07574	fti:FTS_1563
ko:K02341	fti:FTS_1564
ko:K03599	fti:FTS_1566
ko:K03588	fti:FTS_1574
ko:K01925	fti:FTS_1575
ko:K01000	fti:FTS_1576
ko:K01610	fti:FTS_1577
ko:K01886	fti:FTS_1578
ko:K15738	fti:FTS_1581
ko:K02474	fti:FTS_0595
ko:K02473	fti:FTS_0596
ko:K01953	fti:FTS_0599
ko:K00973	fti:FTS_0604
ko:K03628	fti:FTS_0609
ko:K03671	fti:FTS_0610
ko:K01524	fti:FTS_0611
ko:K03040	fti:FTS_0614
ko:K03594	fti:FTS_0617
ko:K03424	fti:FTS_0619
ko:K00858	fti:FTS_0625
ko:K03439	fti:FTS_0627
ko:K07090	fti:FTS_0635
ko:K07394	fti:FTS_0636
ko:K09160	fti:FTS_0637
ko:K03625	fti:FTS_0640
ko:K01881	fti:FTS_0645
ko:K02426	fti:FTS_0652
ko:K04758	fti:FTS_0658
ko:K04754	fti:FTS_1598
ko:K00864	fti:FTS_1605
ko:K03657	fti:FTS_1615
ko:K03110	fti:FTS_1616
ko:K02837	fti:FTS_1618
ko:K00943	fti:FTS_1619
ko:K11535	fti:FTS_1620
ko:K01839	fti:FTS_1623
ko:K03525	fti:FTS_1624
ko:K00912	fti:FTS_1626
ko:K03611	fti:FTS_1629
ko:K01883	fti:FTS_1641
ko:K07320	fti:FTS_1642
ko:K07552	fti:FTS_1643
ko:K02672	fti:FTS_1647
ko:K07018	fti:FTS_1657
ko:K11733	fti:FTS_1658
ko:K03466	fti:FTS_1660
ko:K03634	fti:FTS_1661
ko:K03583	fti:FTS_0667
ko:K03582	fti:FTS_0670
ko:K03581	fti:FTS_0671
ko:K03525	fti:FTS_0672
ko:K01579	fti:FTS_0673
ko:K01918	fti:FTS_0674
ko:K00606	fti:FTS_0675
ko:K01972	fti:FTS_0677
ko:K11074	fti:FTS_0680
ko:K11075	fti:FTS_0681
ko:K11076	fti:FTS_0682
ko:K03543	fti:FTS_0688
ko:K03446	fti:FTS_0689
ko:K03305	fti:FTS_0692
ko:K09761	fti:FTS_0693
ko:K02065	fti:FTS_0697
ko:K02066	fti:FTS_0698
ko:K06180	fti:FTS_0700
ko:K05807	fti:FTS_0701
ko:K00600	fti:FTS_0704
ko:K09889	fti:FTS_0705
ko:K04075	fti:FTS_0713
ko:K13292	fti:FTS_0716
ko:K08300	fti:FTS_0717
ko:K04487	fti:FTS_0718
ko:K03607	fti:FTS_1665
ko:K01153	fti:FTS_1668
ko:K04077	fti:FTS_1670
ko:K04078	fti:FTS_1671
ko:K09861	fti:FTS_1674
ko:K02493	fti:FTS_1677
ko:K02835	fti:FTS_1678
ko:K02492	fti:FTS_1679
ko:K02622	fti:FTS_1683
ko:K03806	fti:FTS_1684
ko:K08311	fti:FTS_1686
ko:K02884	fti:FTS_1692
ko:K00554	fti:FTS_1693
ko:K02860	fti:FTS_1694
ko:K02959	fti:FTS_1695
ko:K00789	fti:FTS_1696
ko:K03046	fti:FTS_1700
ko:K03043	fti:FTS_1701
ko:K02935	fti:FTS_1702
ko:K02864	fti:FTS_1703
ko:K02863	fti:FTS_1704
ko:K02867	fti:FTS_1705
ko:K02601	fti:FTS_1706
ko:K03073	fti:FTS_1707
ko:K02358	fti:FTS_1709
ko:K02440	fti:FTS_1716
ko:K00111	fti:FTS_1717
ko:K03584	fti:FTS_0720
ko:K03975	fti:FTS_0721
ko:K03975	fti:FTS_0722
ko:K05527	fti:FTS_0723
ko:K09895	fti:FTS_0725
ko:K03185	fti:FTS_0726
ko:K07568	fti:FTS_0729
ko:K09125	fti:FTS_0731
ko:K01807	fti:FTS_0736
ko:K03495	fti:FTS_0739
ko:K01141	fti:FTS_0744
ko:K03702	fti:FTS_0745
ko:K01776	fti:FTS_0747
ko:K03601	fti:FTS_0754
ko:K14058	fti:FTS_0758
ko:K03664	fti:FTS_0759
ko:K09801	fti:FTS_0761
ko:K04754	fti:FTS_0763
ko:K06207	fti:FTS_0766
ko:K01154	fti:FTS_0771
ko:K01154	fti:FTS_0772
ko:K14540	fti:FTS_0779
ko:K01443	fti:FTS_0780
ko:K00812	fti:FTS_0783
ko:K07071	fti:FTS_1722
ko:K00426	fti:FTS_1724
ko:K01681	fti:FTS_1727
ko:K07223	fti:FTS_1728
ko:K03075	fti:FTS_1734
ko:K01803	fti:FTS_1735
ko:K03431	fti:FTS_1736
ko:K00759	fti:FTS_1737
ko:K00658	fti:FTS_1738
ko:K00164	fti:FTS_1739
ko:K00240	fti:FTS_1740
ko:K00239	fti:FTS_1741
ko:K00242	fti:FTS_1742
ko:K01647	fti:FTS_1744
ko:K08218	fti:FTS_1745
ko:K04564	fti:FTS_1747
ko:K07390	fti:FTS_1748
ko:K02114	fti:FTS_1750
ko:K02112	fti:FTS_1751
ko:K02115	fti:FTS_1752
ko:K02111	fti:FTS_1753
ko:K02113	fti:FTS_1754
ko:K02109	fti:FTS_1755
ko:K02110	fti:FTS_1756
ko:K02108	fti:FTS_1757
ko:K06916	fti:FTS_1761
ko:K01892	fti:FTS_1763
ko:K02834	fti:FTS_1764
ko:K02519	fti:FTS_1765
ko:K02600	fti:FTS_1766
ko:K09748	fti:FTS_1767
ko:K01599	fti:FTS_1769
ko:K00343	fti:FTS_1774
ko:K00342	fti:FTS_1775
ko:K00341	fti:FTS_1776
ko:K00340	fti:FTS_1777
ko:K02666	fti:FTS_0792
ko:K00891	fti:FTS_0793
ko:K01735	fti:FTS_0794
ko:K09159	fti:FTS_0797
ko:K13821	fti:FTS_0798
ko:K13038	fti:FTS_0801
ko:K01772	fti:FTS_0813
ko:K02652	fti:FTS_0818
ko:K01126	fti:FTS_0819
ko:K03802	fti:FTS_0821
ko:K01770	fti:FTS_0823
ko:K02071	fti:FTS_0828
ko:K08591	fti:FTS_0829
ko:K00773	fti:FTS_0833
ko:K03210	fti:FTS_0837
ko:K03072	fti:FTS_0838
ko:K03074	fti:FTS_0839
ko:K03089	fti:FTS_0841
ko:K00800	fti:FTS_0842
ko:K01673	fti:FTS_0846
ko:K00339	fti:FTS_1778
ko:K00338	fti:FTS_1779
ko:K00337	fti:FTS_1780
ko:K00334	fti:FTS_1783
ko:K00333	fti:FTS_1784
ko:K00332	fti:FTS_1785
ko:K00331	fti:FTS_1786
ko:K00330	fti:FTS_1787
ko:K01586	fti:FTS_1791
ko:K02434	fti:FTS_1796
ko:K02435	fti:FTS_1798
ko:K01756	fti:FTS_1802
ko:K01952	fti:FTS_1812
ko:K00764	fti:FTS_1813
ko:K06133	fti:FTS_1816
ko:K12340	fti:FTS_1817
ko:K00573	fti:FTS_1818
ko:K08303	fti:FTS_1819
ko:K03979	fti:FTS_1824
ko:K01548	fti:FTS_1830
ko:K01546	fti:FTS_1832
ko:K01704	fti:FTS_1838
ko:K06956	fti:FTS_0853
ko:K00820	fti:FTS_0854
ko:K05810	fti:FTS_0867
ko:K01173	fti:FTS_0869
ko:K03820	fti:FTS_0873
ko:K06189	fti:FTS_0874
ko:K07042	fti:FTS_0875
ko:K06168	fti:FTS_0877
ko:K03545	fti:FTS_0882
ko:K01358	fti:FTS_0883
ko:K03544	fti:FTS_0884
ko:K01338	fti:FTS_0885
ko:K03530	fti:FTS_0886
ko:K03770	fti:FTS_0887
ko:K00791	fti:FTS_0888
ko:K03666	fti:FTS_0889
ko:K03665	fti:FTS_0890
ko:K04088	fti:FTS_0892
ko:K04087	fti:FTS_0893
ko:K03978	fti:FTS_0895
ko:K01653	fti:FTS_0899
ko:K00053	fti:FTS_0900
