ko:K18893	pfn:HZ99_25390
ko:K19296	pfn:HZ99_11965
ko:K01451	pfn:HZ99_04725
ko:K18979	pfn:HZ99_20630
ko:K19595	pfn:HZ99_19180
ko:K03297	pfn:HZ99_20505
ko:K21147	pfn:HZ99_08615
ko:K22617	pfn:HZ99_24645
ko:K16238	pfn:HZ99_13685
ko:K01729	pfn:HZ99_11950
ko:K11741	pfn:HZ99_26585
ko:K19592	pfn:HZ99_19215
ko:K19597	pfn:HZ99_19210
ko:K18968	pfn:HZ99_06830
ko:K19736	pfn:HZ99_10015
ko:K19611	pfn:HZ99_12680
ko:K03111	pfn:HZ99_14285
ko:K18968	pfn:HZ99_10020
ko:K21430	pfn:HZ99_02745
ko:K14232	pfn:HZ99_07275
ko:K14230	pfn:HZ99_22645
ko:K16841	pfn:HZ99_08705
ko:K11209	pfn:HZ99_24325
ko:K00821	pfn:HZ99_07935
ko:K19746	pfn:HZ99_11880
ko:K01007	pfn:HZ99_08590
ko:K19270	pfn:HZ99_07415
ko:K01977	pfn:HZ99_14560
ko:K01977	pfn:HZ99_18400
ko:K01977	pfn:HZ99_21405
ko:K01977	pfn:HZ99_27870
ko:K01977	pfn:HZ99_23420
ko:K01977	pfn:HZ99_22445
ko:K01978	pfn:HZ99_27890
ko:K18099	pfn:HZ99_01165
ko:K01139	pfn:HZ99_17000
ko:K00249	pfn:HZ99_05955
ko:K00248	pfn:HZ99_20365
ko:K00100	pfn:HZ99_22625
ko:K14232	pfn:HZ99_12865
ko:K14232	pfn:HZ99_12875
ko:K03892	pfn:HZ99_15065
ko:K01800	pfn:HZ99_23080
ko:K01980	pfn:HZ99_14545
ko:K01980	pfn:HZ99_27885
ko:K01980	pfn:HZ99_18415
ko:K01980	pfn:HZ99_23435
ko:K01980	pfn:HZ99_22460
ko:K01980	pfn:HZ99_21420
ko:K14228	pfn:HZ99_23480
ko:K14228	pfn:HZ99_20710
ko:K14228	pfn:HZ99_22235
ko:K14220	pfn:HZ99_12880
ko:K14221	pfn:HZ99_07485
ko:K14221	pfn:HZ99_26605
ko:K14221	pfn:HZ99_26630
ko:K14221	pfn:HZ99_07490
ko:K06076	pfn:HZ99_00975
ko:K06445	pfn:HZ99_00980
ko:K00059	pfn:HZ99_00985
ko:K00626	pfn:HZ99_00995
ko:K01897	pfn:HZ99_01000
ko:K07003	pfn:HZ99_01015
ko:K03547	pfn:HZ99_01055
ko:K07114	pfn:HZ99_01065
ko:K07114	pfn:HZ99_01070
ko:K03924	pfn:HZ99_01085
ko:K15371	pfn:HZ99_01095
ko:K11103	pfn:HZ99_01110
ko:K01246	pfn:HZ99_01115
ko:K00375	pfn:HZ99_01125
ko:K03837	pfn:HZ99_01155
ko:K18101	pfn:HZ99_01170
ko:K18100	pfn:HZ99_01175
ko:K01682	pfn:HZ99_01180
ko:K06938	pfn:HZ99_01185
ko:K06169	pfn:HZ99_01200
ko:K00681	pfn:HZ99_01230
ko:K00219	pfn:HZ99_06075
ko:K00163	pfn:HZ99_06095
ko:K00163	pfn:HZ99_06105
ko:K03770	pfn:HZ99_06120
ko:K03530	pfn:HZ99_06125
ko:K01338	pfn:HZ99_06130
ko:K03544	pfn:HZ99_06135
ko:K01358	pfn:HZ99_06140
ko:K03545	pfn:HZ99_06145
ko:K01491	pfn:HZ99_06175
ko:K03406	pfn:HZ99_06185
ko:K03809	pfn:HZ99_06190
ko:K07262	pfn:HZ99_06200
ko:K06016	pfn:HZ99_06215
ko:K03457	pfn:HZ99_06220
ko:K01464	pfn:HZ99_06225
ko:K17723	pfn:HZ99_06235
ko:K07156	pfn:HZ99_06245
ko:K07245	pfn:HZ99_06250
ko:K07090	pfn:HZ99_06285
ko:K17218	pfn:HZ99_06290
ko:K00166	pfn:HZ99_06310
ko:K00167	pfn:HZ99_06315
ko:K09699	pfn:HZ99_06320
ko:K00382	pfn:HZ99_06325
ko:K00826	pfn:HZ99_06330
ko:K10014	pfn:HZ99_06355
ko:K10016	pfn:HZ99_06360
ko:K10015	pfn:HZ99_06365
ko:K10017	pfn:HZ99_06370
ko:K09947	pfn:HZ99_10925
ko:K03585	pfn:HZ99_10930
ko:K18138	pfn:HZ99_10935
ko:K11444	pfn:HZ99_10940
ko:K13491	pfn:HZ99_10945
ko:K13490	pfn:HZ99_10950
ko:K13489	pfn:HZ99_10955
ko:K13486	pfn:HZ99_10960
ko:K13488	pfn:HZ99_10965
ko:K13487	pfn:HZ99_10970
ko:K04077	pfn:HZ99_11010
ko:K04078	pfn:HZ99_11015
ko:K07113	pfn:HZ99_11020
ko:K07226	pfn:HZ99_11025
ko:K00059	pfn:HZ99_11030
ko:K07443	pfn:HZ99_11040
ko:K08218	pfn:HZ99_11045
ko:K01881	pfn:HZ99_11050
ko:K02346	pfn:HZ99_11060
ko:K14205	pfn:HZ99_11075
ko:K03549	pfn:HZ99_11085
ko:K14441	pfn:HZ99_11090
ko:K03827	pfn:HZ99_11095
ko:K06182	pfn:HZ99_11100
ko:K00528	pfn:HZ99_11115
ko:K00901	pfn:HZ99_11125
ko:K05812	pfn:HZ99_11135
ko:K06966	pfn:HZ99_11145
ko:K03565	pfn:HZ99_11150
ko:K03743	pfn:HZ99_11160
ko:K08304	pfn:HZ99_15660
ko:K01251	pfn:HZ99_15705
ko:K00297	pfn:HZ99_15710
ko:K02030	pfn:HZ99_15715
ko:K11927	pfn:HZ99_15720
ko:K00833	pfn:HZ99_15735
ko:K09761	pfn:HZ99_15740
ko:K10001	pfn:HZ99_15745
ko:K00285	pfn:HZ99_15755
ko:K11068	pfn:HZ99_15765
ko:K13928	pfn:HZ99_15770
ko:K13935	pfn:HZ99_15785
ko:K13934	pfn:HZ99_15790
ko:K13933	pfn:HZ99_15795
ko:K13932	pfn:HZ99_15800
ko:K13931	pfn:HZ99_15805
ko:K13930	pfn:HZ99_15810
ko:K13929	pfn:HZ99_15815
ko:K06598	pfn:HZ99_15835
ko:K02487	pfn:HZ99_15840
ko:K06596	pfn:HZ99_15840
ko:K02660	pfn:HZ99_15845
ko:K02659	pfn:HZ99_15850
ko:K02658	pfn:HZ99_15855
ko:K02657	pfn:HZ99_15860
ko:K01920	pfn:HZ99_15865
ko:K03832	pfn:HZ99_15870
ko:K07735	pfn:HZ99_15875
ko:K07447	pfn:HZ99_15880
ko:K02825	pfn:HZ99_15885
ko:K00609	pfn:HZ99_15890
ko:K01465	pfn:HZ99_15895
ko:K02669	pfn:HZ99_15910
ko:K06997	pfn:HZ99_15915
ko:K00286	pfn:HZ99_15920
ko:K02221	pfn:HZ99_15925
ko:K00641	pfn:HZ99_15930
ko:K02428	pfn:HZ99_15945
ko:K13821	pfn:HZ99_20370
ko:K11928	pfn:HZ99_20375
ko:K07115	pfn:HZ99_20385
ko:K07304	pfn:HZ99_20390
ko:K00627	pfn:HZ99_20400
ko:K00163	pfn:HZ99_20405
ko:K00982	pfn:HZ99_20410
ko:K02843	pfn:HZ99_20415
ko:K02841	pfn:HZ99_20420
ko:K02844	pfn:HZ99_20425
ko:K02848	pfn:HZ99_20430
ko:K00612	pfn:HZ99_20455
ko:K11085	pfn:HZ99_20475
ko:K03272	pfn:HZ99_20480
ko:K01784	pfn:HZ99_20485
ko:K02527	pfn:HZ99_20515
ko:K12340	pfn:HZ99_20520
ko:K03147	pfn:HZ99_20525
ko:K01515	pfn:HZ99_20535
ko:K09920	pfn:HZ99_20540
ko:K03651	pfn:HZ99_20545
ko:K07000	pfn:HZ99_20550
ko:K02622	pfn:HZ99_20555
ko:K06985	pfn:HZ99_20565
ko:K02621	pfn:HZ99_20570
ko:K09857	pfn:HZ99_20575
ko:K01079	pfn:HZ99_20585
ko:K01613	pfn:HZ99_20590
ko:K01011	pfn:HZ99_20595
ko:K02556	pfn:HZ99_20605
ko:K02557	pfn:HZ99_20610
ko:K06949	pfn:HZ99_20615
ko:K13288	pfn:HZ99_20620
ko:K06925	pfn:HZ99_20640
ko:K01448	pfn:HZ99_20645
ko:K03572	pfn:HZ99_20650
ko:K00791	pfn:HZ99_20655
ko:K00481	pfn:HZ99_25195
ko:K01915	pfn:HZ99_25210
ko:K03684	pfn:HZ99_25220
ko:K09902	pfn:HZ99_25225
ko:K09160	pfn:HZ99_25240
ko:K01354	pfn:HZ99_25275
ko:K07160	pfn:HZ99_25300
ko:K09989	pfn:HZ99_25315
ko:K01738	pfn:HZ99_25330
ko:K00906	pfn:HZ99_25350
ko:K03578	pfn:HZ99_25355
ko:K16872	pfn:HZ99_25360
ko:K03088	pfn:HZ99_25365
ko:K07221	pfn:HZ99_25375
ko:K09919	pfn:HZ99_25380
ko:K06188	pfn:HZ99_25385
ko:K03767	pfn:HZ99_25395
ko:K01118	pfn:HZ99_25415
ko:K16053	pfn:HZ99_25425
ko:K07233	pfn:HZ99_25445
ko:K07156	pfn:HZ99_25450
ko:K07245	pfn:HZ99_25455
ko:K00243	pfn:HZ99_25475
ko:K00575	pfn:HZ99_02580
ko:K03412	pfn:HZ99_02585
ko:K08482	pfn:HZ99_02610
ko:K01895	pfn:HZ99_02625
ko:K00626	pfn:HZ99_02635
ko:K01692	pfn:HZ99_02645
ko:K07116	pfn:HZ99_02660
ko:K03811	pfn:HZ99_02670
ko:K03406	pfn:HZ99_02675
ko:K06153	pfn:HZ99_02680
ko:K01118	pfn:HZ99_02700
ko:K09958	pfn:HZ99_02750
ko:K00998	pfn:HZ99_02760
ko:K07224	pfn:HZ99_02775
ko:K16301	pfn:HZ99_02780
ko:K07243	pfn:HZ99_02790
ko:K18299	pfn:HZ99_02805
ko:K18298	pfn:HZ99_02810
ko:K01704	pfn:HZ99_07570
ko:K01703	pfn:HZ99_07575
ko:K04080	pfn:HZ99_07605
ko:K05541	pfn:HZ99_07610
ko:K07107	pfn:HZ99_07615
ko:K01885	pfn:HZ99_07650
ko:K03543	pfn:HZ99_07655
ko:K03446	pfn:HZ99_07660
ko:K03702	pfn:HZ99_07665
ko:K00832	pfn:HZ99_07670
ko:K08324	pfn:HZ99_07685
ko:K06967	pfn:HZ99_07745
ko:K13639	pfn:HZ99_07750
ko:K10536	pfn:HZ99_07775
ko:K11073	pfn:HZ99_07780
ko:K12251	pfn:HZ99_07785
ko:K10536	pfn:HZ99_07790
ko:K03566	pfn:HZ99_07795
ko:K03649	pfn:HZ99_07800
ko:K01692	pfn:HZ99_07835
ko:K01897	pfn:HZ99_07850
ko:K06995	pfn:HZ99_07875
ko:K06446	pfn:HZ99_07895
ko:K02066	pfn:HZ99_12365
ko:K02065	pfn:HZ99_12370
ko:K06041	pfn:HZ99_12375
ko:K03270	pfn:HZ99_12380
ko:K11719	pfn:HZ99_12385
ko:K09774	pfn:HZ99_12390
ko:K06861	pfn:HZ99_12395
ko:K03092	pfn:HZ99_12400
ko:K05808	pfn:HZ99_12405
ko:K02806	pfn:HZ99_12410
ko:K06958	pfn:HZ99_12415
ko:K11189	pfn:HZ99_12420
ko:K07238	pfn:HZ99_12425
ko:K04564	pfn:HZ99_12430
ko:K01679	pfn:HZ99_12440
ko:K03592	pfn:HZ99_12450
ko:K09889	pfn:HZ99_12455
ko:K03568	pfn:HZ99_12460
ko:K08301	pfn:HZ99_12475
ko:K06287	pfn:HZ99_12480
ko:K03571	pfn:HZ99_12485
ko:K03570	pfn:HZ99_12490
ko:K03569	pfn:HZ99_12495
ko:K02435	pfn:HZ99_12500
ko:K02433	pfn:HZ99_12505
ko:K02434	pfn:HZ99_12510
ko:K03642	pfn:HZ99_12515
ko:K07301	pfn:HZ99_12520
