ko:K19079	sauu:SA957_0616
ko:K09022	sauu:SA957_0450
ko:K19005	sauu:SA957_0674
ko:K07491	sauu:SA957_0003
ko:K19285	sauu:SA957_0354
ko:K00887	sauu:SA957_1523
ko:K05592	sauu:SA957_1922
ko:K07145	sauu:SA957_0147
ko:K01424	sauu:SA957_1366
ko:K00805	sauu:SA957_1358
ko:K07305	sauu:SA957_1313
ko:K07304	sauu:SA957_1314
ko:K03469	sauu:SA957_1323
ko:K03294	sauu:SA957_1326
ko:K03700	sauu:SA957_1339
ko:K02086	sauu:SA957_1343
ko:K00974	sauu:SA957_1347
ko:K02545	sauu:SA957_0040
ko:K05352	sauu:SA957_0229
ko:K11442	sauu:SA957_2010
ko:K18934	sauu:SA957_2006
ko:K18936	sauu:SA957_2248
ko:K03328	sauu:SA957_0114
ko:K03328	sauu:SA957_0458
ko:K18935	sauu:SA957_2008
ko:K18940	sauu:SA957_1305
ko:K21454	sauu:SA957_2187
ko:K07045	sauu:SA957_2418
ko:K11039	sauu:SA957_1875
ko:K19975	sauu:SA957_0587
ko:K19973	sauu:SA957_0589
ko:K07052	sauu:SA957_1722
ko:K07052	sauu:SA957_1723
ko:K00616	sauu:SA957_1724
ko:K02549	sauu:SA957_1735
ko:K01992	sauu:SA957_1761
ko:K01990	sauu:SA957_1762
ko:K07533	sauu:SA957_1766
ko:K03698	sauu:SA957_1767
ko:K10947	sauu:SA957_2534
ko:K03593	sauu:SA957_2005
ko:K01220	sauu:SA957_2028
ko:K02786	sauu:SA957_2030
ko:K01635	sauu:SA957_2031
ko:K00917	sauu:SA957_2032
ko:K01819	sauu:SA957_2033
ko:K01819	sauu:SA957_2034
ko:K02530	sauu:SA957_2035
ko:K01727	sauu:SA957_2040
ko:K16787	sauu:SA957_2052
ko:K16786	sauu:SA957_2053
ko:K03535	sauu:SA957_2342
ko:K01990	sauu:SA957_2344
ko:K06889	sauu:SA957_2346
ko:K06889	sauu:SA957_2348
ko:K07491	sauu:SA957_2358
ko:K07104	sauu:SA957_2359
ko:K03090	sauu:SA957_1906
ko:K07315	sauu:SA957_1909
ko:K09167	sauu:SA957_1914
ko:K08981	sauu:SA957_1915
ko:K02116	sauu:SA957_1953
ko:K01679	sauu:SA957_1776
ko:K02028	sauu:SA957_1782
ko:K02029	sauu:SA957_1783
ko:K02030	sauu:SA957_1783
ko:K07035	sauu:SA957_1784
ko:K09825	sauu:SA957_1785
ko:K11085	sauu:SA957_1790
ko:K07586	sauu:SA957_1791
ko:K09693	sauu:SA957_1795
ko:K01992	sauu:SA957_1855
ko:K01990	sauu:SA957_1856
ko:K01990	sauu:SA957_1858
ko:K01439	sauu:SA957_1866
ko:K07052	sauu:SA957_1871
ko:K07706	sauu:SA957_1878
ko:K01409	sauu:SA957_1890
ko:K03095	sauu:SA957_1904
ko:K01104	sauu:SA957_1805
ko:K07694	sauu:SA957_1808
ko:K07009	sauu:SA957_1815
ko:K02342	sauu:SA957_1818
ko:K02433	sauu:SA957_1825
ko:K07094	sauu:SA957_1831
ko:K01916	sauu:SA957_1837
ko:K04518	sauu:SA957_1840
ko:K15986	sauu:SA957_1844
ko:K09763	sauu:SA957_1451
ko:K04763	sauu:SA957_1452
ko:K03711	sauu:SA957_1453
ko:K01515	sauu:SA957_1454
ko:K00374	sauu:SA957_2227
ko:K02303	sauu:SA957_2231
ko:K09815	sauu:SA957_2239
ko:K01834	sauu:SA957_2249
ko:K00652	sauu:SA957_2258
ko:K06147	sauu:SA957_2263
ko:K06147	sauu:SA957_2264
ko:K00939	sauu:SA957_2060
ko:K03635	sauu:SA957_2101
ko:K03784	sauu:SA957_1981
ko:K02799	sauu:SA957_1996
ko:K02800	sauu:SA957_1996
ko:K02798	sauu:SA957_1998
ko:K01104	sauu:SA957_1958
ko:K03048	sauu:SA957_1971
ko:K09680	sauu:SA957_1973
ko:K01619	sauu:SA957_1980
ko:K00784	sauu:SA957_1459
ko:K00033	sauu:SA957_1465
ko:K02246	sauu:SA957_1495
ko:K02245	sauu:SA957_1496
ko:K02244	sauu:SA957_1497
ko:K02243	sauu:SA957_1498
ko:K00845	sauu:SA957_1501
ko:K03929	sauu:SA957_2286
ko:K12942	sauu:SA957_2305
ko:K05337	sauu:SA957_1372
ko:K01479	sauu:SA957_2164
ko:K01785	sauu:SA957_2168
ko:K01992	sauu:SA957_2170
ko:K01990	sauu:SA957_2171
ko:K01823	sauu:SA957_2175
ko:K01990	sauu:SA957_2196
ko:K02076	sauu:SA957_1508
ko:K01489	sauu:SA957_1522
ko:K02238	sauu:SA957_1541
ko:K06948	sauu:SA957_1550
ko:K01243	sauu:SA957_1552
ko:K07491	sauu:SA957_1554
ko:K03574	sauu:SA957_2323
ko:K01835	sauu:SA957_2325
ko:K03299	sauu:SA957_2335
ko:K00851	sauu:SA957_2336
ko:K01719	sauu:SA957_1614
ko:K11144	sauu:SA957_1628
ko:K03346	sauu:SA957_1629
ko:K10563	sauu:SA957_1633
ko:K07658	sauu:SA957_1637
ko:K00027	sauu:SA957_1645
ko:K06286	sauu:SA957_1661
ko:K04750	sauu:SA957_2430
ko:K00016	sauu:SA957_2440
ko:K03294	sauu:SA957_2441
ko:K03451	sauu:SA957_2453
ko:K00380	sauu:SA957_2459
ko:K01077	sauu:SA957_2467
ko:K01478	sauu:SA957_2475
ko:K01401	sauu:SA957_2477
ko:K00058	sauu:SA957_1667
