ko:K01212	ppo:PPM_0699
ko:K01218	ppo:PPM_1107
ko:K01977	ppo:PPM_r042
ko:K01035	ppo:PPM_1143
ko:K02313	ppo:PPM_0001
ko:K15634	ppo:PPM_2919
ko:K22109	ppo:PPM_1180
ko:K02470	ppo:PPM_0006
ko:K03629	ppo:PPM_0004
ko:K21613	ppo:PPM_2095
ko:K02338	ppo:PPM_0002
ko:K19540	ppo:PPM_0494
ko:K14230	ppo:PPM_t067
ko:K14230	ppo:PPM_t066
ko:K09692	ppo:PPM_4508
ko:K01971	ppo:PPM_0359
ko:K03332	ppo:PPM_0969
ko:K19551	ppo:PPM_0875
ko:K06979	ppo:PPM_0657
ko:K14233	ppo:PPM_t077
ko:K14233	ppo:PPM_t094
ko:K18924	ppo:PPM_2339
ko:K00575	ppo:PPM_2934
ko:K03297	ppo:PPM_4983
ko:K08153	ppo:PPM_4194
ko:K01101	ppo:PPM_2687
ko:K07319	ppo:PPM_p0129
ko:K07404	ppo:PPM_0467
ko:K03406	ppo:PPM_0475
ko:K04750	ppo:PPM_0507
ko:K06147	ppo:PPM_0971
ko:K06147	ppo:PPM_0972
ko:K07720	ppo:PPM_0977
ko:K10439	ppo:PPM_0979
ko:K03177	ppo:PPM_1935
ko:K02033	ppo:PPM_0392
ko:K07720	ppo:PPM_0525
ko:K07720	ppo:PPM_0553
ko:K03649	ppo:PPM_0992
ko:K09684	ppo:PPM_0994
ko:K03406	ppo:PPM_1000
ko:K03768	ppo:PPM_1005
ko:K10439	ppo:PPM_1021
ko:K07720	ppo:PPM_1023
ko:K02035	ppo:PPM_0394
ko:K02033	ppo:PPM_1075
ko:K09155	ppo:PPM_0579
ko:K00059	ppo:PPM_1954
ko:K07792	ppo:PPM_1542
ko:K01226	ppo:PPM_0627
ko:K03486	ppo:PPM_0629
ko:K15976	ppo:PPM_0654
ko:K07720	ppo:PPM_0662
ko:K01916	ppo:PPM_0715
ko:K00626	ppo:PPM_1146
ko:K01409	ppo:PPM_1151
ko:K01934	ppo:PPM_1153
ko:K03469	ppo:PPM_0733
ko:K09976	ppo:PPM_0735
ko:K01092	ppo:PPM_0749
ko:K07720	ppo:PPM_0752
ko:K02025	ppo:PPM_0754
ko:K07720	ppo:PPM_0270
ko:K01674	ppo:PPM_0307
ko:K05814	ppo:PPM_1172
ko:K03929	ppo:PPM_1181
ko:K03095	ppo:PPM_1200
ko:K07658	ppo:PPM_1580
ko:K10563	ppo:PPM_1585
ko:K06889	ppo:PPM_1591
ko:K03436	ppo:PPM_1603
ko:K00882	ppo:PPM_1604
ko:K01607	ppo:PPM_1608
ko:K02755	ppo:PPM_1610
ko:K02756	ppo:PPM_1610
ko:K02757	ppo:PPM_1610
ko:K11707	ppo:PPM_1221
ko:K11710	ppo:PPM_1222
ko:K11708	ppo:PPM_1223
ko:K11709	ppo:PPM_1224
ko:K04720	ppo:PPM_1253
ko:K03488	ppo:PPM_1265
ko:K02755	ppo:PPM_1266
ko:K02756	ppo:PPM_1266
ko:K02757	ppo:PPM_1266
ko:K07025	ppo:PPM_1275
ko:K00027	ppo:PPM_1277
ko:K01077	ppo:PPM_1284
ko:K03574	ppo:PPM_1291
ko:K07017	ppo:PPM_1300
ko:K07025	ppo:PPM_1310
ko:K02056	ppo:PPM_1337
ko:K01760	ppo:PPM_1377
ko:K07182	ppo:PPM_1718
ko:K02342	ppo:PPM_1719
ko:K05337	ppo:PPM_1723
ko:K07816	ppo:PPM_1726
ko:K09763	ppo:PPM_1727
ko:K06183	ppo:PPM_1730
ko:K07304	ppo:PPM_1740
ko:K09702	ppo:PPM_1758
ko:K02025	ppo:PPM_1762
ko:K03455	ppo:PPM_1380
ko:K07669	ppo:PPM_1387
ko:K03856	ppo:PPM_1390
ko:K04750	ppo:PPM_1769
ko:K03647	ppo:PPM_1774
ko:K01192	ppo:PPM_1780
ko:K03406	ppo:PPM_1792
ko:K03406	ppo:PPM_1798
ko:K00616	ppo:PPM_1802
ko:K03406	ppo:PPM_1807
ko:K07533	ppo:PPM_0039
ko:K02499	ppo:PPM_0042
ko:K07114	ppo:PPM_0050
ko:K07533	ppo:PPM_0059
ko:K01664	ppo:PPM_0062
ko:K02619	ppo:PPM_0063
ko:K03498	ppo:PPM_0070
ko:K00088	ppo:PPM_0080
ko:K07258	ppo:PPM_0081
ko:K01724	ppo:PPM_0096
ko:K06147	ppo:PPM_0116
ko:K02010	ppo:PPM_0123
ko:K03048	ppo:PPM_0128
ko:K06023	ppo:PPM_0145
ko:K00845	ppo:PPM_0161
ko:K09762	ppo:PPM_0164
ko:K05937	ppo:PPM_1819
ko:K07177	ppo:PPM_1839
ko:K00059	ppo:PPM_1847
ko:K09787	ppo:PPM_1854
ko:K04488	ppo:PPM_1517
ko:K07052	ppo:PPM_1522
ko:K02414	ppo:PPM_1889
ko:K09749	ppo:PPM_1913
ko:K13953	ppo:PPM_0308
ko:K02025	ppo:PPM_0337
ko:K01209	ppo:PPM_0344
ko:K15986	ppo:PPM_0356
ko:K01197	ppo:PPM_0365
ko:K01788	ppo:PPM_0367
ko:K00845	ppo:PPM_0369
ko:K01424	ppo:PPM_0781
ko:K06889	ppo:PPM_0824
ko:K09685	ppo:PPM_0031
ko:K09705	ppo:PPM_0400
ko:K07213	ppo:PPM_0420
ko:K04750	ppo:PPM_0847
ko:K01119	ppo:PPM_0430
ko:K01182	ppo:PPM_0433
ko:K02793	ppo:PPM_0443
ko:K02795	ppo:PPM_0445
ko:K00016	ppo:PPM_0453
ko:K00851	ppo:PPM_0456
ko:K09815	ppo:PPM_2142
ko:K02005	ppo:PPM_2174
ko:K02004	ppo:PPM_2176
ko:K02446	ppo:PPM_2179
ko:K07105	ppo:PPM_2187
ko:K06889	ppo:PPM_2259
ko:K03406	ppo:PPM_2266
ko:K01259	ppo:PPM_2296
ko:K06147	ppo:PPM_2356
ko:K06147	ppo:PPM_2357
ko:K09992	ppo:PPM_2470
ko:K04750	ppo:PPM_2234
ko:K01885	ppo:PPM_2020
ko:K02035	ppo:PPM_2101
ko:K02033	ppo:PPM_2102
ko:K10563	ppo:PPM_2686
ko:K00784	ppo:PPM_2688
ko:K00548	ppo:PPM_2689
ko:K07025	ppo:PPM_2691
ko:K01560	ppo:PPM_2297
ko:K07720	ppo:PPM_2301
ko:K00059	ppo:PPM_2312
ko:K09702	ppo:PPM_2324
ko:K01426	ppo:PPM_2340
ko:K02035	ppo:PPM_2494
ko:K02033	ppo:PPM_2495
ko:K07720	ppo:PPM_2458
ko:K07104	ppo:PPM_2510
ko:K11105	ppo:PPM_2516
ko:K01679	ppo:PPM_2517
ko:K00700	ppo:PPM_2582
ko:K07025	ppo:PPM_2590
ko:K01104	ppo:PPM_2600
ko:K00949	ppo:PPM_2601
ko:K03294	ppo:PPM_2534
ko:K00016	ppo:PPM_2535
ko:K06147	ppo:PPM_2549
ko:K10439	ppo:PPM_2551
ko:K10440	ppo:PPM_2552
ko:K00852	ppo:PPM_2555
ko:K00059	ppo:PPM_2558
ko:K01569	ppo:PPM_2217
ko:K03976	ppo:PPM_2218
ko:K03153	ppo:PPM_2607
ko:K07273	ppo:PPM_2623
ko:K00033	ppo:PPM_2037
ko:K07404	ppo:PPM_2041
ko:K07095	ppo:PPM_2029
ko:K07078	ppo:PPM_2032
ko:K00036	ppo:PPM_2036
ko:K08369	ppo:PPM_2039
ko:K01118	ppo:PPM_2044
ko:K01776	ppo:PPM_2045
ko:K11210	ppo:PPM_2047
ko:K13275	ppo:PPM_2049
ko:K01575	ppo:PPM_2051
ko:K01652	ppo:PPM_2052
ko:K01812	ppo:PPM_2053
ko:K00156	ppo:PPM_2056
ko:K00041	ppo:PPM_2057
ko:K01685	ppo:PPM_2058
ko:K03827	ppo:PPM_2059
ko:K07718	ppo:PPM_2065
ko:K00975	ppo:PPM_2069
ko:K00975	ppo:PPM_2070
ko:K00688	ppo:PPM_2071
ko:K01421	ppo:PPM_2074
ko:K03150	ppo:PPM_2869
ko:K01012	ppo:PPM_2870
ko:K00931	ppo:PPM_2878
ko:K00147	ppo:PPM_2879
ko:K00286	ppo:PPM_2880
ko:K08965	ppo:PPM_2881
ko:K08966	ppo:PPM_2882
ko:K01893	ppo:PPM_2890
ko:K00925	ppo:PPM_2891
ko:K00074	ppo:PPM_2892
ko:K12960	ppo:PPM_2897
ko:K01926	ppo:PPM_2898
ko:K01579	ppo:PPM_2901
ko:K01918	ppo:PPM_2902
ko:K00606	ppo:PPM_2903
ko:K03524	ppo:PPM_2904
ko:K01734	ppo:PPM_2908
ko:K00215	ppo:PPM_2909
ko:K06975	ppo:PPM_0360
ko:K08976	ppo:PPM_0361
ko:K07696	ppo:PPM_0372
ko:K07718	ppo:PPM_0379
ko:K03186	ppo:PPM_0382
ko:K05813	ppo:PPM_1174
ko:K01993	ppo:PPM_1176
ko:K02000	ppo:PPM_1179
ko:K01938	ppo:PPM_1191
ko:K01775	ppo:PPM_1196
ko:K07723	ppo:PPM_1197
ko:K06959	ppo:PPM_1199
ko:K00432	ppo:PPM_1208
ko:K01546	ppo:PPM_1210
ko:K01547	ppo:PPM_1211
ko:K01548	ppo:PPM_1212
ko:K02469	ppo:PPM_0008
ko:K00943	ppo:PPM_0013
ko:K02341	ppo:PPM_0016
ko:K07056	ppo:PPM_0020
ko:K06284	ppo:PPM_0021
