ko:K03293	sagg:EN73_07305
ko:K01215	sagg:EN73_09185
ko:K13677	sagg:EN73_03990
ko:K07464	sagg:EN73_02685
ko:K06148	sagg:EN73_05535
ko:K11704	sagg:EN73_07545
ko:K11053	sagg:EN73_03785
ko:K15986	sagg:EN73_06945
ko:K04069	sagg:EN73_06950
ko:K03699	sagg:EN73_06955
ko:K07139	sagg:EN73_06970
ko:K07284	sagg:EN73_06995
ko:K03100	sagg:EN73_07010
ko:K00991	sagg:EN73_07055
ko:K07271	sagg:EN73_07060
ko:K09153	sagg:EN73_07070
ko:K12997	sagg:EN73_07080
ko:K12996	sagg:EN73_07085
ko:K00067	sagg:EN73_07090
ko:K03086	sagg:EN73_07100
ko:K03282	sagg:EN73_07110
ko:K02970	sagg:EN73_07125
ko:K06940	sagg:EN73_07130
ko:K02030	sagg:EN73_07135
ko:K03320	sagg:EN73_07140
ko:K07146	sagg:EN73_07150
ko:K02445	sagg:EN73_07160
ko:K00688	sagg:EN73_07165
ko:K00705	sagg:EN73_07170
ko:K10254	sagg:EN73_07425
ko:K07304	sagg:EN73_07435
ko:K00243	sagg:EN73_07440
ko:K02838	sagg:EN73_07445
ko:K09903	sagg:EN73_07450
ko:K10824	sagg:EN73_07455
ko:K15587	sagg:EN73_07460
ko:K02004	sagg:EN73_03605
ko:K02003	sagg:EN73_03610
ko:K02004	sagg:EN73_03615
ko:K05837	sagg:EN73_03640
ko:K02470	sagg:EN73_03650
ko:K06286	sagg:EN73_03655
ko:K01079	sagg:EN73_03660
ko:K01689	sagg:EN73_03675
ko:K00800	sagg:EN73_03685
ko:K00891	sagg:EN73_03690
ko:K03215	sagg:EN73_03700
ko:K01990	sagg:EN73_03730
ko:K01992	sagg:EN73_03735
ko:K01992	sagg:EN73_03740
ko:K02078	sagg:EN73_03760
ko:K02372	sagg:EN73_03765
ko:K11050	sagg:EN73_03770
ko:K11051	sagg:EN73_03775
ko:K02341	sagg:EN73_07725
ko:K00943	sagg:EN73_07730
ko:K04767	sagg:EN73_07735
ko:K01996	sagg:EN73_07740
ko:K01995	sagg:EN73_07745
ko:K01998	sagg:EN73_07750
ko:K01997	sagg:EN73_07755
ko:K01999	sagg:EN73_07760
ko:K01358	sagg:EN73_07770
ko:K00761	sagg:EN73_07775
ko:K14155	sagg:EN73_07780
ko:K03216	sagg:EN73_07785
ko:K03294	sagg:EN73_07790
ko:K03499	sagg:EN73_07795
ko:K03498	sagg:EN73_07800
ko:K08998	sagg:EN73_07805
ko:K06178	sagg:EN73_07810
ko:K06024	sagg:EN73_07815
ko:K05896	sagg:EN73_07820
ko:K07095	sagg:EN73_07835
ko:K02428	sagg:EN73_07840
ko:K01776	sagg:EN73_07845
ko:K09976	sagg:EN73_07850
ko:K16788	sagg:EN73_07855
ko:K07105	sagg:EN73_07860
ko:K06890	sagg:EN73_07865
ko:K06950	sagg:EN73_07870
ko:K03437	sagg:EN73_07875
ko:K01512	sagg:EN73_07880
ko:K03217	sagg:EN73_07885
ko:K10009	sagg:EN73_07890
ko:K02424	sagg:EN73_07895
ko:K01426	sagg:EN73_07900
ko:K03624	sagg:EN73_07905
ko:K07082	sagg:EN73_07910
ko:K01924	sagg:EN73_07920
ko:K03977	sagg:EN73_07940
ko:K11144	sagg:EN73_07945
ko:K03346	sagg:EN73_07950
ko:K07738	sagg:EN73_07955
ko:K07040	sagg:EN73_07970
ko:K03799	sagg:EN73_07975
ko:K03744	sagg:EN73_07980
ko:K03501	sagg:EN73_07985
ko:K02774	sagg:EN73_02560
ko:K02775	sagg:EN73_02565
ko:K01629	sagg:EN73_02570
ko:K02773	sagg:EN73_02575
ko:K02775	sagg:EN73_02580
ko:K02774	sagg:EN73_02585
ko:K00948	sagg:EN73_00260
ko:K00841	sagg:EN73_00265
ko:K03584	sagg:EN73_00270
ko:K07052	sagg:EN73_00275
ko:K03621	sagg:EN73_00280
ko:K02078	sagg:EN73_00285
ko:K01923	sagg:EN73_00290
ko:K01952	sagg:EN73_00295
ko:K00764	sagg:EN73_00300
ko:K01933	sagg:EN73_00305
ko:K11175	sagg:EN73_00310
ko:K00602	sagg:EN73_00320
ko:K01788	sagg:EN73_00335
ko:K02027	sagg:EN73_00340
ko:K02025	sagg:EN73_00345
ko:K02026	sagg:EN73_00350
ko:K01639	sagg:EN73_00365
ko:K01060	sagg:EN73_00375
ko:K01945	sagg:EN73_00385
ko:K01588	sagg:EN73_00390
ko:K01589	sagg:EN73_00395
ko:K01756	sagg:EN73_00410
ko:K03551	sagg:EN73_00420
ko:K01104	sagg:EN73_00425
ko:K13292	sagg:EN73_04130
ko:K04567	sagg:EN73_04195
ko:K08303	sagg:EN73_04155
ko:K03322	sagg:EN73_04170
ko:K11752	sagg:EN73_04175
ko:K00793	sagg:EN73_04180
ko:K14652	sagg:EN73_04185
ko:K00794	sagg:EN73_04190
ko:K07386	sagg:EN73_03825
ko:K07386	sagg:EN73_03830
ko:K15586	sagg:EN73_07465
ko:K15585	sagg:EN73_07470
ko:K15584	sagg:EN73_07475
ko:K02863	sagg:EN73_07480
ko:K02867	sagg:EN73_07485
ko:K08170	sagg:EN73_07495
ko:K03342	sagg:EN73_07520
ko:K03466	sagg:EN73_07525
ko:K03767	sagg:EN73_07530
ko:K03709	sagg:EN73_07550
ko:K01243	sagg:EN73_07555
ko:K01515	sagg:EN73_07565
ko:K04042	sagg:EN73_07570
ko:K04750	sagg:EN73_07575
ko:K00059	sagg:EN73_07600
ko:K03311	sagg:EN73_07650
ko:K01874	sagg:EN73_07655
ko:K16868	sagg:EN73_07660
ko:K01142	sagg:EN73_07680
ko:K00567	sagg:EN73_07690
ko:K00058	sagg:EN73_07695
ko:K00831	sagg:EN73_07705
ko:K06201	sagg:EN73_07710
ko:K07056	sagg:EN73_07715
ko:K02313	sagg:EN73_00010
ko:K02338	sagg:EN73_00015
ko:K08986	sagg:EN73_04090
ko:K07089	sagg:EN73_04095
ko:K06942	sagg:EN73_00035
ko:K01056	sagg:EN73_00040
ko:K03723	sagg:EN73_00045
ko:K01467	sagg:EN73_00065
ko:K04075	sagg:EN73_00070
ko:K00760	sagg:EN73_00075
ko:K03798	sagg:EN73_00080
ko:K02004	sagg:EN73_03870
ko:K02003	sagg:EN73_03875
ko:K06959	sagg:EN73_04110
ko:K15051	sagg:EN73_03885
ko:K03975	sagg:EN73_03890
