ko:K02495	seb:STM474_4182
ko:K07497	seb:STM474_2904
ko:K18138	seb:STM474_0495
ko:K19092	seb:STM474_3099
ko:K22507	seb:STM474_3029
ko:K18923	seb:STM474_1562
ko:K19504	seb:STM474_4743
ko:K03297	seb:STM474_1665
ko:K10014	seb:STM474_2451
ko:K19595	seb:STM474_0366
ko:K19555	seb:STM474_p1072
ko:K19557	seb:STM474_p1080
ko:K14236	seb:STM474_t4327
ko:K14236	seb:STM474_t1775
ko:K14236	seb:STM474_t1774
ko:K01990	seb:STM474_0843
ko:K09690	seb:STM474_0745
ko:K02226	seb:STM474_0664
ko:K00971	seb:STM474_2190
ko:K16013	seb:STM474_0944
ko:K14062	seb:STM474_1480
ko:K09476	seb:STM474_0985
ko:K12340	seb:STM474_3340
ko:K02345	seb:STM474_1908
ko:K16012	seb:STM474_0943
ko:K01686	seb:STM474_3285
ko:K01812	seb:STM474_3287
ko:K01460	seb:STM474_3289
ko:K02020	seb:STM474_3291
ko:K02016	seb:STM474_3292
ko:K04653	seb:STM474_3293
ko:K04651	seb:STM474_3294
ko:K03561	seb:STM474_3310
ko:K08325	seb:STM474_3315
ko:K03319	seb:STM474_3317
ko:K00655	seb:STM474_3326
ko:K02621	seb:STM474_3327
ko:K13652	seb:STM474_3328
ko:K05786	seb:STM474_4133
ko:K01058	seb:STM474_4135
ko:K03654	seb:STM474_4136
ko:K05835	seb:STM474_4137
ko:K05834	seb:STM474_4138
ko:K03576	seb:STM474_4142
ko:K00549	seb:STM474_4143
ko:K06871	seb:STM474_4145
ko:K01061	seb:STM474_4146
ko:K00757	seb:STM474_4147
ko:K09760	seb:STM474_4148
ko:K03183	seb:STM474_4149
ko:K03690	seb:STM474_4150
ko:K03688	seb:STM474_4151
ko:K03116	seb:STM474_4152
ko:K03117	seb:STM474_4153
ko:K03118	seb:STM474_4154
ko:K03424	seb:STM474_4155
ko:K03182	seb:STM474_4157
ko:K05368	seb:STM474_4158
ko:K01825	seb:STM474_4161
ko:K03753	seb:STM474_4172
ko:K03752	seb:STM474_4173
ko:K09896	seb:STM474_4174
ko:K03673	seb:STM474_4176
ko:K03978	seb:STM474_4179
ko:K09894	seb:STM474_4181
ko:K07712	seb:STM474_4183
ko:K07708	seb:STM474_4184
ko:K01915	seb:STM474_4185
ko:K06207	seb:STM474_4186
ko:K04025	seb:STM474_2558
ko:K04026	seb:STM474_2559
ko:K03736	seb:STM474_2560
ko:K14347	seb:STM474_2527
ko:K09954	seb:STM474_2528
ko:K01972	seb:STM474_2529
ko:K03528	seb:STM474_2530
ko:K06203	seb:STM474_2531
ko:K01738	seb:STM474_2532
ko:K00868	seb:STM474_2538
ko:K01951	seb:STM474_2540
ko:K12339	seb:STM474_2543
ko:K02045	seb:STM474_2544
ko:K02047	seb:STM474_2545
ko:K02046	seb:STM474_2546
ko:K02048	seb:STM474_2547
ko:K07223	seb:STM474_2549
ko:K01448	seb:STM474_2553
ko:K00228	seb:STM474_2554
ko:K04033	seb:STM474_2557
ko:K07733	seb:STM474_2869
ko:K02781	seb:STM474_2886
ko:K08094	seb:STM474_2891
ko:K06859	seb:STM474_2892
ko:K00133	seb:STM474_3706
ko:K06156	seb:STM474_3707
ko:K06145	seb:STM474_3709
ko:K06911	seb:STM474_3710
ko:K09936	seb:STM474_3716
ko:K01126	seb:STM474_3720
