ko:K05595	sms:SMDSEM_043
ko:K13043	sms:SMDSEM_122
ko:K02860	sms:SMDSEM_214
ko:K00185	sms:SMDSEM_073
ko:K02988	sms:SMDSEM_249
ko:K02948	sms:SMDSEM_255
ko:K02114	sms:SMDSEM_015
ko:K01940	sms:SMDSEM_117
ko:K06168	sms:SMDSEM_200
ko:K02933	sms:SMDSEM_247
ko:K02881	sms:SMDSEM_248
ko:K02876	sms:SMDSEM_250
ko:K02518	sms:SMDSEM_252
ko:K04075	sms:SMDSEM_128
ko:K01695	sms:SMDSEM_129
ko:K01609	sms:SMDSEM_131
ko:K00766	sms:SMDSEM_132
ko:K01658	sms:SMDSEM_133
ko:K01657	sms:SMDSEM_134
ko:K01881	sms:SMDSEM_135
ko:K01338	sms:SMDSEM_136
ko:K01586	sms:SMDSEM_137
ko:K01736	sms:SMDSEM_139
ko:K04079	sms:SMDSEM_140
ko:K03070	sms:SMDSEM_142
ko:K02884	sms:SMDSEM_143
ko:K01880	sms:SMDSEM_145
ko:K02548	sms:SMDSEM_146
ko:K01733	sms:SMDSEM_147
ko:K00872	sms:SMDSEM_148
ko:K12524	sms:SMDSEM_149
ko:K09792	sms:SMDSEM_153
ko:K00406	sms:SMDSEM_155
ko:K03977	sms:SMDSEM_158
ko:K03644	sms:SMDSEM_159
ko:K02914	sms:SMDSEM_160
ko:K01902	sms:SMDSEM_161
ko:K01867	sms:SMDSEM_165
ko:K07277	sms:SMDSEM_167
ko:K02838	sms:SMDSEM_168
ko:K01893	sms:SMDSEM_169
ko:K03801	sms:SMDSEM_001
ko:K01679	sms:SMDSEM_002
ko:K03217	sms:SMDSEM_003
ko:K01873	sms:SMDSEM_004
ko:K02338	sms:SMDSEM_005
ko:K01890	sms:SMDSEM_006
ko:K01735	sms:SMDSEM_007
ko:K02469	sms:SMDSEM_008
ko:K02945	sms:SMDSEM_009
ko:K03885	sms:SMDSEM_011
ko:K03628	sms:SMDSEM_012
ko:K02835	sms:SMDSEM_013
ko:K03786	sms:SMDSEM_014
ko:K02112	sms:SMDSEM_016
ko:K02528	sms:SMDSEM_017
ko:K01870	sms:SMDSEM_019
ko:K03596	sms:SMDSEM_022
ko:K02341	sms:SMDSEM_023
ko:K08303	sms:SMDSEM_024
ko:K01886	sms:SMDSEM_026
ko:K03495	sms:SMDSEM_027
ko:K07056	sms:SMDSEM_029
ko:K00948	sms:SMDSEM_031
ko:K02897	sms:SMDSEM_032
ko:K01874	sms:SMDSEM_033
ko:K01885	sms:SMDSEM_035
ko:K02115	sms:SMDSEM_036
ko:K02111	sms:SMDSEM_037
ko:K02113	sms:SMDSEM_038
ko:K02109	sms:SMDSEM_039
ko:K02110	sms:SMDSEM_040
ko:K02108	sms:SMDSEM_041
ko:K00928	sms:SMDSEM_042
ko:K00052	sms:SMDSEM_044
ko:K01704	sms:SMDSEM_045
ko:K01703	sms:SMDSEM_046
ko:K01649	sms:SMDSEM_047
ko:K01866	sms:SMDSEM_049
ko:K01869	sms:SMDSEM_050
ko:K00615	sms:SMDSEM_051
ko:K00615	sms:SMDSEM_052
ko:K01875	sms:SMDSEM_054
ko:K02902	sms:SMDSEM_055
ko:K02913	sms:SMDSEM_056
ko:K06180	sms:SMDSEM_058
ko:K00145	sms:SMDSEM_118
ko:K01956	sms:SMDSEM_120
ko:K01955	sms:SMDSEM_121
ko:K00930	sms:SMDSEM_123
ko:K01438	sms:SMDSEM_124
ko:K00891	sms:SMDSEM_127
ko:K00658	sms:SMDSEM_192
ko:K03118	sms:SMDSEM_193
ko:K03664	sms:SMDSEM_194
ko:K04077	sms:SMDSEM_198
ko:K04078	sms:SMDSEM_199
ko:K09014	sms:SMDSEM_201
ko:K09013	sms:SMDSEM_202
ko:K09015	sms:SMDSEM_203
ko:K11717	sms:SMDSEM_204
ko:K02600	sms:SMDSEM_205
ko:K02519	sms:SMDSEM_206
ko:K04518	sms:SMDSEM_209
ko:K00133	sms:SMDSEM_210
ko:K02968	sms:SMDSEM_211
ko:K00800	sms:SMDSEM_213
ko:K02959	sms:SMDSEM_215
ko:K03624	sms:SMDSEM_217
ko:K02470	sms:SMDSEM_218
ko:K03501	sms:SMDSEM_219
ko:K00812	sms:SMDSEM_220
ko:K02911	sms:SMDSEM_221
ko:K00162	sms:SMDSEM_222
ko:K01624	sms:SMDSEM_223
ko:K03086	sms:SMDSEM_224
ko:K00962	sms:SMDSEM_225
ko:K02956	sms:SMDSEM_226
ko:K03183	sms:SMDSEM_227
ko:K02909	sms:SMDSEM_228
ko:K02950	sms:SMDSEM_229
ko:K02992	sms:SMDSEM_230
ko:K02355	sms:SMDSEM_231
ko:K02946	sms:SMDSEM_232
ko:K02906	sms:SMDSEM_233
ko:K02926	sms:SMDSEM_234
ko:K02886	sms:SMDSEM_236
ko:K02965	sms:SMDSEM_237
ko:K06173	sms:SMDSEM_059
ko:K03046	sms:SMDSEM_060
ko:K03043	sms:SMDSEM_061
ko:K02935	sms:SMDSEM_062
ko:K02864	sms:SMDSEM_063
