ko:K18929	cjeu:N565_00068
ko:K06921	cjeu:N565_00815
ko:K18928	cjeu:N565_00069
ko:K18139	cjeu:N565_00398
ko:K01978	cjeu:N565_02565
ko:K18682	cjeu:N565_01213
ko:K02031	cjeu:N565_01603
ko:K11782	cjeu:N565_01340
ko:K18924	cjeu:N565_00345
ko:K03559	cjeu:N565_01655
ko:K03559	cjeu:N565_00102
ko:K03559	cjeu:N565_00167
ko:K12574	cjeu:N565_01738
ko:K02484	cjeu:N565_01226
ko:K02484	cjeu:N565_01231
ko:K02484	cjeu:N565_01267
ko:K02010	cjeu:N565_00161
ko:K02242	cjeu:N565_01041
ko:K01959	cjeu:N565_01050
ko:K03148	cjeu:N565_01059
ko:K03830	cjeu:N565_00275
ko:K03177	cjeu:N565_01113
ko:K03406	cjeu:N565_01121
ko:K05595	cjeu:N565_01122
ko:K07305	cjeu:N565_01123
ko:K01784	cjeu:N565_01142
ko:K02843	cjeu:N565_01156
ko:K08077	cjeu:N565_00479
ko:K02342	cjeu:N565_00484
ko:K02028	cjeu:N565_00502
ko:K03498	cjeu:N565_01338
ko:K03499	cjeu:N565_01339
ko:K01885	cjeu:N565_01343
ko:K02028	cjeu:N565_00913
ko:K10041	cjeu:N565_00932
ko:K00575	cjeu:N565_00933
ko:K04652	cjeu:N565_00657
ko:K04655	cjeu:N565_00660
ko:K07304	cjeu:N565_00671
ko:K01507	cjeu:N565_00672
ko:K00939	cjeu:N565_00673
ko:K01262	cjeu:N565_00687
ko:K01854	cjeu:N565_01472
ko:K02454	cjeu:N565_01502
ko:K03286	cjeu:N565_01509
ko:K00974	cjeu:N565_00812
ko:K11085	cjeu:N565_00826
ko:K00076	cjeu:N565_00830
ko:K01916	cjeu:N565_00833
ko:K02030	cjeu:N565_00839
ko:K00674	cjeu:N565_01627
ko:K03593	cjeu:N565_01628
ko:K02014	cjeu:N565_01636
ko:K03469	cjeu:N565_01661
ko:K02067	cjeu:N565_01673
ko:K02574	cjeu:N565_00805
ko:K02017	cjeu:N565_00335
ko:K00652	cjeu:N565_00341
ko:K02566	cjeu:N565_00350
ko:K09825	cjeu:N565_00357
ko:K03386	cjeu:N565_00369
ko:K08738	cjeu:N565_01161
ko:K09981	cjeu:N565_01170
ko:K00016	cjeu:N565_01173
ko:K03768	cjeu:N565_01177
ko:K03406	cjeu:N565_01536
ko:K00127	cjeu:N565_01539
ko:K00124	cjeu:N565_01540
ko:K03635	cjeu:N565_01548
ko:K09952	cjeu:N565_01552
ko:K03326	cjeu:N565_01555
ko:K03796	cjeu:N565_01559
ko:K06857	cjeu:N565_01565
ko:K07792	cjeu:N565_00702
ko:K03406	cjeu:N565_00018
ko:K01424	cjeu:N565_00028
ko:K01092	cjeu:N565_00120
ko:K04517	cjeu:N565_00122
ko:K09815	cjeu:N565_00134
ko:K02004	cjeu:N565_00959
ko:K03406	cjeu:N565_00970
ko:K06346	cjeu:N565_00975
ko:K01270	cjeu:N565_00994
ko:K02030	cjeu:N565_00996
ko:K00616	cjeu:N565_00261
ko:K01439	cjeu:N565_01061
ko:K00088	cjeu:N565_01071
ko:K02433	cjeu:N565_01072
ko:K01719	cjeu:N565_01092
ko:K07457	cjeu:N565_01095
ko:K06603	cjeu:N565_00581
ko:K15896	cjeu:N565_01370
ko:K15898	cjeu:N565_01374
ko:K01409	cjeu:N565_01380
ko:K01679	cjeu:N565_01400
ko:K00769	cjeu:N565_01406
ko:K02428	cjeu:N565_01410
ko:K07017	cjeu:N565_01412
ko:K03711	cjeu:N565_00432
ko:K00244	cjeu:N565_00441
ko:K00245	cjeu:N565_00442
ko:K07126	cjeu:N565_00445
ko:K00059	cjeu:N565_00467
ko:K01104	cjeu:N565_01263
ko:K03326	cjeu:N565_01427
ko:K01760	cjeu:N565_01429
ko:K07031	cjeu:N565_01462
ko:K01885	cjeu:N565_00864
ko:K07098	cjeu:N565_00865
ko:K01664	cjeu:N565_00879
ko:K03342	cjeu:N565_00880
ko:K04763	cjeu:N565_00881
ko:K00058	cjeu:N565_00903
ko:K02004	cjeu:N565_01685
ko:K02004	cjeu:N565_01686
ko:K01082	cjeu:N565_01709
ko:K00567	cjeu:N565_00856
ko:K02238	cjeu:N565_01215
ko:K06013	cjeu:N565_00752
ko:K02055	cjeu:N565_00756
ko:K02030	cjeu:N565_00764
ko:K01585	cjeu:N565_00787
ko:K02033	cjeu:N565_01605
ko:K02035	cjeu:N565_01606
ko:K13640	cjeu:N565_01235
ko:K03455	cjeu:N565_01236
ko:K14228	cjeu:N565_01692
ko:K06917	cjeu:N565_00535
ko:K01772	cjeu:N565_00538
ko:K13017	cjeu:N565_00540
ko:K01872	cjeu:N565_00541
ko:K06287	cjeu:N565_00542
ko:K03695	cjeu:N565_00544
ko:K03797	cjeu:N565_00546
ko:K01923	cjeu:N565_00547
ko:K01952	cjeu:N565_00548
ko:K01952	cjeu:N565_00549
ko:K00655	cjeu:N565_00551
ko:K06199	cjeu:N565_00552
ko:K04079	cjeu:N565_00553
ko:K03324	cjeu:N565_00556
ko:K03324	cjeu:N565_00558
ko:K03587	cjeu:N565_00559
ko:K02408	cjeu:N565_00560
ko:K02388	cjeu:N565_00561
ko:K02387	cjeu:N565_00562
ko:K07082	cjeu:N565_00563
ko:K00031	cjeu:N565_00565
ko:K00024	cjeu:N565_00566
ko:K01903	cjeu:N565_00567
ko:K01902	cjeu:N565_00568
ko:K00176	cjeu:N565_00569
ko:K00174	cjeu:N565_00570
ko:K00175	cjeu:N565_00571
ko:K02567	cjeu:N565_00803
ko:K02573	cjeu:N565_00804
ko:K02568	cjeu:N565_00806
ko:K02570	cjeu:N565_00808
ko:K01433	cjeu:N565_00813
ko:K01929	cjeu:N565_00818
ko:K01921	cjeu:N565_00821
ko:K03550	cjeu:N565_00822
ko:K03980	cjeu:N565_00824
ko:K01883	cjeu:N565_00825
ko:K01714	cjeu:N565_00829
ko:K00912	cjeu:N565_00834
ko:K01733	cjeu:N565_00835
ko:K00979	cjeu:N565_00836
ko:K02419	cjeu:N565_00841
ko:K04042	cjeu:N565_00842
ko:K13038	cjeu:N565_00843
ko:K00806	cjeu:N565_00845
ko:K02654	cjeu:N565_00846
ko:K07091	cjeu:N565_00847
ko:K06173	cjeu:N565_00848
ko:K01754	cjeu:N565_00849
ko:K06929	cjeu:N565_00850
ko:K09943	cjeu:N565_00851
ko:K02501	cjeu:N565_01622
ko:K01814	cjeu:N565_01623
ko:K09805	cjeu:N565_01624
ko:K02500	cjeu:N565_01625
ko:K11755	cjeu:N565_01626
ko:K12506	cjeu:N565_01629
ko:K00958	cjeu:N565_01631
ko:K01095	cjeu:N565_01632
ko:K02968	cjeu:N565_01633
ko:K02835	cjeu:N565_01634
ko:K07226	cjeu:N565_01635
ko:K02015	cjeu:N565_01637
ko:K02013	cjeu:N565_01638
ko:K02016	cjeu:N565_01639
ko:K03575	cjeu:N565_01642
