ko:K02495	seeb:SEEB0189_022330
ko:K18138	seeb:SEEB0189_016920
ko:K18923	seeb:SEEB0189_011770
ko:K00632	seeb:SEEB0189_007625
ko:K19124	seeb:SEEB0189_005450
ko:K03297	seeb:SEEB0189_011245
ko:K19595	seeb:SEEB0189_017545
ko:K08348	seeb:SEEB0189_011660
ko:K02345	seeb:SEEB0189_010105
ko:K03111	seeb:SEEB0189_021170
ko:K02032	seeb:SEEB0189_013280
ko:K09017	seeb:SEEB0189_013970
ko:K03111	seeb:SEEB0189_000235
ko:K10906	seeb:SEEB0189_014525
ko:K18968	seeb:SEEB0189_017375
ko:K06148	seeb:SEEB0189_021140
ko:K18984	seeb:SEEB0189_012555
ko:K00526	seeb:SEEB0189_008180
ko:K00287	seeb:SEEB0189_018950
ko:K19221	seeb:SEEB0189_010905
ko:K00254	seeb:SEEB0189_014270
ko:K01175	seeb:SEEB0189_015805
ko:K01271	seeb:SEEB0189_022425
ko:K01139	seeb:SEEB0189_001150
ko:K07274	seeb:SEEB0189_013145
ko:K19230	seeb:SEEB0189_011025
ko:K18816	seeb:SEEB0189_011415
ko:K07012	seeb:SEEB0189_005435
ko:K18838	seeb:SEEB0189_017950
ko:K01420	seeb:SEEB0189_011205
ko:K09477	seeb:SEEB0189_016195
ko:K03559	seeb:SEEB0189_004085
ko:K00040	seeb:SEEB0189_004195
ko:K00151	seeb:SEEB0189_014060
ko:K00821	seeb:SEEB0189_002520
ko:K00951	seeb:SEEB0189_005340
ko:K17713	seeb:SEEB0189_006955
ko:K03604	seeb:SEEB0189_012385
ko:K03417	seeb:SEEB0189_017470
ko:K06075	seeb:SEEB0189_012315
ko:K07245	seeb:SEEB0189_010115
ko:K08302	seeb:SEEB0189_003605
ko:K17467	seeb:SEEB0189_001035
ko:K19697	seeb:SEEB0189_009180
ko:K03585	seeb:SEEB0189_016915
ko:K12678	seeb:SEEB0189_001095
ko:K01897	seeb:SEEB0189_010400
ko:K18139	seeb:SEEB0189_017555
ko:K08316	seeb:SEEB0189_002020
ko:K08598	seeb:SEEB0189_005845
ko:K17468	seeb:SEEB0189_001040
ko:K17463	seeb:SEEB0189_001045
ko:K17465	seeb:SEEB0189_001025
ko:K17464	seeb:SEEB0189_001020
ko:K17466	seeb:SEEB0189_001030
ko:K01990	seeb:SEEB0189_018480
ko:K01977	seeb:SEEB0189_021475
ko:K14219	seeb:SEEB0189_016540
ko:K14223	seeb:SEEB0189_015915
ko:K14223	seeb:SEEB0189_015920
ko:K14223	seeb:SEEB0189_015900
ko:K14223	seeb:SEEB0189_015905
ko:K14219	seeb:SEEB0189_013340
ko:K01977	seeb:SEEB0189_002865
ko:K01977	seeb:SEEB0189_018060
ko:K14230	seeb:SEEB0189_003425
ko:K14230	seeb:SEEB0189_005175
ko:K14230	seeb:SEEB0189_005180
ko:K14231	seeb:SEEB0189_004300
ko:K14231	seeb:SEEB0189_020765
ko:K14225	seeb:SEEB0189_009755
ko:K14225	seeb:SEEB0189_020610
ko:K14225	seeb:SEEB0189_020600
ko:K14225	seeb:SEEB0189_020605
ko:K14224	seeb:SEEB0189_002870
ko:K14224	seeb:SEEB0189_006530
ko:K14224	seeb:SEEB0189_022870
ko:K14224	seeb:SEEB0189_021470
ko:K14234	seeb:SEEB0189_021630
ko:K14236	seeb:SEEB0189_021640
ko:K14236	seeb:SEEB0189_010705
ko:K14236	seeb:SEEB0189_010710
ko:K17473	seeb:SEEB0189_001015
ko:K01985	seeb:SEEB0189_002880
ko:K01985	seeb:SEEB0189_022860
ko:K01985	seeb:SEEB0189_006540
ko:K01985	seeb:SEEB0189_022385
ko:K01985	seeb:SEEB0189_021460
ko:K01985	seeb:SEEB0189_018040
ko:K01985	seeb:SEEB0189_021665
ko:K01985	seeb:SEEB0189_002890
ko:K14228	seeb:SEEB0189_019605
ko:K14228	seeb:SEEB0189_022670
ko:K14228	seeb:SEEB0189_019615
ko:K14228	seeb:SEEB0189_019610
ko:K14226	seeb:SEEB0189_022675
ko:K14219	seeb:SEEB0189_022680
ko:K14235	seeb:SEEB0189_022850
ko:K14221	seeb:SEEB0189_017980
ko:K14221	seeb:SEEB0189_022855
ko:K14221	seeb:SEEB0189_018035
ko:K01992	seeb:SEEB0189_018475
ko:K01977	seeb:SEEB0189_021685
ko:K14238	seeb:SEEB0189_001110
ko:K14232	seeb:SEEB0189_001710
ko:K14234	seeb:SEEB0189_017680
ko:K14230	seeb:SEEB0189_015890
ko:K14230	seeb:SEEB0189_015910
ko:K14237	seeb:SEEB0189_007475
ko:K14237	seeb:SEEB0189_007485
ko:K14237	seeb:SEEB0189_015590
ko:K14237	seeb:SEEB0189_007480
ko:K14233	seeb:SEEB0189_013905
ko:K14233	seeb:SEEB0189_014815
ko:K14233	seeb:SEEB0189_014135
ko:K14219	seeb:SEEB0189_013265
ko:K14237	seeb:SEEB0189_012420
ko:K14237	seeb:SEEB0189_012415
ko:K14228	seeb:SEEB0189_009765
ko:K14222	seeb:SEEB0189_009760
ko:K14232	seeb:SEEB0189_008370
ko:K14219	seeb:SEEB0189_007600
ko:K14225	seeb:SEEB0189_004705
ko:K14230	seeb:SEEB0189_003800
ko:K14228	seeb:SEEB0189_003410
ko:K14233	seeb:SEEB0189_009485
ko:K01977	seeb:SEEB0189_022405
ko:K01250	seeb:SEEB0189_015975
ko:K01977	seeb:SEEB0189_000425
ko:K01980	seeb:SEEB0189_002875
ko:K01980	seeb:SEEB0189_021465
ko:K01980	seeb:SEEB0189_021670
ko:K01980	seeb:SEEB0189_018045
ko:K01980	seeb:SEEB0189_006535
ko:K01980	seeb:SEEB0189_022390
ko:K01980	seeb:SEEB0189_022865
ko:K14234	seeb:SEEB0189_002885
ko:K14219	seeb:SEEB0189_006050
ko:K14219	seeb:SEEB0189_006065
ko:K14219	seeb:SEEB0189_006060
