ko:K10747	pstt:CH92_14500
ko:K11741	pstt:CH92_10865
ko:K03297	pstt:CH92_18975
ko:K03863	pstt:CH92_04380
ko:K22617	pstt:CH92_05040
ko:K16238	pstt:CH92_18085
ko:K11741	pstt:CH92_07490
ko:K03111	pstt:CH92_03420
ko:K18135	pstt:CH92_17705
ko:K18979	pstt:CH92_18060
ko:K11209	pstt:CH92_15745
ko:K01777	pstt:CH92_04385
ko:K18291	pstt:CH92_08205
ko:K01007	pstt:CH92_09100
ko:K21430	pstt:CH92_06015
ko:K11894	pstt:CH92_03060
ko:K08085	pstt:CH92_03980
ko:K02650	pstt:CH92_17025
ko:K02351	pstt:CH92_00955
ko:K00249	pstt:CH92_12230
ko:K00248	pstt:CH92_19235
ko:K00042	pstt:CH92_05800
ko:K21757	pstt:CH92_10145
ko:K01800	pstt:CH92_04045
ko:K01978	pstt:CH92_21930
ko:K13788	pstt:CH92_04960
ko:K00925	pstt:CH92_04965
ko:K03775	pstt:CH92_04970
ko:K00432	pstt:CH92_04975
ko:K16137	pstt:CH92_04980
ko:K06203	pstt:CH92_04995
ko:K09948	pstt:CH92_05005
ko:K07589	pstt:CH92_05015
ko:K13938	pstt:CH92_05020
ko:K06205	pstt:CH92_05030
ko:K05520	pstt:CH92_05060
ko:K01676	pstt:CH92_05070
ko:K00873	pstt:CH92_05085
ko:K03924	pstt:CH92_05110
ko:K01141	pstt:CH92_05140
ko:K01433	pstt:CH92_05150
ko:K06915	pstt:CH92_05160
ko:K09861	pstt:CH92_05175
ko:K07175	pstt:CH92_05185
ko:K03637	pstt:CH92_05190
ko:K03636	pstt:CH92_05195
ko:K03635	pstt:CH92_05200
ko:K03732	pstt:CH92_05205
ko:K06999	pstt:CH92_05215
ko:K09969	pstt:CH92_05220
ko:K09970	pstt:CH92_05225
ko:K09971	pstt:CH92_05230
ko:K09972	pstt:CH92_05235
ko:K07058	pstt:CH92_06165
ko:K14335	pstt:CH92_06170
ko:K06986	pstt:CH92_06175
ko:K05524	pstt:CH92_06190
ko:K03555	pstt:CH92_06195
ko:K03743	pstt:CH92_06205
ko:K03565	pstt:CH92_06215
ko:K06966	pstt:CH92_06220
ko:K05812	pstt:CH92_06235
ko:K00528	pstt:CH92_06255
ko:K09858	pstt:CH92_06260
ko:K00275	pstt:CH92_06295
ko:K06077	pstt:CH92_06305
ko:K05559	pstt:CH92_06310
ko:K05560	pstt:CH92_06315
ko:K05561	pstt:CH92_06320
ko:K05562	pstt:CH92_06325
ko:K05563	pstt:CH92_06330
ko:K05564	pstt:CH92_06335
ko:K00990	pstt:CH92_06340
ko:K01265	pstt:CH92_06345
ko:K02967	pstt:CH92_06350
ko:K02357	pstt:CH92_06355
ko:K09903	pstt:CH92_06360
ko:K02838	pstt:CH92_06365
ko:K00806	pstt:CH92_06370
ko:K00981	pstt:CH92_06375
ko:K00099	pstt:CH92_06380
ko:K11749	pstt:CH92_06385
ko:K07277	pstt:CH92_06390
ko:K06603	pstt:CH92_08735
ko:K02407	pstt:CH92_08740
ko:K02422	pstt:CH92_08745
ko:K09913	pstt:CH92_08755
ko:K09922	pstt:CH92_08760
ko:K01647	pstt:CH92_08765
ko:K00241	pstt:CH92_08770
ko:K00242	pstt:CH92_08775
ko:K00239	pstt:CH92_08780
ko:K00240	pstt:CH92_08785
ko:K00164	pstt:CH92_08790
ko:K00658	pstt:CH92_08795
ko:K00382	pstt:CH92_08800
ko:K01903	pstt:CH92_08805
ko:K01902	pstt:CH92_08810
ko:K03311	pstt:CH92_08815
ko:K04079	pstt:CH92_08840
