ko:K19079	saum:BN843_6620
ko:K09022	saum:BN843_4800
ko:K19005	saum:BN843_7190
ko:K01318	saum:BN843_18160
ko:K19285	saum:BN843_3880
ko:K00887	saum:BN843_15730
ko:K05592	saum:BN843_21180
ko:K07145	saum:BN843_1710
ko:K07002	saum:BN843_18420
ko:K00231	saum:BN843_18430
ko:K01772	saum:BN843_18440
ko:K01599	saum:BN843_18450
ko:K12574	saum:BN843_11830
ko:K12574	saum:BN843_9940
ko:K18934	saum:BN843_22070
ko:K18936	saum:BN843_24560
ko:K18935	saum:BN843_22090
ko:K03328	saum:BN843_1350
ko:K03328	saum:BN843_4880
ko:K01262	saum:BN843_15350
ko:K18940	saum:BN843_13300
ko:K21454	saum:BN843_23970
ko:K07045	saum:BN843_26170
ko:K19975	saum:BN843_6330
ko:K19973	saum:BN843_6350
ko:K08170	saum:BN843_1060
ko:K03324	saum:BN843_1070
ko:K03303	saum:BN843_1120
ko:K14196	saum:BN843_1130
ko:K02015	saum:BN843_1150
ko:K02015	saum:BN843_1160
ko:K02016	saum:BN843_1170
ko:K01586	saum:BN843_1250
ko:K00283	saum:BN843_15400
ko:K00282	saum:BN843_15410
ko:K00605	saum:BN843_15420
ko:K00891	saum:BN843_15430
ko:K02913	saum:BN843_15550
ko:K12553	saum:BN843_15560
ko:K04564	saum:BN843_15570
ko:K09816	saum:BN843_15590
ko:K09817	saum:BN843_15600
ko:K01151	saum:BN843_15610
ko:K06967	saum:BN843_15640
ko:K03086	saum:BN843_15650
ko:K09773	saum:BN843_15670
ko:K01880	saum:BN843_15690
ko:K03584	saum:BN843_15700
ko:K07042	saum:BN843_15740
ko:K02970	saum:BN843_15790
ko:K09761	saum:BN843_15810
ko:K02687	saum:BN843_15820
ko:K03686	saum:BN843_15830
ko:K04043	saum:BN843_15840
ko:K03687	saum:BN843_15850
ko:K02016	saum:BN843_23220
ko:K08717	saum:BN843_23240
ko:K01430	saum:BN843_23250
ko:K01429	saum:BN843_23260
ko:K01428	saum:BN843_23270
ko:K03187	saum:BN843_23280
ko:K03188	saum:BN843_23290
ko:K03189	saum:BN843_23300
ko:K03190	saum:BN843_23310
ko:K03315	saum:BN843_23370
ko:K09940	saum:BN843_23390
ko:K00123	saum:BN843_23460
ko:K03453	saum:BN843_23590
ko:K02749	saum:BN843_23610
ko:K02750	saum:BN843_23610
ko:K03481	saum:BN843_23620
ko:K01468	saum:BN843_23690
ko:K01712	saum:BN843_23700
ko:K00128	saum:BN843_1730
ko:K00128	saum:BN843_19610
ko:K00128	saum:BN843_21590
ko:K14225	saum:BN843_t18370
ko:K14225	saum:BN843_t20980
ko:K02503	saum:BN843_18490
ko:K06180	saum:BN843_18610
ko:K03216	saum:BN843_18660
ko:K09765	saum:BN843_26290
ko:K06978	saum:BN843_26320
ko:K01579	saum:BN843_26330
ko:K01918	saum:BN843_26340
ko:K00606	saum:BN843_26350
ko:K00077	saum:BN843_26360
ko:K01575	saum:BN843_26370
ko:K00823	saum:BN843_26400
ko:K01623	saum:BN843_26420
ko:K00116	saum:BN843_26430
ko:K01895	saum:BN843_26440
ko:K03300	saum:BN843_26540
ko:K02304	saum:BN843_26550
ko:K00432	saum:BN843_26570
ko:K13292	saum:BN843_7610
ko:K00384	saum:BN843_7640
ko:K01358	saum:BN843_7690
ko:K07071	saum:BN843_7700
ko:K05311	saum:BN843_7720
ko:K00134	saum:BN843_7730
ko:K00927	saum:BN843_7740
ko:K01803	saum:BN843_7750
ko:K15633	saum:BN843_7760
ko:K01689	saum:BN843_7770
ko:K03075	saum:BN843_7790
ko:K03928	saum:BN843_7800
ko:K12573	saum:BN843_7810
ko:K03664	saum:BN843_7820
ko:K03704	saum:BN843_7930
ko:K06895	saum:BN843_8010
ko:K03785	saum:BN843_8040
ko:K02437	saum:BN843_8080
ko:K07476	saum:BN843_8110
ko:K03564	saum:BN843_19000
ko:K01845	saum:BN843_19010
ko:K03575	saum:BN843_19050
ko:K07038	saum:BN843_19060
ko:K03565	saum:BN843_19100
ko:K04478	saum:BN843_19110
ko:K05520	saum:BN843_19120
ko:K07058	saum:BN843_19200
ko:K07681	saum:BN843_19220
ko:K01265	saum:BN843_19250
ko:K02217	saum:BN843_19300
ko:K14192	saum:BN843_26680
ko:K00926	saum:BN843_26700
ko:K03758	saum:BN843_26710
ko:K00611	saum:BN843_26720
ko:K02768	saum:BN843_26790
ko:K02769	saum:BN843_26790
ko:K02770	saum:BN843_26790
ko:K01809	saum:BN843_26800
ko:K01421	saum:BN843_26810
ko:K03070	saum:BN843_26870
ko:K03076	saum:BN843_26910
ko:K11936	saum:BN843_27040
ko:K04564	saum:BN843_1360
ko:K01839	saum:BN843_1420
ko:K02042	saum:BN843_1430
ko:K02042	saum:BN843_1440
ko:K02041	saum:BN843_1450
ko:K02044	saum:BN843_1460
ko:K03310	saum:BN843_9170
ko:K02837	saum:BN843_9250
ko:K02250	saum:BN843_9320
ko:K03800	saum:BN843_9340
ko:K02003	saum:BN843_9390
ko:K15977	saum:BN843_9430
ko:K02016	saum:BN843_9440
ko:K02548	saum:BN843_9480
ko:K02551	saum:BN843_9500
ko:K01661	saum:BN843_9520
ko:K13715	saum:BN843_9540
ko:K02829	saum:BN843_9640
ko:K02828	saum:BN843_9650
ko:K02827	saum:BN843_9660
ko:K01114	saum:BN843_20520
ko:K02016	saum:BN843_20570
ko:K04077	saum:BN843_20620
ko:K04078	saum:BN843_20630
ko:K07078	saum:BN843_20660
ko:K07813	saum:BN843_20690
ko:K07800	saum:BN843_20700
ko:K07707	saum:BN843_20720
ko:K00847	saum:BN843_20730
ko:K01193	saum:BN843_20740
ko:K03484	saum:BN843_20750
ko:K03320	saum:BN843_20760
ko:K07112	saum:BN843_20780
ko:K01926	saum:BN843_20790
ko:K06158	saum:BN843_20800
ko:K02545	saum:BN843_630
ko:K04072	saum:BN843_1530
ko:K13012	saum:BN843_1670
ko:K02472	saum:BN843_1690
ko:K09790	saum:BN843_1720
ko:K16264	saum:BN843_1740
ko:K08996	saum:BN843_1860
ko:K00930	saum:BN843_1870
ko:K00620	saum:BN843_1880
ko:K00145	saum:BN843_1890
ko:K03311	saum:BN843_1910
ko:K07106	saum:BN843_1960
ko:K01153	saum:BN843_1990
ko:K02826	saum:BN843_9670
ko:K01491	saum:BN843_9690
ko:K01588	saum:BN843_9700
ko:K01589	saum:BN843_9710
ko:K01923	saum:BN843_9720
ko:K01952	saum:BN843_9740
ko:K01952	saum:BN843_9750
ko:K00764	saum:BN843_9760
ko:K01933	saum:BN843_9770
ko:K11175	saum:BN843_9780
ko:K00602	saum:BN843_9790
ko:K01945	saum:BN843_9800
ko:K16785	saum:BN843_9810
ko:K16786	saum:BN843_9820
ko:K16787	saum:BN843_9820
ko:K16925	saum:BN843_9830
ko:K06969	saum:BN843_9860
ko:K00425	saum:BN843_9910
ko:K00426	saum:BN843_9920
ko:K01462	saum:BN843_9960
ko:K00161	saum:BN843_9980
ko:K00162	saum:BN843_9990
ko:K00627	saum:BN843_10000
ko:K00382	saum:BN843_10010
ko:K03322	saum:BN843_10100
ko:K03789	saum:BN843_20830
ko:K06925	saum:BN843_20850
ko:K01687	saum:BN843_20860
ko:K01652	saum:BN843_20870
ko:K01653	saum:BN843_20880
ko:K00053	saum:BN843_20890
ko:K01649	saum:BN843_20900
ko:K00052	saum:BN843_20910
ko:K01703	saum:BN843_20920
ko:K01704	saum:BN843_20930
ko:K01754	saum:BN843_20940
ko:K06959	saum:BN843_21010
ko:K01775	saum:BN843_21080
ko:K00997	saum:BN843_21090
ko:K01548	saum:BN843_21130
ko:K01547	saum:BN843_21140
ko:K01546	saum:BN843_21150
ko:K07646	saum:BN843_21160
ko:K07667	saum:BN843_21170
ko:K00266	saum:BN843_4550
ko:K02818	saum:BN843_4570
ko:K02819	saum:BN843_4570
ko:K02343	saum:BN843_4610
ko:K09747	saum:BN843_4620
ko:K06187	saum:BN843_4630
ko:K00943	saum:BN843_4650
ko:K02341	saum:BN843_4670
ko:K07461	saum:BN843_4710
ko:K07056	saum:BN843_4720
ko:K01874	saum:BN843_4730
ko:K03424	saum:BN843_4740
ko:K05985	saum:BN843_4750
ko:K02528	saum:BN843_4760
ko:K00919	saum:BN843_4780
ko:K06412	saum:BN843_4810
ko:K04042	saum:BN843_4830
ko:K00948	saum:BN843_4840
ko:K02897	saum:BN843_4850
ko:K01056	saum:BN843_4860
ko:K03723	saum:BN843_4870
ko:K07571	saum:BN843_4920
ko:K04075	saum:BN843_4930
ko:K00760	saum:BN843_4940
ko:K03798	saum:BN843_4950
ko:K04083	saum:BN843_4960
ko:K01738	saum:BN843_4970
ko:K00796	saum:BN843_4980
ko:K01633	saum:BN843_4990
ko:K00950	saum:BN843_5000
ko:K04567	saum:BN843_5010
ko:K02621	saum:BN843_12700
ko:K03310	saum:BN843_12710
ko:K03480	saum:BN843_12720
ko:K14205	saum:BN843_12740
ko:K01821	saum:BN843_12770
ko:K01657	saum:BN843_12810
ko:K00766	saum:BN843_12830
ko:K01609	saum:BN843_12840
ko:K01817	saum:BN843_12850
ko:K01696	saum:BN843_12860
ko:K01695	saum:BN843_12870
ko:K11694	saum:BN843_12880
ko:K11695	saum:BN843_12890
ko:K02034	saum:BN843_12940
ko:K02039	saum:BN843_12980
ko:K02036	saum:BN843_12990
ko:K02038	saum:BN843_13000
ko:K02037	saum:BN843_13010
ko:K02040	saum:BN843_13020
ko:K00243	saum:BN843_13040
ko:K00928	saum:BN843_13070
ko:K00133	saum:BN843_13080
ko:K01714	saum:BN843_13090
ko:K00215	saum:BN843_13100
ko:K01775	saum:BN843_13130
ko:K01586	saum:BN843_13140
ko:K03704	saum:BN843_13160
ko:K03705	saum:BN843_15860
ko:K03596	saum:BN843_15880
ko:K02968	saum:BN843_15890
ko:K02340	saum:BN843_15900
ko:K02237	saum:BN843_15930
ko:K09710	saum:BN843_15950
ko:K00969	saum:BN843_15970
ko:K07574	saum:BN843_15980
ko:K00014	saum:BN843_15990
ko:K07015	saum:BN843_16010
ko:K07160	saum:BN843_16070
ko:K01961	saum:BN843_16080
ko:K02160	saum:BN843_16090
ko:K03624	saum:BN843_16120
ko:K00876	saum:BN843_16130
ko:K08303	saum:BN843_16140
ko:K07447	saum:BN843_16180
ko:K01872	saum:BN843_16200
ko:K03581	saum:BN843_16210
ko:K00566	saum:BN843_16230
ko:K04487	saum:BN843_16240
ko:K07478	saum:BN843_16290
ko:K01876	saum:BN843_16310
ko:K01892	saum:BN843_16320
ko:K11210	saum:BN843_23720
ko:K01807	saum:BN843_23760
ko:K09771	saum:BN843_23800
ko:K03652	saum:BN843_23840
ko:K03312	saum:BN843_23850
ko:K03284	saum:BN843_23870
ko:K07107	saum:BN843_23880
ko:K07552	saum:BN843_23950
ko:K09814	saum:BN843_24000
ko:K09813	saum:BN843_24010
ko:K00116	saum:BN843_24060
ko:K03303	saum:BN843_24070
ko:K01906	saum:BN843_24650
ko:K01929	saum:BN843_21190
ko:K01921	saum:BN843_21200
ko:K05837	saum:BN843_21210
ko:K06131	saum:BN843_21250
ko:K06950	saum:BN843_21260
ko:K03217	saum:BN843_21270
ko:K00788	saum:BN843_21280
ko:K00878	saum:BN843_21290
ko:K04757	saum:BN843_21030
ko:K00980	saum:BN843_6430
ko:K14195	saum:BN843_25330
ko:K02034	saum:BN843_2060
ko:K01118	saum:BN843_2100
ko:K00375	saum:BN843_5110
ko:K06215	saum:BN843_5120
ko:K08681	saum:BN843_5130
ko:K11535	saum:BN843_5140
ko:K03696	saum:BN843_5180
ko:K04485	saum:BN843_5190
ko:K00640	saum:BN843_5220
ko:K01883	saum:BN843_5230
ko:K11145	saum:BN843_5240
ko:K03218	saum:BN843_5250
ko:K06962	saum:BN843_5260
ko:K03091	saum:BN843_5270
ko:K03073	saum:BN843_5280
ko:K02601	saum:BN843_5290
ko:K02867	saum:BN843_5300
ko:K02863	saum:BN843_5310
ko:K02864	saum:BN843_5320
ko:K02935	saum:BN843_5330
ko:K03043	saum:BN843_5350
ko:K03046	saum:BN843_5360
ko:K07590	saum:BN843_5370
ko:K02950	saum:BN843_5380
ko:K02992	saum:BN843_5390
ko:K02355	saum:BN843_5400
ko:K02358	saum:BN843_5410
ko:K05523	saum:BN843_5440
ko:K00826	saum:BN843_5470
ko:K01091	saum:BN843_5490
ko:K15519	saum:BN843_5500
ko:K15518	saum:BN843_5510
ko:K11991	saum:BN843_5520
ko:K14194	saum:BN843_5550
ko:K14194	saum:BN843_5560
ko:K14194	saum:BN843_5570
ko:K01512	saum:BN843_13180
ko:K03311	saum:BN843_13230
ko:K00658	saum:BN843_13280
ko:K00164	saum:BN843_13290
ko:K02563	saum:BN843_13350
ko:K03797	saum:BN843_13370
ko:K09125	saum:BN843_13490
ko:K15771	saum:BN843_2140
ko:K15772	saum:BN843_2150
ko:K02012	saum:BN843_2230
ko:K00656	saum:BN843_2240
ko:K04069	saum:BN843_2250
ko:K01126	saum:BN843_2260
ko:K07516	saum:BN843_2300
ko:K00252	saum:BN843_2310
ko:K05916	saum:BN843_2380
ko:K02773	saum:BN843_2440
ko:K02774	saum:BN843_2450
ko:K06207	saum:BN843_10140
ko:K03588	saum:BN843_10180
ko:K02259	saum:BN843_10200
ko:K08976	saum:BN843_10220
ko:K01126	saum:BN843_10250
ko:K00954	saum:BN843_10290
ko:K07040	saum:BN843_10310
ko:K02911	saum:BN843_10320
ko:K14193	saum:BN843_10340
ko:K02016	saum:BN843_10370
ko:K02015	saum:BN843_10380
ko:K08600	saum:BN843_10390
ko:K03437	saum:BN843_10410
ko:K01889	saum:BN843_10420
ko:K01890	saum:BN843_10430
ko:K09888	saum:BN843_10450
ko:K02347	saum:BN843_10470
ko:K07456	saum:BN843_10480
ko:K03671	saum:BN843_10490
ko:K03703	saum:BN843_10500
ko:K00239	saum:BN843_10520
ko:K00240	saum:BN843_10530
ko:K01776	saum:BN843_10540
ko:K07095	saum:BN843_10560
ko:K14200	saum:BN843_10620
ko:K00941	saum:BN843_21300
ko:K03707	saum:BN843_21310
ko:K02372	saum:BN843_21360
ko:K00790	saum:BN843_21370
ko:K02114	saum:BN843_21390
ko:K02112	saum:BN843_21400
ko:K02115	saum:BN843_21410
ko:K02111	saum:BN843_21420
ko:K02113	saum:BN843_21430
ko:K02109	saum:BN843_21440
ko:K02110	saum:BN843_21450
ko:K02108	saum:BN843_21460
ko:K00761	saum:BN843_21490
ko:K00600	saum:BN843_21500
ko:K07566	saum:BN843_21530
ko:K02493	saum:BN843_21540
ko:K02835	saum:BN843_21550
ko:K02909	saum:BN843_21570
ko:K03628	saum:BN843_21580
ko:K00790	saum:BN843_21610
ko:K01624	saum:BN843_21620
ko:K01937	saum:BN843_21640
ko:K07173	saum:BN843_21710
ko:K00756	saum:BN843_21730
ko:K01448	saum:BN843_16330
ko:K07560	saum:BN843_16340
ko:K00759	saum:BN843_16360
ko:K07462	saum:BN843_16370
ko:K12257	saum:BN843_16380
ko:K03210	saum:BN843_16390
ko:K00773	saum:BN843_16400
ko:K07568	saum:BN843_16410
ko:K03551	saum:BN843_16420
ko:K03550	saum:BN843_16430
ko:K06209	saum:BN843_16440
ko:K03979	saum:BN843_16450
ko:K02899	saum:BN843_16460
ko:K02888	saum:BN843_16480
ko:K03571	saum:BN843_16490
ko:K03570	saum:BN843_16500
ko:K03630	saum:BN843_16610
ko:K11754	saum:BN843_16630
ko:K01873	saum:BN843_16640
ko:K01246	saum:BN843_16650
ko:K01845	saum:BN843_16680
ko:K01698	saum:BN843_16690
ko:K01749	saum:BN843_16710
ko:K02497	saum:BN843_16720
ko:K02492	saum:BN843_16730
ko:K03978	saum:BN843_16740
ko:K03544	saum:BN843_16750
ko:K03545	saum:BN843_16760
ko:K02887	saum:BN843_16790
ko:K02916	saum:BN843_16800
ko:K11102	saum:BN843_24240
ko:K10850	saum:BN843_24280
ko:K07696	saum:BN843_24320
ko:K07683	saum:BN843_24330
ko:K10851	saum:BN843_24340
ko:K00373	saum:BN843_24360
ko:K00371	saum:BN843_24370
ko:K00370	saum:BN843_24380
ko:K00363	saum:BN843_24400
ko:K00362	saum:BN843_24410
ko:K10010	saum:BN843_24530
ko:K10009	saum:BN843_24540
ko:K02424	saum:BN843_24550
ko:K14197	saum:BN843_24590
ko:K01012	saum:BN843_24670
ko:K00833	saum:BN843_24680
ko:K01935	saum:BN843_24690
ko:K05352	saum:BN843_2510
ko:K07322	saum:BN843_2580
ko:K07704	saum:BN843_2590
ko:K05338	saum:BN843_2610
ko:K05339	saum:BN843_2620
ko:K03489	saum:BN843_2630
ko:K01223	saum:BN843_2650
ko:K06726	saum:BN843_2680
ko:K02529	saum:BN843_2700
ko:K01442	saum:BN843_2750
ko:K03466	saum:BN843_2890
ko:K11032	saum:BN843_10660
ko:K00611	saum:BN843_10730
ko:K00926	saum:BN843_10740
ko:K03925	saum:BN843_10850
ko:K03438	saum:BN843_10860
ko:K12552	saum:BN843_10880
ko:K01000	saum:BN843_10890
ko:K01925	saum:BN843_10900
ko:K03589	saum:BN843_10910
ko:K03590	saum:BN843_10920
ko:K03531	saum:BN843_10930
ko:K05810	saum:BN843_10940
ko:K06997	saum:BN843_10950
ko:K09772	saum:BN843_10960
ko:K02221	saum:BN843_10970
ko:K04074	saum:BN843_10990
ko:K01870	saum:BN843_11000
ko:K03101	saum:BN843_11030
ko:K06180	saum:BN843_11040
ko:K02825	saum:BN843_11050
ko:K00609	saum:BN843_11070
ko:K01465	saum:BN843_11080
ko:K01956	saum:BN843_11090
ko:K01955	saum:BN843_11100
ko:K01591	saum:BN843_11110
ko:K00762	saum:BN843_11120
ko:K04047	saum:BN843_21760
ko:K01809	saum:BN843_21800
ko:K16264	saum:BN843_21830
ko:K02013	saum:BN843_21880
ko:K00820	saum:BN843_21890
ko:K09007	saum:BN843_5600
ko:K08094	saum:BN843_5650
ko:K03762	saum:BN843_5670
ko:K00868	saum:BN843_5730
ko:K03648	saum:BN843_5740
ko:K16869	saum:BN843_5820
ko:K06885	saum:BN843_6070
ko:K08170	saum:BN843_13700
ko:K01754	saum:BN843_13720
ko:K00259	saum:BN843_13730
ko:K07444	saum:BN843_13780
ko:K05366	saum:BN843_13850
ko:K10773	saum:BN843_13870
ko:K01893	saum:BN843_13890
ko:K03524	saum:BN843_13910
ko:K06973	saum:BN843_13950
ko:K00800	saum:BN843_14000
ko:K01735	saum:BN843_14010
ko:K01736	saum:BN843_14020
ko:K00940	saum:BN843_14040
ko:K03183	saum:BN843_14060
ko:K03530	saum:BN843_14080
ko:K00057	saum:BN843_14090
ko:K03977	saum:BN843_14100
ko:K02520	saum:BN843_16810
ko:K11733	saum:BN843_16820
ko:K01868	saum:BN843_16830
ko:K07738	saum:BN843_16860
ko:K00134	saum:BN843_16870
ko:K00859	saum:BN843_16880
ko:K07636	saum:BN843_16920
ko:K00031	saum:BN843_16940
ko:K01647	saum:BN843_16950
ko:K11737	saum:BN843_16960
ko:K00873	saum:BN843_17010
ko:K00850	saum:BN843_17020
ko:K01962	saum:BN843_17030
ko:K01963	saum:BN843_17040
ko:K02337	saum:BN843_17060
ko:K00259	saum:BN843_17120
ko:K00925	saum:BN843_17140
ko:K11065	saum:BN843_17160
ko:K07090	saum:BN843_17170
ko:K03151	saum:BN843_17180
ko:K04487	saum:BN843_17190
ko:K02986	saum:BN843_17230
ko:K01126	saum:BN843_17240
ko:K00865	saum:BN843_24730
ko:K11737	saum:BN843_24790
ko:K00077	saum:BN843_24840
ko:K08170	saum:BN843_24850
ko:K05846	saum:BN843_24860
ko:K05845	saum:BN843_24870
ko:K05846	saum:BN843_24880
ko:K05847	saum:BN843_24890
ko:K02069	saum:BN843_24940
ko:K02068	saum:BN843_24950
ko:K10824	saum:BN843_25030
ko:K15587	saum:BN843_25040
ko:K15586	saum:BN843_25050
ko:K15585	saum:BN843_25060
ko:K15584	saum:BN843_25070
ko:K00009	saum:BN843_21930
ko:K03431	saum:BN843_21950
ko:K01476	saum:BN843_21980
ko:K11068	saum:BN843_22100
ko:K07038	saum:BN843_22120
ko:K02015	saum:BN843_22150
ko:K02015	saum:BN843_22160
ko:K02016	saum:BN843_22170
ko:K03311	saum:BN843_3120
ko:K02003	saum:BN843_3150
ko:K03800	saum:BN843_3330
ko:K02445	saum:BN843_3420
ko:K00299	saum:BN843_3450
ko:K03817	saum:BN843_3480
ko:K07224	saum:BN843_3490
ko:K00942	saum:BN843_11170
ko:K03060	saum:BN843_11180
ko:K13038	saum:BN843_11190
ko:K04066	saum:BN843_11200
ko:K01462	saum:BN843_11230
ko:K00604	saum:BN843_11240
ko:K03500	saum:BN843_11250
ko:K06941	saum:BN843_11260
ko:K06949	saum:BN843_11290
