ko:K01006	ftg:FTU_0233
ko:K03602	ftg:FTU_1222
ko:K17103	ftg:FTU_0873
ko:K14742	ftg:FTU_1200
ko:K16013	ftg:FTU_1361
ko:K07464	ftg:FTU_0631
ko:K16012	ftg:FTU_1362
ko:K03704	ftg:FTU_0793
ko:K02970	ftg:FTU_0795
ko:K00963	ftg:FTU_0799
ko:K03629	ftg:FTU_0804
ko:K03424	ftg:FTU_0805
ko:K01879	ftg:FTU_0806
ko:K03070	ftg:FTU_0810
ko:K02888	ftg:FTU_0813
ko:K02899	ftg:FTU_0814
ko:K03684	ftg:FTU_0817
ko:K03703	ftg:FTU_0818
ko:K06966	ftg:FTU_0821
ko:K00208	ftg:FTU_0822
ko:K09930	ftg:FTU_0825
ko:K09929	ftg:FTU_0826
ko:K06041	ftg:FTU_0828
ko:K01783	ftg:FTU_0829
ko:K12995	ftg:FTU_0832
ko:K13282	ftg:FTU_0842
ko:K02968	ftg:FTU_1683
ko:K06186	ftg:FTU_1684
ko:K06997	ftg:FTU_1691
ko:K03501	ftg:FTU_1692
ko:K03834	ftg:FTU_1693
ko:K09861	ftg:FTU_1698
ko:K04078	ftg:FTU_1700
ko:K04077	ftg:FTU_1701
ko:K01952	ftg:FTU_1723
ko:K00764	ftg:FTU_1724
ko:K06133	ftg:FTU_1726
ko:K00573	ftg:FTU_1728
ko:K08303	ftg:FTU_1729
ko:K03979	ftg:FTU_1734
ko:K00337	ftg:FTU_0035
ko:K00338	ftg:FTU_0036
ko:K00339	ftg:FTU_0037
ko:K00340	ftg:FTU_0038
ko:K00341	ftg:FTU_0039
ko:K00342	ftg:FTU_0040
ko:K00343	ftg:FTU_0041
ko:K01599	ftg:FTU_0043
ko:K09748	ftg:FTU_0044
ko:K02600	ftg:FTU_0045
ko:K02519	ftg:FTU_0046
ko:K02834	ftg:FTU_0047
ko:K01892	ftg:FTU_0048
ko:K06916	ftg:FTU_0050
ko:K02108	ftg:FTU_0054
ko:K02110	ftg:FTU_0055
ko:K02109	ftg:FTU_0056
ko:K02113	ftg:FTU_0057
ko:K02111	ftg:FTU_0058
ko:K02115	ftg:FTU_0059
ko:K02112	ftg:FTU_0060
ko:K02114	ftg:FTU_0061
ko:K07390	ftg:FTU_0063
ko:K04564	ftg:FTU_0064
ko:K08218	ftg:FTU_0066
ko:K01647	ftg:FTU_0067
ko:K00242	ftg:FTU_0069
ko:K00239	ftg:FTU_0070
ko:K00240	ftg:FTU_0071
ko:K00164	ftg:FTU_0072
ko:K00658	ftg:FTU_0073
ko:K00759	ftg:FTU_0074
ko:K03431	ftg:FTU_0075
ko:K01803	ftg:FTU_0076
ko:K03075	ftg:FTU_0077
ko:K07223	ftg:FTU_0082
ko:K01681	ftg:FTU_0083
ko:K02669	ftg:FTU_0084
ko:K00426	ftg:FTU_0087
ko:K07071	ftg:FTU_0089
ko:K12297	ftg:FTU_0961
ko:K00604	ftg:FTU_0963
ko:K01920	ftg:FTU_0964
ko:K01845	ftg:FTU_0965
ko:K01207	ftg:FTU_0966
ko:K01935	ftg:FTU_0972
ko:K02169	ftg:FTU_0973
ko:K01012	ftg:FTU_0975
ko:K00833	ftg:FTU_0976
ko:K13941	ftg:FTU_0980
ko:K01633	ftg:FTU_0981
ko:K01495	ftg:FTU_0990
ko:K11927	ftg:FTU_0991
ko:K03305	ftg:FTU_0992
ko:K01142	ftg:FTU_0998
ko:K06987	ftg:FTU_0999
ko:K03923	ftg:FTU_1000
ko:K01626	ftg:FTU_1002
ko:K03106	ftg:FTU_1003
ko:K07090	ftg:FTU_1005
ko:K02518	ftg:FTU_1006
ko:K09014	ftg:FTU_1011
ko:K09013	ftg:FTU_1012
ko:K09015	ftg:FTU_1013
ko:K03306	ftg:FTU_0205
ko:K07220	ftg:FTU_0206
ko:K01114	ftg:FTU_0207
ko:K07160	ftg:FTU_0209
ko:K13288	ftg:FTU_0213
ko:K02356	ftg:FTU_0214
ko:K02655	ftg:FTU_0215
ko:K02517	ftg:FTU_0216
ko:K02517	ftg:FTU_0217
ko:K03217	ftg:FTU_0218
ko:K08998	ftg:FTU_0219
ko:K03536	ftg:FTU_0220
ko:K00014	ftg:FTU_0222
ko:K01924	ftg:FTU_0223
ko:K07056	ftg:FTU_0224
ko:K07015	ftg:FTU_0226
ko:K04759	ftg:FTU_0232
ko:K00826	ftg:FTU_0234
ko:K01649	ftg:FTU_0235
ko:K01147	ftg:FTU_0239
ko:K06999	ftg:FTU_0240
ko:K01749	ftg:FTU_0241
ko:K06199	ftg:FTU_0242
ko:K02494	ftg:FTU_0252
ko:K00919	ftg:FTU_0253
ko:K00426	ftg:FTU_0258
ko:K00425	ftg:FTU_0259
ko:K01872	ftg:FTU_1132
ko:K09710	ftg:FTU_1136
ko:K12267	ftg:FTU_1141
ko:K03437	ftg:FTU_1144
ko:K01442	ftg:FTU_1145
ko:K03089	ftg:FTU_1147
ko:K03074	ftg:FTU_1149
ko:K03072	ftg:FTU_1150
ko:K03210	ftg:FTU_1151
ko:K00773	ftg:FTU_1155
ko:K08591	ftg:FTU_1157
ko:K02071	ftg:FTU_1158
ko:K01770	ftg:FTU_1162
ko:K03802	ftg:FTU_1164
ko:K01126	ftg:FTU_1166
ko:K02652	ftg:FTU_1167
ko:K01772	ftg:FTU_1172
ko:K13038	ftg:FTU_1180
ko:K13821	ftg:FTU_1183
ko:K09159	ftg:FTU_1184
ko:K01735	ftg:FTU_1187
ko:K00891	ftg:FTU_1188
ko:K02909	ftg:FTU_0423
ko:K01919	ftg:FTU_0424
ko:K03980	ftg:FTU_0425
ko:K06925	ftg:FTU_0427
ko:K11754	ftg:FTU_0428
ko:K01963	ftg:FTU_0429
ko:K00940	ftg:FTU_0430
ko:K01937	ftg:FTU_0431
ko:K00262	ftg:FTU_0435
ko:K02871	ftg:FTU_1300
ko:K02996	ftg:FTU_1301
ko:K03599	ftg:FTU_1302
ko:K03600	ftg:FTU_1303
ko:K03470	ftg:FTU_1305
ko:K05808	ftg:FTU_1308
ko:K03650	ftg:FTU_1310
ko:K01697	ftg:FTU_1314
ko:K01874	ftg:FTU_1317
ko:K06190	ftg:FTU_1321
ko:K03183	ftg:FTU_1323
ko:K03690	ftg:FTU_1324
ko:K03688	ftg:FTU_1325
ko:K02503	ftg:FTU_1326
ko:K00075	ftg:FTU_1331
