ko:K22350	pput:L483_17555
ko:K19296	pput:L483_27285
ko:K09796	pput:L483_09665
ko:K10747	pput:L483_25935
ko:K00520	pput:L483_14930
ko:K02226	pput:L483_05955
ko:K18302	pput:L483_05440
ko:K13609	pput:L483_18820
ko:K03560	pput:L483_30995
ko:K08305	pput:L483_29130
ko:K03297	pput:L483_29780
ko:K03863	pput:L483_19450
ko:K18930	pput:L483_14745
ko:K22617	pput:L483_26720
ko:K16238	pput:L483_02850
ko:K09691	pput:L483_06420
ko:K11741	pput:L483_20790
ko:K18827	pput:L483_06425
ko:K11741	pput:L483_20825
ko:K11741	pput:L483_06045
ko:K18334	pput:L483_12080
ko:K00254	pput:L483_07720
ko:K00020	pput:L483_27855
ko:K03111	pput:L483_02495
ko:K18138	pput:L483_26530
ko:K18968	pput:L483_25660
ko:K12262	pput:L483_12610
ko:K12262	pput:L483_30060
ko:K07577	pput:L483_25930
ko:K00131	pput:L483_13415
ko:K02487	pput:L483_22130
ko:K01791	pput:L483_06595
ko:K18297	pput:L483_12050
ko:K11383	pput:L483_00300
ko:K18981	pput:L483_25550
ko:K08316	pput:L483_30715
ko:K01800	pput:L483_27545
ko:K03559	pput:L483_07015
ko:K03559	pput:L483_31675
ko:K15555	pput:L483_10055
ko:K06075	pput:L483_24665
ko:K06075	pput:L483_00555
ko:K15555	pput:L483_00765
ko:K00265	pput:L483_30525
ko:K11070	pput:L483_21930
ko:K03417	pput:L483_09430
ko:K14219	pput:L483_09240
ko:K16841	pput:L483_23865
ko:K14221	pput:L483_06065
ko:K14221	pput:L483_07350
ko:K14221	pput:L483_07345
ko:K14221	pput:L483_07340
ko:K14230	pput:L483_03560
ko:K14233	pput:L483_25215
ko:K12255	pput:L483_24705
ko:K02065	pput:L483_20840
ko:K19609	pput:L483_02795
ko:K14235	pput:L483_02270
ko:K14225	pput:L483_02255
ko:K02067	pput:L483_20845
ko:K02066	pput:L483_20835
ko:K19611	pput:L483_09155
ko:K07323	pput:L483_04680
ko:K07122	pput:L483_04685
ko:K00790	pput:L483_04695
ko:K00765	pput:L483_04700
ko:K00013	pput:L483_04705
ko:K00817	pput:L483_04710
ko:K03449	pput:L483_04720
ko:K07461	pput:L483_04735
ko:K06899	pput:L483_04740
ko:K03530	pput:L483_04745
ko:K01873	pput:L483_04755
ko:K02339	pput:L483_04765
ko:K01255	pput:L483_04770
ko:K07091	pput:L483_04780
ko:K11720	pput:L483_04785
ko:K03704	pput:L483_04795
ko:K00605	pput:L483_04800
ko:K01752	pput:L483_04805
ko:K00281	pput:L483_04810
ko:K02437	pput:L483_04815
ko:K03312	pput:L483_04830
ko:K00926	pput:L483_04845
ko:K00611	pput:L483_04850
ko:K03758	pput:L483_04860
ko:K03758	pput:L483_04865
ko:K09790	pput:L483_04870
ko:K16087	pput:L483_04880
ko:K00134	pput:L483_04895
ko:K01690	pput:L483_04900
ko:K17315	pput:L483_04925
ko:K17316	pput:L483_04930
ko:K17317	pput:L483_04935
ko:K07267	pput:L483_04945
ko:K01358	pput:L483_09270
ko:K03544	pput:L483_09275
ko:K01338	pput:L483_09280
ko:K03530	pput:L483_09285
ko:K03770	pput:L483_09290
ko:K07001	pput:L483_09295
ko:K03424	pput:L483_09325
ko:K04760	pput:L483_09340
ko:K02003	pput:L483_09350
ko:K10804	pput:L483_09355
ko:K06975	pput:L483_09375
ko:K01626	pput:L483_09380
ko:K00077	pput:L483_09385
ko:K13634	pput:L483_09395
ko:K00390	pput:L483_09400
ko:K01665	pput:L483_09405
ko:K01720	pput:L483_09450
ko:K01682	pput:L483_09455
ko:K06938	pput:L483_09460
ko:K01737	pput:L483_09465
ko:K07168	pput:L483_09495
ko:K01908	pput:L483_09505
ko:K06916	pput:L483_09510
ko:K06152	pput:L483_13835
ko:K06151	pput:L483_13840
ko:K02525	pput:L483_13850
ko:K00032	pput:L483_13870
ko:K01150	pput:L483_13875
ko:K07277	pput:L483_13885
ko:K02029	pput:L483_13935
ko:K07018	pput:L483_13945
ko:K01652	pput:L483_13955
ko:K06204	pput:L483_13980
ko:K00154	pput:L483_14080
ko:K00826	pput:L483_18420
ko:K15553	pput:L483_18480
ko:K14977	pput:L483_18490
ko:K11737	pput:L483_18500
ko:K01897	pput:L483_24835
ko:K01897	pput:L483_24840
ko:K02484	pput:L483_18115
ko:K02484	pput:L483_14000
ko:K06139	pput:L483_01920
ko:K06138	pput:L483_01925
ko:K02259	pput:L483_00185
ko:K07152	pput:L483_00195
ko:K02073	pput:L483_00200
ko:K02072	pput:L483_00205
ko:K02071	pput:L483_00210
ko:K03781	pput:L483_00215
ko:K09816	pput:L483_00225
ko:K09817	pput:L483_00230
ko:K09823	pput:L483_00235
ko:K02204	pput:L483_00245
ko:K03978	pput:L483_00260
ko:K03673	pput:L483_00275
ko:K11066	pput:L483_00290
ko:K11384	pput:L483_00305
ko:K11102	pput:L483_00335
ko:K02066	pput:L483_00360
ko:K03324	pput:L483_00375
ko:K03300	pput:L483_00385
ko:K00325	pput:L483_00425
ko:K00324	pput:L483_00430
ko:K00324	pput:L483_00435
ko:K00252	pput:L483_00445
ko:K02065	pput:L483_00355
ko:K03773	pput:L483_00655
ko:K06158	pput:L483_00670
ko:K05834	pput:L483_00680
ko:K07403	pput:L483_00690
ko:K03710	pput:L483_00725
ko:K08312	pput:L483_01040
ko:K10126	pput:L483_01055
ko:K10125	pput:L483_01060
ko:K01790	pput:L483_01065
ko:K10536	pput:L483_01070
ko:K06899	pput:L483_01135
ko:K02029	pput:L483_01410
ko:K02029	pput:L483_01415
ko:K11735	pput:L483_01430
ko:K03575	pput:L483_01460
ko:K07289	pput:L483_01465
ko:K03522	pput:L483_01580
ko:K03521	pput:L483_01585
ko:K00479	pput:L483_01600
ko:K01620	pput:L483_01635
ko:K00600	pput:L483_01640
ko:K00303	pput:L483_01645
ko:K00305	pput:L483_01660
ko:K01433	pput:L483_01665
ko:K07663	pput:L483_01695
ko:K07641	pput:L483_01700
ko:K06143	pput:L483_01705
ko:K00627	pput:L483_01725
ko:K00163	pput:L483_01730
ko:K00982	pput:L483_01735
ko:K01693	pput:L483_01475
ko:K02501	pput:L483_01480
ko:K01814	pput:L483_01490
ko:K02500	pput:L483_01495
ko:K02000	pput:L483_01500
ko:K02001	pput:L483_01505
ko:K02002	pput:L483_01510
ko:K01752	pput:L483_01515
ko:K07107	pput:L483_01530
ko:K02002	pput:L483_01545
ko:K01273	pput:L483_01560
ko:K00228	pput:L483_00010
ko:K00014	pput:L483_00015
ko:K03321	pput:L483_00020
ko:K02002	pput:L483_00025
ko:K10253	pput:L483_00045
ko:K01695	pput:L483_00050
ko:K01696	pput:L483_00055
ko:K09165	pput:L483_00070
ko:K01091	pput:L483_00110
ko:K01414	pput:L483_00120
ko:K07070	pput:L483_00125
ko:K03088	pput:L483_00485
ko:K12542	pput:L483_00505
ko:K12541	pput:L483_00510
ko:K03119	pput:L483_00520
ko:K07243	pput:L483_00595
ko:K01755	pput:L483_00615
ko:K08083	pput:L483_00620
ko:K01749	pput:L483_00625
ko:K02496	pput:L483_00635
ko:K02498	pput:L483_00640
ko:K03611	pput:L483_00645
ko:K07740	pput:L483_00650
ko:K01673	pput:L483_00135
ko:K02275	pput:L483_00150
ko:K02276	pput:L483_00165
ko:K15553	pput:L483_00775
ko:K14268	pput:L483_00805
ko:K02072	pput:L483_00830
ko:K02071	pput:L483_00835
ko:K02073	pput:L483_00840
ko:K10010	pput:L483_00860
ko:K10009	pput:L483_00865
ko:K02424	pput:L483_00870
ko:K00640	pput:L483_00875
ko:K02168	pput:L483_00885
ko:K03119	pput:L483_00890
ko:K15552	pput:L483_00895
ko:K15551	pput:L483_00905
ko:K00299	pput:L483_00920
ko:K15553	pput:L483_00925
ko:K15554	pput:L483_00935
ko:K01919	pput:L483_00955
ko:K06959	pput:L483_00965
ko:K07659	pput:L483_00970
ko:K07638	pput:L483_00975
ko:K04762	pput:L483_00990
ko:K04083	pput:L483_01000
ko:K01610	pput:L483_01005
ko:K07107	pput:L483_01010
ko:K02379	pput:L483_01025
ko:K15554	pput:L483_00770
ko:K02841	pput:L483_01745
