ko:K19296	ppuh:B479_22200
ko:K22350	ppuh:B479_13370
ko:K18923	ppuh:B479_10830
ko:K00520	ppuh:B479_27209
ko:K18302	ppuh:B479_05900
ko:K13609	ppuh:B479_15340
ko:K14225	ppuh:B479_t26683
ko:K14225	ppuh:B479_t26733
ko:K14225	ppuh:B479_t26685
ko:K03297	ppuh:B479_24095
ko:K02028	ppuh:B479_24570
ko:K01977	ppuh:B479_r26793
ko:K01977	ppuh:B479_r26795
ko:K17322	ppuh:B479_09275
ko:K03560	ppuh:B479_25350
ko:K08305	ppuh:B479_23435
ko:K22617	ppuh:B479_21655
ko:K16238	ppuh:B479_03225
ko:K03457	ppuh:B479_17130
ko:K17836	ppuh:B479_27189
ko:K10747	ppuh:B479_20800
ko:K11741	ppuh:B479_06525
ko:K08151	ppuh:B479_26854
ko:K14223	ppuh:B479_t26663
ko:K00254	ppuh:B479_08090
ko:K00020	ppuh:B479_22665
ko:K03111	ppuh:B479_02910
ko:K18829	ppuh:B479_27064
ko:K18138	ppuh:B479_21460
ko:K18552	ppuh:B479_26979
ko:K18968	ppuh:B479_20570
ko:K12262	ppuh:B479_12350
ko:K12262	ppuh:B479_24375
ko:K00131	ppuh:B479_14470
ko:K15555	ppuh:B479_01460
ko:K14237	ppuh:B479_t26723
ko:K01980	ppuh:B479_r26809
ko:K01980	ppuh:B479_r26807
ko:K18297	ppuh:B479_12100
ko:K16235	ppuh:B479_03750
ko:K11904	ppuh:B479_14600
ko:K01961	ppuh:B479_03300
ko:K02160	ppuh:B479_03305
ko:K03786	ppuh:B479_03310
ko:K04084	ppuh:B479_03315
ko:K03113	ppuh:B479_03340
ko:K03327	ppuh:B479_03355
ko:K06894	ppuh:B479_03360
ko:K05367	ppuh:B479_03370
ko:K02278	ppuh:B479_03385
ko:K06219	ppuh:B479_03400
ko:K07552	ppuh:B479_03455
ko:K00822	ppuh:B479_03495
ko:K00140	ppuh:B479_03500
ko:K03808	ppuh:B479_03505
ko:K03808	ppuh:B479_03510
ko:K02968	ppuh:B479_03525
ko:K03980	ppuh:B479_03530
ko:K11753	ppuh:B479_03535
ko:K09458	ppuh:B479_07490
ko:K07082	ppuh:B479_07500
ko:K00943	ppuh:B479_07505
ko:K02341	ppuh:B479_07510
ko:K03424	ppuh:B479_07515
ko:K03639	ppuh:B479_07525
ko:K09986	ppuh:B479_07535
ko:K00832	ppuh:B479_07550
ko:K03702	ppuh:B479_07555
ko:K03446	ppuh:B479_07560
ko:K03543	ppuh:B479_07565
ko:K07107	ppuh:B479_07585
ko:K05541	ppuh:B479_07590
ko:K04080	ppuh:B479_07595
ko:K01703	ppuh:B479_07610
ko:K01704	ppuh:B479_07615
ko:K00052	ppuh:B479_07625
ko:K00133	ppuh:B479_07630
ko:K06173	ppuh:B479_07645
ko:K01817	ppuh:B479_07650
ko:K01963	ppuh:B479_07655
ko:K11754	ppuh:B479_07660
ko:K03749	ppuh:B479_07665
ko:K03558	ppuh:B479_07670
ko:K00764	ppuh:B479_07675
ko:K10764	ppuh:B479_07680
ko:K00375	ppuh:B479_11900
ko:K02002	ppuh:B479_11920
ko:K02001	ppuh:B479_11925
ko:K02000	ppuh:B479_11930
ko:K01745	ppuh:B479_11935
ko:K13993	ppuh:B479_12010
ko:K07234	ppuh:B479_12130
ko:K03190	ppuh:B479_12140
ko:K01430	ppuh:B479_12145
ko:K01429	ppuh:B479_12150
ko:K01428	ppuh:B479_12155
ko:K03187	ppuh:B479_12160
ko:K03192	ppuh:B479_12165
ko:K00600	ppuh:B479_03790
ko:K00262	ppuh:B479_03810
ko:K03773	ppuh:B479_03855
ko:K06193	ppuh:B479_03865
ko:K02523	ppuh:B479_03870
ko:K02888	ppuh:B479_03875
ko:K02899	ppuh:B479_03880
ko:K03979	ppuh:B479_03885
ko:K00931	ppuh:B479_03890
ko:K05805	ppuh:B479_03895
ko:K03789	ppuh:B479_03920
ko:K08223	ppuh:B479_03950
ko:K01247	ppuh:B479_03960
ko:K10778	ppuh:B479_03965
ko:K16074	ppuh:B479_04000
ko:K02029	ppuh:B479_04010
ko:K02029	ppuh:B479_04015
ko:K01754	ppuh:B479_04030
ko:K15783	ppuh:B479_04040
ko:K15784	ppuh:B479_04045
ko:K15786	ppuh:B479_04050
ko:K15785	ppuh:B479_04055
ko:K15371	ppuh:B479_08015
ko:K09773	ppuh:B479_08020
ko:K02553	ppuh:B479_08035
ko:K16074	ppuh:B479_08040
ko:K03088	ppuh:B479_08055
ko:K02575	ppuh:B479_08075
ko:K03812	ppuh:B479_08095
ko:K12297	ppuh:B479_08100
ko:K07259	ppuh:B479_08110
ko:K09923	ppuh:B479_08115
ko:K07679	ppuh:B479_08120
ko:K07690	ppuh:B479_08125
ko:K01129	ppuh:B479_08130
ko:K03320	ppuh:B479_08150
ko:K01681	ppuh:B479_08190
ko:K06968	ppuh:B479_08195
ko:K03473	ppuh:B479_08205
ko:K00116	ppuh:B479_08225
ko:K03638	ppuh:B479_08235
ko:K03750	ppuh:B479_08240
ko:K03415	ppuh:B479_08270
ko:K07140	ppuh:B479_08275
ko:K00826	ppuh:B479_12445
ko:K02234	ppuh:B479_12450
ko:K02230	ppuh:B479_12455
ko:K13580	ppuh:B479_12465
ko:K00428	ppuh:B479_12520
ko:K12543	ppuh:B479_12550
ko:K03119	ppuh:B479_12595
ko:K07002	ppuh:B479_12630
ko:K08276	ppuh:B479_12715
ko:K16345	ppuh:B479_16925
ko:K07235	ppuh:B479_16930
ko:K07236	ppuh:B479_16935
ko:K07237	ppuh:B479_16940
ko:K02302	ppuh:B479_16960
ko:K01875	ppuh:B479_16965
ko:K06199	ppuh:B479_16970
ko:K07478	ppuh:B479_16975
ko:K03634	ppuh:B479_16980
ko:K03466	ppuh:B479_16985
ko:K00684	ppuh:B479_16990
ko:K02518	ppuh:B479_17000
ko:K03694	ppuh:B479_17005
ko:K06891	ppuh:B479_17010
ko:K03704	ppuh:B479_17015
ko:K00031	ppuh:B479_17020
ko:K00031	ppuh:B479_17025
ko:K00566	ppuh:B479_17035
ko:K07153	ppuh:B479_17040
ko:K01756	ppuh:B479_17045
ko:K07090	ppuh:B479_17080
ko:K00117	ppuh:B479_21075
ko:K01338	ppuh:B479_21080
ko:K15256	ppuh:B479_21090
ko:K15257	ppuh:B479_21095
ko:K07644	ppuh:B479_21110
ko:K03474	ppuh:B479_21115
ko:K03584	ppuh:B479_21120
ko:K03685	ppuh:B479_21130
ko:K03100	ppuh:B479_21135
ko:K03596	ppuh:B479_21140
ko:K03598	ppuh:B479_21155
ko:K03597	ppuh:B479_21160
ko:K03088	ppuh:B479_21165
ko:K00278	ppuh:B479_21170
ko:K09159	ppuh:B479_21180
ko:K06980	ppuh:B479_21185
ko:K07649	ppuh:B479_21195
ko:K07774	ppuh:B479_21200
ko:K07795	ppuh:B479_21210
ko:K03648	ppuh:B479_21230
ko:K12511	ppuh:B479_21280
ko:K12510	ppuh:B479_21285
ko:K02283	ppuh:B479_21290
ko:K02282	ppuh:B479_21295
ko:K02280	ppuh:B479_21320
ko:K02279	ppuh:B479_21325
ko:K02278	ppuh:B479_21335
ko:K02651	ppuh:B479_21340
ko:K01434	ppuh:B479_25305
ko:K02029	ppuh:B479_25325
ko:K02029	ppuh:B479_25330
ko:K02073	ppuh:B479_25335
ko:K07002	ppuh:B479_25345
ko:K03561	ppuh:B479_25355
ko:K03832	ppuh:B479_25360
ko:K02045	ppuh:B479_25365
