ko:K01006	lmx:LMOSLCC2372_1933
ko:K01699	lmx:LMOSLCC2372_1148
ko:K07172	lmx:LMOSLCC2372_p0031
ko:K22010	lmx:LMOSLCC2372_1168
ko:K05350	lmx:LMOSLCC2372_0374
ko:K11741	lmx:LMOSLCC2372_0864
ko:K11741	lmx:LMOSLCC2372_0865
ko:K02821	lmx:LMOSLCC2372_2717
ko:K18926	lmx:LMOSLCC2372_0528
ko:K01977	lmx:LMOSLCC2372rRNA12
ko:K00936	lmx:LMOSLCC2372_1169
ko:K06915	lmx:LMOSLCC2372_p0022
ko:K01534	lmx:LMOSLCC2372_p0030
ko:K11051	lmx:LMOSLCC2372_1001
ko:K01990	lmx:LMOSLCC2372_2207
ko:K16509	lmx:LMOSLCC2372_2259
ko:K03699	lmx:LMOSLCC2372_2817
ko:K01977	lmx:LMOSLCC2372rRNA15
ko:K01977	lmx:LMOSLCC2372rRNA09
ko:K01977	lmx:LMOSLCC2372rRNA04
ko:K06198	lmx:LMOSLCC2372_2257
ko:K16511	lmx:LMOSLCC2372_2258
ko:K01915	lmx:LMOSLCC2372_1360
ko:K03893	lmx:LMOSLCC2372_1361
ko:K01356	lmx:LMOSLCC2372_1363
ko:K00615	lmx:LMOSLCC2372_1366
ko:K09903	lmx:LMOSLCC2372_1374
ko:K02838	lmx:LMOSLCC2372_1375
ko:K00806	lmx:LMOSLCC2372_1376
ko:K00981	lmx:LMOSLCC2372_1377
ko:K00099	lmx:LMOSLCC2372_1378
ko:K11749	lmx:LMOSLCC2372_1379
ko:K01881	lmx:LMOSLCC2372_1380
ko:K03763	lmx:LMOSLCC2372_1381
ko:K09748	lmx:LMOSLCC2372_1382
ko:K02600	lmx:LMOSLCC2372_1383
ko:K07742	lmx:LMOSLCC2372_1384
ko:K02519	lmx:LMOSLCC2372_1386
ko:K02834	lmx:LMOSLCC2372_1388
ko:K11753	lmx:LMOSLCC2372_1390
ko:K02956	lmx:LMOSLCC2372_1391
ko:K02529	lmx:LMOSLCC2372_2060
ko:K05346	lmx:LMOSLCC2372_2062
ko:K01652	lmx:LMOSLCC2372_2073
ko:K07718	lmx:LMOSLCC2372_2078
ko:K03704	lmx:LMOSLCC2372_2083
ko:K01778	lmx:LMOSLCC2372_2085
ko:K01870	lmx:LMOSLCC2372_2086
ko:K04074	lmx:LMOSLCC2372_2087
ko:K04487	lmx:LMOSLCC2372_2089
ko:K00278	lmx:LMOSLCC2372_2090
ko:K00767	lmx:LMOSLCC2372_2091
ko:K03517	lmx:LMOSLCC2372_2092
ko:K02221	lmx:LMOSLCC2372_2096
ko:K09772	lmx:LMOSLCC2372_2097
ko:K06997	lmx:LMOSLCC2372_2098
