ko:K10440	smk:Sinme_5390
ko:K03560	smk:Sinme_2796
ko:K09796	smk:Sinme_1445
ko:K02351	smk:Sinme_4767
ko:K18893	smk:Sinme_1725
ko:K07045	smk:Sinme_4029
ko:K07045	smk:Sinme_4030
ko:K22617	smk:Sinme_0037
ko:K01006	smk:Sinme_0641
ko:K03705	smk:Sinme_0010
ko:K00989	smk:Sinme_0009
ko:K02313	smk:Sinme_0001
ko:K03687	smk:Sinme_0011
ko:K03092	smk:Sinme_0014
ko:K06861	smk:Sinme_0015
ko:K03088	smk:Sinme_0003
ko:K06041	smk:Sinme_0215
ko:K07265	smk:Sinme_0216
ko:K01991	smk:Sinme_0221
ko:K08281	smk:Sinme_0222
ko:K00763	smk:Sinme_0223
ko:K09774	smk:Sinme_0016
ko:K04773	smk:Sinme_0018
ko:K11719	smk:Sinme_0017
ko:K15977	smk:Sinme_0111
ko:K02431	smk:Sinme_0112
ko:K10552	smk:Sinme_0114
ko:K05592	smk:Sinme_0062
ko:K06966	smk:Sinme_0066
ko:K10778	smk:Sinme_0069
ko:K00930	smk:Sinme_0071
ko:K03978	smk:Sinme_0075
ko:K03217	smk:Sinme_0077
ko:K03536	smk:Sinme_0078
ko:K02914	smk:Sinme_0079
ko:K09803	smk:Sinme_0085
ko:K10553	smk:Sinme_0115
ko:K10554	smk:Sinme_0116
ko:K01465	smk:Sinme_0118
ko:K00762	smk:Sinme_0119
ko:K00847	smk:Sinme_0120
ko:K01810	smk:Sinme_0121
ko:K00981	smk:Sinme_0127
ko:K03654	smk:Sinme_0147
ko:K07636	smk:Sinme_0153
ko:K02040	smk:Sinme_0154
ko:K05788	smk:Sinme_0019
ko:K06969	smk:Sinme_0022
ko:K03437	smk:Sinme_0023
ko:K03101	smk:Sinme_0024
ko:K00029	smk:Sinme_0027
ko:K03555	smk:Sinme_0028
ko:K00990	smk:Sinme_0029
ko:K03980	smk:Sinme_0030
ko:K01867	smk:Sinme_0032
ko:K03789	smk:Sinme_0036
ko:K13821	smk:Sinme_0104
ko:K06940	smk:Sinme_0105
ko:K06168	smk:Sinme_0038
ko:K07042	smk:Sinme_0040
ko:K03820	smk:Sinme_0042
ko:K00789	smk:Sinme_0044
ko:K03439	smk:Sinme_0045
ko:K09760	smk:Sinme_0051
ko:K01462	smk:Sinme_0052
ko:K00604	smk:Sinme_0053
ko:K06173	smk:Sinme_0054
ko:K02037	smk:Sinme_0155
ko:K02038	smk:Sinme_0156
ko:K02036	smk:Sinme_0157
ko:K02039	smk:Sinme_0158
ko:K07300	smk:Sinme_0173
ko:K13582	smk:Sinme_0179
ko:K07090	smk:Sinme_0180
ko:K06953	smk:Sinme_0183
ko:K03724	smk:Sinme_0184
ko:K03282	smk:Sinme_0197
ko:K13583	smk:Sinme_0160
ko:K04083	smk:Sinme_0163
ko:K06195	smk:Sinme_0164
ko:K10764	smk:Sinme_0166
ko:K01494	smk:Sinme_0167
ko:K00426	smk:Sinme_0201
ko:K00425	smk:Sinme_0202
ko:K02029	smk:Sinme_0204
ko:K02029	smk:Sinme_0205
ko:K01652	smk:Sinme_0210
ko:K12257	smk:Sinme_0212
ko:K11741	smk:Sinme_1179
ko:K02401	smk:Sinme_0344
ko:K02410	smk:Sinme_0345
ko:K02417	smk:Sinme_0346
ko:K02416	smk:Sinme_0347
ko:K02556	smk:Sinme_0348
ko:K02391	smk:Sinme_0350
ko:K02412	smk:Sinme_0351
ko:K02387	smk:Sinme_0353
ko:K02388	smk:Sinme_0354
ko:K02408	smk:Sinme_0355
ko:K02392	smk:Sinme_0356
ko:K02386	smk:Sinme_0357
ko:K02394	smk:Sinme_0358
ko:K00790	smk:Sinme_0298
ko:K00013	smk:Sinme_0300
ko:K02518	smk:Sinme_0303
ko:K06287	smk:Sinme_0304
ko:K09862	smk:Sinme_0305
ko:K09803	smk:Sinme_0307
ko:K03477	smk:Sinme_0321
ko:K03534	smk:Sinme_0326
