ko:K18929	cjs:CJS3_0074
ko:K10040	cjs:CJS3_0961
ko:K06921	cjs:CJS3_0840
ko:K12574	cjs:CJS3_1788
ko:K18928	cjs:CJS3_0075
ko:K02313	cjs:CJS3_0001
ko:K02338	cjs:CJS3_0002
ko:K02470	cjs:CJS3_0003
ko:K07084	cjs:CJS3_0006
ko:K00266	cjs:CJS3_0008
ko:K03470	cjs:CJS3_0009
ko:K02237	cjs:CJS3_0010
ko:K01687	cjs:CJS3_0012
ko:K08996	cjs:CJS3_0013
ko:K07023	cjs:CJS3_0015
ko:K06920	cjs:CJS3_0016
ko:K00428	cjs:CJS3_0020
ko:K06180	cjs:CJS3_0022
ko:K01756	cjs:CJS3_0023
ko:K06956	cjs:CJS3_0025
ko:K01937	cjs:CJS3_0027
ko:K07462	cjs:CJS3_0028
ko:K07552	cjs:CJS3_0035
ko:K06207	cjs:CJS3_0039
ko:K02389	cjs:CJS3_0042
ko:K02390	cjs:CJS3_0043
ko:K03319	cjs:CJS3_0047
ko:K02568	cjs:CJS3_0831
ko:K02570	cjs:CJS3_0833
ko:K01433	cjs:CJS3_0838
ko:K01929	cjs:CJS3_0843
ko:K01921	cjs:CJS3_0846
ko:K03550	cjs:CJS3_0847
ko:K03980	cjs:CJS3_0849
ko:K01883	cjs:CJS3_0850
ko:K01714	cjs:CJS3_0854
ko:K00912	cjs:CJS3_0859
ko:K01733	cjs:CJS3_0860
ko:K00979	cjs:CJS3_0861
ko:K02419	cjs:CJS3_0864
ko:K04042	cjs:CJS3_0865
ko:K13038	cjs:CJS3_0866
ko:K00806	cjs:CJS3_0868
ko:K02654	cjs:CJS3_0869
ko:K07091	cjs:CJS3_0870
ko:K06173	cjs:CJS3_0871
ko:K01754	cjs:CJS3_0872
ko:K06929	cjs:CJS3_0873
ko:K09943	cjs:CJS3_0874
ko:K01682	cjs:CJS3_0879
ko:K01772	cjs:CJS3_0881
ko:K01874	cjs:CJS3_0882
ko:K03098	cjs:CJS3_1625
ko:K03098	cjs:CJS3_1626
ko:K13979	cjs:CJS3_1627
ko:K01153	cjs:CJS3_1628
ko:K01154	cjs:CJS3_1630
ko:K03427	cjs:CJS3_1632
