ko:K19272	kpne:KU54_00025
ko:K01977	kpne:KU54_002245
ko:K01977	kpne:KU54_026195
ko:K01977	kpne:KU54_006455
ko:K01977	kpne:KU54_026720
ko:K01977	kpne:KU54_025695
ko:K19278	kpne:KU54_01300
ko:K21908	kpne:KU54_003345
ko:K00984	kpne:KU54_00855
ko:K00984	kpne:KU54_01305
ko:K18590	kpne:KU54_01505
ko:K19611	kpne:KU54_015475
ko:K03293	kpne:KU54_014195
ko:K01990	kpne:KU54_000640
ko:K01990	kpne:KU54_018155
ko:K00984	kpne:KU54_01515
ko:K19611	kpne:KU54_025155
ko:K19789	kpne:KU54_007995
ko:K19745	kpne:KU54_009070
ko:K00108	kpne:KU54_019370
ko:K21364	kpne:KU54_008580
ko:K00146	kpne:KU54_019670
ko:K08348	kpne:KU54_012125
ko:K08348	kpne:KU54_012130
ko:K00344	kpne:KU54_025210
ko:K03446	kpne:KU54_012635
ko:K04103	kpne:KU54_007350
ko:K00001	kpne:KU54_026485
ko:K12979	kpne:KU54_006135
ko:K21430	kpne:KU54_017895
ko:K01007	kpne:KU54_010595
ko:K08156	kpne:KU54_012160
ko:K19586	kpne:KU54_006280
ko:K07713	kpne:KU54_025485
ko:K00984	kpne:KU54_01020
ko:K03293	kpne:KU54_025930
ko:K02483	kpne:KU54_012440
ko:K19587	kpne:KU54_006270
ko:K04753	kpne:KU54_003605
ko:K00130	kpne:KU54_004285
ko:K00042	kpne:KU54_003050
ko:K01185	kpne:KU54_014900
ko:K03297	kpne:KU54_01035
ko:K21645	kpne:KU54_009920
ko:K20861	kpne:KU54_017860
ko:K20866	kpne:KU54_026625
ko:K20881	kpne:KU54_001780
ko:K20862	kpne:KU54_026015
ko:K09017	kpne:KU54_016565
ko:K04067	kpne:KU54_020510
ko:K05802	kpne:KU54_020525
ko:K03577	kpne:KU54_020530
ko:K03585	kpne:KU54_020535
ko:K18138	kpne:KU54_020540
ko:K19162	kpne:KU54_020545
ko:K05839	kpne:KU54_020550
ko:K00661	kpne:KU54_020555
ko:K00375	kpne:KU54_020570
ko:K02919	kpne:KU54_020580
ko:K02909	kpne:KU54_020585
ko:K02024	kpne:KU54_020595
ko:K02778	kpne:KU54_020600
ko:K12308	kpne:KU54_020605
ko:K01224	kpne:KU54_020610
ko:K15772	kpne:KU54_020615
ko:K15771	kpne:KU54_020620
ko:K15770	kpne:KU54_020625
ko:K10111	kpne:KU54_020635
ko:K07481	kpne:KU54_024605
ko:K07347	kpne:KU54_024620
ko:K13408	kpne:KU54_024640
ko:K13409	kpne:KU54_024645
ko:K04077	kpne:KU54_024660
ko:K04078	kpne:KU54_024665
ko:K16263	kpne:KU54_024675
ko:K07113	kpne:KU54_024680
ko:K01744	kpne:KU54_024690
ko:K07791	kpne:KU54_024695
ko:K03926	kpne:KU54_024700
ko:K04084	kpne:KU54_024705
ko:K07483	kpne:KU54_024735
ko:K11935	kpne:KU54_024755
ko:K11931	kpne:KU54_024760
ko:K11936	kpne:KU54_024765
ko:K11937	kpne:KU54_024770
ko:K05516	kpne:KU54_024795
ko:K18997	kpne:KU54_024800
ko:K07483	kpne:KU54_024805
ko:K11104	kpne:KU54_024830
ko:K07406	kpne:KU54_024835
ko:K03762	kpne:KU54_024845
ko:K06193	kpne:KU54_024855
ko:K04750	kpne:KU54_024860
ko:K02043	kpne:KU54_024865
ko:K06166	kpne:KU54_024870
ko:K06165	kpne:KU54_024875
ko:K06164	kpne:KU54_024880
ko:K06163	kpne:KU54_024885
ko:K00906	kpne:KU54_025430
ko:K01637	kpne:KU54_025435
ko:K01638	kpne:KU54_025440
ko:K00651	kpne:KU54_025445
ko:K03827	kpne:KU54_025450
ko:K00602	kpne:KU54_025475
ko:K01945	kpne:KU54_025480
ko:K07709	kpne:KU54_025490
ko:K07803	kpne:KU54_025500
ko:K05787	kpne:KU54_025510
ko:K09891	kpne:KU54_025515
ko:K05982	kpne:KU54_025520
ko:K01599	kpne:KU54_025525
ko:K03426	kpne:KU54_025530
ko:K07740	kpne:KU54_025535
ko:K03147	kpne:KU54_025540
ko:K00788	kpne:KU54_025545
ko:K03148	kpne:KU54_025550
ko:K03154	kpne:KU54_025555
ko:K03149	kpne:KU54_025560
ko:K03150	kpne:KU54_025565
ko:K02760	kpne:KU54_025580
ko:K02759	kpne:KU54_025585
ko:K07792	kpne:KU54_025590
ko:K03046	kpne:KU54_025595
ko:K03043	kpne:KU54_025600
ko:K02935	kpne:KU54_025605
ko:K02864	kpne:KU54_025610
ko:K02863	kpne:KU54_025615
ko:K02867	kpne:KU54_025620
ko:K02601	kpne:KU54_025625
ko:K03073	kpne:KU54_025630
ko:K02358	kpne:KU54_025635
ko:K00867	kpne:KU54_025660
ko:K03524	kpne:KU54_025665
ko:K00075	kpne:KU54_025670
ko:K07481	kpne:KU54_00085
ko:K07480	kpne:KU54_00090
