ko:K18929	her:C695_00680
ko:K03625	her:C695_00005
ko:K07496	her:C695_05150
ko:K07496	her:C695_05655
ko:K19302	her:C695_04370
ko:K18928	her:C695_00685
ko:K00059	her:C695_02895
ko:K00939	her:C695_03200
ko:K01507	her:C695_03215
ko:K00674	her:C695_03245
ko:K07126	her:C695_03250
ko:K00970	her:C695_03315
ko:K01885	her:C695_03330
ko:K02014	her:C695_04495
ko:K11085	her:C695_05595
ko:K07491	her:C695_05660
ko:K07126	her:C695_05670
ko:K00845	her:C695_05695
ko:K03784	her:C695_06095
ko:K03317	her:C695_06105
ko:K01674	her:C695_06145
ko:K02843	her:C695_06170
ko:K01455	her:C695_06400
ko:K02238	her:C695_07035
ko:K04517	her:C695_07135
ko:K02342	her:C695_07170
ko:K01784	her:C695_01825
ko:K06013	her:C695_01940
ko:K02004	her:C695_04040
ko:K00058	her:C695_02015
ko:K07491	her:C695_02110
ko:K01585	her:C695_02150
ko:K03279	her:C695_00795
ko:K07126	her:C695_00800
ko:K03469	her:C695_03425
ko:K04763	her:C695_03490
ko:K00567	her:C695_03495
ko:K13016	her:C695_03505
ko:K00626	her:C695_03555
ko:K04652	her:C695_04625
ko:K02014	her:C695_04715
ko:K02014	her:C695_04720
ko:K01156	her:C695_03060
ko:K07316	her:C695_03065
ko:K00652	her:C695_03095
ko:K07457	her:C695_03120
ko:K01992	her:C695_03165
ko:K01992	her:C695_03170
ko:K03635	her:C695_04105
ko:K05845	her:C695_04195
ko:K05846	her:C695_04195
ko:K00088	her:C695_04260
ko:K02433	her:C695_04265
ko:K07491	her:C695_05155
ko:K07491	her:C695_05215
ko:K00076	her:C695_05255
ko:K13640	her:C695_05310
ko:K03711	her:C695_05320
ko:K01262	her:C695_05370
ko:K07098	her:C695_05405
ko:K04655	her:C695_00215
ko:K00949	her:C695_06680
ko:K01679	her:C695_06850
ko:K03279	her:C695_07330
ko:K03768	her:C695_07475
ko:K06346	her:C695_07530
ko:K02067	her:C695_07600
ko:K02242	her:C695_07645
ko:K00616	her:C695_07765
ko:K02014	her:C695_07850
ko:K01156	her:C695_07895
