ko:K18929	heo:C694_00680
ko:K19302	heo:C694_04360
ko:K18928	heo:C694_00685
ko:K07316	heo:C694_01315
ko:K03205	heo:C694_05195
ko:K18682	heo:C694_03910
ko:K03496	heo:C694_05160
ko:K15847	heo:C694_06420
ko:K12086	heo:C694_02675
ko:K12088	heo:C694_02690
ko:K12089	heo:C694_02695
ko:K12090	heo:C694_02700
ko:K12092	heo:C694_02720
ko:K12093	heo:C694_02725
ko:K12094	heo:C694_02730
ko:K12095	heo:C694_02735
ko:K12096	heo:C694_02740
ko:K12097	heo:C694_02745
ko:K12098	heo:C694_02755
ko:K12101	heo:C694_02770
ko:K15842	heo:C694_02825
ko:K12102	heo:C694_02775
ko:K12103	heo:C694_02780
ko:K12104	heo:C694_02785
ko:K12105	heo:C694_02790
ko:K12106	heo:C694_02795
ko:K12107	heo:C694_02800
ko:K12108	heo:C694_02805
ko:K12109	heo:C694_02810
ko:K12110	heo:C694_02815
ko:K15848	heo:C694_03730
ko:K15843	heo:C694_04695
ko:K15844	heo:C694_04700
ko:K03196	heo:C694_07350
ko:K05847	heo:C694_04195
ko:K12091	heo:C694_02710
ko:K12087	heo:C694_02680
ko:K15845	heo:C694_00040
ko:K13788	heo:C694_04645
ko:K00859	heo:C694_04260
ko:K00797	heo:C694_04265
ko:K03977	heo:C694_04275
ko:K03530	heo:C694_04280
ko:K09860	heo:C694_04290
ko:K15894	heo:C694_04305
ko:K13038	heo:C694_04310
ko:K00788	heo:C694_04320
ko:K00941	heo:C694_04325
ko:K00878	heo:C694_04330
ko:K01153	heo:C694_04335
ko:K01154	heo:C694_04345
ko:K03427	heo:C694_04355
ko:K09805	heo:C694_04365
ko:K00364	heo:C694_04375
ko:K03271	heo:C694_04390
ko:K03272	heo:C694_04395
ko:K03274	heo:C694_04400
ko:K03273	heo:C694_04405
ko:K09792	heo:C694_04410
ko:K03525	heo:C694_04415
ko:K03624	heo:C694_04435
ko:K00748	heo:C694_04440
ko:K04651	heo:C694_04450
ko:K02390	heo:C694_04455
ko:K01521	heo:C694_04460
ko:K06193	heo:C694_04465
ko:K03781	heo:C694_04480
ko:K01159	heo:C694_04490
ko:K02108	heo:C694_04245
ko:K03550	heo:C694_04525
ko:K03980	heo:C694_04535
ko:K01883	heo:C694_04540
ko:K02013	heo:C694_04560
ko:K02015	heo:C694_04565
ko:K04654	heo:C694_04610
ko:K04653	heo:C694_04615
ko:K00925	heo:C694_04640
ko:K13788	heo:C694_04660
ko:K02389	heo:C694_04670
ko:K02390	heo:C694_04675
ko:K03657	heo:C694_04690
ko:K01955	heo:C694_04730
ko:K00134	heo:C694_04740
ko:K01821	heo:C694_04755
ko:K06187	heo:C694_04760
ko:K06176	heo:C694_04765
ko:K03799	heo:C694_04770
ko:K01495	heo:C694_04775
ko:K00795	heo:C694_04780
ko:K03787	heo:C694_04785
ko:K01737	heo:C694_04800
ko:K10009	heo:C694_04835
ko:K01775	heo:C694_04845
ko:K03310	heo:C694_04850
ko:K00285	heo:C694_04855
ko:K00783	heo:C694_04890
ko:K01963	heo:C694_04895
ko:K13292	heo:C694_04920
ko:K02527	heo:C694_04930
ko:K07164	heo:C694_04935
ko:K01878	heo:C694_04945
ko:K00057	heo:C694_04950
ko:K02078	heo:C694_04955
ko:K15726	heo:C694_04990
ko:K01879	heo:C694_05005
ko:K15633	heo:C694_05010
ko:K02435	heo:C694_05015
ko:K00833	heo:C694_05025
ko:K03770	heo:C694_05030
ko:K03590	heo:C694_05035
ko:K03531	heo:C694_05040
ko:K00937	heo:C694_05230
ko:K01714	heo:C694_05245
ko:K00995	heo:C694_05260
ko:K12506	heo:C694_05275
ko:K05516	heo:C694_05300
ko:K07478	heo:C694_05310
ko:K02417	heo:C694_05330
ko:K02416	heo:C694_05335
ko:K02405	heo:C694_05340
ko:K04562	heo:C694_05350
ko:K02404	heo:C694_05355
ko:K00950	heo:C694_05360
ko:K03786	heo:C694_05370
ko:K02956	heo:C694_05380
ko:K02400	heo:C694_05385
ko:K01895	heo:C694_05405
ko:K09748	heo:C694_05410
ko:K02834	heo:C694_05415
ko:K02519	heo:C694_05420
ko:K00872	heo:C694_05430
ko:K02535	heo:C694_05440
ko:K03610	heo:C694_05445
ko:K00606	heo:C694_05470
ko:K03551	heo:C694_05475
ko:K03117	heo:C694_05480
ko:K03118	heo:C694_05485
ko:K07568	heo:C694_05490
ko:K03501	heo:C694_05495
ko:K06950	heo:C694_05500
ko:K03413	heo:C694_05515
ko:K02687	heo:C694_05520
ko:K03798	heo:C694_05525
ko:K07241	heo:C694_05565
ko:K00609	heo:C694_05600
ko:K06442	heo:C694_05610
ko:K11753	heo:C694_05615
ko:K00615	heo:C694_05620
ko:K03466	heo:C694_05630
ko:K02392	heo:C694_05640
ko:K01625	heo:C694_05670
ko:K01690	heo:C694_05675
ko:K00036	heo:C694_05680
ko:K01057	heo:C694_05685
ko:K13979	heo:C694_05695
ko:K00172	heo:C694_05715
ko:K00171	heo:C694_05720
ko:K00169	heo:C694_05725
ko:K00170	heo:C694_05730
ko:K01756	heo:C694_05735
ko:K03702	heo:C694_05745
ko:K02396	heo:C694_05775
ko:K03775	heo:C694_05800
ko:K03640	heo:C694_05810
ko:K03641	heo:C694_05815
ko:K02114	heo:C694_05835
ko:K02112	heo:C694_05840
ko:K02115	heo:C694_05845
ko:K02111	heo:C694_05850
ko:K02113	heo:C694_05855
ko:K02109	heo:C694_05860
ko:K02109	heo:C694_05865
ko:K03524	heo:C694_05880
ko:K00604	heo:C694_05885
ko:K02884	heo:C694_05925
ko:K00554	heo:C694_05930
ko:K02860	heo:C694_05935
ko:K06960	heo:C694_05940
ko:K02959	heo:C694_05945
ko:K03106	heo:C694_05950
ko:K01873	heo:C694_05955
ko:K02563	heo:C694_05965
ko:K00286	heo:C694_05980
ko:K04095	heo:C694_05985
ko:K07042	heo:C694_05990
ko:K03839	heo:C694_05995
ko:K00384	heo:C694_06010
ko:K01810	heo:C694_06020
ko:K06200	heo:C694_06035
ko:K02029	heo:C694_06040
ko:K02029	heo:C694_06045
ko:K02429	heo:C694_06065
ko:K06901	heo:C694_06070
ko:K01839	heo:C694_06095
ko:K08159	heo:C694_06130
ko:K00133	heo:C694_06155
ko:K01892	heo:C694_06160
ko:K02355	heo:C694_06180
ko:K02992	heo:C694_06185
ko:K02950	heo:C694_06190
ko:K02935	heo:C694_06205
ko:K02864	heo:C694_06210
ko:K02863	heo:C694_06215
ko:K02867	heo:C694_06220
ko:K02601	heo:C694_06225
ko:K03073	heo:C694_06230
ko:K02913	heo:C694_06235
ko:K02358	heo:C694_06240
ko:K00640	heo:C694_06265
ko:K02110	heo:C694_06270
ko:K00962	heo:C694_06275
ko:K04744	heo:C694_06285
ko:K01945	heo:C694_06295
ko:K00806	heo:C694_06305
ko:K06199	heo:C694_06325
ko:K08311	heo:C694_06340
ko:K00928	heo:C694_06345
ko:K02341	heo:C694_06355
ko:K00796	heo:C694_06360
ko:K09804	heo:C694_06380
ko:K01956	heo:C694_06385
ko:K06287	heo:C694_06395
ko:K01872	heo:C694_06400
ko:K09794	heo:C694_06405
ko:K02963	heo:C694_06430
ko:K02990	heo:C694_06440
ko:K02340	heo:C694_06445
ko:K12573	heo:C694_06450
ko:K00014	heo:C694_06455
ko:K13894	heo:C694_06465
ko:K13893	heo:C694_06470
ko:K01867	heo:C694_06475
ko:K02169	heo:C694_06480
ko:K03075	heo:C694_06485
ko:K02838	heo:C694_06490
ko:K00762	heo:C694_06495
ko:K12410	heo:C694_06510
ko:K00330	heo:C694_06515
ko:K00331	heo:C694_06520
ko:K00332	heo:C694_06525
ko:K00333	heo:C694_06530
ko:K00334	heo:C694_06535
ko:K00337	heo:C694_06550
ko:K00338	heo:C694_06555
ko:K00339	heo:C694_06560
ko:K00340	heo:C694_06565
ko:K00341	heo:C694_06570
ko:K00342	heo:C694_06575
ko:K00343	heo:C694_06580
ko:K15778	heo:C694_06590
ko:K01695	heo:C694_06600
ko:K01696	heo:C694_06605
ko:K13498	heo:C694_06610
ko:K00766	heo:C694_06615
ko:K01657	heo:C694_06625
ko:K03707	heo:C694_06650
ko:K03811	heo:C694_06665
ko:K02879	heo:C694_06675
