ko:K03293	sagn:W903_1493
ko:K01215	sagn:W903_1860
ko:K13677	sagn:W903_0795
ko:K06148	sagn:W903_1156
ko:K11704	sagn:W903_1537
ko:K11053	sagn:W903_0762
ko:K02032	sagn:W903_0256
ko:K02031	sagn:W903_0255
ko:K06878	sagn:W903_0244
ko:K07704	sagn:W903_0248
ko:K07705	sagn:W903_0249
ko:K05338	sagn:W903_0250
ko:K05339	sagn:W903_0251
ko:K02035	sagn:W903_0252
ko:K02033	sagn:W903_0253
ko:K02034	sagn:W903_0254
ko:K02817	sagn:W903_0257
ko:K02818	sagn:W903_0257
ko:K02819	sagn:W903_0257
ko:K01226	sagn:W903_0258
ko:K02822	sagn:W903_0260
ko:K03475	sagn:W903_0261
ko:K00615	sagn:W903_0262
ko:K00615	sagn:W903_0263
ko:K02956	sagn:W903_0265
ko:K00962	sagn:W903_0266
ko:K00640	sagn:W903_0268
ko:K01883	sagn:W903_0270
ko:K11145	sagn:W903_0271
ko:K03218	sagn:W903_0272
ko:K06962	sagn:W903_0273
ko:K07729	sagn:W903_0277
ko:K02871	sagn:W903_0278
ko:K02996	sagn:W903_0279
ko:K05846	sagn:W903_0288
ko:K05845	sagn:W903_0289
ko:K05846	sagn:W903_0290
ko:K05847	sagn:W903_0291
ko:K03215	sagn:W903_0745
ko:K01990	sagn:W903_0750
ko:K01992	sagn:W903_0753
ko:K02078	sagn:W903_0757
ko:K02372	sagn:W903_0758
ko:K11050	sagn:W903_0759
ko:K11051	sagn:W903_0760
ko:K02004	sagn:W903_0766
ko:K02004	sagn:W903_0767
ko:K02003	sagn:W903_0770
ko:K15051	sagn:W903_0773
ko:K03975	sagn:W903_0774
ko:K02068	sagn:W903_0775
ko:K02069	sagn:W903_0776
ko:K07035	sagn:W903_0780
ko:K03778	sagn:W903_0781
ko:K00874	sagn:W903_0783
ko:K01195	sagn:W903_0784
ko:K01625	sagn:W903_0786
ko:K01812	sagn:W903_0787
ko:K01686	sagn:W903_0788
ko:K01207	sagn:W903_0791
ko:K02529	sagn:W903_0793
ko:K01176	sagn:W903_0794
ko:K01868	sagn:W903_0797
ko:K10040	sagn:W903_0801
ko:K10040	sagn:W903_0802
ko:K06180	sagn:W903_1177
ko:K00858	sagn:W903_1178
ko:K07816	sagn:W903_1179
ko:K00948	sagn:W903_1181
ko:K04487	sagn:W903_1182
ko:K01926	sagn:W903_1184
ko:K03630	sagn:W903_1185
ko:K01223	sagn:W903_1187
ko:K11069	sagn:W903_1192
ko:K11070	sagn:W903_1193
ko:K11071	sagn:W903_1194
ko:K11072	sagn:W903_1195
ko:K00075	sagn:W903_1196
ko:K00950	sagn:W903_1197
ko:K01633	sagn:W903_1198
ko:K00796	sagn:W903_1199
ko:K01495	sagn:W903_1200
ko:K11754	sagn:W903_1201
ko:K05786	sagn:W903_1202
ko:K00872	sagn:W903_1203
ko:K00003	sagn:W903_1204
ko:K05020	sagn:W903_1206
ko:K00135	sagn:W903_1207
ko:K11065	sagn:W903_1212
ko:K03657	sagn:W903_1222
ko:K02614	sagn:W903_1223
ko:K02824	sagn:W903_1224
ko:K03310	sagn:W903_1225
ko:K06518	sagn:W903_1227
ko:K03499	sagn:W903_1586
ko:K03498	sagn:W903_1587
ko:K08998	sagn:W903_1588
ko:K06178	sagn:W903_1589
ko:K06024	sagn:W903_1590
ko:K05896	sagn:W903_1591
ko:K07095	sagn:W903_1594
ko:K02428	sagn:W903_1595
ko:K01776	sagn:W903_1596
ko:K09976	sagn:W903_1597
ko:K16788	sagn:W903_1598
ko:K07105	sagn:W903_1599
ko:K06890	sagn:W903_1600
ko:K06950	sagn:W903_1601
ko:K03437	sagn:W903_1602
ko:K01512	sagn:W903_1603
ko:K03217	sagn:W903_1604
ko:K10009	sagn:W903_1605
ko:K02424	sagn:W903_1606
ko:K01426	sagn:W903_1607
ko:K03624	sagn:W903_1608
ko:K07082	sagn:W903_1609
ko:K01924	sagn:W903_1611
ko:K03977	sagn:W903_1614
ko:K11144	sagn:W903_1615
ko:K03346	sagn:W903_1616
ko:K07738	sagn:W903_1617
ko:K07040	sagn:W903_1620
ko:K03799	sagn:W903_1621
ko:K03744	sagn:W903_1622
ko:K03501	sagn:W903_1623
ko:K03499	sagn:W903_1625
ko:K16785	sagn:W903_1626
ko:K16786	sagn:W903_1627
ko:K16787	sagn:W903_1627
ko:K16924	sagn:W903_1628
ko:K07862	sagn:W903_1629
ko:K03311	sagn:W903_1630
ko:K18369	sagn:W903_1631
ko:K02072	sagn:W903_1632
ko:K02071	sagn:W903_1633
ko:K01439	sagn:W903_1634
ko:K02073	sagn:W903_1635
ko:K06966	sagn:W903_1945
ko:K00005	sagn:W903_1952
ko:K00549	sagn:W903_1955
ko:K01361	sagn:W903_1958
ko:K01869	sagn:W903_1963
ko:K02601	sagn:W903_1966
ko:K03073	sagn:W903_1968
ko:K12555	sagn:W903_1969
ko:K06180	sagn:W903_1970
ko:K01839	sagn:W903_1973
ko:K01619	sagn:W903_1974
ko:K03317	sagn:W903_1975
ko:K00757	sagn:W903_1976
ko:K04077	sagn:W903_1978
ko:K04078	sagn:W903_1979
ko:K05833	sagn:W903_1980
ko:K05832	sagn:W903_1981
ko:K01989	sagn:W903_1982
ko:K07104	sagn:W903_1984
ko:K09861	sagn:W903_1985
ko:K03810	sagn:W903_1988
ko:K07447	sagn:W903_1994
ko:K03790	sagn:W903_0310
ko:K03088	sagn:W903_0313
ko:K01990	sagn:W903_0318
ko:K10947	sagn:W903_0320
ko:K01443	sagn:W903_0322
ko:K01878	sagn:W903_0324
ko:K01118	sagn:W903_0325
ko:K01879	sagn:W903_0326
ko:K00864	sagn:W903_0329
ko:K00105	sagn:W903_0330
ko:K02440	sagn:W903_0331
ko:K00615	sagn:W903_0334
ko:K01990	sagn:W903_0336
ko:K01992	sagn:W903_0337
ko:K02809	sagn:W903_0338
ko:K02810	sagn:W903_0338
ko:K00931	sagn:W903_0339
ko:K00147	sagn:W903_0340
ko:K03438	sagn:W903_0341
ko:K12556	sagn:W903_0343
ko:K01000	sagn:W903_0344
ko:K18692	sagn:W903_0345
ko:K02030	sagn:W903_0346
ko:K02029	sagn:W903_0347
ko:K02028	sagn:W903_0348
ko:K00384	sagn:W903_0350
ko:K00763	sagn:W903_0351
ko:K01916	sagn:W903_0352
ko:K01372	sagn:W903_0353
ko:K05366	sagn:W903_0354
ko:K10039	sagn:W903_0803
ko:K10041	sagn:W903_0804
ko:K07668	sagn:W903_0805
ko:K07652	sagn:W903_0806
ko:K09790	sagn:W903_0808
ko:K03685	sagn:W903_0809
ko:K03529	sagn:W903_0810
ko:K03110	sagn:W903_0813
ko:K08986	sagn:W903_0814
ko:K07089	sagn:W903_0815
ko:K06959	sagn:W903_0818
ko:K03095	sagn:W903_0819
ko:K06023	sagn:W903_0822
ko:K13292	sagn:W903_0823
ko:K08303	sagn:W903_0828
ko:K03322	sagn:W903_0831
ko:K11752	sagn:W903_0832
ko:K00793	sagn:W903_0833
ko:K14652	sagn:W903_0834
ko:K00794	sagn:W903_0835
ko:K04567	sagn:W903_0836
ko:K07025	sagn:W903_0837
ko:K03976	sagn:W903_0839
ko:K07273	sagn:W903_0841
ko:K01595	sagn:W903_0845
ko:K03588	sagn:W903_0846
ko:K02358	sagn:W903_0847
ko:K01803	sagn:W903_0848
ko:K01834	sagn:W903_0849
ko:K00687	sagn:W903_0856
ko:K06187	sagn:W903_0857
ko:K02945	sagn:W903_1231
ko:K00826	sagn:W903_1235
ko:K02621	sagn:W903_1236
ko:K02622	sagn:W903_1237
ko:K08591	sagn:W903_1238
ko:K03648	sagn:W903_1239
ko:K01791	sagn:W903_1243
ko:K01104	sagn:W903_1257
ko:K03784	sagn:W903_1261
ko:K03783	sagn:W903_1263
ko:K00537	sagn:W903_1264
ko:K01839	sagn:W903_1265
ko:K01807	sagn:W903_1266
ko:K03930	sagn:W903_1268
ko:K12574	sagn:W903_1269
ko:K05833	sagn:W903_1270
ko:K05832	sagn:W903_1271
ko:K01989	sagn:W903_1272
ko:K01575	sagn:W903_1274
ko:K01652	sagn:W903_1275
ko:K02030	sagn:W903_1636
ko:K07010	sagn:W903_1637
ko:K05878	sagn:W903_1641
ko:K05879	sagn:W903_1642
ko:K02440	sagn:W903_1644
ko:K09710	sagn:W903_1650
ko:K00969	sagn:W903_1653
ko:K07574	sagn:W903_1654
ko:K06948	sagn:W903_1655
ko:K07015	sagn:W903_1656
ko:K02434	sagn:W903_1658
ko:K02433	sagn:W903_1659
ko:K02435	sagn:W903_1660
ko:K01006	sagn:W903_1661
ko:K09773	sagn:W903_1662
ko:K00074	sagn:W903_1664
ko:K03706	sagn:W903_1666
ko:K14260	sagn:W903_1667
ko:K01424	sagn:W903_1670
ko:K00014	sagn:W903_1671
ko:K03655	sagn:W903_1673
ko:K01775	sagn:W903_1675
ko:K00997	sagn:W903_1676
ko:K01626	sagn:W903_1677
ko:K03070	sagn:W903_1678
ko:K01809	sagn:W903_1679
ko:K00847	sagn:W903_1680
ko:K02808	sagn:W903_1681
ko:K02809	sagn:W903_1681
ko:K02810	sagn:W903_1681
ko:K01193	sagn:W903_1682
ko:K03484	sagn:W903_1683
ko:K03625	sagn:W903_1684
ko:K03742	sagn:W903_1998
ko:K01246	sagn:W903_1999
ko:K03550	sagn:W903_2000
ko:K08152	sagn:W903_2001
ko:K03572	sagn:W903_2002
ko:K03704	sagn:W903_2003
ko:K03555	sagn:W903_2004
ko:K03402	sagn:W903_2005
ko:K01887	sagn:W903_2006
ko:K01876	sagn:W903_2010
ko:K01892	sagn:W903_2011
ko:K02911	sagn:W903_2012
ko:K02913	sagn:W903_2013
ko:K00926	sagn:W903_2028
ko:K00611	sagn:W903_2029
ko:K07717	sagn:W903_2030
ko:K07719	sagn:W903_2031
ko:K05847	sagn:W903_2032
ko:K05845	sagn:W903_2033
ko:K05846	sagn:W903_2033
ko:K14205	sagn:W903_2034
ko:K08987	sagn:W903_2036
ko:K01421	sagn:W903_2037
ko:K02986	sagn:W903_2040
ko:K02939	sagn:W903_2043
ko:K03495	sagn:W903_2045
ko:K05595	sagn:W903_2046
ko:K00566	sagn:W903_2047
ko:K01752	sagn:W903_2048
ko:K01752	sagn:W903_2049
ko:K03700	sagn:W903_0355
ko:K07444	sagn:W903_0358
ko:K07173	sagn:W903_0360
ko:K18682	sagn:W903_0361
ko:K01990	sagn:W903_0362
ko:K01992	sagn:W903_0363
ko:K07778	sagn:W903_0364
ko:K00942	sagn:W903_0367
ko:K03060	sagn:W903_0368
ko:K04066	sagn:W903_0369
ko:K00604	sagn:W903_0370
ko:K03500	sagn:W903_0371
ko:K11617	sagn:W903_0375
ko:K11618	sagn:W903_0376
ko:K03768	sagn:W903_0377
ko:K07570	sagn:W903_0378
ko:K04069	sagn:W903_0379
ko:K02759	sagn:W903_0382
ko:K02760	sagn:W903_0383
ko:K02761	sagn:W903_0384
ko:K00656	sagn:W903_0385
ko:K00005	sagn:W903_0387
ko:K01738	sagn:W903_0388
ko:K02240	sagn:W903_0390
ko:K02242	sagn:W903_0391
ko:K05808	sagn:W903_0392
ko:K00928	sagn:W903_0398
ko:K18474	sagn:W903_0400
ko:K00648	sagn:W903_0402
ko:K02078	sagn:W903_0403
ko:K02371	sagn:W903_0404
ko:K00645	sagn:W903_0405
ko:K00059	sagn:W903_0406
ko:K09458	sagn:W903_0407
ko:K02160	sagn:W903_0408
ko:K02372	sagn:W903_0409
ko:K01961	sagn:W903_0410
ko:K01963	sagn:W903_0411
ko:K01962	sagn:W903_0412
ko:K01875	sagn:W903_0414
ko:K02795	sagn:W903_0418
ko:K02793	sagn:W903_0419
ko:K02794	sagn:W903_0419
ko:K06901	sagn:W903_0423
ko:K06925	sagn:W903_0424
ko:K02503	sagn:W903_0428
ko:K01990	sagn:W903_0430
ko:K01992	sagn:W903_0431
ko:K03439	sagn:W903_0433
ko:K01921	sagn:W903_0858
ko:K01929	sagn:W903_0859
ko:K08177	sagn:W903_0860
ko:K02837	sagn:W903_0864
ko:K02071	sagn:W903_0866
ko:K02072	sagn:W903_0867
ko:K02073	sagn:W903_0868
ko:K05592	sagn:W903_0869
ko:K07461	sagn:W903_0870
ko:K00655	sagn:W903_0872
ko:K02237	sagn:W903_0873
ko:K02238	sagn:W903_0874
ko:K02340	sagn:W903_0879
ko:K04564	sagn:W903_0880
ko:K03488	sagn:W903_0881
ko:K02755	sagn:W903_0882
ko:K02756	sagn:W903_0882
ko:K02757	sagn:W903_0882
ko:K01223	sagn:W903_0883
ko:K02647	sagn:W903_0884
ko:K00865	sagn:W903_0885
ko:K03299	sagn:W903_0886
ko:K07568	sagn:W903_0889
ko:K02564	sagn:W903_0891
ko:K07393	sagn:W903_0892
ko:K06183	sagn:W903_0893
ko:K06198	sagn:W903_0895
ko:K08602	sagn:W903_0896
ko:K07533	sagn:W903_0899
ko:K01872	sagn:W903_0901
ko:K07150	sagn:W903_0902
ko:K07729	sagn:W903_0906
ko:K16789	sagn:W903_0908
ko:K11189	sagn:W903_0912
ko:K03574	sagn:W903_1279
ko:K01790	sagn:W903_1283
ko:K00973	sagn:W903_1284
ko:K06967	sagn:W903_1287
ko:K02086	sagn:W903_1288
ko:K00759	sagn:W903_1289
ko:K07462	sagn:W903_1291
ko:K07124	sagn:W903_1292
ko:K00784	sagn:W903_1293
ko:K03665	sagn:W903_1295
ko:K00791	sagn:W903_1296
ko:K11041	sagn:W903_1298
ko:K03703	sagn:W903_1307
ko:K09765	sagn:W903_1308
ko:K03327	sagn:W903_1309
ko:K04750	sagn:W903_1310
ko:K02935	sagn:W903_1316
ko:K02864	sagn:W903_1317
ko:K04086	sagn:W903_1318
ko:K00547	sagn:W903_1319
ko:K16235	sagn:W903_1320
ko:K03978	sagn:W903_1324
ko:K03544	sagn:W903_1325
ko:K01641	sagn:W903_1329
ko:K00054	sagn:W903_1330
ko:K02313	sagn:W903_0001
ko:K02338	sagn:W903_0002
ko:K09748	sagn:W903_0471
ko:K02600	sagn:W903_0472
ko:K07742	sagn:W903_0473
ko:K02519	sagn:W903_0475
ko:K02834	sagn:W903_0476
ko:K17686	sagn:W903_0479
ko:K06929	sagn:W903_0484
ko:K09825	sagn:W903_0485
ko:K10682	sagn:W903_0487
ko:K10681	sagn:W903_0488
ko:K00773	sagn:W903_0490
ko:K03523	sagn:W903_0493
ko:K11991	sagn:W903_0495
ko:K01810	sagn:W903_0497
ko:K01934	sagn:W903_0498
ko:K07335	sagn:W903_0500
ko:K00963	sagn:W903_0501
ko:K00057	sagn:W903_0502
ko:K03536	sagn:W903_0503
ko:K03217	sagn:W903_0504
ko:K06346	sagn:W903_0505
ko:K07586	sagn:W903_0514
ko:K03565	sagn:W903_0515
ko:K02348	sagn:W903_0518
ko:K08483	sagn:W903_0913
ko:K00131	sagn:W903_0914
ko:K00876	sagn:W903_0917
ko:K02343	sagn:W903_0919
ko:K03524	sagn:W903_0921
ko:K00789	sagn:W903_0922
ko:K16925	sagn:W903_0926
ko:K16786	sagn:W903_0927
ko:K16787	sagn:W903_0927
ko:K16785	sagn:W903_0928
ko:K03707	sagn:W903_0929
ko:K00941	sagn:W903_0930
ko:K00878	sagn:W903_0931
ko:K00788	sagn:W903_0932
ko:K00790	sagn:W903_0933
ko:K03790	sagn:W903_0934
ko:K01265	sagn:W903_0936
ko:K07058	sagn:W903_0937
ko:K01972	sagn:W903_0940
ko:K00700	sagn:W903_0943
ko:K00975	sagn:W903_0944
ko:K00975	sagn:W903_0945
ko:K00703	sagn:W903_0946
ko:K02110	sagn:W903_0947
ko:K02108	sagn:W903_0948
ko:K02109	sagn:W903_0949
ko:K02113	sagn:W903_0950
ko:K02111	sagn:W903_0951
ko:K02115	sagn:W903_0952
ko:K02112	sagn:W903_0953
ko:K02114	sagn:W903_0954
ko:K00790	sagn:W903_0956
ko:K15051	sagn:W903_0958
ko:K01889	sagn:W903_0959
ko:K01890	sagn:W903_0961
ko:K07054	sagn:W903_0962
ko:K16899	sagn:W903_0963
ko:K16898	sagn:W903_0964
ko:K11068	sagn:W903_1332
ko:K01823	sagn:W903_1336
ko:K00938	sagn:W903_1337
ko:K01597	sagn:W903_1338
ko:K00869	sagn:W903_1339
ko:K01081	sagn:W903_1346
ko:K01462	sagn:W903_1347
ko:K00262	sagn:W903_1348
ko:K18888	sagn:W903_1350
ko:K18887	sagn:W903_1351
ko:K15738	sagn:W903_1354
ko:K00974	sagn:W903_1355
ko:K02768	sagn:W903_1360
ko:K02769	sagn:W903_1360
ko:K02770	sagn:W903_1360
ko:K00882	sagn:W903_1361
ko:K03436	sagn:W903_1362
ko:K12554	sagn:W903_1363
ko:K00077	sagn:W903_1365
ko:K07035	sagn:W903_1366
ko:K00554	sagn:W903_1368
ko:K02860	sagn:W903_1369
ko:K06960	sagn:W903_1373
ko:K02959	sagn:W903_1374
ko:K02004	sagn:W903_1375
ko:K02003	sagn:W903_1376
ko:K02005	sagn:W903_1377
ko:K01955	sagn:W903_1378
ko:K01956	sagn:W903_1379
ko:K02825	sagn:W903_1380
ko:K06180	sagn:W903_1381
ko:K03101	sagn:W903_1382
ko:K02356	sagn:W903_1686
ko:K01262	sagn:W903_1694
ko:K03701	sagn:W903_1698
ko:K03284	sagn:W903_1700
ko:K02963	sagn:W903_1701
ko:K02990	sagn:W903_1703
ko:K03575	sagn:W903_1704
ko:K03671	sagn:W903_1706
ko:K07456	sagn:W903_1708
ko:K03471	sagn:W903_1711
ko:K03100	sagn:W903_1712
ko:K03581	sagn:W903_1713
ko:K02346	sagn:W903_1715
ko:K00656	sagn:W903_1716
ko:K02440	sagn:W903_1721
ko:K01281	sagn:W903_1725
ko:K00805	sagn:W903_1727
ko:K16012	sagn:W903_1728
ko:K16013	sagn:W903_1729
ko:K00426	sagn:W903_1730
ko:K00425	sagn:W903_1731
ko:K03885	sagn:W903_1732
ko:K02548	sagn:W903_1733
ko:K09747	sagn:W903_1736
ko:K00574	sagn:W903_1737
ko:K06942	sagn:W903_0006
ko:K01056	sagn:W903_0007
ko:K03723	sagn:W903_0008
ko:K01467	sagn:W903_0012
ko:K04075	sagn:W903_0013
ko:K00760	sagn:W903_0014
ko:K03798	sagn:W903_0015
ko:K00948	sagn:W903_0051
ko:K00841	sagn:W903_0052
ko:K03584	sagn:W903_0053
ko:K07052	sagn:W903_0054
ko:K03621	sagn:W903_0055
ko:K02078	sagn:W903_0056
ko:K01923	sagn:W903_0057
ko:K01952	sagn:W903_0059
ko:K00764	sagn:W903_0061
ko:K01933	sagn:W903_0062
ko:K11175	sagn:W903_0063
ko:K00602	sagn:W903_0065
ko:K01788	sagn:W903_0068
ko:K03647	sagn:W903_0522
ko:K07006	sagn:W903_0525
ko:K01607	sagn:W903_0528
ko:K16264	sagn:W903_0533
ko:K02773	sagn:W903_0543
ko:K02774	sagn:W903_0544
ko:K02775	sagn:W903_0545
ko:K01629	sagn:W903_0546
ko:K02773	sagn:W903_0547
ko:K02775	sagn:W903_0548
ko:K02774	sagn:W903_0549
ko:K02025	sagn:W903_0553
ko:K02026	sagn:W903_0554
ko:K07407	sagn:W903_0555
ko:K00849	sagn:W903_0556
ko:K00965	sagn:W903_0557
ko:K01784	sagn:W903_0558
ko:K01785	sagn:W903_0559
ko:K01873	sagn:W903_0565
ko:K01914	sagn:W903_0573
ko:K03650	sagn:W903_0966
ko:K06158	sagn:W903_0968
ko:K00161	sagn:W903_0969
ko:K00162	sagn:W903_0970
ko:K00627	sagn:W903_0971
ko:K00382	sagn:W903_0972
ko:K03800	sagn:W903_0973
ko:K07009	sagn:W903_0974
ko:K01928	sagn:W903_0975
ko:K18672	sagn:W903_0976
ko:K03431	sagn:W903_0978
ko:K09952	sagn:W903_0985
ko:K00940	sagn:W903_0993
ko:K03596	sagn:W903_0994
ko:K06950	sagn:W903_0997
ko:K07305	sagn:W903_0999
ko:K01990	sagn:W903_1005
ko:K02337	sagn:W903_1007
ko:K00850	sagn:W903_1008
ko:K00873	sagn:W903_1009
ko:K03100	sagn:W903_1010
ko:K00820	sagn:W903_1012
ko:K06193	sagn:W903_1013
ko:K02029	sagn:W903_1014
ko:K02028	sagn:W903_1015
ko:K02030	sagn:W903_1016
ko:K02968	sagn:W903_1017
ko:K00867	sagn:W903_1018
ko:K02899	sagn:W903_1384
ko:K07584	sagn:W903_1385
ko:K02888	sagn:W903_1386
ko:K07282	sagn:W903_1387
ko:K03151	sagn:W903_1388
ko:K04487	sagn:W903_1389
ko:K00383	sagn:W903_1391
ko:K01736	sagn:W903_1393
ko:K01735	sagn:W903_1394
ko:K03785	sagn:W903_1395
ko:K06969	sagn:W903_1396
ko:K02887	sagn:W903_1398
ko:K02916	sagn:W903_1399
ko:K02520	sagn:W903_1400
ko:K00945	sagn:W903_1401
ko:K05337	sagn:W903_1403
ko:K01258	sagn:W903_1405
ko:K05362	sagn:W903_1407
ko:K02013	sagn:W903_1408
ko:K02016	sagn:W903_1409
ko:K02015	sagn:W903_1410
ko:K02015	sagn:W903_1411
ko:K15986	sagn:W903_1413
ko:K04069	sagn:W903_1414
ko:K03699	sagn:W903_1415
ko:K07139	sagn:W903_1417
ko:K12990	sagn:W903_1427
ko:K00991	sagn:W903_1433
ko:K07271	sagn:W903_1434
ko:K02342	sagn:W903_1740
ko:K02954	sagn:W903_1745
ko:K01620	sagn:W903_1746
ko:K01409	sagn:W903_1747
ko:K03789	sagn:W903_1748
ko:K12574	sagn:W903_1751
ko:K01915	sagn:W903_1753
ko:K03713	sagn:W903_1754
ko:K00927	sagn:W903_1756
ko:K00134	sagn:W903_1758
ko:K02355	sagn:W903_1759
ko:K02992	sagn:W903_1760
ko:K02950	sagn:W903_1761
ko:K09685	sagn:W903_1762
ko:K03698	sagn:W903_1763
ko:K09760	sagn:W903_1764
ko:K00949	sagn:W903_1765
ko:K01783	sagn:W903_1766
ko:K06949	sagn:W903_1767
ko:K00563	sagn:W903_1768
ko:K02528	sagn:W903_1769
ko:K05985	sagn:W903_1771
