ko:K01699	lmoe:BN418_1353
ko:K22010	lmoe:BN418_1376
ko:K11741	lmoe:BN418_1023
ko:K06147	lmoe:BN418_0706
ko:K11741	lmoe:BN418_1024
ko:K18926	lmoe:BN418_0593
ko:K03316	lmoe:BN418_0935
ko:K07045	lmoe:BN418_1047
ko:K19975	lmoe:BN418_2223
ko:K19973	lmoe:BN418_2225
ko:K18344	lmoe:BN418_1278
ko:K00980	lmoe:BN418_1307
ko:K09681	lmoe:BN418_2084
ko:K14219	lmoe:BN418_0250
ko:K11991	lmoe:BN418_3214
ko:K02030	lmoe:BN418_2088
ko:K18345	lmoe:BN418_1279
ko:K01985	lmoe:BN418_0243
ko:K01985	lmoe:BN418_0255
ko:K07979	lmoe:BN418_2694
ko:K15975	lmoe:BN418_0877
ko:K06999	lmoe:BN418_0878
ko:K03665	lmoe:BN418_0880
ko:K03800	lmoe:BN418_0882
ko:K01118	lmoe:BN418_0908
ko:K11737	lmoe:BN418_0909
ko:K07150	lmoe:BN418_0920
ko:K07118	lmoe:BN418_0921
ko:K05786	lmoe:BN418_0923
ko:K11733	lmoe:BN418_0926
ko:K07560	lmoe:BN418_1784
ko:K00759	lmoe:BN418_1786
ko:K07462	lmoe:BN418_1787
ko:K12257	lmoe:BN418_1789
ko:K03210	lmoe:BN418_1791
ko:K00773	lmoe:BN418_1792
ko:K07568	lmoe:BN418_1793
ko:K03551	lmoe:BN418_1794
ko:K03550	lmoe:BN418_1796
ko:K03979	lmoe:BN418_1800
ko:K03924	lmoe:BN418_0527
ko:K10974	lmoe:BN418_0531
ko:K09703	lmoe:BN418_0532
ko:K06941	lmoe:BN418_0551
ko:K13653	lmoe:BN418_0553
ko:K02911	lmoe:BN418_0556
ko:K03785	lmoe:BN418_0564
ko:K01808	lmoe:BN418_0569
ko:K01783	lmoe:BN418_0570
ko:K02773	lmoe:BN418_0575
ko:K07456	lmoe:BN418_1453
ko:K03671	lmoe:BN418_1454
ko:K03703	lmoe:BN418_1456
ko:K00928	lmoe:BN418_1458
ko:K01776	lmoe:BN418_1460
ko:K00989	lmoe:BN418_1462
ko:K07095	lmoe:BN418_1465
ko:K02818	lmoe:BN418_1488
ko:K02819	lmoe:BN418_1488
ko:K00147	lmoe:BN418_1493
ko:K00931	lmoe:BN418_1494
ko:K03545	lmoe:BN418_1501
ko:K03544	lmoe:BN418_1502
ko:K03100	lmoe:BN418_1503
ko:K03100	lmoe:BN418_1504
ko:K03100	lmoe:BN418_1505
ko:K14540	lmoe:BN418_1506
ko:K03470	lmoe:BN418_1507
ko:K04096	lmoe:BN418_1508
ko:K03168	lmoe:BN418_1509
ko:K04094	lmoe:BN418_1510
ko:K03733	lmoe:BN418_1511
ko:K01419	lmoe:BN418_1512
ko:K00945	lmoe:BN418_2328
ko:K03654	lmoe:BN418_2331
ko:K07651	lmoe:BN418_2336
ko:K07775	lmoe:BN418_2337
ko:K06178	lmoe:BN418_2338
ko:K06024	lmoe:BN418_2339
ko:K05896	lmoe:BN418_2340
ko:K01586	lmoe:BN418_2341
ko:K01839	lmoe:BN418_2344
ko:K02015	lmoe:BN418_2347
ko:K02015	lmoe:BN418_2348
ko:K02016	lmoe:BN418_2350
ko:K02013	lmoe:BN418_2351
ko:K01625	lmoe:BN418_2360
ko:K03710	lmoe:BN418_2365
ko:K02346	lmoe:BN418_2366
ko:K07124	lmoe:BN418_2367
ko:K00036	lmoe:BN418_2371
ko:K01687	lmoe:BN418_2376
ko:K01652	lmoe:BN418_2380
ko:K02768	lmoe:BN418_3234
ko:K02769	lmoe:BN418_3234
ko:K02770	lmoe:BN418_3234
ko:K00865	lmoe:BN418_3237
ko:K12410	lmoe:BN418_3242
ko:K01875	lmoe:BN418_3253
ko:K06978	lmoe:BN418_3262
ko:K03654	lmoe:BN418_3264
ko:K02760	lmoe:BN418_3274
ko:K02761	lmoe:BN418_3275
ko:K02759	lmoe:BN418_3279
ko:K00864	lmoe:BN418_1801
ko:K02440	lmoe:BN418_1802
ko:K02899	lmoe:BN418_1803
ko:K02888	lmoe:BN418_1805
ko:K08301	lmoe:BN418_1806
ko:K03609	lmoe:BN418_1807
ko:K03610	lmoe:BN418_1808
ko:K03571	lmoe:BN418_1809
ko:K03570	lmoe:BN418_1810
ko:K03569	lmoe:BN418_1811
ko:K03630	lmoe:BN418_1812
ko:K11754	lmoe:BN418_1814
ko:K01873	lmoe:BN418_1815
ko:K01845	lmoe:BN418_1816
ko:K01698	lmoe:BN418_1817
ko:K01749	lmoe:BN418_1819
ko:K02492	lmoe:BN418_1820
ko:K03978	lmoe:BN418_1821
ko:K01868	lmoe:BN418_1822
ko:K07738	lmoe:BN418_1827
ko:K00859	lmoe:BN418_1828
ko:K00031	lmoe:BN418_1834
ko:K01647	lmoe:BN418_1835
ko:K01772	lmoe:BN418_2661
ko:K01599	lmoe:BN418_2662
ko:K02503	lmoe:BN418_2667
ko:K00014	lmoe:BN418_2689
ko:K13531	lmoe:BN418_2695
ko:K13530	lmoe:BN418_2696
ko:K06180	lmoe:BN418_2697
ko:K07220	lmoe:BN418_2701
ko:K03306	lmoe:BN418_2702
ko:K06901	lmoe:BN418_2709
ko:K02759	lmoe:BN418_2713
ko:K02313	lmoe:BN418_0001
ko:K02338	lmoe:BN418_0002
ko:K03629	lmoe:BN418_0005
ko:K02470	lmoe:BN418_0006
ko:K02469	lmoe:BN418_0007
ko:K06131	lmoe:BN418_0008
ko:K02826	lmoe:BN418_0013
ko:K02827	lmoe:BN418_0015
ko:K02828	lmoe:BN418_0016
ko:K02829	lmoe:BN418_0017
ko:K07282	lmoe:BN418_0019
ko:K01223	lmoe:BN418_0020
ko:K00847	lmoe:BN418_0949
ko:K03324	lmoe:BN418_0972
ko:K03737	lmoe:BN418_0976
ko:K04041	lmoe:BN418_0981
ko:K07088	lmoe:BN418_0982
ko:K13256	lmoe:BN418_0987
ko:K07113	lmoe:BN418_1837
ko:K00873	lmoe:BN418_1838
ko:K00850	lmoe:BN418_1839
ko:K01962	lmoe:BN418_1840
ko:K01963	lmoe:BN418_1842
ko:K02337	lmoe:BN418_1844
ko:K00259	lmoe:BN418_1854
ko:K11065	lmoe:BN418_1860
ko:K04773	lmoe:BN418_1862
ko:K00858	lmoe:BN418_1863
ko:K00611	lmoe:BN418_1864
ko:K00930	lmoe:BN418_1866
ko:K00620	lmoe:BN418_1867
ko:K00145	lmoe:BN418_1868
ko:K03151	lmoe:BN418_1869
ko:K04487	lmoe:BN418_1870
ko:K02986	lmoe:BN418_1873
ko:K01866	lmoe:BN418_1874
ko:K02529	lmoe:BN418_1879
ko:K13853	lmoe:BN418_1880
ko:K01924	lmoe:BN418_1887
ko:K16898	lmoe:BN418_2721
ko:K02250	lmoe:BN418_2724
ko:K02768	lmoe:BN418_2760
ko:K02769	lmoe:BN418_2760
ko:K02770	lmoe:BN418_2760
ko:K00299	lmoe:BN418_2777
ko:K02529	lmoe:BN418_0033
ko:K02761	lmoe:BN418_0036
ko:K13252	lmoe:BN418_0038
ko:K10536	lmoe:BN418_0040
ko:K00926	lmoe:BN418_0041
ko:K10536	lmoe:BN418_0042
ko:K03481	lmoe:BN418_0043
ko:K03975	lmoe:BN418_0044
ko:K02990	lmoe:BN418_0046
ko:K02963	lmoe:BN418_0048
ko:K07813	lmoe:BN418_0050
ko:K07707	lmoe:BN418_0054
ko:K02939	lmoe:BN418_0056
ko:K01939	lmoe:BN418_0059
ko:K03466	lmoe:BN418_0069
ko:K10778	lmoe:BN418_0078
ko:K02110	lmoe:BN418_0090
ko:K02113	lmoe:BN418_0091
ko:K02111	lmoe:BN418_0092
ko:K02115	lmoe:BN418_0093
ko:K02112	lmoe:BN418_0094
ko:K01921	lmoe:BN418_1026
ko:K01929	lmoe:BN418_1028
ko:K02529	lmoe:BN418_1031
ko:K05592	lmoe:BN418_1043
ko:K06878	lmoe:BN418_1895
ko:K03439	lmoe:BN418_1903
ko:K00824	lmoe:BN418_1908
ko:K01695	lmoe:BN418_1918
ko:K01696	lmoe:BN418_1919
ko:K01817	lmoe:BN418_1920
ko:K01609	lmoe:BN418_1921
ko:K00766	lmoe:BN418_1922
ko:K01657	lmoe:BN418_1924
ko:K04072	lmoe:BN418_1925
ko:K01246	lmoe:BN418_1930
ko:K01681	lmoe:BN418_1932
ko:K03547	lmoe:BN418_1944
ko:K01421	lmoe:BN418_2787
ko:K01810	lmoe:BN418_2812
ko:K14155	lmoe:BN418_2815
ko:K02003	lmoe:BN418_2817
ko:K02760	lmoe:BN418_2818
ko:K00928	lmoe:BN418_2819
ko:K05566	lmoe:BN418_2826
ko:K05567	lmoe:BN418_2827
ko:K05569	lmoe:BN418_2829
ko:K05571	lmoe:BN418_2831
ko:K09775	lmoe:BN418_2833
ko:K03885	lmoe:BN418_2836
ko:K02114	lmoe:BN418_0095
ko:K01448	lmoe:BN418_0133
ko:K06975	lmoe:BN418_0142
ko:K02034	lmoe:BN418_0145
ko:K02759	lmoe:BN418_1052
ko:K02760	lmoe:BN418_1053
ko:K02761	lmoe:BN418_1055
ko:K00231	lmoe:BN418_1069
ko:K01775	lmoe:BN418_1073
ko:K07723	lmoe:BN418_1074
ko:K03321	lmoe:BN418_1084
ko:K06959	lmoe:BN418_1085
ko:K02761	lmoe:BN418_1092
ko:K00655	lmoe:BN418_1945
ko:K02357	lmoe:BN418_1959
ko:K02967	lmoe:BN418_1960
ko:K01869	lmoe:BN418_1961
ko:K07139	lmoe:BN418_1964
ko:K01953	lmoe:BN418_1967
ko:K00789	lmoe:BN418_1968
ko:K08998	lmoe:BN418_1976
ko:K01911	lmoe:BN418_1978
ko:K01661	lmoe:BN418_1979
ko:K02551	lmoe:BN418_1982
ko:K02548	lmoe:BN418_1986
ko:K00549	lmoe:BN418_1990
ko:K09014	lmoe:BN418_2855
ko:K11717	lmoe:BN418_2858
ko:K09015	lmoe:BN418_2859
ko:K09015	lmoe:BN418_2860
ko:K09013	lmoe:BN418_2861
ko:K02073	lmoe:BN418_2863
ko:K02072	lmoe:BN418_2864
ko:K02071	lmoe:BN418_2865
ko:K02437	lmoe:BN418_2872
ko:K05837	lmoe:BN418_2874
ko:K05837	lmoe:BN418_2875
ko:K02013	lmoe:BN418_2876
ko:K02015	lmoe:BN418_2877
ko:K02016	lmoe:BN418_2878
ko:K09817	lmoe:BN418_0157
ko:K09816	lmoe:BN418_0160
ko:K02341	lmoe:BN418_0167
ko:K07461	lmoe:BN418_0171
ko:K07056	lmoe:BN418_0172
ko:K06284	lmoe:BN418_0173
ko:K05340	lmoe:BN418_0174
ko:K01874	lmoe:BN418_0183
ko:K03424	lmoe:BN418_0194
ko:K05985	lmoe:BN418_0196
ko:K02528	lmoe:BN418_0197
ko:K00919	lmoe:BN418_0199
ko:K02003	lmoe:BN418_0203
ko:K06412	lmoe:BN418_0206
ko:K06412	lmoe:BN418_0207
ko:K04042	lmoe:BN418_0208
ko:K00948	lmoe:BN418_0209
ko:K01223	lmoe:BN418_1115
ko:K07089	lmoe:BN418_1120
ko:K03652	lmoe:BN418_1127
ko:K03800	lmoe:BN418_1133
ko:K03216	lmoe:BN418_1138
ko:K04079	lmoe:BN418_1145
ko:K04047	lmoe:BN418_1146
ko:K02237	lmoe:BN418_1149
ko:K03449	lmoe:BN418_1152
ko:K01443	lmoe:BN418_1162
ko:K03710	lmoe:BN418_1164
ko:K08303	lmoe:BN418_1167
ko:K03744	lmoe:BN418_1168
ko:K03799	lmoe:BN418_1169
ko:K01845	lmoe:BN418_2018
ko:K10780	lmoe:BN418_2021
ko:K03575	lmoe:BN418_2022
ko:K07038	lmoe:BN418_2023
ko:K03565	lmoe:BN418_2026
ko:K07071	lmoe:BN418_2027
ko:K14205	lmoe:BN418_2028
ko:K03790	lmoe:BN418_2031
ko:K07058	lmoe:BN418_2040
ko:K01265	lmoe:BN418_2043
ko:K03839	lmoe:BN418_2044
ko:K03569	lmoe:BN418_2049
