ko:K02495	ecoi:ECOPMV1_04229
ko:K18838	ecoi:ECOPMV1_02159
ko:K18138	ecoi:ECOPMV1_00449
ko:K05396	ecoi:ECOPMV1_02009
ko:K21905	ecoi:ECOPMV1_03848
ko:K03761	ecoi:ECOPMV1_02769
ko:K03297	ecoi:ECOPMV1_02025
ko:K07172	ecoi:ECOPMV1_03039
ko:K19162	ecoi:ECOPMV1_00448
ko:K21901	ecoi:ECOPMV1_03828
ko:K21907	ecoi:ECOPMV1_03841
ko:K21908	ecoi:ECOPMV1_03840
ko:K01990	ecoi:ECOPMV1_00797
ko:K03722	ecoi:ECOPMV1_01900
ko:K21906	ecoi:ECOPMV1_03846
ko:K00616	ecoi:ECOPMV1_00008
ko:K07034	ecoi:ECOPMV1_00010
ko:K02345	ecoi:ECOPMV1_01935
ko:K00254	ecoi:ECOPMV1_00975
ko:K18138	ecoi:ECOPMV1_01490
ko:K03585	ecoi:ECOPMV1_01489
ko:K18140	ecoi:ECOPMV1_03574
ko:K18139	ecoi:ECOPMV1_01491
ko:K18968	ecoi:ECOPMV1_00372
ko:K19611	ecoi:ECOPMV1_01078
ko:K09022	ecoi:ECOPMV1_03427
ko:K00526	ecoi:ECOPMV1_02396
ko:K00287	ecoi:ECOPMV1_00049
ko:K14744	ecoi:ECOPMV1_00547
ko:K01175	ecoi:ECOPMV1_00702
ko:K03111	ecoi:ECOPMV1_04510
ko:K14218	ecoi:ECOPMV1_00210
ko:K14218	ecoi:ECOPMV1_04379
ko:K14218	ecoi:ECOPMV1_04211
ko:K14223	ecoi:ECOPMV1_00676
ko:K14223	ecoi:ECOPMV1_00677
ko:K14228	ecoi:ECOPMV1_00678
ko:K14233	ecoi:ECOPMV1_01111
ko:K14233	ecoi:ECOPMV1_00916
ko:K14233	ecoi:ECOPMV1_02062
ko:K14220	ecoi:ECOPMV1_02064
ko:K14220	ecoi:ECOPMV1_02084
ko:K14220	ecoi:ECOPMV1_02089
ko:K14220	ecoi:ECOPMV1_02087
ko:K14232	ecoi:ECOPMV1_02350
ko:K03767	ecoi:ECOPMV1_03675
ko:K01139	ecoi:ECOPMV1_03984
ko:K19234	ecoi:ECOPMV1_01775
ko:K19230	ecoi:ECOPMV1_01493
ko:K18141	ecoi:ECOPMV1_03575
ko:K19235	ecoi:ECOPMV1_00822
ko:K04781	ecoi:ECOPMV1_02066
ko:K07279	ecoi:ECOPMV1_02394
ko:K01420	ecoi:ECOPMV1_01530
ko:K07358	ecoi:ECOPMV1_04759
ko:K08485	ecoi:ECOPMV1_03517
ko:K09477	ecoi:ECOPMV1_00631
ko:K03559	ecoi:ECOPMV1_03308
ko:K15841	ecoi:ECOPMV1_02738
ko:K14225	ecoi:ECOPMV1_02812
ko:K15035	ecoi:ECOPMV1_02850
ko:K01978	ecoi:ECOPMV1_03433
ko:K14228	ecoi:ECOPMV1_04132
ko:K00040	ecoi:ECOPMV1_04769
ko:K14228	ecoi:ECOPMV1_04826
ko:K14228	ecoi:ECOPMV1_04828
ko:K14228	ecoi:ECOPMV1_04827
ko:K08302	ecoi:ECOPMV1_03448
ko:K00265	ecoi:ECOPMV1_03524
ko:K00821	ecoi:ECOPMV1_03671
ko:K03779	ecoi:ECOPMV1_03378
ko:K03779	ecoi:ECOPMV1_03379
ko:K08302	ecoi:ECOPMV1_03564
ko:K00951	ecoi:ECOPMV1_03040
ko:K17713	ecoi:ECOPMV1_02697
ko:K03604	ecoi:ECOPMV1_01753
ko:K03417	ecoi:ECOPMV1_00338
ko:K06075	ecoi:ECOPMV1_01737
ko:K07245	ecoi:ECOPMV1_01933
ko:K08302	ecoi:ECOPMV1_02254
ko:K11209	ecoi:ECOPMV1_02461
ko:K03585	ecoi:ECOPMV1_00450
ko:K02484	ecoi:ECOPMV1_02056
ko:K04017	ecoi:ECOPMV1_04528
ko:K14234	ecoi:ECOPMV1_02811
ko:K14219	ecoi:ECOPMV1_01414
ko:K08313	ecoi:ECOPMV1_00827
ko:K08316	ecoi:ECOPMV1_03785
ko:K15555	ecoi:ECOPMV1_00970
ko:K14761	ecoi:ECOPMV1_00517
ko:K07232	ecoi:ECOPMV1_01349
ko:K06039	ecoi:ECOPMV1_01350
ko:K00374	ecoi:ECOPMV1_01359
ko:K07048	ecoi:ECOPMV1_02131
ko:K02014	ecoi:ECOPMV1_02147
ko:K07258	ecoi:ECOPMV1_02165
ko:K00135	ecoi:ECOPMV1_02913
ko:K07250	ecoi:ECOPMV1_02914
ko:K03647	ecoi:ECOPMV1_02928
ko:K03743	ecoi:ECOPMV1_02956
ko:K08305	ecoi:ECOPMV1_02957
ko:K02783	ecoi:ECOPMV1_02958
ko:K01974	ecoi:ECOPMV1_03726
ko:K02441	ecoi:ECOPMV1_03730
ko:K07346	ecoi:ECOPMV1_03742
ko:K00016	ecoi:ECOPMV1_04503
ko:K03316	ecoi:ECOPMV1_04516
ko:K04015	ecoi:ECOPMV1_04526
ko:K04018	ecoi:ECOPMV1_04529
ko:K07126	ecoi:ECOPMV1_04531
ko:K02033	ecoi:ECOPMV1_04535
ko:K02035	ecoi:ECOPMV1_04536
ko:K09806	ecoi:ECOPMV1_03364
ko:K00974	ecoi:ECOPMV1_03373
ko:K01409	ecoi:ECOPMV1_03382
ko:K03649	ecoi:ECOPMV1_03386
ko:K03776	ecoi:ECOPMV1_03390
ko:K09251	ecoi:ECOPMV1_03391
ko:K00219	ecoi:ECOPMV1_03399
ko:K01719	ecoi:ECOPMV1_04140
ko:K01048	ecoi:ECOPMV1_04163
ko:K01885	ecoi:ECOPMV1_02602
ko:K02858	ecoi:ECOPMV1_03362
ko:K03757	ecoi:ECOPMV1_04592
ko:K00247	ecoi:ECOPMV1_04614
ko:K00245	ecoi:ECOPMV1_04616
ko:K00244	ecoi:ECOPMV1_04617
ko:K06910	ecoi:ECOPMV1_00776
ko:K00652	ecoi:ECOPMV1_00779
ko:K03635	ecoi:ECOPMV1_00788
ko:K07027	ecoi:ECOPMV1_00791
ko:K06970	ecoi:ECOPMV1_00810
ko:K02055	ecoi:ECOPMV1_01583
ko:K02052	ecoi:ECOPMV1_01584
ko:K02014	ecoi:ECOPMV1_01593
ko:K00374	ecoi:ECOPMV1_01606
ko:K08350	ecoi:ECOPMV1_01614
ko:K13953	ecoi:ECOPMV1_01618
ko:K00027	ecoi:ECOPMV1_01619
ko:K04063	ecoi:ECOPMV1_01622
ko:K01580	ecoi:ECOPMV1_01626
ko:K00853	ecoi:ECOPMV1_00064
ko:K02099	ecoi:ECOPMV1_00065
ko:K03574	ecoi:ECOPMV1_00102
