ko:K00001	bll:BLJ_0603
ko:K01835	bll:BLJ_1703
ko:K01990	bll:BLJ_1888
ko:K13788	bll:BLJ_0756
ko:K02428	bll:BLJ_0386
ko:K01990	bll:BLJ_0742
ko:K01990	bll:BLJ_0984
ko:K13829	bll:BLJ_0875
ko:K02056	bll:BLJ_1621
ko:K10007	bll:BLJ_1451
ko:K02030	bll:BLJ_0508
ko:K02503	bll:BLJ_0888
ko:K04095	bll:BLJ_1158
ko:K08372	bll:BLJ_0080
ko:K17686	bll:BLJ_0241
ko:K07979	bll:BLJ_0661
ko:K03316	bll:BLJ_2005
ko:K01079	bll:BLJ_1500
ko:K11263	bll:BLJ_1809
ko:K15531	bll:BLJ_1599
ko:K06147	bll:BLJ_1524
ko:K01992	bll:BLJ_1889
ko:K02027	bll:BLJ_1284
ko:K03205	bll:BLJ_1243
ko:K07220	bll:BLJ_0605
ko:K07043	bll:BLJ_0017
ko:K01421	bll:BLJ_0207
ko:K11754	bll:BLJ_1262
ko:K00297	bll:BLJ_0947
ko:K01191	bll:BLJ_1962
ko:K01191	bll:BLJ_1285
ko:K01191	bll:BLJ_1286
ko:K00700	bll:BLJ_0709
ko:K07736	bll:BLJ_0710
ko:K01770	bll:BLJ_0711
ko:K01491	bll:BLJ_0715
ko:K02945	bll:BLJ_0716
ko:K00859	bll:BLJ_0717
ko:K03702	bll:BLJ_0718
ko:K00873	bll:BLJ_0720
ko:K01515	bll:BLJ_0721
ko:K02335	bll:BLJ_0724
ko:K01246	bll:BLJ_0731
ko:K00800	bll:BLJ_0754
ko:K00925	bll:BLJ_0755
ko:K09710	bll:BLJ_0760
ko:K04042	bll:BLJ_0761
ko:K00948	bll:BLJ_0763
ko:K01951	bll:BLJ_0766
ko:K01495	bll:BLJ_1630
ko:K03798	bll:BLJ_1631
ko:K00760	bll:BLJ_1632
ko:K04075	bll:BLJ_1633
ko:K07259	bll:BLJ_1634
ko:K00048	bll:BLJ_1640
ko:K00574	bll:BLJ_1641
ko:K03439	bll:BLJ_1645
ko:K01104	bll:BLJ_1656
ko:K00287	bll:BLJ_1657
ko:K00560	bll:BLJ_1658
ko:K00831	bll:BLJ_1664
ko:K02039	bll:BLJ_1667
ko:K02548	bll:BLJ_1669
ko:K04567	bll:BLJ_1670
ko:K02026	bll:BLJ_1684
ko:K02025	bll:BLJ_1685
ko:K01665	bll:BLJ_0361
ko:K11752	bll:BLJ_0362
ko:K00793	bll:BLJ_0363
ko:K00794	bll:BLJ_0365
ko:K03106	bll:BLJ_0367
ko:K01883	bll:BLJ_0369
ko:K01653	bll:BLJ_0373
ko:K01652	bll:BLJ_0374
ko:K03685	bll:BLJ_0375
ko:K02911	bll:BLJ_0376
ko:K07040	bll:BLJ_0377
ko:K00954	bll:BLJ_0379
ko:K00928	bll:BLJ_0147
ko:K00928	bll:BLJ_0148
ko:K00133	bll:BLJ_0149
ko:K01649	bll:BLJ_0152
ko:K03168	bll:BLJ_0155
ko:K00943	bll:BLJ_0156
ko:K02341	bll:BLJ_0157
ko:K06910	bll:BLJ_0158
ko:K08659	bll:BLJ_0159
ko:K01938	bll:BLJ_0160
ko:K01154	bll:BLJ_0171
ko:K03427	bll:BLJ_0173
ko:K01885	bll:BLJ_0174
ko:K03655	bll:BLJ_0179
ko:K07454	bll:BLJ_0184
ko:K00558	bll:BLJ_0186
ko:K03646	bll:BLJ_0195
ko:K07243	bll:BLJ_0199
ko:K07230	bll:BLJ_0200
ko:K02003	bll:BLJ_0204
ko:K02313	bll:BLJ_0001
ko:K02338	bll:BLJ_0002
ko:K03629	bll:BLJ_0003
ko:K02470	bll:BLJ_0005
ko:K02469	bll:BLJ_0006
ko:K00262	bll:BLJ_0009
ko:K00851	bll:BLJ_0019
ko:K07133	bll:BLJ_0020
ko:K04047	bll:BLJ_0021
ko:K01673	bll:BLJ_0025
ko:K03386	bll:BLJ_0026
ko:K00384	bll:BLJ_0027
ko:K03655	bll:BLJ_0031
ko:K01595	bll:BLJ_0033
ko:K11928	bll:BLJ_0035
ko:K01867	bll:BLJ_0038
ko:K00688	bll:BLJ_0044
ko:K01278	bll:BLJ_0058
ko:K07114	bll:BLJ_0060
ko:K12267	bll:BLJ_0069
ko:K00773	bll:BLJ_0079
ko:K07133	bll:BLJ_0082
ko:K00528	bll:BLJ_0083
ko:K01620	bll:BLJ_0590
ko:K03453	bll:BLJ_0591
ko:K02950	bll:BLJ_0592
ko:K02992	bll:BLJ_0593
ko:K02355	bll:BLJ_0594
ko:K02358	bll:BLJ_0595
ko:K06199	bll:BLJ_0601
ko:K06199	bll:BLJ_0602
ko:K01126	bll:BLJ_0606
ko:K05813	bll:BLJ_0607
ko:K05815	bll:BLJ_0608
ko:K05814	bll:BLJ_0609
ko:K03701	bll:BLJ_0616
ko:K07457	bll:BLJ_0619
ko:K01915	bll:BLJ_0624
ko:K00382	bll:BLJ_0626
ko:K03437	bll:BLJ_0632
ko:K01889	bll:BLJ_0633
ko:K01890	bll:BLJ_0634
ko:K00145	bll:BLJ_0636
ko:K00620	bll:BLJ_0637
ko:K00930	bll:BLJ_0638
ko:K00611	bll:BLJ_0640
ko:K03402	bll:BLJ_0641
ko:K01940	bll:BLJ_0642
ko:K01755	bll:BLJ_0643
ko:K03154	bll:BLJ_0644
ko:K03149	bll:BLJ_0645
ko:K00852	bll:BLJ_1517
ko:K06726	bll:BLJ_1518
ko:K10439	bll:BLJ_1519
ko:K10440	bll:BLJ_1520
ko:K10441	bll:BLJ_1521
ko:K02529	bll:BLJ_1522
ko:K05349	bll:BLJ_1534
ko:K05349	bll:BLJ_1540
ko:K01919	bll:BLJ_1541
ko:K04068	bll:BLJ_1543
ko:K03601	bll:BLJ_1545
ko:K03602	bll:BLJ_1546
ko:K03282	bll:BLJ_1550
ko:K07458	bll:BLJ_1558
ko:K01647	bll:BLJ_1565
ko:K01265	bll:BLJ_1566
ko:K07386	bll:BLJ_1569
ko:K01881	bll:BLJ_1571
ko:K01624	bll:BLJ_0087
ko:K01939	bll:BLJ_0090
ko:K06199	bll:BLJ_0092
ko:K06199	bll:BLJ_0093
ko:K01997	bll:BLJ_0094
ko:K01998	bll:BLJ_0095
ko:K01995	bll:BLJ_0096
ko:K01996	bll:BLJ_0097
ko:K01999	bll:BLJ_0098
ko:K03484	bll:BLJ_0099
ko:K00690	bll:BLJ_0100
ko:K03799	bll:BLJ_0084
ko:K07133	bll:BLJ_0475
ko:K03924	bll:BLJ_0483
ko:K03657	bll:BLJ_0487
ko:K00215	bll:BLJ_0489
ko:K01714	bll:BLJ_0490
ko:K12574	bll:BLJ_0491
ko:K01256	bll:BLJ_0492
ko:K07090	bll:BLJ_0493
ko:K03431	bll:BLJ_0497
ko:K01462	bll:BLJ_0498
ko:K02836	bll:BLJ_0502
ko:K09812	bll:BLJ_0503
ko:K09811	bll:BLJ_0504
ko:K03664	bll:BLJ_0506
ko:K00820	bll:BLJ_0511
ko:K07154	bll:BLJ_0513
ko:K02025	bll:BLJ_0516
ko:K02026	bll:BLJ_0517
ko:K12308	bll:BLJ_0519
ko:K03525	bll:BLJ_0525
ko:K13038	bll:BLJ_0526
ko:K02035	bll:BLJ_0527
ko:K02033	bll:BLJ_0528
ko:K00942	bll:BLJ_1403
ko:K01591	bll:BLJ_1404
ko:K01955	bll:BLJ_1405
ko:K01956	bll:BLJ_1406
ko:K03625	bll:BLJ_1408
ko:K02356	bll:BLJ_1409
ko:K02068	bll:BLJ_1407
ko:K02069	bll:BLJ_1410
ko:K00074	bll:BLJ_1415
ko:K03593	bll:BLJ_1423
ko:K01972	bll:BLJ_1424
ko:K00886	bll:BLJ_1429
ko:K07574	bll:BLJ_1433
ko:K08972	bll:BLJ_1434
ko:K07654	bll:BLJ_1443
ko:K07670	bll:BLJ_1444
ko:K07478	bll:BLJ_1445
ko:K10005	bll:BLJ_1453
ko:K01876	bll:BLJ_1456
ko:K01892	bll:BLJ_1457
ko:K00053	bll:BLJ_0103
ko:K00053	bll:BLJ_0105
ko:K00705	bll:BLJ_0110
ko:K07025	bll:BLJ_0116
ko:K04043	bll:BLJ_0123
ko:K03687	bll:BLJ_0124
ko:K03686	bll:BLJ_0125
ko:K13640	bll:BLJ_0126
ko:K03975	bll:BLJ_0133
ko:K02283	bll:BLJ_0136
ko:K02343	bll:BLJ_0144
ko:K06187	bll:BLJ_0145
ko:K00033	bll:BLJ_0210
ko:K01057	bll:BLJ_0211
ko:K00036	bll:BLJ_0213
ko:K08659	bll:BLJ_0214
ko:K03110	bll:BLJ_0219
ko:K03320	bll:BLJ_0220
ko:K04751	bll:BLJ_0221
ko:K00990	bll:BLJ_0222
ko:K02314	bll:BLJ_0224
ko:K07009	bll:BLJ_0226
ko:K03688	bll:BLJ_0228
ko:K06997	bll:BLJ_0229
ko:K00948	bll:BLJ_0231
ko:K02990	bll:BLJ_0233
ko:K03111	bll:BLJ_0234
ko:K02963	bll:BLJ_0235
ko:K02939	bll:BLJ_0236
ko:K08483	bll:BLJ_0239
ko:K02440	bll:BLJ_0240
ko:K09760	bll:BLJ_0243
ko:K02435	bll:BLJ_0247
ko:K02433	bll:BLJ_0248
ko:K02434	bll:BLJ_0249
ko:K03628	bll:BLJ_0254
ko:K01873	bll:BLJ_0257
ko:K10773	bll:BLJ_0259
