ko:K04042	spv:SPH_1089
ko:K06940	spv:SPH_1296
ko:K03327	spv:SPH_1280
ko:K06191	spv:SPH_1299
ko:K07025	spv:SPH_1284
ko:K00863	spv:SPH_1294
ko:K07462	spv:SPH_0705
ko:K01704	spv:SPH_1371
ko:K06896	spv:SPH_0860
ko:K00760	spv:SPH_0012
ko:K01939	spv:SPH_0025
ko:K01520	spv:SPH_0122
ko:K00948	spv:SPH_0127
ko:K01923	spv:SPH_0150
ko:K01923	spv:SPH_0151
ko:K01952	spv:SPH_0152
ko:K00764	spv:SPH_0153
ko:K01933	spv:SPH_0154
ko:K01945	spv:SPH_0158
ko:K01756	spv:SPH_0163
ko:K01752	spv:SPH_0205
ko:K01752	spv:SPH_0206
ko:K01940	spv:SPH_0215
ko:K01755	spv:SPH_0216
ko:K00566	spv:SPH_0234
ko:K01409	spv:SPH_0244
ko:K00012	spv:SPH_0252
ko:K01246	spv:SPH_0283
ko:K00939	spv:SPH_0344
ko:K00656	spv:SPH_0369
ko:K07560	spv:SPH_1752
ko:K03581	spv:SPH_0510
ko:K03706	spv:SPH_1697
ko:K01652	spv:SPH_0551
ko:K01653	spv:SPH_0552
ko:K02519	spv:SPH_0653
ko:K02600	spv:SPH_0650
ko:K02834	spv:SPH_0654
ko:K03438	spv:SPH_0444
ko:K05366	spv:SPH_0476
ko:K03060	spv:SPH_1846
ko:K03565	spv:SPH_2044
ko:K02440	spv:SPH_2379
ko:K03739	spv:SPH_2371
ko:K03740	spv:SPH_2369
ko:K09014	spv:SPH_0974
ko:K09015	spv:SPH_0971
ko:K02902	spv:SPH_0548
ko:K02760	spv:SPH_0367
ko:K02118	spv:SPH_1458
ko:K02914	spv:SPH_2135
ko:K04047	spv:SPH_1686
ko:K02622	spv:SPH_0952
ko:K01807	spv:SPH_0926
ko:K02316	spv:SPH_1160
ko:K06286	spv:SPH_0909
ko:K02470	spv:SPH_0908
ko:K02836	spv:SPH_0856
ko:K06187	spv:SPH_1780
ko:K02838	spv:SPH_1049
ko:K03466	spv:SPH_0983
ko:K03767	spv:SPH_0870
ko:K03723	spv:SPH_0006
ko:K02822	spv:SPH_2322
ko:K03784	spv:SPH_0934
ko:K03789	spv:SPH_0243
ko:K02003	spv:SPH_0781
ko:K02563	spv:SPH_0783
ko:K03589	spv:SPH_0784
ko:K00878	spv:SPH_0811
ko:K01696	spv:SPH_1934
ko:K01695	spv:SPH_1932
ko:K02787	spv:SPH_1305
ko:K02788	spv:SPH_1305
ko:K02786	spv:SPH_1306
ko:K03498	spv:SPH_0179
ko:K03713	spv:SPH_0610
ko:K03427	spv:SPH_0618
ko:K01153	spv:SPH_0619
ko:K01990	spv:SPH_0628
ko:K01992	spv:SPH_0629
ko:K07707	spv:SPH_0632
ko:K07706	spv:SPH_0633
ko:K07052	spv:SPH_0644
ko:K07052	spv:SPH_0646
ko:K09748	spv:SPH_0649
ko:K01992	spv:SPH_0729
ko:K01190	spv:SPH_0741
ko:K07058	spv:SPH_0752
ko:K06196	spv:SPH_0753
ko:K07718	spv:SPH_0757
ko:K07124	spv:SPH_0770
ko:K02341	spv:SPH_1044
ko:K02114	spv:SPH_1618
ko:K02112	spv:SPH_1619
ko:K02111	spv:SPH_1621
ko:K02110	spv:SPH_1625
ko:K03177	spv:SPH_1328
ko:K02039	spv:SPH_1526
ko:K02968	spv:SPH_0936
ko:K02768	spv:SPH_0981
ko:K02769	spv:SPH_0981
ko:K02770	spv:SPH_0981
ko:K03544	spv:SPH_1683
ko:K02835	spv:SPH_1123
ko:K03816	spv:SPH_1962
ko:K01926	spv:SPH_1182
ko:K03630	spv:SPH_1181
ko:K02945	spv:SPH_0963
ko:K03497	spv:SPH_2439
ko:K03590	spv:SPH_1775
ko:K03531	spv:SPH_1774
ko:K03631	spv:SPH_1320
ko:K03595	spv:SPH_1070
ko:K03075	spv:SPH_1075
ko:K03664	spv:SPH_1077
ko:K06023	spv:SPH_1544
ko:K03685	spv:SPH_1363
ko:K03151	spv:SPH_0986
ko:K03596	spv:SPH_1318
ko:K03703	spv:SPH_0711
ko:K02909	spv:SPH_1441
ko:K02343	spv:SPH_0968
ko:K06201	spv:SPH_1376
ko:K03665	spv:SPH_0767
ko:K02520	spv:SPH_1060
ko:K02808	spv:SPH_1830
ko:K02809	spv:SPH_1830
ko:K02810	spv:SPH_1830
ko:K01138	spv:SPH_1924
ko:K01817	spv:SPH_1935
ko:K01609	spv:SPH_1936
ko:K00766	spv:SPH_1937
ko:K01142	spv:SPH_1959
ko:K01155	spv:SPH_1964
ko:K00849	spv:SPH_1969
ko:K01261	spv:SPH_1982
