ko:K07462	rri:A1G_03945
ko:K09774	rri:A1G_03750
ko:K10773	rri:A1G_06320
ko:K03168	rri:A1G_02540
ko:K00161	rri:A1G_01985
ko:K03587	rri:A1G_04745
ko:K03624	rri:A1G_07285
ko:K01878	rri:A1G_07215
ko:K03497	rri:A1G_00545
ko:K01889	rri:A1G_03280
ko:K00240	rri:A1G_00440
ko:K03601	rri:A1G_05650
ko:K00208	rri:A1G_02800
ko:K03602	rri:A1G_02690
ko:K03652	rri:A1G_02715
ko:K03060	rri:A1G_04870
ko:K03553	rri:A1G_06490
ko:K05515	rri:A1G_04730
ko:K05366	rri:A1G_06815
ko:K10563	rri:A1G_05740
ko:K00342	rri:A1G_06720
ko:K03470	rri:A1G_01510
ko:K03469	rri:A1G_06145
ko:K00567	rri:A1G_04815
ko:K02621	rri:A1G_00595
ko:K00325	rri:A1G_00635
ko:K03640	rri:A1G_06560
ko:K03641	rri:A1G_02315
ko:K00525	rri:A1G_03670
ko:K01142	rri:A1G_05670
ko:K03496	rri:A1G_00540
ko:K04754	rri:A1G_00725
ko:K00648	rri:A1G_06570
ko:K07042	rri:A1G_06285
ko:K02337	rri:A1G_06640
ko:K00554	rri:A1G_00875
ko:K02884	rri:A1G_00880
ko:K03074	rri:A1G_00890
ko:K00335	rri:A1G_00895
ko:K03100	rri:A1G_00900
ko:K03595	rri:A1G_00910
ko:K02533	rri:A1G_00920
ko:K03593	rri:A1G_00940
ko:K04088	rri:A1G_00945
ko:K04087	rri:A1G_00950
ko:K07146	rri:A1G_00960
ko:K00241	rri:A1G_00965
ko:K00242	rri:A1G_00975
ko:K02950	rri:A1G_00990
ko:K02992	rri:A1G_00995
ko:K02355	rri:A1G_01000
ko:K03073	rri:A1G_01005
ko:K02601	rri:A1G_01010
ko:K02867	rri:A1G_01015
ko:K02863	rri:A1G_01020
ko:K02864	rri:A1G_01025
ko:K02935	rri:A1G_01030
ko:K01255	rri:A1G_01050
ko:K00645	rri:A1G_06190
ko:K03821	rri:A1G_06260
ko:K03685	rri:A1G_00905
ko:K02342	rri:A1G_06165
ko:K03555	rri:A1G_02290
ko:K00526	rri:A1G_03685
ko:K02343	rri:A1G_07305
ko:K02338	rri:A1G_03290
ko:K01419	rri:A1G_02455
ko:K04075	rri:A1G_00420
ko:K02313	rri:A1G_05055
ko:K03667	rri:A1G_02460
ko:K07447	rri:A1G_02575
ko:K02470	rri:A1G_04880
ko:K03043	rri:A1G_01035
ko:K03046	rri:A1G_01040
ko:K04078	rri:A1G_05325
ko:K00989	rri:A1G_05365
ko:K03687	rri:A1G_05370
ko:K03695	rri:A1G_00380
ko:K01409	rri:A1G_00390
ko:K00507	rri:A1G_00395
ko:K02990	rri:A1G_00405
ko:K02963	rri:A1G_00410
ko:K02939	rri:A1G_00415
ko:K03798	rri:A1G_00425
ko:K03217	rri:A1G_00475
ko:K00995	rri:A1G_00480
ko:K01462	rri:A1G_00510
ko:K03301	rri:A1G_00515
ko:K02445	rri:A1G_00520
ko:K00940	rri:A1G_00525
ko:K03495	rri:A1G_00530
ko:K01627	rri:A1G_00560
ko:K01129	rri:A1G_00580
ko:K01887	rri:A1G_00585
ko:K03466	rri:A1G_07010
ko:K00449	rri:A1G_03080
ko:K01520	rri:A1G_03095
ko:K07010	rri:A1G_03125
ko:K02274	rri:A1G_03130
ko:K03101	rri:A1G_03150
ko:K01925	rri:A1G_03160
ko:K03588	rri:A1G_03165
ko:K01885	rri:A1G_02535
ko:K00067	rri:A1G_02590
ko:K02986	rri:A1G_02650
ko:K02860	rri:A1G_02680
ko:K07080	rri:A1G_01485
ko:K04044	rri:A1G_01500
ko:K04082	rri:A1G_01505
ko:K03702	rri:A1G_01520
ko:K03676	rri:A1G_01525
ko:K02469	rri:A1G_01555
ko:K01462	rri:A1G_01595
ko:K00604	rri:A1G_01600
ko:K06916	rri:A1G_01615
ko:K00426	rri:A1G_01655
ko:K01923	rri:A1G_01680
ko:K01868	rri:A1G_01690
ko:K09991	rri:A1G_01750
ko:K03797	rri:A1G_01770
ko:K00942	rri:A1G_06535
ko:K03570	rri:A1G_06545
ko:K03438	rri:A1G_04755
ko:K03925	rri:A1G_04760
ko:K03703	rri:A1G_04780
ko:K00997	rri:A1G_04865
ko:K00790	rri:A1G_04875
ko:K06213	rri:A1G_04890
ko:K03210	rri:A1G_04935
ko:K03072	rri:A1G_04940
ko:K07152	rri:A1G_04945
ko:K03704	rri:A1G_05630
ko:K02528	rri:A1G_05635
ko:K04744	rri:A1G_05645
ko:K03977	rri:A1G_05685
ko:K03688	rri:A1G_05725
ko:K03183	rri:A1G_05735
ko:K01876	rri:A1G_01065
ko:K06890	rri:A1G_01075
ko:K02434	rri:A1G_01095
ko:K02433	rri:A1G_01100
ko:K02435	rri:A1G_01105
ko:K02838	rri:A1G_01115
ko:K09903	rri:A1G_01120
ko:K05569	rri:A1G_01125
ko:K07277	rri:A1G_01150
ko:K03625	rri:A1G_01160
ko:K02427	rri:A1G_01165
ko:K09761	rri:A1G_01190
ko:K09779	rri:A1G_01195
ko:K03530	rri:A1G_01205
ko:K09159	rri:A1G_05045
ko:K06942	rri:A1G_05115
ko:K02897	rri:A1G_05135
ko:K02916	rri:A1G_05145
ko:K02887	rri:A1G_05150
ko:K02914	rri:A1G_05155
ko:K03536	rri:A1G_05160
ko:K03284	rri:A1G_05185
ko:K02970	rri:A1G_05220
ko:K01870	rri:A1G_05240
ko:K01885	rri:A1G_05305
ko:K03203	rri:A1G_02220
ko:K03204	rri:A1G_02225
ko:K03195	rri:A1G_02230
ko:K03196	rri:A1G_02235
ko:K07043	rri:A1G_02305
ko:K03465	rri:A1G_02310
ko:K03089	rri:A1G_02320
ko:K02258	rri:A1G_02325
ko:K00566	rri:A1G_02335
ko:K03562	rri:A1G_02400
ko:K02523	rri:A1G_04100
ko:K01262	rri:A1G_04105
ko:K04488	rri:A1G_04120
ko:K01823	rri:A1G_04195
ko:K00945	rri:A1G_04215
ko:K01749	rri:A1G_04275
ko:K06980	rri:A1G_04315
ko:K03684	rri:A1G_04325
ko:K00382	rri:A1G_04340
ko:K02919	rri:A1G_04395
ko:K06180	rri:A1G_07185
ko:K02493	rri:A1G_07200
ko:K07566	rri:A1G_07205
ko:K05837	rri:A1G_02160
ko:K01354	rri:A1G_02165
ko:K05568	rri:A1G_02170
ko:K05568	rri:A1G_02190
ko:K05568	rri:A1G_02195
ko:K05567	rri:A1G_02200
ko:K03204	rri:A1G_02205
ko:K06041	rri:A1G_03760
