ko:K01212	bamc:U471_39230
ko:K08153	bamc:U471_10690
ko:K21900	bamc:U471_36280
ko:K02277	bamc:U471_15130
ko:K15327	bamc:U471_17330
ko:K22044	bamc:U471_14270
ko:K05592	bamc:U471_37810
ko:K19689	bamc:U471_14490
ko:K03297	bamc:U471_04430
ko:K11741	bamc:U471_05990
ko:K18924	bamc:U471_06000
ko:K19417	bamc:U471_32880
ko:K18939	bamc:U471_02580
ko:K18939	bamc:U471_33500
ko:K18926	bamc:U471_02570
ko:K01732	bamc:U471_37900
ko:K19427	bamc:U471_32780
ko:K07260	bamc:U471_20030
ko:K03296	bamc:U471_06850
ko:K13612	bamc:U471_17410
ko:K13613	bamc:U471_17420
ko:K15656	bamc:U471_03280
ko:K00571	bamc:U471_27470
ko:K18682	bamc:U471_17210
ko:K09022	bamc:U471_00520
ko:K07045	bamc:U471_31910
ko:K07045	bamc:U471_08850
ko:K07029	bamc:U471_06860
ko:K21064	bamc:U471_11080
ko:K12574	bamc:U471_14580
ko:K12574	bamc:U471_17020
ko:K11638	bamc:U471_07620
ko:K16235	bamc:U471_02330
ko:K00681	bamc:U471_34610
ko:K02031	bamc:U471_11320
ko:K01585	bamc:U471_14830
ko:K01990	bamc:U471_02020
ko:K01990	bamc:U471_09150
ko:K01990	bamc:U471_31690
ko:K01990	bamc:U471_36510
ko:K18924	bamc:U471_13040
ko:K03483	bamc:U471_04080
ko:K01977	bamc:U471_r00130
ko:K01977	bamc:U471_r00160
ko:K01977	bamc:U471_r00220
ko:K01985	bamc:U471_r00240
ko:K01977	bamc:U471_r00010
ko:K01977	bamc:U471_r00070
ko:K07979	bamc:U471_28590
ko:K17836	bamc:U471_12090
ko:K03292	bamc:U471_12430
ko:K03292	bamc:U471_17790
ko:K01843	bamc:U471_20150
ko:K15668	bamc:U471_18970
ko:K01980	bamc:U471_r00170
ko:K01980	bamc:U471_r00230
ko:K15655	bamc:U471_03270
ko:K01980	bamc:U471_r00020
ko:K08194	bamc:U471_03000
ko:K11928	bamc:U471_03060
ko:K00483	bamc:U471_02150
ko:K06518	bamc:U471_01950
ko:K06518	bamc:U471_37030
ko:K01980	bamc:U471_r00140
ko:K17752	bamc:U471_04780
ko:K01985	bamc:U471_r00030
ko:K01985	bamc:U471_r00120
ko:K01985	bamc:U471_r00150
ko:K01985	bamc:U471_r00060
ko:K01985	bamc:U471_r00210
ko:K01985	bamc:U471_r00180
ko:K01985	bamc:U471_r00090
ko:K01985	bamc:U471_r00250
ko:K17763	bamc:U471_04760
ko:K17763	bamc:U471_13230
ko:K17763	bamc:U471_23890
ko:K17828	bamc:U471_15750
ko:K01739	bamc:U471_11910
ko:K01977	bamc:U471_r00100
ko:K01977	bamc:U471_r00190
ko:K18115	bamc:U471_19660
ko:K14227	bamc:U471_t00010
ko:K14227	bamc:U471_t00040
ko:K14227	bamc:U471_t00630
ko:K14237	bamc:U471_t00080
ko:K14237	bamc:U471_t00410
ko:K14237	bamc:U471_t00800
ko:K14237	bamc:U471_t00230
ko:K14228	bamc:U471_t00130
ko:K14228	bamc:U471_t00520
ko:K14228	bamc:U471_t00750
ko:K14228	bamc:U471_t00330
ko:K14232	bamc:U471_t00150
ko:K14232	bamc:U471_t00730
ko:K14232	bamc:U471_t00210
ko:K14234	bamc:U471_t00180
ko:K14236	bamc:U471_t00250
ko:K14236	bamc:U471_t00460
ko:K14221	bamc:U471_t00370
ko:K14221	bamc:U471_t00670
ko:K14221	bamc:U471_t00430
ko:K14221	bamc:U471_t00840
ko:K14231	bamc:U471_t00440
ko:K14231	bamc:U471_t00660
ko:K14231	bamc:U471_t00830
ko:K14235	bamc:U471_t00470
ko:K14230	bamc:U471_t00060
ko:K14230	bamc:U471_t00710
ko:K01980	bamc:U471_r00110
ko:K17837	bamc:U471_11840
ko:K17763	bamc:U471_19820
ko:K16044	bamc:U471_31860
ko:K05606	bamc:U471_22980
ko:K02028	bamc:U471_23010
ko:K02029	bamc:U471_23020
ko:K02030	bamc:U471_23030
ko:K09699	bamc:U471_23060
ko:K00167	bamc:U471_23070
ko:K00166	bamc:U471_23080
ko:K00382	bamc:U471_23090
ko:K00929	bamc:U471_23100
ko:K00263	bamc:U471_23110
ko:K03417	bamc:U471_23150
ko:K01720	bamc:U471_23160
ko:K01647	bamc:U471_23170
ko:K00074	bamc:U471_23190
ko:K00626	bamc:U471_23200
ko:K01126	bamc:U471_23210
ko:K01448	bamc:U471_23220
ko:K01775	bamc:U471_23310
ko:K07699	bamc:U471_23330
ko:K06399	bamc:U471_23340
ko:K03631	bamc:U471_23350
ko:K03402	bamc:U471_23360
ko:K06442	bamc:U471_23370
ko:K01662	bamc:U471_23380
ko:K13789	bamc:U471_23390
ko:K03602	bamc:U471_23400
ko:K03601	bamc:U471_23410
ko:K01491	bamc:U471_23420
ko:K03625	bamc:U471_23430
ko:K01961	bamc:U471_23460
ko:K02160	bamc:U471_23470
ko:K06397	bamc:U471_23480
ko:K06396	bamc:U471_23490
ko:K06395	bamc:U471_23500
ko:K06394	bamc:U471_23510
ko:K02038	bamc:U471_24090
ko:K02037	bamc:U471_24100
ko:K02040	bamc:U471_24110
ko:K08222	bamc:U471_24140
ko:K04564	bamc:U471_24150
ko:K09793	bamc:U471_24160
ko:K05967	bamc:U471_24210
ko:K02076	bamc:U471_24220
ko:K01151	bamc:U471_24250
ko:K03527	bamc:U471_24280
ko:K06967	bamc:U471_24300
ko:K13300	bamc:U471_24310
ko:K03086	bamc:U471_24330
ko:K09768	bamc:U471_24350
ko:K09773	bamc:U471_24360
ko:K01879	bamc:U471_24380
ko:K01878	bamc:U471_24390
ko:K03584	bamc:U471_24400
ko:K01489	bamc:U471_24430
ko:K07042	bamc:U471_24450
ko:K07037	bamc:U471_24460
ko:K06438	bamc:U471_24480
ko:K07403	bamc:U471_24520
ko:K09117	bamc:U471_24530
ko:K03324	bamc:U471_24540
ko:K09761	bamc:U471_24560
ko:K02687	bamc:U471_24570
ko:K03686	bamc:U471_24580
ko:K04043	bamc:U471_24590
ko:K03687	bamc:U471_24600
ko:K03705	bamc:U471_24610
ko:K03596	bamc:U471_24630
ko:K00123	bamc:U471_25240
ko:K17217	bamc:U471_25270
ko:K17216	bamc:U471_25280
ko:K01243	bamc:U471_25290
ko:K17462	bamc:U471_25300
ko:K03624	bamc:U471_25340
ko:K00876	bamc:U471_25350
ko:K08303	bamc:U471_25360
ko:K08303	bamc:U471_25370
ko:K07082	bamc:U471_25390
ko:K07447	bamc:U471_25410
ko:K01872	bamc:U471_25430
ko:K10041	bamc:U471_25450
ko:K10039	bamc:U471_25460
ko:K10040	bamc:U471_25470
ko:K10040	bamc:U471_25480
ko:K03581	bamc:U471_25520
ko:K00566	bamc:U471_25540
ko:K04487	bamc:U471_25550
ko:K17472	bamc:U471_25560
ko:K07478	bamc:U471_25570
ko:K01876	bamc:U471_25600
ko:K01892	bamc:U471_25610
ko:K01448	bamc:U471_25640
ko:K07560	bamc:U471_25650
ko:K00951	bamc:U471_25660
ko:K00759	bamc:U471_25670
ko:K07462	bamc:U471_25680
ko:K07228	bamc:U471_25700
ko:K12257	bamc:U471_25710
ko:K06409	bamc:U471_25730
ko:K01703	bamc:U471_26290
