ko:K00090	bpr:GBP346_A2224
ko:K03316	bpr:GBP346_A0304
ko:K00121	bpr:GBP346_A0790
ko:K18094	bpr:GBP346_A1927
ko:K00042	bpr:GBP346_A2372
ko:K14682	bpr:GBP346_A2824
ko:K13541	bpr:GBP346_A1988
ko:K03190	bpr:GBP346_A3252
ko:K01430	bpr:GBP346_A3254
ko:K01429	bpr:GBP346_A3255
ko:K01428	bpr:GBP346_A3256
ko:K03187	bpr:GBP346_A3257
ko:K03188	bpr:GBP346_A3258
ko:K03189	bpr:GBP346_A3259
ko:K02527	bpr:GBP346_A3260
ko:K02841	bpr:GBP346_A3262
ko:K01876	bpr:GBP346_A0603
ko:K08310	bpr:GBP346_A0604
ko:K02379	bpr:GBP346_A0611
ko:K10806	bpr:GBP346_A0613
ko:K07102	bpr:GBP346_A0618
ko:K04744	bpr:GBP346_A0619
ko:K03771	bpr:GBP346_A0620
ko:K00097	bpr:GBP346_A0621
ko:K02528	bpr:GBP346_A0622
ko:K07043	bpr:GBP346_A0626
ko:K00655	bpr:GBP346_A0627
ko:K03273	bpr:GBP346_A0628
ko:K01879	bpr:GBP346_A0629
ko:K01878	bpr:GBP346_A0630
ko:K00334	bpr:GBP346_A1318
ko:K00337	bpr:GBP346_A1321
ko:K00338	bpr:GBP346_A1322
ko:K00339	bpr:GBP346_A1323
ko:K00340	bpr:GBP346_A1324
ko:K00341	bpr:GBP346_A1325
ko:K00342	bpr:GBP346_A1326
ko:K00343	bpr:GBP346_A1327
ko:K09861	bpr:GBP346_A1345
ko:K03338	bpr:GBP346_A1700
ko:K00963	bpr:GBP346_A1713
ko:K01873	bpr:GBP346_A1714
ko:K03657	bpr:GBP346_A1715
ko:K08223	bpr:GBP346_A1717
ko:K03809	bpr:GBP346_A1729
ko:K07058	bpr:GBP346_A1730
ko:K00311	bpr:GBP346_A1736
ko:K07107	bpr:GBP346_A1739
ko:K01028	bpr:GBP346_A1746
ko:K01029	bpr:GBP346_A1747
ko:K01868	bpr:GBP346_A1757
ko:K00928	bpr:GBP346_A2661
ko:K04075	bpr:GBP346_A2663
ko:K01962	bpr:GBP346_A2664
ko:K01247	bpr:GBP346_A2665
ko:K01883	bpr:GBP346_A2666
ko:K03269	bpr:GBP346_A2670
ko:K00640	bpr:GBP346_A2672
ko:K01465	bpr:GBP346_A3560
ko:K04078	bpr:GBP346_A3568
ko:K04077	bpr:GBP346_A3569
ko:K10004	bpr:GBP346_A3573
ko:K10002	bpr:GBP346_A3574
ko:K10003	bpr:GBP346_A3575
ko:K10001	bpr:GBP346_A3576
ko:K00261	bpr:GBP346_A3577
ko:K02575	bpr:GBP346_A3581
ko:K01756	bpr:GBP346_A3582
ko:K01625	bpr:GBP346_A3586
ko:K01690	bpr:GBP346_A3587
ko:K08973	bpr:GBP346_A3590
ko:K00147	bpr:GBP346_A3592
ko:K02340	bpr:GBP346_A3593
ko:K03643	bpr:GBP346_A3594
ko:K01869	bpr:GBP346_A3595
ko:K03561	bpr:GBP346_A3597
ko:K06186	bpr:GBP346_A3599
ko:K01483	bpr:GBP346_A3601
ko:K01477	bpr:GBP346_A3602
ko:K11103	bpr:GBP346_A3603
ko:K11921	bpr:GBP346_A3606
ko:K01673	bpr:GBP346_A3607
ko:K01725	bpr:GBP346_A3608
ko:K00134	bpr:GBP346_A3611
ko:K00615	bpr:GBP346_A3612
ko:K02259	bpr:GBP346_A0426
ko:K07152	bpr:GBP346_A0428
ko:K02073	bpr:GBP346_A0432
ko:K00836	bpr:GBP346_A0443
ko:K01586	bpr:GBP346_A0453
ko:K03710	bpr:GBP346_A0462
ko:K01443	bpr:GBP346_A0463
ko:K00426	bpr:GBP346_A0472
ko:K00425	bpr:GBP346_A0473
ko:K03089	bpr:GBP346_A0475
ko:K01649	bpr:GBP346_A0479
ko:K02275	bpr:GBP346_A1374
ko:K07789	bpr:GBP346_A1385
ko:K07788	bpr:GBP346_A1386
ko:K07799	bpr:GBP346_A1387
ko:K07093	bpr:GBP346_A1392
ko:K07118	bpr:GBP346_A1397
ko:K05800	bpr:GBP346_A1399
ko:K02011	bpr:GBP346_A1401
ko:K02012	bpr:GBP346_A1402
ko:K03583	bpr:GBP346_A1409
ko:K03582	bpr:GBP346_A1410
ko:K03581	bpr:GBP346_A1411
ko:K04062	bpr:GBP346_A1418
ko:K03147	bpr:GBP346_A1419
ko:K02520	bpr:GBP346_A1758
ko:K02916	bpr:GBP346_A1759
ko:K02887	bpr:GBP346_A1760
ko:K01889	bpr:GBP346_A1761
ko:K01890	bpr:GBP346_A1762
ko:K04764	bpr:GBP346_A1763
ko:K07287	bpr:GBP346_A1771
ko:K06024	bpr:GBP346_A1780
ko:K06178	bpr:GBP346_A1781
ko:K09748	bpr:GBP346_A1782
ko:K02600	bpr:GBP346_A1783
ko:K02519	bpr:GBP346_A1784
ko:K02834	bpr:GBP346_A1785
ko:K03543	bpr:GBP346_A1788
ko:K06207	bpr:GBP346_A1792
ko:K00164	bpr:GBP346_A1793
ko:K00658	bpr:GBP346_A1794
ko:K00382	bpr:GBP346_A1795
ko:K06916	bpr:GBP346_A1796
ko:K02278	bpr:GBP346_A1806
ko:K02279	bpr:GBP346_A1808
ko:K02280	bpr:GBP346_A1809
ko:K02282	bpr:GBP346_A1810
ko:K02283	bpr:GBP346_A1811
ko:K03555	bpr:GBP346_A2737
ko:K03775	bpr:GBP346_A2738
ko:K07287	bpr:GBP346_A2742
ko:K01714	bpr:GBP346_A2743
ko:K01867	bpr:GBP346_A2745
ko:K07053	bpr:GBP346_A2748
ko:K04083	bpr:GBP346_A2753
ko:K05589	bpr:GBP346_A2755
ko:K01689	bpr:GBP346_A2756
ko:K01627	bpr:GBP346_A2757
ko:K01937	bpr:GBP346_A2758
ko:K03424	bpr:GBP346_A2762
ko:K00797	bpr:GBP346_A3614
ko:K09761	bpr:GBP346_A3616
ko:K00029	bpr:GBP346_A3620
ko:K00946	bpr:GBP346_A3621
ko:K01095	bpr:GBP346_A3622
ko:K01591	bpr:GBP346_A3625
ko:K10538	bpr:GBP346_A3628
ko:K10539	bpr:GBP346_A3629
ko:K10537	bpr:GBP346_A3630
ko:K00883	bpr:GBP346_A3633
ko:K03814	bpr:GBP346_A3639
ko:K00014	bpr:GBP346_A3640
ko:K07000	bpr:GBP346_A3643
ko:K02558	bpr:GBP346_A3644
ko:K03786	bpr:GBP346_A3647
ko:K02160	bpr:GBP346_A3648
ko:K02687	bpr:GBP346_A3650
ko:K11065	bpr:GBP346_A3652
ko:K06077	bpr:GBP346_A3654
ko:K03806	bpr:GBP346_A3660
ko:K06950	bpr:GBP346_A3661
ko:K03106	bpr:GBP346_A3663
ko:K00760	bpr:GBP346_A3664
ko:K01881	bpr:GBP346_A3667
ko:K08311	bpr:GBP346_A3668
ko:K03686	bpr:GBP346_A3454
ko:K04043	bpr:GBP346_A3456
ko:K03687	bpr:GBP346_A3458
ko:K04762	bpr:GBP346_A3459
ko:K01772	bpr:GBP346_A3461
ko:K03705	bpr:GBP346_A3462
ko:K00858	bpr:GBP346_A3463
ko:K03631	bpr:GBP346_A3464
ko:K00982	bpr:GBP346_A3465
ko:K03568	bpr:GBP346_A3468
ko:K01626	bpr:GBP346_A3470
ko:K05916	bpr:GBP346_A3471
ko:K00798	bpr:GBP346_A3472
ko:K11472	bpr:GBP346_A3475
ko:K11473	bpr:GBP346_A3476
ko:K06997	bpr:GBP346_A3477
ko:K00286	bpr:GBP346_A3478
ko:K02042	bpr:GBP346_A3479
ko:K02044	bpr:GBP346_A3480
ko:K02041	bpr:GBP346_A3481
ko:K06162	bpr:GBP346_A3482
ko:K05780	bpr:GBP346_A3483
ko:K05781	bpr:GBP346_A3484
ko:K06163	bpr:GBP346_A3485
ko:K06164	bpr:GBP346_A3486
ko:K06165	bpr:GBP346_A3487
ko:K07018	bpr:GBP346_A0365
ko:K00824	bpr:GBP346_A0367
ko:K09158	bpr:GBP346_A0368
ko:K03801	bpr:GBP346_A0371
ko:K03644	bpr:GBP346_A0372
ko:K11103	bpr:GBP346_A0385
ko:K10125	bpr:GBP346_A0386
ko:K10126	bpr:GBP346_A0387
ko:K07391	bpr:GBP346_A0395
ko:K04752	bpr:GBP346_A0397
ko:K03320	bpr:GBP346_A0398
ko:K01919	bpr:GBP346_A0399
ko:K01920	bpr:GBP346_A0400
ko:K03797	bpr:GBP346_A0406
ko:K03071	bpr:GBP346_A0410
ko:K00057	bpr:GBP346_A0411
ko:K03216	bpr:GBP346_A0413
ko:K02169	bpr:GBP346_A0415
ko:K02275	bpr:GBP346_A0417
ko:K02276	bpr:GBP346_A0422
ko:K06166	bpr:GBP346_A3488
ko:K02043	bpr:GBP346_A3489
ko:K05774	bpr:GBP346_A3491
ko:K03179	bpr:GBP346_A3492
ko:K04047	bpr:GBP346_A3495
ko:K03327	bpr:GBP346_A1543
ko:K01895	bpr:GBP346_A1545
ko:K06153	bpr:GBP346_A1550
ko:K00375	bpr:GBP346_A1573
ko:K00991	bpr:GBP346_A2470
ko:K03723	bpr:GBP346_A2471
ko:K01438	bpr:GBP346_A2473
ko:K01754	bpr:GBP346_A2474
ko:K05366	bpr:GBP346_A2479
ko:K03969	bpr:GBP346_A2482
ko:K03282	bpr:GBP346_A2484
ko:K09165	bpr:GBP346_A2488
ko:K07127	bpr:GBP346_A2494
ko:K01483	bpr:GBP346_A2497
ko:K01477	bpr:GBP346_A2498
ko:K01951	bpr:GBP346_A2525
ko:K06041	bpr:GBP346_A3390
ko:K03270	bpr:GBP346_A3391
ko:K01627	bpr:GBP346_A3392
ko:K07265	bpr:GBP346_A3396
ko:K01991	bpr:GBP346_A3400
ko:K02535	bpr:GBP346_A3413
ko:K07265	bpr:GBP346_A3417
ko:K03273	bpr:GBP346_A3418
ko:K03271	bpr:GBP346_A3420
ko:K01711	bpr:GBP346_A3422
ko:K09689	bpr:GBP346_A3430
ko:K09688	bpr:GBP346_A3431
ko:K10107	bpr:GBP346_A3432
ko:K01991	bpr:GBP346_A3433
ko:K07266	bpr:GBP346_A3436
ko:K03975	bpr:GBP346_A3442
ko:K03572	bpr:GBP346_A3443
ko:K00791	bpr:GBP346_A3444
ko:K00278	bpr:GBP346_A0905
ko:K02913	bpr:GBP346_A0906
ko:K02902	bpr:GBP346_A0907
ko:K03630	bpr:GBP346_A0908
ko:K03774	bpr:GBP346_A0909
ko:K03527	bpr:GBP346_A0910
ko:K01997	bpr:GBP346_A0912
ko:K01998	bpr:GBP346_A0913
ko:K01995	bpr:GBP346_A0914
ko:K01996	bpr:GBP346_A0915
ko:K07156	bpr:GBP346_A0923
ko:K01714	bpr:GBP346_A0928
ko:K07727	bpr:GBP346_A2241
ko:K07090	bpr:GBP346_A2246
ko:K11074	bpr:GBP346_A2247
ko:K11075	bpr:GBP346_A2248
ko:K11076	bpr:GBP346_A2249
ko:K11073	bpr:GBP346_A2250
ko:K03322	bpr:GBP346_A2251
ko:K06938	bpr:GBP346_A2253
ko:K07275	bpr:GBP346_A2254
ko:K07290	bpr:GBP346_A2259
ko:K00023	bpr:GBP346_A2272
ko:K03821	bpr:GBP346_A2274
ko:K05810	bpr:GBP346_A2275
ko:K06180	bpr:GBP346_A2276
ko:K05807	bpr:GBP346_A2277
ko:K06959	bpr:GBP346_A2282
ko:K03549	bpr:GBP346_A2283
ko:K07101	bpr:GBP346_A2285
ko:K01939	bpr:GBP346_A2286
ko:K02502	bpr:GBP346_A2287
ko:K09937	bpr:GBP346_A2288
ko:K04087	bpr:GBP346_A2289
ko:K04088	bpr:GBP346_A2290
ko:K03665	bpr:GBP346_A2291
ko:K03666	bpr:GBP346_A2292
ko:K03977	bpr:GBP346_A2293
ko:K03832	bpr:GBP346_A3163
ko:K02841	bpr:GBP346_A3167
ko:K03608	bpr:GBP346_A3170
ko:K03609	bpr:GBP346_A3171
ko:K03610	bpr:GBP346_A3172
ko:K01875	bpr:GBP346_A3177
ko:K07478	bpr:GBP346_A3179
ko:K03634	bpr:GBP346_A3180
ko:K03466	bpr:GBP346_A3181
ko:K00384	bpr:GBP346_A3182
ko:K00036	bpr:GBP346_A3190
ko:K01057	bpr:GBP346_A3191
ko:K07552	bpr:GBP346_A3198
ko:K01845	bpr:GBP346_A3201
ko:K11752	bpr:GBP346_A3202
ko:K00793	bpr:GBP346_A3203
ko:K00794	bpr:GBP346_A3207
ko:K03625	bpr:GBP346_A3208
ko:K03182	bpr:GBP346_A3212
ko:K06925	bpr:GBP346_A0835
ko:K08591	bpr:GBP346_A0841
ko:K09767	bpr:GBP346_A0842
ko:K03185	bpr:GBP346_A3535
ko:K03557	bpr:GBP346_A3537
ko:K00602	bpr:GBP346_A3539
ko:K01159	bpr:GBP346_A3540
ko:K03550	bpr:GBP346_A3541
ko:K03551	bpr:GBP346_A3542
ko:K07560	bpr:GBP346_A3546
ko:K01866	bpr:GBP346_A3547
ko:K09001	bpr:GBP346_A3548
ko:K02996	bpr:GBP346_A3554
ko:K01012	bpr:GBP346_A0314
ko:K01935	bpr:GBP346_A0315
ko:K00833	bpr:GBP346_A0317
ko:K09858	bpr:GBP346_A0320
ko:K01673	bpr:GBP346_A0324
ko:K03673	bpr:GBP346_A0335
ko:K01887	bpr:GBP346_A0337
ko:K07001	bpr:GBP346_A0349
ko:K03525	bpr:GBP346_A0355
ko:K03524	bpr:GBP346_A0356
ko:K02066	bpr:GBP346_A0359
ko:K02065	bpr:GBP346_A0360
ko:K00962	bpr:GBP346_A1309
ko:K01803	bpr:GBP346_A1311
ko:K03075	bpr:GBP346_A1312
ko:K00330	bpr:GBP346_A1314
ko:K00331	bpr:GBP346_A1315
