ko:K19405	ctrl:L2BLST_00710
ko:K02433	ctrl:L2BLST_00004
ko:K03471	ctrl:L2BLST_00009
ko:K00033	ctrl:L2BLST_00066
ko:K11707	ctrl:L2BLST_00070
ko:K11710	ctrl:L2BLST_00071
ko:K14233	ctrl:L2BLST_00890
ko:K11645	ctrl:L2BLST_00218
ko:K03582	ctrl:L2BLST_00671
ko:K03583	ctrl:L2BLST_00672
ko:K03168	ctrl:L2BLST_00675
ko:K02221	ctrl:L2BLST_00677
ko:K03581	ctrl:L2BLST_00684
ko:K06861	ctrl:L2BLST_00686
ko:K01627	ctrl:L2BLST_00688
ko:K06180	ctrl:L2BLST_00692
ko:K06960	ctrl:L2BLST_00693
ko:K02469	ctrl:L2BLST_00694
ko:K02470	ctrl:L2BLST_00695
ko:K02492	ctrl:L2BLST_00696
ko:K03224	ctrl:L2BLST_00703
ko:K02417	ctrl:L2BLST_00706
ko:K03219	ctrl:L2BLST_00708
ko:K02838	ctrl:L2BLST_00714
ko:K09903	ctrl:L2BLST_00715
ko:K02357	ctrl:L2BLST_00716
ko:K02967	ctrl:L2BLST_00717
ko:K03162	ctrl:L2BLST_00720
ko:K03559	ctrl:L2BLST_00625
ko:K01214	ctrl:L2BLST_00044
ko:K00036	ctrl:L2BLST_00186
ko:K01057	ctrl:L2BLST_00187
ko:K02343	ctrl:L2BLST_00188
ko:K00943	ctrl:L2BLST_00189
ko:K02469	ctrl:L2BLST_00190
ko:K02470	ctrl:L2BLST_00191
ko:K00773	ctrl:L2BLST_00194
ko:K06213	ctrl:L2BLST_00195
ko:K15580	ctrl:L2BLST_00199
ko:K15581	ctrl:L2BLST_00200
ko:K03319	ctrl:L2BLST_00205
ko:K00850	ctrl:L2BLST_00206
ko:K00895	ctrl:L2BLST_00208
ko:K02527	ctrl:L2BLST_00211
ko:K01869	ctrl:L2BLST_00212
ko:K01845	ctrl:L2BLST_00213
ko:K07735	ctrl:L2BLST_00214
ko:K08999	ctrl:L2BLST_00215
ko:K01807	ctrl:L2BLST_00216
ko:K03787	ctrl:L2BLST_00221
ko:K03179	ctrl:L2BLST_00222
ko:K03186	ctrl:L2BLST_00223
ko:K03308	ctrl:L2BLST_00236
ko:K02078	ctrl:L2BLST_00241
ko:K00645	ctrl:L2BLST_00243
ko:K00648	ctrl:L2BLST_00244
ko:K06187	ctrl:L2BLST_00245
ko:K07277	ctrl:L2BLST_00246
ko:K06142	ctrl:L2BLST_00247
ko:K02536	ctrl:L2BLST_00248
ko:K00161	ctrl:L2BLST_00250
ko:K00162	ctrl:L2BLST_00251
ko:K00627	ctrl:L2BLST_00252
ko:K00688	ctrl:L2BLST_00253
ko:K02313	ctrl:L2BLST_00255
ko:K03217	ctrl:L2BLST_00256
ko:K04487	ctrl:L2BLST_00263
ko:K07083	ctrl:L2BLST_00267
ko:K01962	ctrl:L2BLST_00270
ko:K01448	ctrl:L2BLST_00273
ko:K01928	ctrl:L2BLST_00274
ko:K03587	ctrl:L2BLST_00275
ko:K03438	ctrl:L2BLST_00277
ko:K02313	ctrl:L2BLST_00280
ko:K00347	ctrl:L2BLST_00283
ko:K00348	ctrl:L2BLST_00284
ko:K00349	ctrl:L2BLST_00285
ko:K00350	ctrl:L2BLST_00286
ko:K02437	ctrl:L2BLST_00287
ko:K03800	ctrl:L2BLST_00290
ko:K03696	ctrl:L2BLST_00291
ko:K00566	ctrl:L2BLST_00292
ko:K01963	ctrl:L2BLST_00298
ko:K04564	ctrl:L2BLST_00299
ko:K03685	ctrl:L2BLST_00302
ko:K04485	ctrl:L2BLST_00303
ko:K01749	ctrl:L2BLST_00304
ko:K01873	ctrl:L2BLST_00307
ko:K03046	ctrl:L2BLST_00319
