ko:K08744	mtuh:I917_12955
ko:K01992	mtuh:I917_10360
ko:K01992	mtuh:I917_20575
ko:K01992	mtuh:I917_20580
ko:K01006	mtuh:I917_07970
ko:K07171	mtuh:I917_03275
ko:K03297	mtuh:I917_21525
ko:K02554	mtuh:I917_24815
ko:K22311	mtuh:I917_18430
ko:K22316	mtuh:I917_15680
ko:K07171	mtuh:I917_07830
ko:K18956	mtuh:I917_00160
ko:K18957	mtuh:I917_27140
ko:K07171	mtuh:I917_04700
ko:K07045	mtuh:I917_24620
ko:K00561	mtuh:I917_14015
ko:K03218	mtuh:I917_25135
ko:K01883	mtuh:I917_25140
ko:K07736	mtuh:I917_25165
ko:K01673	mtuh:I917_25195
ko:K03575	mtuh:I917_25200
ko:K03696	mtuh:I917_25245
ko:K03525	mtuh:I917_25265
ko:K01579	mtuh:I917_25270
ko:K01918	mtuh:I917_25275
ko:K00950	mtuh:I917_25290
ko:K01633	mtuh:I917_25295
ko:K00796	mtuh:I917_25300
ko:K01495	mtuh:I917_25305
ko:K09807	mtuh:I917_25385
ko:K00760	mtuh:I917_25390
ko:K04075	mtuh:I917_25395
ko:K09799	mtuh:I917_25425
ko:K04095	mtuh:I917_25505
ko:K01665	mtuh:I917_07135
ko:K03424	mtuh:I917_07165
ko:K02528	mtuh:I917_07175
ko:K00919	mtuh:I917_07180
ko:K01056	mtuh:I917_07190
ko:K02897	mtuh:I917_07195
ko:K00948	mtuh:I917_07205
ko:K04042	mtuh:I917_07210
ko:K01689	mtuh:I917_07265
ko:K07667	mtuh:I917_07305
ko:K07646	mtuh:I917_07310
ko:K01546	mtuh:I917_07330
ko:K01547	mtuh:I917_07335
ko:K01548	mtuh:I917_07340
ko:K09131	mtuh:I917_13995
ko:K05596	mtuh:I917_14000
ko:K06895	mtuh:I917_14005
ko:K07133	mtuh:I917_14195
ko:K07001	mtuh:I917_14365
ko:K03470	mtuh:I917_20260
ko:K03100	mtuh:I917_20265
ko:K02884	mtuh:I917_20270
ko:K02860	mtuh:I917_20295
ko:K06960	mtuh:I917_20300
ko:K02959	mtuh:I917_20305
ko:K03106	mtuh:I917_20345
ko:K00990	mtuh:I917_20365
ko:K03320	mtuh:I917_20375
