ko:K01151	chc:CPS0C_0014
ko:K06861	chc:CPS0C_0023
ko:K03216	chc:CPS0C_0093
ko:K03980	chc:CPS0C_0016
ko:K03979	chc:CPS0C_0229
ko:K00813	chc:CPS0C_0006
ko:K01698	chc:CPS0C_0001
ko:K03582	chc:CPS0C_0009
ko:K03583	chc:CPS0C_0010
ko:K07146	chc:CPS0C_0012
ko:K00346	chc:CPS0C_0002
ko:K02986	chc:CPS0C_0013
ko:K06960	chc:CPS0C_0027
ko:K01627	chc:CPS0C_0025
ko:K11717	chc:CPS0C_0065
ko:K02469	chc:CPS0C_0031
ko:K07220	chc:CPS0C_0072
ko:K02492	chc:CPS0C_0033
ko:K06180	chc:CPS0C_0028
ko:K09903	chc:CPS0C_0054
ko:K02470	chc:CPS0C_0032
ko:K03219	chc:CPS0C_0046
ko:K02417	chc:CPS0C_0044
ko:K03224	chc:CPS0C_0041
ko:K02967	chc:CPS0C_0056
ko:K02838	chc:CPS0C_0053
ko:K09013	chc:CPS0C_0063
ko:K02342	chc:CPS0C_0099
ko:K01921	chc:CPS0C_0927
ko:K01924	chc:CPS0C_0927
ko:K02433	chc:CPS0C_0325
ko:K03471	chc:CPS0C_0330
ko:K09815	chc:CPS0C_0231
ko:K03307	chc:CPS0C_0289
ko:K03856	chc:CPS0C_0291
ko:K01719	chc:CPS0C_0253
ko:K00700	chc:CPS0C_0299
ko:K02030	chc:CPS0C_0155
ko:K02035	chc:CPS0C_0164
ko:K02033	chc:CPS0C_0165
ko:K00567	chc:CPS0C_0167
ko:K07098	chc:CPS0C_0188
ko:K01885	chc:CPS0C_0209
ko:K00380	chc:CPS0C_0223
ko:K00784	chc:CPS0C_0356
ko:K11189	chc:CPS0C_0367
ko:K08483	chc:CPS0C_0368
ko:K02342	chc:CPS0C_0424
ko:K06179	chc:CPS0C_0431
ko:K07052	chc:CPS0C_0434
ko:K00059	chc:CPS0C_0536
ko:K03177	chc:CPS0C_0511
ko:K00033	chc:CPS0C_0480
ko:K00425	chc:CPS0C_0728
ko:K02517	chc:CPS0C_0732
ko:K00873	chc:CPS0C_0734
ko:K03701	chc:CPS0C_0735
ko:K01873	chc:CPS0C_0737
ko:K03046	chc:CPS0C_0749
ko:K03043	chc:CPS0C_0750
ko:K02935	chc:CPS0C_0751
ko:K02864	chc:CPS0C_0752
ko:K02863	chc:CPS0C_0753
ko:K02600	chc:CPS0C_0514
ko:K02945	chc:CPS0C_0515
ko:K00384	chc:CPS0C_0516
ko:K00997	chc:CPS0C_0517
ko:K03217	chc:CPS0C_0520
ko:K02313	chc:CPS0C_0521
ko:K00688	chc:CPS0C_0524
ko:K00627	chc:CPS0C_0525
ko:K00162	chc:CPS0C_0526
ko:K00161	chc:CPS0C_0527
ko:K02536	chc:CPS0C_0530
ko:K06142	chc:CPS0C_0531
ko:K07277	chc:CPS0C_0532
ko:K06187	chc:CPS0C_0533
ko:K00648	chc:CPS0C_0534
ko:K00645	chc:CPS0C_0535
ko:K02078	chc:CPS0C_0537
ko:K03308	chc:CPS0C_0542
ko:K03569	chc:CPS0C_0989
ko:K03545	chc:CPS0C_0992
ko:K01358	chc:CPS0C_0994
ko:K03544	chc:CPS0C_0995
ko:K03977	chc:CPS0C_0997
ko:K03070	chc:CPS0C_0999
ko:K01613	chc:CPS0C_1001
ko:K03650	chc:CPS0C_1002
ko:K10773	chc:CPS0C_1003
ko:K03311	chc:CPS0C_1004
ko:K00382	chc:CPS0C_1007
ko:K03644	chc:CPS0C_1008
ko:K03222	chc:CPS0C_1009
ko:K03223	chc:CPS0C_1011
ko:K03226	chc:CPS0C_1012
ko:K03228	chc:CPS0C_1014
ko:K06213	chc:CPS0C_0546
ko:K02071	chc:CPS0C_0552
ko:K02072	chc:CPS0C_0553
ko:K02073	chc:CPS0C_0554
ko:K02470	chc:CPS0C_0557
ko:K02469	chc:CPS0C_0558
ko:K00943	chc:CPS0C_0559
ko:K02343	chc:CPS0C_0560
ko:K06999	chc:CPS0C_0561
ko:K07566	chc:CPS0C_0563
ko:K06966	chc:CPS0C_0567
ko:K03179	chc:CPS0C_0568
ko:K03186	chc:CPS0C_0569
ko:K03787	chc:CPS0C_0573
ko:K02455	chc:CPS0C_1020
ko:K02453	chc:CPS0C_1022
ko:K03572	chc:CPS0C_1025
ko:K01868	chc:CPS0C_1032
ko:K01867	chc:CPS0C_1036
ko:K03702	chc:CPS0C_1037
ko:K01689	chc:CPS0C_1038
ko:K02340	chc:CPS0C_0455
ko:K07056	chc:CPS0C_0456
ko:K02405	chc:CPS0C_0477
ko:K00099	chc:CPS0C_0489
ko:K03629	chc:CPS0C_0492
ko:K02338	chc:CPS0C_0493
ko:K03664	chc:CPS0C_0494
ko:K03734	chc:CPS0C_0495
ko:K01491	chc:CPS0C_0496
ko:K02902	chc:CPS0C_0503
ko:K00705	chc:CPS0C_0504
ko:K04058	chc:CPS0C_0506
ko:K03230	chc:CPS0C_0507
ko:K03229	chc:CPS0C_0508
ko:K06942	chc:CPS0C_0509
ko:K11753	chc:CPS0C_0510
ko:K02834	chc:CPS0C_0512
ko:K02519	chc:CPS0C_0513
ko:K03466	chc:CPS0C_0958
ko:K03310	chc:CPS0C_0962
ko:K00794	chc:CPS0C_0966
ko:K14652	chc:CPS0C_0967
ko:K11752	chc:CPS0C_0968
ko:K01875	chc:CPS0C_0969
ko:K05837	chc:CPS0C_0972
ko:K03524	chc:CPS0C_0973
ko:K06178	chc:CPS0C_0975
ko:K04487	chc:CPS0C_0977
ko:K13819	chc:CPS0C_0978
ko:K02409	chc:CPS0C_0979
ko:K02411	chc:CPS0C_0980
ko:K02412	chc:CPS0C_0981
ko:K00057	chc:CPS0C_0984
ko:K15581	chc:CPS0C_0654
ko:K03319	chc:CPS0C_0659
ko:K03611	chc:CPS0C_0637
ko:K00979	chc:CPS0C_0647
ko:K01937	chc:CPS0C_0648
ko:K07447	chc:CPS0C_0649
ko:K00164	chc:CPS0C_0464
ko:K00658	chc:CPS0C_0465
ko:K05810	chc:CPS0C_0466
ko:K03526	chc:CPS0C_0467
ko:K02400	chc:CPS0C_0476
ko:K01866	chc:CPS0C_0479
ko:K03596	chc:CPS0C_0481
ko:K03301	chc:CPS0C_0483
ko:K03588	chc:CPS0C_0929
ko:K01925	chc:CPS0C_0931
ko:K01000	chc:CPS0C_0932
ko:K01929	chc:CPS0C_0933
ko:K02356	chc:CPS0C_0938
ko:K01241	chc:CPS0C_0939
ko:K00615	chc:CPS0C_0940
ko:K01872	chc:CPS0C_0941
ko:K03723	chc:CPS0C_0942
ko:K01599	chc:CPS0C_0943
ko:K00231	chc:CPS0C_0945
ko:K03210	chc:CPS0C_0949
ko:K00351	chc:CPS0C_0950
ko:K07039	chc:CPS0C_0575
ko:K14441	chc:CPS0C_0581
ko:K02913	chc:CPS0C_0582
ko:K09808	chc:CPS0C_0583
ko:K02871	chc:CPS0C_0587
ko:K02996	chc:CPS0C_0588
ko:K01057	chc:CPS0C_0594
ko:K00036	chc:CPS0C_0595
ko:K15580	chc:CPS0C_0596
ko:K03402	chc:CPS0C_0598
ko:K02029	chc:CPS0C_0599
ko:K07058	chc:CPS0C_0603
ko:K00240	chc:CPS0C_1043
ko:K00239	chc:CPS0C_1044
ko:K03424	chc:CPS0C_1046
ko:K03562	chc:CPS0C_1048
ko:K03641	chc:CPS0C_1051
ko:K03640	chc:CPS0C_1052
ko:K03648	chc:CPS0C_1061
ko:K03657	chc:CPS0C_1062
ko:K03092	chc:CPS0C_1064
ko:K03168	chc:CPS0C_1066
ko:K04078	chc:CPS0C_0700
ko:K04077	chc:CPS0C_0701
ko:K03581	chc:CPS0C_0707
ko:K01874	chc:CPS0C_0708
ko:K00942	chc:CPS0C_0710
ko:K03470	chc:CPS0C_0711
ko:K02884	chc:CPS0C_0712
ko:K00554	chc:CPS0C_0713
ko:K02959	chc:CPS0C_0714
ko:K03106	chc:CPS0C_0715
ko:K02493	chc:CPS0C_0716
ko:K02835	chc:CPS0C_0717
ko:K02909	chc:CPS0C_0718
ko:K03100	chc:CPS0C_0720
ko:K01870	chc:CPS0C_0721
ko:K07175	chc:CPS0C_0723
ko:K00426	chc:CPS0C_0727
ko:K02867	chc:CPS0C_0754
ko:K02601	chc:CPS0C_0755
ko:K03073	chc:CPS0C_0756
ko:K02358	chc:CPS0C_0758
