ko:K01006	lmog:BN389_18920
ko:K07045	lmog:BN389_08980
ko:K01699	lmog:BN389_11720
ko:K22010	lmog:BN389_11910
ko:K01990	lmog:BN389_22480
ko:K11051	lmog:BN389_10180
ko:K11741	lmog:BN389_08810
ko:K11741	lmog:BN389_08820
ko:K18926	lmog:BN389_05570
ko:K19689	lmog:BN389_17390
ko:K16786	lmog:BN389_25610
ko:K02768	lmog:BN389_04500
ko:K16787	lmog:BN389_25600
ko:K16785	lmog:BN389_25590
ko:K09681	lmog:BN389_17620
ko:K00980	lmog:BN389_11180
ko:K16789	lmog:BN389_14550
ko:K01838	lmog:BN389_28130
ko:K02768	lmog:BN389_04260
ko:K02768	lmog:BN389_21700
ko:K02768	lmog:BN389_06680
ko:K13052	lmog:BN389_02310
ko:K10947	lmog:BN389_07650
ko:K03574	lmog:BN389_16440
ko:K16785	lmog:BN389_25940
ko:K02768	lmog:BN389_03810
ko:K11050	lmog:BN389_10170
ko:K02884	lmog:BN389_18140
ko:K00554	lmog:BN389_18190
ko:K02860	lmog:BN389_18200
ko:K07010	lmog:BN389_18220
ko:K06960	lmog:BN389_18230
ko:K02959	lmog:BN389_18240
ko:K03106	lmog:BN389_18270
ko:K03110	lmog:BN389_18290
ko:K03529	lmog:BN389_18300
ko:K03685	lmog:BN389_18310
ko:K02078	lmog:BN389_18320
ko:K11068	lmog:BN389_18890
ko:K09773	lmog:BN389_18910
ko:K00563	lmog:BN389_18980
ko:K15738	lmog:BN389_19010
ko:K01938	lmog:BN389_19020
ko:K03704	lmog:BN389_19040
ko:K01299	lmog:BN389_19110
ko:K03524	lmog:BN389_19290
ko:K01734	lmog:BN389_19310
ko:K00215	lmog:BN389_19320
ko:K00656	lmog:BN389_19420
ko:K07007	lmog:BN389_19430
ko:K06973	lmog:BN389_19440
ko:K00800	lmog:BN389_19480
ko:K00817	lmog:BN389_19500
ko:K06208	lmog:BN389_19510
ko:K06178	lmog:BN389_19740
ko:K06024	lmog:BN389_19750
ko:K05896	lmog:BN389_19760
ko:K01586	lmog:BN389_19770
ko:K01839	lmog:BN389_19790
ko:K02015	lmog:BN389_19820
ko:K02015	lmog:BN389_19830
ko:K02016	lmog:BN389_19840
ko:K02013	lmog:BN389_19860
ko:K02346	lmog:BN389_19940
ko:K07124	lmog:BN389_19950
ko:K01652	lmog:BN389_20250
ko:K07718	lmog:BN389_20300
ko:K03704	lmog:BN389_20360
ko:K01778	lmog:BN389_20380
ko:K01870	lmog:BN389_20390
ko:K04074	lmog:BN389_20400
ko:K04487	lmog:BN389_20420
ko:K00278	lmog:BN389_20430
ko:K03438	lmog:BN389_20690
ko:K03925	lmog:BN389_20700
ko:K00077	lmog:BN389_20730
ko:K02911	lmog:BN389_20750
ko:K07040	lmog:BN389_20760
ko:K00954	lmog:BN389_20800
ko:K02259	lmog:BN389_20860
ko:K10716	lmog:BN389_20870
ko:K14166	lmog:BN389_20900
ko:K03282	lmog:BN389_20920
ko:K02003	lmog:BN389_21450
ko:K03431	lmog:BN389_21490
ko:K15772	lmog:BN389_21560
ko:K15771	lmog:BN389_21570
ko:K12410	lmog:BN389_27140
ko:K08177	lmog:BN389_22040
ko:K08600	lmog:BN389_22150
ko:K02013	lmog:BN389_22160
ko:K02015	lmog:BN389_22170
ko:K01772	lmog:BN389_22440
ko:K01599	lmog:BN389_22450
ko:K02503	lmog:BN389_22490
ko:K02250	lmog:BN389_23000
ko:K02768	lmog:BN389_23020
ko:K02769	lmog:BN389_23020
ko:K02770	lmog:BN389_23020
ko:K01810	lmog:BN389_23320
